id,created_at,user,retweets,favorite_count,source,text
544577875706642432,2014-12-15 19:40:57,BillOwensNY,8,20,TweetDeck,Rep. Owens announces nominations for U.S. service academies: http://t.co/Cl6DorKJHM #NY21
539422427437342720,2014-12-01 14:15:03,BillOwensNY,3,4,TweetDeck,.@TEDtalks looks at the future of food and the growing culture of energetic young farmers in Essex County: http://t.co/QINGxOxWNM #bigideas
535460972925030400,2014-11-20 15:53:38,BillOwensNY,8,6,TweetDeck,".@DecodeDC posted my ""exit interview"" with @RadioBabe talking about politics and partisanship. Check it out: http://t.co/ckPLxsvshD #NY21"
533318975938387968,2014-11-14 18:02:07,BillOwensNY,1,1,Fireside Publishing,Owens votes to approve Keystone XL pipeline http://t.co/aC0aZVAlaz
532543423698718720,2014-11-12 14:40:21,BillOwensNY,1,3,TweetDeck,Thanks @TransportTopics for publishing my opinion this week on the importance of investing in border infrastructure: http://t.co/g97y03qzdY
532192132715782144,2014-11-11 15:24:26,BillOwensNY,1,2,TweetDeck,Today we pay tribute to our veterans. I urge everyone to make time today to thank them for their service to our community and our country.
528260087199305728,2014-10-31 18:59:54,BillOwensNY,0,0,Fireside Publishing,Owens urges NNY first responders to apply for federal grants http://t.co/rrrafHgr83
527872278709932032,2014-10-30 17:18:53,BillOwensNY,1,0,Fireside Publishing,Owens applauds progress on U.S.-Canadian cross-border rail preclearance service: http://t.co/WzvmHghDgK
525000706160603136,2014-10-22 19:08:17,BillOwensNY,2,0,TweetDeck,My heartfelt condolences to the family and friends of victims at the Canadian Parliament building in Ottawa today. http://t.co/Xzv1RkqAvk
524667128822366208,2014-10-21 21:02:46,BillOwensNY,0,0,Fireside Publishing,Schumer Gillibrand and Owens announce $184K in USDA grants for Jefferson County business development http://t.co/KGMxxDHB3W
524552287042420736,2014-10-21 13:26:25,BillOwensNY,0,0,Fireside Publishing,"Owens responds to WTO, calls for swift reconciliation with Canada, Mexico http://t.co/lDYWbFrC1t"
523148391937630208,2014-10-17 16:27:50,BillOwensNY,0,0,TweetDeck,"Rep. Owens featured recently w/
Amb David Wilkins at Can/Am Border Trade Alliance conf in D.C. http://t.co/UBYGRVy9Of http://t.co/qHrG2Jl0sC"
512710552909398016,2014-09-18 21:11:36,BillOwensNY,2,0,Fireside Publishing,Schumer Gillibrand and Owens announce $8.6M in funding for major expansion at Plattsburgh International Airport http://t.co/6ipoo2T2UX
512313750977007616,2014-09-17 18:54:51,BillOwensNY,0,1,Fireside Publishing,Owens announces $971K in Northern Border Regional Commission grants http://t.co/ubQxzXGr8J
510074958404681730,2014-09-11 14:38:41,BillOwensNY,2,1,TweetDeck,http://t.co/kK79JLYpT5
509709106626957312,2014-09-10 14:24:55,BillOwensNY,2,2,Fireside Publishing,Owens encourages high school students to seek Service Academy nominations http://t.co/epZb2ChQGI
509433571941953536,2014-09-09 20:10:03,BillOwensNY,1,0,TweetDeck,Rep. Owens to speak at 2014 Border Conference on Friday to offer expertise on northern border trade &amp; travel: http://t.co/tHt9Pp092N
507617989869309953,2014-09-04 19:55:34,BillOwensNY,7,0,TweetDeck,"RT @RepBetoORourke: I will join @JoaquinCastrotx, @RepCuellar, @BillOwensNY, for the 2014 Border Conference http://t.co/IFbwU710o0 #BorderC…"
507220376666251264,2014-09-03 17:35:36,BillOwensNY,0,0,Fireside Publishing,Owens announces $44K grant for Plattsburgh Fire Department http://t.co/wsg3UQ3iRB
505009229313622016,2014-08-28 15:09:17,BillOwensNY,1,1,Fireside Publishing,Owens statement recognizes three year anniversary of Hurricane Irene http://t.co/dqQn8stRpM
504690829831962624,2014-08-27 18:04:05,BillOwensNY,1,2,Fireside Publishing,Owens announces $62K in grant funding for St. Regis Falls Fire Department http://t.co/QnI7NYUpJp
502902368934313985,2014-08-22 19:37:22,BillOwensNY,0,1,Fireside Publishing,Owens applauds ITC decision to level playing field for U.S. steel manufacturers http://t.co/7trkUjMgRX
502864993608822784,2014-08-22 17:08:51,BillOwensNY,0,0,Fireside Publishing,Gillibrand and Owens lead NY congressional delegation in support of Fort Drum http://t.co/oh4pFzNUhF
500384726071644161,2014-08-15 20:53:10,BillOwensNY,4,0,Fireside Publishing,Owens announces $130K FAA grant for Ticonderoga Airport http://t.co/endExCqxrt
494946370319826944,2014-07-31 20:43:05,BillOwensNY,1,0,TweetDeck,RT @MattSonneborn: U.S. Chamber presents @BillOwensNY with “Spirit of Enterprise” award: http://t.co/Bu3TcBw1VZ
494946361633021952,2014-07-31 20:43:02,BillOwensNY,3,0,TweetDeck,RT @MattSonneborn: .@BillOwensNY announces $632K in DOT grants for Adirondack Regional Airport: http://t.co/2UbTI0ycnu
494585309875941377,2014-07-30 20:48:21,BillOwensNY,2,1,Fireside Publishing,House passes bipartisan agreement to reform Department of Veterans Affairs http://t.co/U5YtXRIDHD
494580322416480256,2014-07-30 20:28:32,BillOwensNY,2,0,TweetDeck,RT @itsgblock: .@BillOwensNY endorses new #VA reform bill expanding veterans access to private providers http://t.co/ON3ACb2wjp @WDTnews
494580202216103936,2014-07-30 20:28:03,BillOwensNY,1,1,TweetDeck,Owens announces $117K in grant funding for local firefighters and rescue services: http://t.co/nFW0d00FTn
491604480920911872,2014-07-22 15:23:36,BillOwensNY,5,0,TweetDeck,9.5m Americans remain unemployed as 4.6m jobs go unfilled. Job training helps employers &amp; workers including #LTU: http://t.co/0oETkOssbf
491601782171521024,2014-07-22 15:12:53,BillOwensNY,3,0,TweetDeck,"RT @HouseNewDems: ""For Americans to succeed in the global economy, our job training system must adapt,"" @BillOwensNY to Inside Sources http…"
491570872311087105,2014-07-22 13:10:03,BillOwensNY,1,0,TweetDeck,"Workforce training is about ""Creating a Competitive, Sustainable Global Workforce."" Read about it here: http://t.co/0oETkOssbf"
490217286482288640,2014-07-18 19:31:23,BillOwensNY,2,0,TweetDeck,RT @WDTnews: .@BillOwensNY votes to replenish Highway Trust Fund http://t.co/ZBYPNDNRVo
489826807727001600,2014-07-17 17:39:46,BillOwensNY,1,0,TweetDeck,RT @MattSonneborn: Also gotta check out this @BillOwensNY photo from today's @ForestandPaper event: http://t.co/LvPV5nlqrc
489825288705294336,2014-07-17 17:33:44,BillOwensNY,2,1,TweetDeck,Great discussion on sustainable forestry at @ForestandPaper event this AM w/ @RepSchrader @RepFincherTN08 @RepRibble http://t.co/sD0xTuJ7wv
489824043282219008,2014-07-17 17:28:47,BillOwensNY,2,1,Fireside Publishing,Owens speaks at bipartisan panel discussion on sustainable forestry http://t.co/fVO992tAdw
489157396380786689,2014-07-15 21:19:46,BillOwensNY,1,0,Fireside Publishing,Owens votes to replenish Highway Trust Fund http://t.co/FcpwqUsUIP
482542808570789888,2014-06-27 15:15:45,BillOwensNY,1,1,Twitter Web Client,.@BillOwensNY met w/#NY21 CAC 2014 winner Cashlynn Jaggers yesterday. Here they are w/the winning art in the Capitol: http://t.co/LzkT1bR4tr
482240373797191680,2014-06-26 19:13:59,BillOwensNY,0,1,TweetDeck,Owens applauds Ikea decision to raise employee wages: http://t.co/PUwBjX8VnA
481491474824318976,2014-06-24 17:38:07,BillOwensNY,1,0,TweetDeck,RT @ncpr: Solar energy on the rise in NYS w state incentives...one CA company has North Country plans inc. Plattsburgh. http://t.co/pQFxLRa…
481146000405708801,2014-06-23 18:45:20,BillOwensNY,0,1,TweetDeck,Owens opposes incoming House Majority Leader McCarthy plan to cut Ex-Im Bank export services: http://t.co/rkZkdAjR25
480030663501180929,2014-06-20 16:53:23,BillOwensNY,16,0,TweetDeck,"RT @RepPaulTonko: #USMNT goes for victory again on Sunday, but in the #GOPWorldCup, everyone loses. http://t.co/yobiTQ4e4n"
479711354329497600,2014-06-19 19:44:34,BillOwensNY,1,2,TweetDeck,#Love a good #TBT photo? Here’s one of Bill from his Air Force days in the 1970s http://t.co/dojgFbRUsq
479329049547145217,2014-06-18 18:25:25,BillOwensNY,35,0,TweetDeck,RT @politico: Oil train accidents raise questions about the safety of mile-long chains of tank cars http://t.co/Grsrrk9BKL http://t.co/jMuZ…
479311111050002432,2014-06-18 17:14:08,BillOwensNY,3,0,TweetDeck,RT @poststar: Check out our full story on the Davidson Brothers Brewing Co.’s new $4.8 million facility. http://t.co/lkiK8FEUUY http://t.co…
478999531854770176,2014-06-17 20:36:02,BillOwensNY,4,1,TweetDeck,Appropriations Subcommittee approves $105M to upgrade Alexandria Bay border facility: http://t.co/4y3YWOrmZ7
478970666482671616,2014-06-17 18:41:20,BillOwensNY,2,0,TweetDeck,Owens calls for trade enforcement to level playing field for U.S. steel manufacturers: http://t.co/HlMzRYk1AC #freetrade #fairtrade
478963314564005888,2014-06-17 18:12:07,BillOwensNY,3,0,TweetDeck,"RT @CABC_co: At today's summit, @RobMerrifieldMP, @BillOwensNY, and @SenRonJohnson sat down to speak about Canada/U.S. issues. http://t.co/…"
477133115950137344,2014-06-12 16:59:34,BillOwensNY,1,0,TweetDeck,"Turns out questions remain for local cheesemakers. FDA says ""no wood"" by email but ""no problem"" in statement: http://t.co/RVUYyIbFeZ"
477076986549239808,2014-06-12 13:16:31,BillOwensNY,3,0,TweetDeck,Success! RT @WiStateJournal: FDA backs off claims that wooden boards are unsanitary http://t.co/MVzqcKowRn http://t.co/yQkIpF03he
476815931306291200,2014-06-11 19:59:11,BillOwensNY,5,0,TweetDeck,RT @rollcall: FCC Should Focus Broadband Internet Improvements on Rural Communities | Commentary via @ByronDorgan http://t.co/laPxDWgaXj
476457638059073536,2014-06-10 20:15:27,BillOwensNY,2,0,TweetDeck,"House passed a bill today to expand veterans’ access to community hospitals, improve services for rural veterans: http://t.co/NKMFvE4q3X"
476409900948807680,2014-06-10 17:05:46,BillOwensNY,2,2,TweetDeck,"George Will’s views are out of touch with reality.We would do well to reject that sexual assault is, or should ever be, considered normal."
474895906983399424,2014-06-06 12:49:42,BillOwensNY,1,0,TweetDeck,Today we remember the brave soldiers who risked life and limb on distant shores to protect our country and the world.
474234536667389955,2014-06-04 17:01:39,BillOwensNY,2,0,TweetDeck,"RT @MattSonneborn: ""We would not be the economic powerhouse we are today without the 40 percent of Fortune 500 founders who were immigrants…"
471667881995153408,2014-05-28 15:02:40,BillOwensNY,4,2,TweetDeck,Between travel &amp; wait times a veteran can easily spend 12-14 hours seeking routine care @DeptVetAffairs #Vets http://t.co/vk4JA1chvq
471663032742207489,2014-05-28 14:43:24,BillOwensNY,2,1,TweetDeck,Owens calls on Congress to improve access to care for veterans in rural communities http://t.co/vk4JA1chvq
469559300055367680,2014-05-22 19:23:55,BillOwensNY,0,0,Fireside Publishing,Owens announces SBA economic injury disaster loans http://t.co/aFE204uRt6
469520157128540160,2014-05-22 16:48:23,BillOwensNY,0,0,Fireside Publishing,Owens Responds to Passage of National Defense Authorization Act http://t.co/IWQuOwoLE3
469512224521072640,2014-05-22 16:16:52,BillOwensNY,2,0,Fireside Publishing,Owens Announces $2.5M in FAA grants to improve regional airport infrastructure http://t.co/uiwSLK7qlQ
469492980626489345,2014-05-22 15:00:24,BillOwensNY,5,0,TweetDeck,"RT @EmpireStateDev: #Tourism is booming in #NYS, with 218 million people visiting NY sites in 2013, spending $57 billion: http://t.co/MGi8N…"
469102325651767296,2014-05-21 13:08:04,BillOwensNY,1,0,Fireside Publishing,"Owens votes to streamline Great Lakes ports, study economic impact of invasive species http://t.co/AwLAQTMDmD #WRRDA"
468854927536947202,2014-05-20 20:45:00,BillOwensNY,1,1,TweetDeck,".@EximbankUS transferred over $1 billion to taxpayers last year, all while growing local economies and creating American jobs. #ExIm4Jobs"
468851155603562496,2014-05-20 20:30:00,BillOwensNY,1,0,TweetDeck,.@EximBankUS services have supported $31M in export sales in #NY21 since 2007: http://t.co/9n0M684vZf #exim4jobs
468848354450223104,2014-05-20 20:18:53,BillOwensNY,3,1,TweetDeck,"5 exporters in #NY21, incl 3 small businesses, have benefited from @EximBankUS services: http://t.co/9n0M684vZf #exim4jobs"
468417091444674560,2014-05-19 15:45:12,BillOwensNY,4,0,TweetDeck,"RT @SUNY: FACT: Last year, we awarded more degrees and certificates than ever before! http://t.co/s5TeOePOuK http://t.co/xg2eLOt3X6"
467336476808597505,2014-05-16 16:11:13,BillOwensNY,2,0,TweetDeck,Small businesses represent 98 percent of all exporters and produce 1/3 of all exported goods: http://t.co/Tv8rcAosc5 #SmallBusinessWeek
467322132129538049,2014-05-16 15:14:13,BillOwensNY,0,0,TweetDeck,9.1 million veterans are small business owners: http://t.co/Tv8rcAosc5 #SmallBusinessWeek
467292357822775296,2014-05-16 13:15:54,BillOwensNY,5,0,TweetDeck,"RT @NYSDHSES: Flood Watch for the Southern Adirondacks, west-central Mohawk Valley, Schoharie Valley, and the eastern Catskills.  #nywx"
467291931911802880,2014-05-16 13:14:13,BillOwensNY,1,1,TweetDeck,"In 2012 #NYS ranked 3rd in U.S. in small business exports, &gt; $79 bil, 5.1% of all U.S. exports: http://t.co/Cv1R745T0s #SmallBusinessWeek"
467003021289734145,2014-05-15 18:06:11,BillOwensNY,1,0,TweetDeck,"In 2012, New York ranked third in the number of patents awarded in the U.S. http://t.co/Cv1R745T0s #SmallBusinessWeek"
466956715229847555,2014-05-15 15:02:11,BillOwensNY,0,0,TweetDeck,"#NYS 2 mil+ small businesses, 7.2% of U.D. total, can be found in every community in the state: http://t.co/Cv1R745T0s #SmallBusinessWeek"
466944383078518785,2014-05-15 14:13:10,BillOwensNY,1,0,TweetDeck,Small businesses produce 16 times more patents per employee than large patenting firms: http://t.co/Tv8rcAosc5 #SmallBusinessWeek
466929283575734274,2014-05-15 13:13:10,BillOwensNY,2,1,TweetDeck,Women own 7.8 million+ small businesses and make up a growing share of all business owners: http://t.co/Tv8rcAosc5 #SmallBusinessWeek
466643142377078784,2014-05-14 18:16:09,BillOwensNY,0,0,TweetDeck,Small businesses generate 44% of U.S. non-farm GDP: http://t.co/Tv8rcAosc5 #SmallBusinessWeek
466617706654208000,2014-05-14 16:35:05,BillOwensNY,1,0,TweetDeck,"99% of New York employer firms are small businesses:
http://t.co/kgy65YFfEm #SmallBusinessWeek"
466611684245639168,2014-05-14 16:11:09,BillOwensNY,1,0,TweetDeck,"Supporting local businesses means supporting local jobs, local innovation and economic growth in our communities: http://t.co/Tv8rcAosc5"
466600034570874882,2014-05-14 15:24:51,BillOwensNY,1,0,TweetDeck,Small businesses created 64% of net new jobs over 15 yrs &amp; employ 48.5% of the country’s private sector workforce: http://t.co/NTXyJ1jWqX
465880581528494080,2014-05-12 15:46:00,BillOwensNY,1,0,Twitter for Websites,RT @WDTnews: @BillOwensNY calls for review of #VA after high-profile delays at Phoenix clinic http://t.co/0nGqRxQpK5
464451675596800000,2014-05-08 17:08:03,BillOwensNY,1,0,Fireside Publishing,Owens calls for permanent research &amp; development tax credit with budget offsets http://t.co/J45KlbM8Fi
464451653148868608,2014-05-08 17:07:57,BillOwensNY,0,0,Fireside Publishing,Owens applauds DOT call for safer rail transportation of crude oil http://t.co/rKD5kA7HgK
464451602028707840,2014-05-08 17:07:45,BillOwensNY,1,0,Fireside Publishing,"Owens calls on VA to review incidents, expand veterans access to community hospitals http://t.co/Rl9FCYoS91"
463671185192939522,2014-05-06 13:26:39,BillOwensNY,0,1,Twitter Web Client,"Congratulations to Cashlynn Jaggers, #NY21 winner of the 2014 Congressional Art Competition for ""Papa's Farm"": http://t.co/pSSE4D8tIN"
463430138777317376,2014-05-05 21:28:49,BillOwensNY,0,0,Twitter Web Client,Winner selected for #NY21 2014 Congressional Art Competition! http://t.co/EHam9c25Tb #BREAKINGNEWS
461193402265403392,2014-04-29 17:20:50,BillOwensNY,2,0,Twitter Web Client,Rep Owens is hosting a Telephone Town Hall from 7-8pm tonight. Constituents who want to join the call can sign up at: http://t.co/WcJoehnTuE
459419127946297344,2014-04-24 19:50:30,BillOwensNY,2,0,Twitter for Websites,"RT @WDTnews: ONLINE: @WoolfforNY, @BillOwensNY chat up business owners in Potsdam #NNY http://t.co/Mu9Giq9DSZ"
458297100846247936,2014-04-21 17:31:58,BillOwensNY,2,0,Twitter Web Client,"In a letter to @WDTnews, Rep. Owens encourages local businesses to explore trade financing through the Ex-Im Bank: http://t.co/nTfAvWo2BO"
458296598817419264,2014-04-21 17:29:58,BillOwensNY,3,0,Twitter Web Client,Owens has called on the USDA to assist Northern New York counties impacted by recent flooding: http://t.co/SIRBcyeCFX
457165938698104833,2014-04-18 14:37:08,BillOwensNY,2,0,Twitter for Websites,RT @HouseNewDems: @BillOwensNY calls for reauthorization of the @EximBankUS in @WDTnews: http://t.co/QMwndPZvNI
454692414167728128,2014-04-11 18:48:14,BillOwensNY,6,0,Twitter Web Client,"RT @SenGillibrand: In #Ogdensburg, #NY, held a roundtable w/@FredHochberg @BillOwensNY &amp; biz leaders about expanding foreign biz opptys htt…"
454275426400350208,2014-04-10 15:11:16,BillOwensNY,3,0,Twitter Web Client,"Great news! @ClarksonUniv was just awarded $500K by @USDA for ""anaerobic digester"" (small farms technology) research: http://t.co/izwsBxxwKG"
453562190692237313,2014-04-08 15:57:07,BillOwensNY,0,1,Twitter Web Client,Rep. Owens got to meet this group of North Warren Central School students last week during their Model OAS trip to DC http://t.co/hHsDaEjHt9
453561065360465920,2014-04-08 15:52:39,BillOwensNY,1,0,Twitter Web Client,Rep. Owens recently led a discussion on the economic benefits of modernizing border services: http://t.co/2AaoyLDDTP http://t.co/tsDu3jxedg
451395780700811264,2014-04-02 16:28:35,BillOwensNY,3,2,Twitter Web Client,Some sweet news to share: the maple sap is finally flowing well in St. Lawrence County! http://t.co/4dQXUDgFza via @NorthCountryNow
451065796131684352,2014-04-01 18:37:20,BillOwensNY,1,0,Facebook,Congratulations to all the North Country medalists at the recent 2014 Finger Lakes International Wine... http://t.co/YFeqfPONCp
451020504615235584,2014-04-01 15:37:22,BillOwensNY,1,0,Facebook,Owens Announces Increase in Customs and Border Protection Officers at New York Ports of Entry:... http://t.co/JMcDbqcPO0
450701359252123648,2014-03-31 18:29:12,BillOwensNY,2,0,Facebook,"Today, Rep. Owens toured Beekmantown High School and visited the school store. The store is a for-profit business... http://t.co/vmTUNObMqY"
450648634887925761,2014-03-31 14:59:41,BillOwensNY,1,2,Twitter Web Client,Rep. Owens spoke on the importance of entrepreneurship at North Country Business Plan Competition @SUNYPlattsburgh http://t.co/bKRfCBpEDz
448869193870741504,2014-03-26 17:08:50,BillOwensNY,3,0,Twitter Web Client,The Bassmaster Elite fishing tournament is coming back to the north country for 2015. Check it out!: http://t.co/dL1ET5G1QT via @WDTnews
447044814614188032,2014-03-21 16:19:24,BillOwensNY,1,0,Twitter Web Client,.@EIAgov data show U.S. oil production exceeding imports. Great sign for energy independence &amp; job creation - Staff http://t.co/3mbVVmWVyU
446341664785719296,2014-03-19 17:45:20,BillOwensNY,4,0,Twitter Web Client,"Rep. Owens on cross-border trade opportunities at ""How to do business in Canada"": http://t.co/gskf9GxFZt via @WDTnews http://t.co/tMF5pa7vzy"
444556237024534528,2014-03-14 19:30:41,BillOwensNY,1,0,Twitter Web Client,Great piece today from @BrianMannADK on rail-oil safety: http://t.co/2a08fpsl9K via @ncpr
444540142075015168,2014-03-14 18:26:43,BillOwensNY,2,1,Twitter Web Client,We're kicking off the Congressional Art Competition for our district's young artists! Submission deadline = April 23: http://t.co/IOwGipyqWA
444133337691852800,2014-03-13 15:30:13,BillOwensNY,2,0,Twitter Web Client,Owens Co-Sponsors Bill to extend Trade Adjustment Assistance (TAA): http://t.co/3QIbHlJJ2A
443736883944640514,2014-03-12 13:14:52,BillOwensNY,2,0,TweetDeck,Rep. Owens on local port upgrades:“I will continue to fight to see that this critical project is funded by Congress” http://t.co/LYFZ64qCeS
443419627146973184,2014-03-11 16:14:12,BillOwensNY,1,0,TweetDeck,Rep. Owens calls on federal agencies and railroad companies to do more to prevent accidents and mitigate impact: http://t.co/VIACZ5jZcq
438707272408375297,2014-02-26 16:08:59,BillOwensNY,1,0,Twitter Web Client,RT @RobMerrifieldMP: Great to see my good friends @BillOwensNY and @RepHuizenga in #DC as we deal with Can/US issues #cdnpoli
438707078291783680,2014-02-26 16:08:12,BillOwensNY,5,0,Twitter Web Client,Owens congratulates the Olympians who have local ties that competed in #Sochi2014 -http://t.co/DFwodGRGbR
438347209411940352,2014-02-25 16:18:13,BillOwensNY,3,0,Twitter Web Client,Apples now reach #Canada without costly inspections or delays thanks to a @BillOwensNY &amp; @SenGillibrand law. More: http://t.co/qQlZgeBPV1
438020078273978368,2014-02-24 18:38:19,BillOwensNY,3,0,Twitter Web Client,Rep. Owens is hosting a telephone town hall on Wednesday night at 7 p.m. Visit: http://t.co/UPdRBkHYMU for more info.
438009088900075520,2014-02-24 17:54:39,BillOwensNY,1,0,Twitter Web Client,RT @WNYT: @MulhollandWNYT is in Easton where @BillOwensNY is learning more about farming robots like this automated feed pusher http://t.co…
436889739825016832,2014-02-21 15:46:45,BillOwensNY,2,4,Twitter Web Client,Fr staff: Congrats to all the women on the @USBiathlon team  for their strong finish today at #Sochi2014 .
436187350780375040,2014-02-19 17:15:43,BillOwensNY,3,0,Fireside Publishing,Owens Statement on the Army’s Notice of Intent to Award ReEnergy with Biomass Contract http://t.co/w2KqQP1PW6
435778490345201664,2014-02-18 14:11:03,BillOwensNY,343,0,Twitter Web Client,RT @a_weibrecht: This didn't happen by mistake and by that I mean thank you to everyone who supported me. #Beleiveinus http://t.co/WZcx8kqb…
435142307349032960,2014-02-16 20:03:05,BillOwensNY,3,2,Twitter Lite,"""Congrats to @a_weibrecht on your medal. Great to see years of hard work and sacrifice pay off for you at #Sochi2014."" -Bill Owens"
434427855393390592,2014-02-14 20:44:06,BillOwensNY,2,0,Twitter Web Client,Owens announces $7.1m in funding for Hi-Lite Airfield Services More: http://t.co/FSvrpIyoq6
434415024636170240,2014-02-14 19:53:07,BillOwensNY,11,0,Twitter Web Client,RT @NYGovCuomo: Thanks @RepJeffries @YvetteClarke @NydiaVelazquez @repjoecrowley @BillOwensNY @RepPeteKing for your support in obtaining th…
434414085761818624,2014-02-14 19:49:23,BillOwensNY,2,0,Twitter Web Client,Check out Rep. Owens' Letter to the Editor about the #FarmBill in today's @WDTnews http://t.co/1gcoWToOfq
434064614112780289,2014-02-13 20:40:43,BillOwensNY,2,0,Twitter Web Client,"Owens, Douglas applaud Canadian budget proposal. http://t.co/qD8V9psSGL"
432897671070617600,2014-02-10 15:23:42,BillOwensNY,1,0,Twitter Web Client,"Owens on co-sponsoring HR 4019: “Small businesses create good-paying jobs that sustain local economies,” http://t.co/qz2JRtgpJF"
431812458341498880,2014-02-07 15:31:27,BillOwensNY,1,0,Twitter Web Client,RT @ncpr: Small ADK villages have produced 3 of the 10 athletes on the US biathlon team; their event begins tmrw. http://t.co/CwXG06sHJN #n…
431793534531031040,2014-02-07 14:16:15,BillOwensNY,21,0,Twitter Web Client,"RT @60minSports: Every Winter #Olympic team has had a member from little Lake Placid, NY."
431791967459352576,2014-02-07 14:10:02,BillOwensNY,7,0,Twitter Web Client,RT @NationalGuardNY: Four New York Army National Guard Soldiers Will be Part of U.S. Olympic Team at Winter Games: Four New York Ar... http…
431426137147711488,2014-02-06 13:56:21,BillOwensNY,1,0,Twitter Web Client,"Owens secured nearly $3 million for constituents in 2013, sent 47,424 pieces of correspondence in response to public http://t.co/LK2WvM5aSk"
431425783001645056,2014-02-06 13:54:56,BillOwensNY,1,0,Twitter Web Client,"Owens: “I'm proud of what my staff and I accomplished in 2013. Contact my office if you think we can help.” 
http://t.co/LK2WvM5aSk"
430805390729551872,2014-02-04 20:49:43,BillOwensNY,3,0,Twitter Web Client,Owens announces nearly $1 Million in Rural Infrastructure Grants http://t.co/eLG1lulo91
430769630639296513,2014-02-04 18:27:38,BillOwensNY,2,0,Twitter Web Client,"RT @nyspolice: Troop D - On January 17th, Congressman Bill Owens recognized the residents of Adams, the local fire and public... http://t.c…"
429353641024049152,2014-01-31 20:40:59,BillOwensNY,0,2,Twitter Web Client,"Praising @barackobama's remarks in WI, Owens pledges to work w/ the @WhiteHouse and Congress to close the #skillsgap. http://t.co/Xf0yL5RSI2"
428966967966728192,2014-01-30 19:04:29,BillOwensNY,1,0,Twitter Web Client,RT @CGCanBoston: Plus de huit millions d’emplois aux États-Unis dépendent du commerce et investissement avec le #Canada http://t.co/sdoyWno…
