id,created_at,coordinates,retweets,favorite_count,source,text
820107928833245184,2017-01-14 03:19:01,,2,6,Twitter Web Client,At 8pm PST I'll be on @FoxNews' the @oreillyfactor w/ @ericbolling discussing #Trump's attacks on the intelligence community and more.
819962708137246720,2017-01-13 17:41:58,,7,14,Twitter Web Client,".@MichaelCohen212 flown to most any European country, get his passport stamped there &amp; go on to Prague without Czech Republic stamp. #Trump"
819962329035116544,2017-01-13 17:40:28,,16,37,Twitter Web Client,"#Trump's attorney, @MichaelCohen212, says he wasn't in Prague in August. Publishes the front of his passport. Let's see the inside."
819960166426832898,2017-01-13 17:31:52,,49,79,Twitter Web Client,Just sent a letter to @LorettaLynch requesting the appt. of a Special Counsel on #Russian interference. Letter here: https://t.co/yqPmIPczL7
819958042296979460,2017-01-13 17:23:26,,4,6,Twitter Web Client,"Congress just received classified briefing I requested on Dec 19 &amp; again on Jan 10 (https://t.co/QBPAP2uv0x). Thanks, @POTUS, but too short."
819606557621186561,2017-01-12 18:06:45,,1,4,Twitter Web Client,Welcome to the @Chargers #NFL
819184635922042880,2017-01-11 14:10:11,,15,0,Twitter Web Client,RT @abc7elex: .@BradSherman calls for a classified Congressional briefing on allegations #Russia compromised @realDonaldTrump: https://t.co…
818977847230468096,2017-01-11 00:28:29,,49,81,Twitter Web Client,Urged @POTUS to brief House on #Russia #hacking &amp; policy impact of compromising info. on PEOTUS #Trump. Letter here: https://t.co/QBPAP2uv0x
818905753113264129,2017-01-10 19:42:00,,2,0,Twitter for iPhone,RT @cspanwj: ICYMI: Rep. @BradSherman (D-CA) discussed #Democrats &amp; the 115th #Congress https://t.co/T1hqbqpbDZ https://t.co/s0mKyVcGgI
818822610381393922,2017-01-10 14:11:37,,2,0,Twitter for iPhone,"RT @cspanwj: Rep. @BradSherman (D-CA) discusses issues facing the new #Congress, including Pres.-Elect @realDonaldTrump &amp; his major policy…"
818816951623581696,2017-01-10 13:49:08,,2,3,Twitter for iPhone,"At 6:00AM PST I'll be on @cspanwj discussing #Russia #hacking, #Israel, Senate confirmation hearings and more with @cspanMcArdle"
818563621521420288,2017-01-09 21:02:30,,10,16,Twitter for iPhone,.@CFPB has returned nearly $12 billion to consumers conned by financial industry. #DefendCFPB #ProtectConsumers
818502790079246337,2017-01-09 17:00:46,,4,7,Twitter Web Client,On @CNN I discussed the latest on #Russian #hacking &amp; @realDonaldTrump’s mocking of a disabled reporter. Watch here: https://t.co/ImWE9ihEFk
