id,created_at,coordinates,retweets,favorite_count,source,text
754044507159662594,2016-07-15 20:06:34,,9,17,Twitter for iPhone,"Good governance = good government. Thank you @TheIIA for 75 years of promoting effective, efficient governance. #IIA75"
750375033336365056,2016-07-05 17:05:23,,1,0,Twitter Web Client,"RT @ChamberOdessa: Join us on Thursday, July 7th for the Chickn 4 U grand opening ceremony! https://t.co/vmUaorJOrr"
743083121046921216,2016-06-15 14:09:56,,3,2,Twitter Web Client,Watch live as @HASCRepublicans receive an update from @DeptofDefense on 2017 audit goal --&gt; https://t.co/mfhckggXXa
742104289280155648,2016-06-12 21:20:24,,10,19,Twitter for iPhone,"Happy 92nd birthday to a truly great American, @GeorgeHWBush https://t.co/53qfRnxsEm"
740177549754531840,2016-06-07 13:44:14,,8,10,Twitter Web Client,There is a #BetterWay to fight poverty in America. Watch live here: https://t.co/tp7tpNrF4t
723599654533910528,2016-04-22 19:49:36,,6,0,Twitter Web Client,"RT @FPFNews: ""We’re proud to represent farmers &amp;ranchers every day in our nation’s capital” @SenPatRoberts @ConawayTX11 https://t.co/5k8AC1…"
723597277965737984,2016-04-22 19:40:09,,0,2,Twitter Web Client,"Today, as global threats to our safety increase so too must our number of carriers https://t.co/TId7UnGQGZ"
720603934436536320,2016-04-14 13:25:40,,3,0,Twitter Web Client,"RT @TXFBJustin: It was an honor to meet you today, @ConawayTX11. Thanks for your time! https://t.co/xTpJyzXYRo"
720240179781378049,2016-04-13 13:20:14,,2,3,Twitter Web Client,.@HouseAgNews is dedicated to serving all of #ruralAmerica. Energy production directly impacts our nation’s #farmers and #ranchers.
720239817083060224,2016-04-13 13:18:48,,6,0,Twitter Web Client,RT @HouseAgNews: TUNE IN @ 10 am ET to see #HouseAg's hrg on energy &amp; the rural economy https://t.co/wAF4DjRcIt https://t.co/LABD9BntKo
715636926863249408,2016-03-31 20:28:33,,11,12,Twitter Web Client,The aircraft carrier is still a cornerstone of U.S. Naval strategy- critical to nat'l security now &amp; in the future https://t.co/yZz0JZrnCC
656603725029593088,2015-10-20 22:51:41,,3,5,Twitter Web Client,"NDAA: Signed, sealed, delivered to the President's desk. Now it's his turn to #SignTheBill #NoVeto"
656598182944743424,2015-10-20 22:29:40,,3,5,Twitter Web Client,"Tonight, the Speaker signed the the National Defense Authorization Act to protect our troops and country #SignTheBill #NoVeto"
653994325521600512,2015-10-13 18:02:52,,4,0,Twitter Web Client,RT @agripulse: Chairman Conaway updates Lamesa Cotton Growers at USDA's #cotton Classing Office  @houseag http://t.co/bMrS8wO1ea
653267308702371841,2015-10-11 17:53:58,,6,9,Twitter Web Client,"Cool things are happening in #Midland, like this #OrbitalOutfitters spaceport facility http://t.co/lMYZAHLBgf http://t.co/ve00dcwLtN"
653010536091811840,2015-10-11 00:53:38,,1,2,Twitter Web Client,"In this week's #ConawayChronicle: Delivering the weekly #GOP Address, House votes to #LiftTheBan, and more: http://t.co/GSUQbkoFyo"
652828439184076801,2015-10-10 12:50:03,,3,3,Twitter Web Client,"The weekly #Republican address, on a topic that is very important to #TX11: America's energy future. Watch it here: http://t.co/5cshG7XZ2y"
652610089824686081,2015-10-09 22:22:24,,1,1,Twitter Web Client,Looking forward to delivering the weekly #Republican address on the need to #LiftTheBan http://t.co/UauZEnxS3H
652535308941172738,2015-10-09 17:25:15,,4,5,Twitter Web Client,Bill to lift the oil export ban passes the House with resounding majority clearly signaling that it's time to #LiftTheBan
652232501415575552,2015-10-08 21:22:00,,2,4,Twitter Web Client,RIGHT NOW: I am leading a discussion on the @HouseFloor on the importance of lifting the oil export ban. Watch live: http://t.co/XxL2gUh1u3
649233575359971328,2015-09-30 14:45:21,,3,2,Twitter Web Client,Happy to support my friend and fellow Texan @PeteSessions for Majority Whip
583773418115342336,2015-04-02 23:30:03,,7,9,Twitter Ads,Always happy to see 11th district athletes succeed. Send Davene #Carter of @tarletonstate to the #CollegeSLAM Championship!
582623704322031618,2015-03-30 19:21:30,,62,0,Twitter Web Client,RT @GOPLeader: Met with Ukrainian President @poroshenko and expressed continued support for the people of #Ukraine. http://t.co/MP5wSO87we
580408048797237248,2015-03-24 16:37:16,,5,5,Twitter Web Client,"Kelsey, one of my interns in Midland, has a truly incredible story. Watch @Big2News's interview with her here: http://t.co/AmJfIrOkQo"
571010758965903361,2015-02-26 18:15:48,,7,0,Twitter Web Client,RT @HouseAgNews: Tune in LIVE at 1pm ET and watch Nutrition SubCmt Chair @RepWalorski lead the review of #SNAP http://t.co/SwN2UhHaAg http:…
568040613356003328,2015-02-18 13:33:30,,5,4,iOS,Talking to Craig Anderson on KWEL this morning. Turn on your radio to listen live! http://t.co/cNtGzJ3g6D
567781883119824896,2015-02-17 20:25:24,,9,9,Twitter for iPhone,"Stopped by @newswest9 this afternoon to talk about immigration, obamacare, and the fight against ISIL http://t.co/vYQH1RWNxr"
566219480884609024,2015-02-13 12:56:58,,12,0,Twitter for iPhone,RT @cspanwj: Rep. Mike @ConawayTX11 (R) talks with us about Pres. Obama's #AUMF proposal to fight #ISIS. http://t.co/pVJ3wBltGm
566217098654146561,2015-02-13 12:47:30,,5,3,Twitter for iPhone,"I'll be on @cspan in just a few min to talk about U.S. relations with Russia, Ukraine, &amp; the fight against ISIL. Tune in to watch live!"
565533948680613888,2015-02-11 15:32:55,,6,1,Twitter Web Client,TUNE IN NOW: @DeptAgNews Secretary Vilsack testifying before @HouseAgNews http://t.co/Fqj073vpuS
