id,created_at,coordinates,retweets,favorite_count,source,text
819985615148249088,2017-01-13 19:12:59,,7,4,Twitter Web Client,Still waiting for PEOTUS' @USDA announcement... rural America deserves better. https://t.co/YOfXud509i
819980638791106560,2017-01-13 18:53:13,,1,5,Twitter Web Client,Another great announcement from @MidAm_EnergyCo re: building 2 new wind farms in Iowa! #WindWorks https://t.co/2Z0MctmyzO
819564610718171138,2017-01-12 15:20:04,,7,1,Twitter Web Client,Spoke at @USTradeRep re: WTO complaint on China’s aluminum subsidies. IA employees like those at @Alcoa can outcomp… https://t.co/Fitldpqwgx
818918290324094976,2017-01-10 20:31:49,,1,4,Twitter Web Client,Joined @plain_language to announce 2016 Plain Language Report Card. Congrats to @CFPB @HHSGov @USDOL on getting A+! https://t.co/lknwUFpYVj
817146092727009280,2017-01-05 23:09:45,,0,3,Twitter Web Client,@SpeakerRyan just announced plans to “defund” Planned Parenthood in budget that repeals the #ACA #IStandWithPP https://t.co/KGpW0QGGyw
816748105135689728,2017-01-04 20:48:17,,2,19,Twitter Web Client,Standing with @PeterWelch &amp; 60 others calling on PEOTUS to comply w Constitution by severing relationships w private businesses
816743530920103936,2017-01-04 20:30:06,,1,3,Twitter Web Client,Great meeting with folks from @RiverAction to discuss the report that came from the 2016 Upper Mississippi River Co… https://t.co/GGhtho4Ymj
816294017105358849,2017-01-03 14:43:54,,14,33,Twitter Web Client,1st day of new Cong &amp; @HouseGOP has already forgotten who they work for- the American people. Shameful to gut @CongressEthics in secret vote
815349291938095104,2017-01-01 00:09:54,,2,13,Twitter for iPhone,Here's to a safe #NewYearsEve and a healthy and happy 2017!
814947253404241920,2016-12-30 21:32:20,,8,18,Twitter for iPhone,It's time to undo the Medicaid mess in Iowa. Providers aren't getting paid and patients aren't getting care. https://t.co/DmMNTyIiFm
814172914379608065,2016-12-28 18:15:24,,8,9,Twitter Web Client,#OTD: #Iowa became the 29th state admitted to the union! Check out @LibraryCongress Iowa map collection https://t.co/VuXEdH1ZIR #Happy170th
813080411488260096,2016-12-25 17:54:11,,11,18,Twitter for iPhone,"On the final day of #IAChristmas, let’s celebrate that Iowa has the nation’s highest high school graduation rate #7DaysofIA #merrychristmas"
812765254258139137,2016-12-24 21:01:51,,4,6,Twitter for iPhone,"On the 2nd day of #IAChristmas, let’s celebrate that Iowa is ranked 2nd nationally in agricultural exports #7DaysofIA"
812362781873893377,2016-12-23 18:22:34,,9,28,Twitter for iPhone,"On the 3rd day of #IAChristmas, let’s celebrate Iowa becoming the third state in the U.S. to recognize marriage equality #7DaysofIA"
811990371454582784,2016-12-22 17:42:45,,0,3,Twitter for iPhone,"On the 4th day of #IAChristmas, let’s celebrate that @IowaHoops and @IowaWBB have reached the Final Four, a total of 4 times #7DaysofIA"
811697384145256448,2016-12-21 22:18:31,,5,5,Fireside Publishing,Loebsack Calls on CMS to Rescind Iowa’s Medicaid Waiver https://t.co/YDQAaZ5LcC
811665070107295744,2016-12-21 20:10:07,,2,8,Twitter for iPhone,"On the 5th day of #IAChristmas, let’s celebrate Iowa's 5 Nobel Prize winners: Borlaug, Cech, Heeger, Mott &amp; Prusiner #7DaysofIA"
811274526378098688,2016-12-20 18:18:14,,1,8,Twitter for iPhone,"On the 6th day of #IAChristmas, let’s celebrate that Iowa was recently ranked the 6th best state in the nation to retire #7DaysofIA"
810921814021074944,2016-12-19 18:56:41,,3,14,Twitter Web Client,"On the 7th day of #IAChristmas, let’s celebrate that Iowa farms grow about 7 percent of the nation’s food supply #7DaysofIA"
810921192043511809,2016-12-19 18:54:13,,2,3,Twitter Web Client,"With less than a week until Christmas, let's countdown some facts about Iowa that make it the greatest state. Follow #IAChristmas #7DaysofIA"
809819256489644033,2016-12-16 17:55:31,,9,15,Twitter for iPhone,"The lack of transition news at @USDA is concerning. If it's last on PEOTUS' agenda, how can rural IA expect anything but a deaf ear in DC?"
808802928450555905,2016-12-13 22:36:59,,18,37,Twitter for iPhone,Very troubled by PEOTUS' choice for Sec of Energy and State. 2 more oil men who don't accept climate change as fact
