id,created_at,coordinates,retweets,favorite_count,source,text
820008718704279552,2017-01-13 20:44:48,,45,237,TweetDeck,So grateful for the amazing work @FLOTUS has done to encourage students to pursue higher education. #BetterMakeRoom… https://t.co/fYuPBICkbJ
819686272281309184,2017-01-12 23:23:31,,389,2645,Twitter for iPhone,"Congratulations to my friend, @VP, on receiving the Presidential Medal of Freedom. Our nation is forever grateful f… https://t.co/P5UFfw2Jjr"
818530536759193600,2017-01-09 18:51:02,,79,223,TweetDeck,Heartbroken by the loss of two Florida law enforcement officers on Nat. Law Enforcement Officer Appreciation Day. https://t.co/RQunYoQP6i
818518454059704321,2017-01-09 18:03:01,,267,851,TweetDeck,"NJ just became a safer place to live thanks to a responsible, bipartisan law that makes it harder for domestic abus… https://t.co/K9EH71Ws6P"
818517373477130242,2017-01-09 17:58:43,,123,0,TweetDeck,RT @resp_solutions: New Jersey just passed a bill into law that will make women &amp; families safer from gun violence! https://t.co/HjLX5arAbv
818106795029921792,2017-01-08 14:47:14,,265,910,TweetDeck,"I pledge to do my best, each &amp; every day, to honor the memories of those who were taken in the Tucson shooting by m… https://t.co/mxr6gFl0vs"
818106658857648130,2017-01-08 14:46:41,,258,949,TweetDeck,I wake up each and every day grateful and determined to make the most of my second chance at life and service. https://t.co/jiykcg6Czi
818106559180013568,2017-01-08 14:46:18,,118,357,TweetDeck,"No family or community should ever have to endure another senseless tragedy like the one that took place on January 8, 2011."
818106443660402691,2017-01-08 14:45:50,,87,248,TweetDeck,"While I still cannot make sense of this tragedy, I can only hope that something positive can come from all of this. https://t.co/xSYZAj3iJn"
818106341793349632,2017-01-08 14:45:26,,46,109,TweetDeck,"After the tragedy in Tucson, our city united as one. People came together to cry, to mourn &amp; to heal. Today, our city is stronger than ever."
818105895519457280,2017-01-08 14:43:39,,352,769,TweetDeck,"On January 8, 2011, innocent lives were taken and countless others will never be the same. https://t.co/xSYZAj3iJn"
817498584685875200,2017-01-06 22:30:25,,173,577,TweetDeck,We cannot let this horror become normal. Our country is better than this.
817498354326310912,2017-01-06 22:29:30,,53,216,TweetDeck,".@ShuttleCDRKelly &amp; I mourn for those taken today, and pray for those who were injured."
817497987567984643,2017-01-06 22:28:03,,544,1383,TweetDeck,Today’s tragic shooting at FLL airport is another painful reminder of our nation’s gun violence crisis.
817473532712120320,2017-01-06 20:50:52,,116,433,TweetDeck,Saddened by today's shooting in Ft. Lauderdale. @ShuttleCDRKelly &amp; I are thinking &amp; praying for those impacted by this terrible tragedy.
816728413390204928,2017-01-04 19:30:02,,92,639,TweetDeck,Excited to be back on Capitol Hill today to meet w/lawmakers &amp; discuss how we can reduce gun violence &amp; make our communities safer in 2017.
816726728060108804,2017-01-04 19:23:20,,10,66,TweetDeck,".@repesty, thanks for leading the fight to protect the rights of law-abiding gun owners &amp; make our communities safer places to live."
816439322949910529,2017-01-04 00:21:17,,152,890,Twitter for iPhone,"Thank you, @SpeakerRyan. I'm ready to work across the aisle w/ you to protect our 2nd Amdt rights &amp; make our nation… https://t.co/KSkWo7cV0k"
816392748404187136,2017-01-03 21:16:13,,108,1074,TweetDeck,Excited to be back on Capitol Hill to welcome the 115th Congress. Hard to believe it’s been 10 years since I was fi… https://t.co/eHz7SZA7tN
815588397259444224,2017-01-01 16:00:01,,91,1208,TweetDeck,Wishing you all a healthy and happy new year! https://t.co/igxAFA9E1z
813084213087969281,2016-12-25 18:09:17,,66,0,Twitter for iPhone,RT @ShuttleCDRKelly: .@GabbyGiffords &amp; I wish all those celebrating a very merry Christmas!
812783494195712002,2016-12-24 22:14:20,,60,431,Twitter for iPhone,Wishing a very happy #Hanukkah to everyone celebrating tonight!
810222568477196288,2016-12-17 20:38:08,,181,0,TweetDeck,"RT @ShuttleCDRKelly: As we stand on the precipice of a new era of exploration, it’s only possible because of pioneers like John Glenn. http…"
810202356734304256,2016-12-17 19:17:49,,680,0,TweetDeck,RT @ShuttleCDRKelly: The word ‘hero’ gets thrown around a lot. But John Glenn defined it. https://t.co/85t9wfyZLe
809066143956799488,2016-12-14 16:02:55,,172,373,TweetDeck,We meet the reminder of their loss with a promise to stand together. And we honor their spirit by committing to mak… https://t.co/r750fcA7sX
809065984183177217,2016-12-14 16:02:17,,48,177,TweetDeck,"We carry the pain of the Newtown families with us, especially on those long, hard days when new joy can’t find its way."
809065533140307968,2016-12-14 16:00:29,,427,995,TweetDeck,"4 yrs ago, America's heart broke when 20 kids &amp; 6 educators were murdered at Sandy Hook. My heart is with the Newtown community today."
807814598581686272,2016-12-11 05:09:43,,28,0,Twitter for iPhone,RT @SavannahGuthrie: Thank you so much Gabby! #Tucsongirls https://t.co/K3sLUs2Uzf
