id,created_at,user,retweets,favorite_count,source,text
609012711029133312,2015-06-11 15:01:59,HowardCoble,67,0,Twitter Web Client,"RT @SenThomTillis: Who wore it better?! RT for @SenThomTillis, Favorite for @SenatorBurr.  #GreatMindsThinkAlike http://t.co/uzCZEY8ZwY"
540563794666483712,2014-12-04 17:50:26,HowardCoble,4,3,Twitter Web Client,"Coble to host Open House in High Point today
  http://t.co/0FZmBrKylU"
533072479988633600,2014-11-14 01:42:37,HowardCoble,3,3,Google,Add a message to your video http://t.co/umC8jyKcAB
530780488479547392,2014-11-07 17:55:04,HowardCoble,0,2,Twitter Web Client,My district schedule http://t.co/kOicY69qrc
530054153654239232,2014-11-05 17:48:52,HowardCoble,1,2,Twitter Web Client,My district schedule http://t.co/c6MtAQ9ppZ
530052966267781120,2014-11-05 17:44:09,HowardCoble,1,4,Twitter Web Client,Coble announces first of last Open Houses http://t.co/jylRPeSlMU
529390765865054208,2014-11-03 21:52:48,HowardCoble,0,2,Twitter Web Client,My district schedule http://t.co/c9jEU2AoSR
527446617432268800,2014-10-29 13:07:27,HowardCoble,0,1,Twitter Web Client,My district schedule http://t.co/jAHNyGKiLw
523113945943785472,2014-10-17 14:10:58,HowardCoble,2,1,Twitter Web Client,My district schedule http://t.co/SGQL1P5vp6
520654501897048065,2014-10-10 19:18:01,HowardCoble,0,2,Twitter Web Client,My district schedule http://t.co/HH6iHx0d7o
520618397609259008,2014-10-10 16:54:33,HowardCoble,2,1,Twitter Web Client,Congressman Howard Coble honored with Award for Manufacturing Legislative Excellence http://t.co/QzEiHZQWlc
519486127116681217,2014-10-07 13:55:18,HowardCoble,1,2,Twitter Web Client,My district schedule http://t.co/W2p0vrMD3q
517672390579732480,2014-10-02 13:48:10,HowardCoble,1,2,Twitter Web Client,My district schedule http://t.co/lHZLglDoeg
515252397065908224,2014-09-25 21:31:59,HowardCoble,1,2,Twitter Web Client,My updated district schedule http://t.co/CJDy0Eg1oi
514505904658477056,2014-09-23 20:05:41,HowardCoble,0,1,Twitter Web Client,My updated district schedule http://t.co/xCvFb6secS
514159377931329536,2014-09-22 21:08:42,HowardCoble,2,1,Twitter Web Client,My district schedule http://t.co/0kqmIGAVDg
512626511887990785,2014-09-18 15:37:39,HowardCoble,1,1,Twitter Web Client,"Today I was honored with a plaque by Kevin Leonard, Deputy Director of the NC Association of County Commissioners. http://t.co/rjpSUIG8ts"
512255396112003072,2014-09-17 15:02:58,HowardCoble,0,1,Twitter Web Client,U.S. Rep. Howard Coble Honored as Guardian of Small Business by NFIB http://t.co/N6TKPqJL72
