id,created_at,coordinates,retweets,favorite_count,source,text
629408904385048577,2015-08-06 21:49:11,,0,1,Facebook,http://t.co/vKG4MkyPia http://t.co/g7ca8PLUMn
629404911550107652,2015-08-06 21:33:19,,0,0,Facebook,http://t.co/vKG4MkhdTA http://t.co/EBnAxfZ7Ym
629404072907386880,2015-08-06 21:29:59,,0,0,Facebook,http://t.co/vKG4MkhdTA http://t.co/l8oKFmvEqu
481548414761435136,2014-06-24 21:24:23,,0,0,Facebook,http://t.co/IB9Y7sy1Lh
481548362152300544,2014-06-24 21:24:10,,0,1,Facebook,Please share this post to get the word out. http://t.co/y9QQ4asi5e
474971894035124224,2014-06-06 17:51:38,,0,0,Facebook,The memorial website for Congressman Jim Oberstar is up.  You can go there to see photos and videos and share... http://t.co/bXJwqLwY6F
462626613130448896,2014-05-03 16:15:54,,17,2,Facebook,Our condolences are with Congressman Oberstar's family in this trying time. http://t.co/W4Egq3E3ko http://t.co/Njweu4pms4
272912919858147328,2012-11-26 04:01:25,,1,1,Facebook,In response to the new Facebook guidelines I hereby declare that my copyright is attached to all of my personal... http://t.co/u6Xr4iaq
20928989124104192,2010-12-31 19:47:14,,3,1,Facebook,Exit Interview: Minnesota Rep. James Oberstar on Electoral 'Waves' http://fb.me/Rwn2Pi09
15017656004386817,2010-12-15 12:17:42,,5,2,Facebook,Rep. Oberstar Says Farewell http://fb.me/B9eROIWR
10560248586706944,2010-12-03 05:05:34,,1,0,Facebook,Oberstar is headed to the Humphrey Institute | StarTribune.com http://fb.me/CK2I64b0
10554161925984256,2010-12-03 04:41:22,,3,0,Facebook,Rep. Oberstar Reflects On 36 Years Of Service : NPR http://fb.me/uCqYpFuz
10106880634388480,2010-12-01 23:04:02,,0,0,Facebook,"I posted 4 photos on Facebook in the album ""Jim's ""Exit Interview"" with C-SPAN December 1, 2010"" http://fb.me/HrTLzLcR"
9793154047807488,2010-12-01 02:17:24,,0,0,Facebook,Check out the video that goes with this story. http://fb.me/x7naCSb8
7113922180026368,2010-11-23 16:51:05,,0,0,Facebook,"In April of 1983, Congressman Jim Oberstar was in El Salvador investigating human rights abuses when he heard that... http://fb.me/OLeP5thd"
6739537246035968,2010-11-22 16:03:25,,4,0,Facebook,Follow this link to watch Jim's final news conference with Washington DC press. http://fb.me/LZWqBUr3
4928354247516160,2010-11-17 16:06:25,,0,0,Facebook,11-16 USCG event to recognize departing Chairman James L. Oberstar (D-8th/MN) http://fb.me/taNtyhVs
1727078047162369,2010-11-08 20:05:42,,4,0,Facebook,A Tribute to James Oberstar - From Transportation Experts http://fb.me/Jl2mwRp7
1679639047049216,2010-11-08 16:57:11,,4,0,Facebook,"OBERSTAR'S LEGACY
He worked for district, Minnesota http://fb.me/LUVvorXE"
1678624675602432,2010-11-08 16:53:09,,0,1,Facebook,http://fb.me/yJig1YAj
28722881920,2010-10-25 20:35:35,,2,0,Facebook,Lake County News-Chronicle -- A Banner Day for Broadband http://fb.me/KMEUhMHO
27140801670,2010-10-12 14:00:29,,0,0,Facebook,Atlanta Journal-Constitution - Oberstar voices concerns about Southwest acquisition of AirTran http://fb.me/KJEDpPP6
26392086192,2010-10-04 20:15:45,,3,0,Facebook,Washington Post -- Infrastructure: The best deal in the economy http://fb.me/K0ANfS90
26107468680,2010-10-01 19:08:51,,0,0,Facebook,"I posted 5 photos on Facebook in the album ""Drug Court"" http://fb.me/wb0eNNAb"
26017128448,2010-09-30 21:40:25,,0,0,Facebook,Oberstar speaks at MADD Rally 9-23-10 http://fb.me/Ic5ASBgN
26015220464,2010-09-30 21:12:48,,0,0,Facebook,Congressman James L Oberstar -- Coast Guard Bill Aids Minnesota Fishing Guides http://fb.me/HoVMPbE4
26015187210,2010-09-30 21:12:19,,1,0,Facebook,Congressman James L Oberstar -- DTA Awarded Grant for Downtown Hub http://fb.me/KDQpJBBW
26015131351,2010-09-30 21:11:31,,0,0,Facebook,Congressman James L Oberstar -- Recovery Act Invests $677 million in Minnesota http://fb.me/HPwKzSQd
26006848612,2010-09-30 19:08:47,,0,0,Facebook,"I posted 3 photos on Facebook in the album ""Office Visitors' Album"" http://fb.me/G1y7Sfd4"
25342871464,2010-09-23 21:15:34,,0,1,Twitter Web Client,"@Eflesch Em, you are a poet."
25342485167,2010-09-23 21:10:08,,0,0,Facebook,Oberstar Urges Senate to Act on FAA Bill http://fb.me/vCWfFeLZ
25342380563,2010-09-23 21:08:43,,0,0,Facebook,"House Passes Small Business Jobs Act

Washington, DC—Today, the U.S. House of Representatives voted to spur... http://fb.me/GkNYrpA5"
25324806852,2010-09-23 17:03:24,,6,0,Facebook,"This chart shows where our debt comes from.  I posted this in the summer, but thought  I would re-post in response... http://fb.me/y76saOWQ"
25309736077,2010-09-23 14:04:39,,0,1,Facebook,"The GOP Pledge, by the numbers http://fb.me/He1ZaZNa"
25307826624,2010-09-23 13:42:02,,0,0,Facebook,CNN//New health care changes are only the beginning http://fb.me/Iq8pHP7o
24787220703,2010-09-17 19:51:49,,0,0,Facebook,Oberstar Calls on ITC to Halt Unfair Chinese Trade Practices http://fb.me/JI1oP5gH
24679177478,2010-09-16 16:37:33,,6,1,Facebook,What Defunding Health Care Reform Really Means http://fb.me/HLhmbLYm
24024321175,2010-09-09 16:25:54,,0,0,Facebook,A new report points out how health care reform will save consumers money http://fb.me/Hwe876dP
22631836158,2010-08-31 16:40:58,,0,0,Facebook,"A needed and clear sign for nonferrous, Rep. Oberstar at PolyMet site http://fb.me/F68cnrf9"
21500866862,2010-08-18 15:58:15,,0,0,Facebook,Company gets $2.4M fine for NE Minn. oil blast - BusinessWeek http://fb.me/FbfFqeBg
20919435175,2010-08-11 21:49:26,,0,0,Facebook,"Congressman Jim Oberstar Discusses Education Funding With Teachers
http://www.youtube.com/watch?v=TDkeDgsLgGE http://fb.me/EowzoomL"
20812313324,2010-08-10 17:37:22,,1,0,Facebook,"I posted 4 photos on Facebook in the album ""Jim Meets with Small Business People and Teachers"" http://fb.me/BKiJUBLq"
20806869775,2010-08-10 16:18:34,,1,0,Facebook,Few other industries have the potential to fire the state's economic engine for decades. The Antofagasta/Duluth... http://fb.me/zFhkeErL
20229690424,2010-08-03 15:26:53,,0,0,Facebook,"Plane crash, airline reform effort immortalized in song http://fb.me/EpPVgBqQ"
19933121321,2010-07-30 19:17:53,,0,0,Facebook,"Oberstar Calls for Oil Spill Liability Legislation
http://www.youtube.com/watch?v=t0sq7vvBG8c http://fb.me/xY98zPt4"
19932731921,2010-07-30 19:11:08,,0,0,Facebook,"Airline safety bill passes Senate, ready for president http://fb.me/EP4D81kA"
19932669112,2010-07-30 19:10:05,,0,0,Facebook,Center for Responsive Politics Lauds Improved Disclosure of Transportation Earmarks http://fb.me/Emt4DxQ0
19854969372,2010-07-29 21:06:05,,0,0,Facebook,How the Great Recession Was Brought to an End The unprecedented fiscal and monetary policy response proved... http://fb.me/CCdsnIMA
19846362967,2010-07-29 18:34:45,,0,0,Twitter Web Client,@agape122 Unemployment benefits extension passed last week http://tiny.cc/k3wrd
19774971291,2010-07-28 22:26:11,,7,0,Twitter Web Client,"RT @HouseDemocrats: House passes bills to reduce trade deficit, increase US manufacturing jobs & expand clean energy exports. http://bit ..."
19771785137,2010-07-28 21:33:01,,0,0,Facebook,Oberstar Water Resources Bill Benefits Northeast Minnesota http://fb.me/ySYaDhmV
19757822151,2010-07-28 17:35:41,,1,0,Twitter Web Client,RT @HouseTransInf: View photos from yesterday's (07/27) hearing on the latest ARRA figures at http://tinyurl.com/2esqm8e
19737312107,2010-07-28 12:40:08,,0,0,Facebook,"Reminder: This is the Facebook page for Jim Oberstar's federal office, so House ethics rules prohibit campaigning... http://fb.me/wknszndn"
19689972327,2010-07-27 22:13:40,,2,0,Facebook,BP Replaces Tony Hayward with Startled Deer.  Funny. http://fb.me/ELY2DOUB
19683597292,2010-07-27 20:22:39,,0,0,Facebook,Budget Reduction Efforts by House Democrats http://fb.me/DQMvyTQe
19669593182,2010-07-27 16:31:35,,1,0,Facebook,"The DISCLOSE Act reinstates the ban on corporations giving to political candidates.  It's passed the House, but... http://fb.me/FAw3Jgzs"
19581270203,2010-07-26 15:20:40,,0,0,Facebook,"Regional air service boosted with expansion | Bemidji Pioneer | Bemidji, Minnesota http://fb.me/DQRhKXOd"
19579600505,2010-07-26 14:57:29,,4,0,Facebook,"Big Wall Street banks and investment firms have been spending $1.4 million every day to, kill reform. http://fb.me/BtEG1nve"
19367887170,2010-07-23 20:51:30,,0,0,Facebook,Jim Oberstar on the passing of cycling activist Terry McGaughey http://fb.me/E0UxWygu
19360842358,2010-07-23 18:47:04,,1,0,Facebook,Editorial Cartoon: Unemployment http://fb.me/xtShfAEV
19291943727,2010-07-22 23:22:42,,0,0,Facebook,"Congressman James L Oberstar
 -- Unemployment Benefits Extension Clears Congress.  After overcoming weeks of... http://fb.me/C8TDpALD"
19267408673,2010-07-22 16:31:49,,3,0,Facebook,Congressional Republicans Want to Privatize and Cut Social Security http://fb.me/C5E3hcI4
19103767203,2010-07-21 20:35:58,,2,0,Facebook,"Oberstar Comments on the 
need for improving bridge inspections http://fb.me/tJqd2chy"
19099240672,2010-07-21 19:17:10,,1,0,Facebook,"“The Wall Street Reform and Consumer Protection Act enacts tough, common sense reforms that protect consumers and... http://fb.me/C2nomQQP"
