id,created_at,coordinates,retweets,favorite_count,source,text
819934112798674944,2017-01-13 15:48:20,,7,0,Twitter Web Client,RT @HouseForeign: Follow our new GOP members: @RepKinzinger @JimPressOffice @RepAnnWagner @RepBrianMast @RepRooney @RepBrianFitz @Rep_Tom_G…
819916160825262083,2017-01-13 14:37:00,,0,2,Twitter Web Client,Rep. Sensenbrenner is beginning the first of many town hall meetings tomorrow in Watertown. See the full list at https://t.co/vAdloGynOd
819646185187241984,2017-01-12 20:44:13,,2,3,Twitter Web Client,Rep. Sensenbrenner Introduces the ATF Elimination Act: https://t.co/g0kdYeHAYx
819646015171133441,2017-01-12 20:43:32,,0,1,Twitter Web Client,"The @ATFHQ is a scandal-ridden, largely duplicative agency that has been branded by failure &amp; lacks a clear mission https://t.co/g0kdYeHAYx"
819642137490948096,2017-01-12 20:28:08,,1,0,Twitter Web Client,".@SenOrrinHatch @SenFeinstein Rep Sensenbrenner &amp; @RepSwalwell Introduce Bipartisan, Bicameral #RapidDNA Legislation https://t.co/VijZhkY7Dy"
818578666883981314,2017-01-09 22:02:17,,1,1,Twitter Web Client,Rep. Sensenbrenner Introduces the Working Parents Tax Relief Act to Help Working Families https://t.co/8WRbCgsxv9 https://t.co/VgNGARcG9o
818495548399517696,2017-01-09 16:32:00,,18,20,Twitter Web Client,"Thank you to the men and women in uniform, and their families, for the daily sacrifices they make to keep our commu… https://t.co/rX4YM6uF0r"
817379992896147456,2017-01-06 14:39:11,,148,0,Twitter Web Client,RT @SpeakerRyan: A big reason our economy is so far from its potential is b/c of regs coming out of D.C. This must change. https://t.co/7Wi…
817026891261575171,2017-01-05 15:16:05,,0,1,Twitter Web Client,I’m optimistic about the opportunities ahead and am eager to begin a productive legislative session https://t.co/xIvI6ungBi #BetterWay
817026463606210561,2017-01-05 15:14:23,,0,0,Twitter Web Client,"The #BetterWay agenda takes an innovative, responsive, and inclusive approach toward solving our nation's problems https://t.co/xIvI6ungBi"
