id,created_at,coordinates,retweets,favorite_count,source,text
710143195955462145,2016-03-16 16:38:26,,4,9,Twitter Web Client,A win for Arpaio is not a win for our community-We need a leader who will take action not a photo of our suffering: https://t.co/WQZCiJPWMC
709936446560464900,2016-03-16 02:56:53,,0,11,Twitter Web Client,"From the bottom of my heart, I am so grateful to everyone who voted for me today. I'll continue to fight for what we believe in! #ThankYou"
709848303001845761,2016-03-15 21:06:38,,0,3,Twitter Web Client,"@tjacksontweets Thanks for posting, its been great stumping with @billclinton - Everyone be sure to get out &amp; #VOTE  https://t.co/lVR6fiLaKB"
700511487161294849,2016-02-19 02:45:28,,15,14,Twitter Web Client,"One reason why #iamwithher, @HillaryClinton stands up for Immigration reform, Senator Sanders works to derail it. https://t.co/XX3bhgtQqB"
676878935821545474,2015-12-15 21:38:08,,4,8,Twitter Web Client,I was Honored to introduce @HillaryClinton @ #NIIC &amp; excited to work to get her elected as our next President! #Hillary2016 #ImWithHer
672149836641214464,2015-12-02 20:26:23,,1,5,Twitter Web Client,My thoughts &amp; prayers are with the #SanBernadino community #StopTheHate #PrayersforSanBernadino
671792702472765440,2015-12-01 20:47:16,,2,1,Twitter Web Client,Hope everyone's getting into the spirit &amp; participating in #GivingTuesday! We can all help in some way shape or form. #giveback
671788212646510594,2015-12-01 20:29:25,,0,1,Twitter Web Client,I applaud @RahmEmanuel for taking the first step to rebuild our city's trust. #Chicago #saferChicagoforALL
671426718469632000,2015-11-30 20:32:58,,0,2,Twitter Web Client,"Prayers are w/ CO #PlannedParenthood shooting victims, may our actions #StopGunViolence in the US &amp; may we keep fighting for #womensrights!"
671402711376650241,2015-11-30 18:57:35,,2,2,Twitter Web Client,Really appreciate you @jamalhbryant and your strong stance against @realDonaldTrump racial rhetoric against the #latino community. #stophate
664573125305245696,2015-11-11 22:39:14,,2,1,Twitter Web Client,From the bottom of my heart thank you to all our veterans! #HappyVeteransDay We appreciate your service! #Greatful
560640831716335616,2015-01-29 03:29:25,,5,4,NationBuilder,"I will be in South Carolina on Friday, Jan 30 to explain #ImmigrationAction http://t.co/KYvvZ8EtTJ"
541346462370902016,2014-12-06 21:40:29,,10,0,Twitter for iPhone,"RT @RahmEmanuel: .@LuisGutierrez: ""It is my pleasure to be here today to endorse the reelection of our mayor, Rahm Emanuel."""
527947802346024961,2014-10-30 22:18:59,,2,5,Twitter for iPhone,Proud to support @QuinnForIL today. Make your voice heard. Join me and vote early! #twill http://t.co/mEaliUSxyC
527894356460863489,2014-10-30 18:46:37,,7,0,Twitter for iPhone,RT @icirr: Congressman Gutierrez urges you to vote early! http://t.co/SPZoo7lsYq
490500323446751232,2014-07-19 14:16:04,,3,0,Twitter for iPhone,RT @MaryRoseWilcox: Thank you for coming to #Phx to support my campaign Congressman @LuisGutierrez #az07 http://t.co/rSWonwfQiW
