id,created_at,coordinates,retweets,favorite_count,source,text
819626329670909952,2017-01-12 19:25:19,,1,0,Twitter Web Client,"RT @LeoShane: .@MacTXPress opens HASC hearing on Mattis nomination by saying he doesn't like waivers but ""this is an extraordinary situatio…"
819626318212005893,2017-01-12 19:25:16,,2,0,Twitter Web Client,RT @HASCRepublicans: Opening Remarks of @MacTXPress on Markup of Mattis Exemption https://t.co/PwDstKEyBz #HASC
819626286700261376,2017-01-12 19:25:09,,3,0,Twitter Web Client,"RT @LeoShane: .@MacTXPress now blasting ""short-sightedness"" by Trump admin in not letting Mattis testify before HASC. Says Mattis deserves…"
819596929432715264,2017-01-12 17:28:30,,5,0,Twitter Web Client,RT @inglejohn1973: Thornberry: Accord on Mattis missed bipartisan chance https://t.co/mMpSc8MPUP @timesrecordnews @MacTXPress @HASCRepublic…
819582062231515136,2017-01-12 16:29:25,,1,1,Fireside Publishing,"Thornberry, House continue regulatory reform effort https://t.co/P7eo561V12"
819343975945502720,2017-01-12 00:43:21,,6,0,Twitter Web Client,RT @inglejohn1973: No settlement reached in Red River land dispute hearing https://t.co/QNjEdSf89W via @timesrecordnews @MacTXPress @JonMCo…
819307904155127809,2017-01-11 22:20:01,,5,0,Twitter Web Client,RT @RepStefanik: Honor to be selected my Chairman @MacTXPress and my @HASCRepublicans colleagues to serve as the Emerging Threats &amp; Capabil…
819307565834235904,2017-01-11 22:18:40,,4,0,Twitter Web Client,RT @RepHartzler: Grateful to be asked to serve 2nd term as #HASC O&amp;I Subcommittee Chair. Thank you @MacTXPress for the honor. https://t.co/…
819236644469506050,2017-01-11 17:36:51,,5,0,Twitter Web Client,"RT @HASCRepublicans: Chrm @MacTXPress Releases HASC SubComm Chairs https://t.co/gc3jxS8tYE  ""Confident our team has expertise &amp; commitment…"
819223968276246533,2017-01-11 16:46:29,,2,0,Twitter Web Client,RT @HASCRepublicans: UPDATE 2 - for the remainder of this week - https://t.co/FlBGA8IMQG
818932004309843968,2017-01-10 21:26:19,,2,2,Fireside Publishing,"Thornberry, Cornyn introduce bills to advance resolution of Red River land dispute https://t.co/t0en4r7S6e"
818874116279255041,2017-01-10 17:36:17,,2,0,Twitter Web Client,RT @Abel_Romero_: .@MacTXPress Welcomes New Republican Members to @HASCRepublicans https://t.co/YfFoI1vYG4
817046601063612416,2017-01-05 16:34:24,,1,1,Twitter Web Client,"Interesting note, the DPSA is highest recognition that the Sec. of the Navy may pay to a civilian not employed by the Navy. @HASCRepublicans"
817045694397775874,2017-01-05 16:30:48,,12,10,Twitter Web Client,"Yesterday, Mac was presented the Distinguished Public Service Award for his dedicated service to U.S. Sailors and M… https://t.co/a1eaAxyBXN"
816761447443300353,2017-01-04 21:41:18,,2,4,Fireside Publishing,Thornberry introduces the 'Death Tax Repeal Act' https://t.co/66AoNYseyI
816404269888839680,2017-01-03 22:02:00,,1,0,Twitter Web Client,RT @AmarilloChamber: What regulations negatively affect your business?  @MacTXPress wants to know.  Email and voice concerns to  https://t.…
816358577032036352,2017-01-03 19:00:26,,5,2,Twitter Web Client,"@SSlemmons Mac believes that OCE is in need of reform, but that was not the proper way to go about it. He voted against."
816356304675569665,2017-01-03 18:51:24,,2,5,Twitter Web Client,Mac was proud to vote in support of @SpeakerRyan and is looking forward to advancing the #ABetterWay agenda in the… https://t.co/1AVHgwkhL6
808676437649752065,2016-12-13 14:14:21,,0,2,Fireside Publishing,Lake Kemp provision passes U.S. Congress  https://t.co/2njT8mrMob
806951810501984256,2016-12-08 20:01:18,,5,0,Twitter Web Client,RT @inglejohn1973: .@MacTXPress talks more about Defense Business Board's report of $125B in waste at @DeptofDefense: https://t.co/IPoXpKT1…
806895615477051392,2016-12-08 16:18:00,,1,0,Twitter Web Client,"RT @HASCRepublicans: Chairmen @MacTXPress @SenJohnMcCain Statement on Defense Business Board Findings on Pent. Bureaucracy
https://t.co/UDQ…"
806895546120204288,2016-12-08 16:17:44,,2,0,Twitter Web Client,RT @ForeignPolicyI: Watch @MacTXPress discuss the US military's readiness crisis with @JimTalent at the 2016 #FPIForum: https://t.co/4psGcU…
806895500087754753,2016-12-08 16:17:33,,4,0,Twitter Web Client,"RT @reporterjoe: VIDEO: HASC Chair @MacTXPress on a Mattis waiver, DoD spending under Trump and big changes for DoD in the 2017 NDAA https:…"
806895467321815040,2016-12-08 16:17:25,,2,0,Twitter Web Client,"RT @RiponAdvance: .@MacTXPress, @RepBillFlores and @RepHuizenga applaud House passage of NDAA conference report https://t.co/RFBOQnh3DZ"
805827355470155776,2016-12-05 17:33:07,,1,0,Twitter Web Client,RT @csis_isp: Read @DoDBuzz's article on @MacTXPress and Leon Panetta's discussion at #GSF2016. #ReadItHere: https://t.co/jr0pkwvo6c
805827334016237569,2016-12-05 17:33:02,,11,0,Twitter Web Client,RT @wolfblitzer: Armed Services Chair Thornberry @MacTXPress leads House waiver effort  for Gen Mattis to become Defense Sec. He joins me l…
805821206490451969,2016-12-05 17:08:41,,2,5,Fireside Publishing,Thornberry's defense bill passes the House https://t.co/dn6FFM6xqD
804768634069458944,2016-12-02 19:26:08,,5,9,Twitter Web Client,"Thornberry says Trump's Pentagon pick, just 3 years out of uniform, deserves legal exception https://t.co/YWtVoMpqMy via @dallasnews"
804715376907063297,2016-12-02 15:54:31,,4,0,Twitter Web Client,RT @reporterjoe: HASC Readiness Subcommittee Chair @RobWittmans says NDAA will reverse readiness shortfalls (which @MacTXPress has been ham…
804708398914793472,2016-12-02 15:26:47,,8,0,Twitter Web Client,RT @HASCRepublicans: Committee will miss @Randy_Forbes @repjohnkline @RepJeffMiller @RepJoeHeck @RepChris @LorettaSanchez Thank you for you…
804703791769677824,2016-12-02 15:08:29,,3,0,Twitter Web Client,RT @HASCRepublicans: ON THE HOUSE FLOOR: @MacTXPress brings the #FY17NDAA Conference Report before the full House - Gives our Troops a Rais…
804685283182649344,2016-12-02 13:54:56,,2,0,Twitter Web Client,RT @patkumashiro: @HASCRepublicans @MacTXPress Thanks for adding 4K Airmen to AF end strength to improve AF readiness!
804684917133180928,2016-12-02 13:53:29,,3,0,Twitter Web Client,"RT @BreakingDefense: @1RichardWhittle Donald Trump Needs A ‘Bigger Stick,’ So Up Defense $: @MacTXPress Thornberry @CSIS #GSF2016 https://t…"
804684851010015232,2016-12-02 13:53:13,,2,0,Twitter Web Client,RT @kaybaileyhutch: @CSIS global security conference panel on Russia ! Great conversation with @MacTXPress &amp; @leonpanetta @CNBC https://t.c…
804684817682075648,2016-12-02 13:53:05,,4,0,Twitter Web Client,RT @Abel_Romero_: .@MacTXPress on nomination of General Mattis as #SecDef https://t.co/Tlti7XhRQg
804396629432344576,2016-12-01 18:47:56,,2,1,Fireside Publishing,Thornberry votes for sweeping health reform and research bill https://t.co/wVPW8UEzcT
804042123347718145,2016-11-30 19:19:15,,6,0,Twitter Web Client,RT @HASCRepublicans: Chairman @MacTXPress has filed #FY17NDAA Conference Report - https://t.co/XRBF05dfSv
803966209599410177,2016-11-30 14:17:35,,5,0,Twitter Web Client,"RT @jacqklimas: .@MacTXPress calls it ""disappointing"" that extra acquisition was stripped out of #FY17NDAA, but hopes supplemental in 2017…"
803966051914547200,2016-11-30 14:16:58,,2,0,Twitter Web Client,RT @kristina_wong: .@MacTXPress: My hope is that the new administration will come 2 us w/a supplemental request as soon as they get their f…
