id,created_at,coordinates,retweets,favorite_count,source,text
820315724224851968,2017-01-14 17:04:44,,16,58,Twitter for iPhone,My friend @repjohnlewis is an American hero. A champion for justice and reconciliation.  @realDonaldTrump could learn smth from his example
819668495680045056,2017-01-12 22:12:52,,23,0,TweetDeck,RT @HRC: Thanks @maziehirono for questions on discrimination at the #MattisHearing. Being #LGBTQ has nothing to do w/ one's ability to serv…
819611583534002176,2017-01-12 18:26:43,,177,0,Twitter for iPhone,RT @CNNPolitics: Democratic Sen. Mazie Hirono: “I will vote against the nomination of Jeff Sessions to serve as our attorney general” https…
819607783372886017,2017-01-12 18:11:37,,31,97,Twitter for iPhone,"For these reasons, I will vote against the nomination of Jeff Sessions to serve as Attorney General"
819607690662002689,2017-01-12 18:11:15,,19,34,Twitter for iPhone,I’ve heard from hundreds of my constituents &amp; a number of prominent civil rights organizations concerned about @SenatorSessions' nomination
819607488832147456,2017-01-12 18:10:27,,29,37,Twitter for iPhone,I pressed @SenatorSessions for a commitment to defend Roe v. Wade in federal court. He again refused.
819607291204894720,2017-01-12 18:09:40,,29,35,Twitter for iPhone,I asked @SenatorSessions if he would honor consent decrees that address police misconduct &amp; enhance accountability. He dodged the question
819606946126905344,2017-01-12 18:08:18,,40,75,Twitter for iPhone,"During his confirmation hearing, I pressed @SenatorSessions for a commitment to vigorously protect every citizen’s right to vote. He refused"
819595518380834817,2017-01-12 17:22:53,,5,15,TweetDeck,Live @ 12:45 pm EST: I'll be making an important announcement on Jeff Sessions' nomination https://t.co/wfeCEjW620
819584683482742785,2017-01-12 16:39:50,,2,11,TweetDeck,U.S. commitment to Indo-Asia-Pacific is more critical than ever. Got General Mattis on the record upholding it. #MattisHearing
819567223958290432,2017-01-12 15:30:27,,109,254,Twitter Web Client,"Last night, @SenateGOP voted to deprive 30 mil people of health care. One behalf of the 200k HI seniors who depend… https://t.co/U0Eb7IZEDX"
818975299006320641,2017-01-11 00:18:21,,77,188,TweetDeck,"Unlike @SenatorSessions, my memory when it comes to women being discriminated against is crystal clear #SessionsHearing"
818953871708028928,2017-01-10 22:53:13,,68,175,TweetDeck,Japanese American intenrment during WWII should never happen again. Will fight @realDonaldTrump if he tries to do this to Muslim Americans
818927638924394496,2017-01-10 21:08:58,,48,86,Twitter Web Client,Still waiting for Senator Sessions to address these concerns. Round 2 coming up #SessionsHearing https://t.co/Lp81Nz3bH5
818916839187214336,2017-01-10 20:26:03,,90,0,TweetDeck,"RT @CNN: Sen. Jeff Sessions: If an individual's religious views encompass ""extremism,"" he or she deserves more scrutiny https://t.co/brKTrb…"
