id,created_at,user,retweets,favorite_count,source,text
832095226269487104,2017-02-16 05:12:16,MicheleBachmann,378,507,Twitter for iPhone,"Illegal immigration costs the states $100 billion. 
https://t.co/dM9oGfVRvx"
821386751717543937,2017-01-17 16:00:36,MicheleBachmann,55,0,Twitter for iPhone,"RT @MarkSteynOnline: Tribulations, But No Trials https://t.co/vzhKhmufwD #TheMarkSteynShow @DouglasKMurray @manningcentre https://t.co/28zz…"
818237213884514304,2017-01-08 23:25:28,MicheleBachmann,411,493,Twitter for iPhone,"Obama wants to reward these people with a state?  While forcibly removing peaceful Jews from the old city?! Madness.
https://t.co/TnG6g4udhZ"
817973037052162048,2017-01-08 05:55:43,MicheleBachmann,128,149,Twitter for iPhone,"Assassination attempt on US official in Mexico?  All on Obama's watch. 
https://t.co/hPSP2QU1Jx"
809386649251553280,2016-12-15 13:16:29,MicheleBachmann,341,226,Twitter for iPhone,"Innocent Americans are suffering at the hands of some recent Somali migrants. 
https://t.co/f70yKMQp0Y"
808528965249990657,2016-12-13 04:28:21,MicheleBachmann,389,667,Twitter for iPhone,"Trump moving the US embassy to Jerusalem is fabulous!
https://t.co/SHIZ3aqigZ"
804429400590655488,2016-12-01 20:58:09,MicheleBachmann,390,321,Twitter for iPhone,"Obama was busy importing his party's future voters, at taxpayer expense. 
https://t.co/m8bzmFTpay"
804287354546561024,2016-12-01 11:33:42,MicheleBachmann,243,182,Twitter for iPhone,"An example of mass illegal migration hurting the elderly, infirm, and disabled. 
https://t.co/rc0iCKLy68"
800051594826018817,2016-11-19 19:02:19,MicheleBachmann,4037,0,Twitter for iPhone,"RT @charlescwcooke: For the record, Alexander Hamilton was an immigration hawk who endorsed the Alien and Sedition Acts and wanted to depor…"
799993205177524224,2016-11-19 15:10:17,MicheleBachmann,346,757,Twitter for iPhone,"I wish the Hamilton cast had understood Hamilton more. VP-elect Pence deserves an apology. 
https://t.co/ePjTjRGqRV"
799417129405730817,2016-11-18 01:01:10,MicheleBachmann,176,304,Twitter for iPhone,https://t.co/6PStNHmHRc
799118390313029632,2016-11-17 05:14:05,MicheleBachmann,193,0,Twitter for iPhone,"RT @HooverInst: ""Underlying most arguments against the free market is a lack of belief in freedom itself."" -Milton Friedman https://t.co/0u…"
797230628819320832,2016-11-12 00:12:48,MicheleBachmann,238,385,Twitter for iPhone,"Another one-trick pony Clinton for sale to the highest bidder.  By contrast-no one owns Trump!
https://t.co/sDtBq1y8an"
796969190125084672,2016-11-11 06:53:56,MicheleBachmann,36,62,Twitter for iPhone,"Peggy Noonan thinks the establishment should be invited in to show Trump how to govern. 
https://t.co/l8saDJ54TI"
796772892981809153,2016-11-10 17:53:55,MicheleBachmann,252,557,Twitter for iPhone,Best day ever. https://t.co/EL4CgF4ocB
796559969445441536,2016-11-10 03:47:50,MicheleBachmann,171,437,Twitter for iPhone,"Keep your promise. 
https://t.co/aJUH2GZ5k9"
796477394731274240,2016-11-09 22:19:43,MicheleBachmann,147,371,Twitter for iPhone,"US Israeli elections just took a turn for the better. 
https://t.co/rMZJYBWRgS"
796094387021291520,2016-11-08 20:57:47,MicheleBachmann,356,352,Twitter for iPhone,"Polling machines switch Trump vote to Clinton before voters eyes. Why are all the fraud problems from Dems?
https://t.co/4NdoOihPK6"
795985913700642816,2016-11-08 13:46:45,MicheleBachmann,110,189,Twitter for iPhone,"The DNC chair is employed by CNN, too. She helped Hillary cheat by passing debate questions on to her. 
https://t.co/9DAE60pyy1"
795811587890302976,2016-11-08 02:14:02,MicheleBachmann,218,613,Twitter for iPhone,"Donald Trump needs your vote! I voted, have you? https://t.co/gi2aPFqBal"
795337704770863104,2016-11-06 18:51:00,MicheleBachmann,131,146,Twitter for iPhone,"A must watch to vote Trump. Pass this on to all your contacts. 
https://t.co/Pd9xmrCJoJ"
793849234164449280,2016-11-02 16:16:21,MicheleBachmann,210,198,Twitter for iPhone,"Rife DOJ corruption, and they don't even blush. 
https://t.co/G5YPSICf4o"
793141153713586176,2016-10-31 17:22:41,MicheleBachmann,212,294,Twitter for iPhone,"The FBI found 650,000 more emails! Isn't this a cover up? It's definitely an obstruction of justice.
https://t.co/YY1VvMTdcf"
791877945807740928,2016-10-28 05:43:09,MicheleBachmann,31,183,Twitter for iPhone,"This last week I visited Sedona, AZ to work with https://t.co/FmDjnq0nXp as well as appear on Rusty Humphries radio… https://t.co/FO6LL0hjYx"
788886741642047488,2016-10-19 23:37:10,MicheleBachmann,572,549,Twitter for iPhone,"Obama shamelessly uses ALL of OUR government to advance himself and Hillary politically. Don't let her win.
https://t.co/3Bd7aKAAba"
787005992768856064,2016-10-14 19:03:45,MicheleBachmann,152,169,Twitter for iPhone,"Fabulous explanation of Obama's failed Middle East policy empowering Iran by diminishing the US &amp; Israel.
https://t.co/3sRPfISASS"
786603569096953856,2016-10-13 16:24:39,MicheleBachmann,251,265,Twitter for iPhone,"President Hillary will be equally, if not more, dangerous for the Jewish state. 
https://t.co/i6M8KaFoaV"
786331698548076544,2016-10-12 22:24:20,MicheleBachmann,216,234,Twitter for iPhone,"Private Hillary is a public failure. Also, public Hillary is a private failure. 
https://t.co/wkbvjZyNqd"
786237838811541504,2016-10-12 16:11:23,MicheleBachmann,444,326,Twitter for iPhone,"Voter fraud: the norm for Democrats!  It's why they oppose voter ID.
https://t.co/rDgOpDNEmW"
785925283345936384,2016-10-11 19:29:23,MicheleBachmann,93,93,Twitter for iPhone,"Europeans reject radical Islam and now fight the pro-EU politicians for western culture's survival.
https://t.co/MionRtmBGc"
785890473286270976,2016-10-11 17:11:04,MicheleBachmann,118,194,Twitter for iPhone,"Welcome back, Mark Steyn!  Nobody does it better than Mark--especially when discussing Bill Clinton, the rapist pig.
https://t.co/OVqe8Pr4HV"
785289438561722369,2016-10-10 01:22:46,MicheleBachmann,124,150,Twitter for iPhone,"The failed Obama legacy.
https://t.co/GUMQHqRUqa"
784197895809536000,2016-10-07 01:05:22,MicheleBachmann,93,127,Twitter for iPhone,"Another liberal state is wasting taxpayer resources. Secure the border and stop drugs from coming into the US first!
https://t.co/EomGwmrsUs"
784132147288440832,2016-10-06 20:44:07,MicheleBachmann,131,113,Twitter for iPhone,"The Russians made a decision that they own Syria and future oil distribution rights. They're on offense--US is out.
https://t.co/EzBtIdFCRK"
783427595295662080,2016-10-04 22:04:28,MicheleBachmann,268,215,Twitter for iPhone,"Obama intentionally making America poorer, less educated, less safe. 1 of 4 kids in public schools are immigrants. 
https://t.co/AABKFyEPjh"
783412985377292288,2016-10-04 21:06:25,MicheleBachmann,386,283,Twitter for iPhone,"Thank you, Andy! Here's proof that Obama and Hillary used the DOJ to cover their illegal actions.
https://t.co/74D7wQiqRd"
781354616738893824,2016-09-29 04:47:12,MicheleBachmann,177,290,Twitter for iPhone,"Diamond and Silk should moderate the next debate-they're fabulous!
https://t.co/HWAAGJPYWG"
781224152556408833,2016-09-28 20:08:47,MicheleBachmann,120,108,Twitter for iPhone,"Lawless Mayor of London tyrannically thinks HE is the law.  How will he stop migrants from leaving London?
https://t.co/KTPPBi07BR"
781202525118615552,2016-09-28 18:42:50,MicheleBachmann,156,166,Twitter for iPhone,"Obama explaining to us why Hillary should never be president. I agree with Obama!
https://t.co/X25fvbCrSy"
780549366092226560,2016-09-26 23:27:25,MicheleBachmann,101,127,Twitter for iPhone,"The fed government is a danger to US citizens. They have a hard time getting anything right!
https://t.co/ZeFEHBcR4P"
780272736325210112,2016-09-26 05:08:11,MicheleBachmann,254,292,Twitter for iPhone,"Hillary betrayed America's national security secrets to our enemies in real time for 4 years.
https://t.co/tEkaYDv234"
778785926453596160,2016-09-22 02:40:08,MicheleBachmann,109,109,Twitter for iPhone,"Obama called for 'global political and economic integration'. This is a recipe for disaster. 
https://t.co/XWIlFntLOC"
778410066588364800,2016-09-21 01:46:36,MicheleBachmann,63,170,Twitter for iPhone,"The amazing, incomparable Phyllis Schlafly who created the pro-family movement. Her weapons? Prayer and truth. 
https://t.co/d7jLvsSRC5"
778327072271917058,2016-09-20 20:16:49,MicheleBachmann,96,153,Twitter for iPhone,"Hillary failed the test for Commander in Chief. 
https://t.co/NQ9mhSUMsE"
778243683703459840,2016-09-20 14:45:27,MicheleBachmann,81,165,Twitter for iPhone,CNN reporter dutifully repeating Obama's UN speech talking points. Lazy lapdogs.
777479222180847616,2016-09-18 12:07:46,MicheleBachmann,86,68,Twitter for iPhone,"Constitution Day sees multiple terrorist explosions and stabbings. 
https://t.co/Fw0SD0rJps"
777341349720944640,2016-09-18 02:59:54,MicheleBachmann,408,343,Twitter for iPhone,"Clinton's phony charity turns out to be a money laundering operation to benefit THEM!
https://t.co/ayJA48u3tl"
776076968911572992,2016-09-14 15:15:42,MicheleBachmann,200,191,Twitter for iPhone,"Congress: question Kerry and demand his dismissal. This is a Clinton ""scratch my back"" for CASH!  
https://t.co/eI5s36ejmx"
775669382395621376,2016-09-13 12:16:06,MicheleBachmann,1807,1558,Twitter for iPhone,"Congress: please do not let Obama give away US control over the Internet. There is no do-over on this. Stand up!
https://t.co/EbHgUvXV6r"
775047191308169216,2016-09-11 19:03:44,MicheleBachmann,281,382,Twitter for iPhone,"Hillary, literally while being held by 3 staff people, nearly falls to the ground. Something's seriously wrong. 
https://t.co/2ZuFbmLXVN"
773202062196736000,2016-09-06 16:51:51,MicheleBachmann,245,334,Twitter for iPhone,"Phyllis Schlafy's last column:  Trump is strong like Reagan. 
https://t.co/iqabUESYwH"
773135325862371329,2016-09-06 12:26:40,MicheleBachmann,72,241,Twitter for iPhone,"Phyllis Schlafly, thank you for your personal sacrifices, for pouring out your life in service to your family, your country and your God."
772889250714923008,2016-09-05 20:08:51,MicheleBachmann,129,123,Twitter for iPhone,"While Putin builds for war, Obama reduces US military. 
https://t.co/ayTHUVcgiY"
772889064273870848,2016-09-05 20:08:07,MicheleBachmann,3522,0,Twitter for iPhone,"RT @borzou: ""Hello Newman."" ""Hello Jerry."" https://t.co/BM6dR2YDnJ"
772232750598201344,2016-09-04 00:40:09,MicheleBachmann,372,355,Twitter for iPhone,"Obama's 'justice' dept was there to ensure the outcome for Hillary. As you say, the fix was in.
https://t.co/S2dIXCxbJT"
764125157698990080,2016-08-12 15:43:29,MicheleBachmann,400,359,Twitter for iPhone,"Hillary: the great hypocrite. Safety for her away from violent migrants--not for the public.
https://t.co/6knhsohY1i"
764113444870184960,2016-08-12 14:56:56,MicheleBachmann,162,142,Twitter for iPhone,"Noonan is right: US sovereignty v globalism. But, in 2008 she joined in swooning over Obama. 
https://t.co/Ik6IM2KgY1"
763936179876012035,2016-08-12 03:12:33,MicheleBachmann,118,122,Twitter for iPhone,"The political left's playground. This is the world they've created. 
https://t.co/RoZatJ9dnu"
763404135597240320,2016-08-10 15:58:23,MicheleBachmann,191,179,Twitter for iPhone,"This is what nations without borders, and ignoring laws looks like. 
https://t.co/bJGggKiQgu"
763346338448809984,2016-08-10 12:08:44,MicheleBachmann,281,241,Twitter for iPhone,"Why is America's national security sacrificed in order for Hillary to become president?
https://t.co/ggR1C2v4bP"
763027703553466368,2016-08-09 15:02:35,MicheleBachmann,330,235,Twitter for iPhone,"This is what the Clinton Foundation produced in exchange for foreign donations. 
https://t.co/6VtqWhnf7s"
762800310150696961,2016-08-08 23:59:00,MicheleBachmann,131,218,Twitter for iPhone,"Is political correctness killing this country?  I think so. 
https://t.co/amTVRxs8U8"
762393953345896448,2016-08-07 21:04:17,MicheleBachmann,148,166,Twitter for iPhone,"""Anti-war"" president Obama/Hillary (with no military experience), loses Iraq/Afghanistan prior victories. 
https://t.co/zXOkIzOBw4"
762294958946746369,2016-08-07 14:30:55,MicheleBachmann,228,224,Twitter for iPhone,"Obama/Hillary put Americans at risk by hurrying in more unvetted dem voters--welfare recipients. 
https://t.co/W13I6dq97B"
761549522346635264,2016-08-05 13:08:49,MicheleBachmann,128,140,Twitter for iPhone,"America's conservative icon denounces Paul Ryan. Supports his primary opponent. 
https://t.co/Kk9O4PxVHA"
761073424202502144,2016-08-04 05:36:59,MicheleBachmann,99,163,Twitter for iPhone,"LOVE Ann Coulter. Read her column. 
https://t.co/UfbypDnlqB"
760889869400956928,2016-08-03 17:27:36,MicheleBachmann,233,224,Twitter for iPhone,"Obama illegally/stupidly reduced US foreign policy equal to the banana dictatorships he emulates. 
https://t.co/vSNs2I5plu"
760866756550389760,2016-08-03 15:55:45,MicheleBachmann,45,100,Twitter for iPhone,"Praise and thanks to God for preserving the lives of these passengers. 
https://t.co/hmcSWe4rq8"
760684660649254912,2016-08-03 03:52:10,MicheleBachmann,390,315,Twitter for iPhone,"DNC Kahn trying to cover up his business of Muslims paying to get in US.
https://t.co/gYS55QDqch"
760555516020097024,2016-08-02 19:19:00,MicheleBachmann,102,111,Twitter for iPhone,"This is what Hillary loving the fake ""religion of peace"" will bring. Compliance with Islamic shariah law. 
https://t.co/kKONO1NcSZ"
760321670351552512,2016-08-02 03:49:46,MicheleBachmann,178,174,Twitter for iPhone,"Is Obama favoring potential terrorists with welfare benefits?  Will they be allowed to vote?
https://t.co/YiICt6J8JO"
760237956615602176,2016-08-01 22:17:08,MicheleBachmann,374,325,Twitter for iPhone,"Hillary's voter fraud. Get ready. 
https://t.co/ihFYLDoRC4"
760213801887232004,2016-08-01 20:41:09,MicheleBachmann,270,242,Twitter for iPhone,"Hillary Clinton giving arms to ISIS in Syria, from Libya. Never President Hillary. NEVER!
https://t.co/W0uYgZu6S6"
759948237327523840,2016-08-01 03:05:53,MicheleBachmann,140,275,Twitter for iPhone,"There is NO RIGHT to immigrate to the US. We desperately need to push the pause button.  Kelly is wrong. 
https://t.co/8z4NpJxMM6"
