id,created_at,coordinates,retweets,favorite_count,source,text
806644542258769922,2016-12-07 23:40:20,,1,1,Twitter for iPhone,Great to be with my former colleagues @SanfordBishop and @cathymcmorris supporting military families with… https://t.co/vxM29t8q1k
806643496555806720,2016-12-07 23:36:10,,0,4,Twitter for iPhone,It was my pleasure. Thank you for all @BlueStarFamily does to support military families! https://t.co/B3rQ9yPu0o
801449011421057024,2016-11-23 15:35:09,,7,8,Twitter for iPhone,Honored to serve our veterans in North Carolina and across the country! #HonorOurFuture @VETS_DOL https://t.co/lPRynvlL8G
800789987134500864,2016-11-21 19:56:25,,3,3,Twitter for iPhone,#veterans @vets_dol every day is Veterans Day at DOL VETS https://t.co/JeG4eW0TI5
800789180292927492,2016-11-21 19:53:13,,8,0,Twitter for iPhone,RT @VETS_DOL: Nov. is Military Family Month. Honor #MilFamilies by providing good jobs for veterans and #MilSpouses. Here’s how: https://t.…
796420425148493828,2016-11-09 18:33:20,,4,0,Twitter Web Client,RT @VETS_DOL: Want to attend @USDOL's #SaluteVets ceremony and hear from @MikeHMichaud and @ChrisLu44? RSVP here: https://t.co/9REfa0AZSH h…
795704989545021441,2016-11-07 19:10:27,,19,0,Twitter Web Client,RT @VETS_DOL: Helping vets get good jobs and employers #HireVets – it’s what we do. Follow us for updates! https://t.co/jUfVbJbhBF
782958882985422850,2016-10-03 15:01:59,,1,4,Twitter Web Client,We're proud to partner with @USDA &amp; those in the agricultural sector who are helping veterans who may want to become farmers or ranchers.
782956594233573376,2016-10-03 14:52:53,,0,1,Twitter Web Client,"That’s why, when VETS  launched https://t.co/ph5JXqg5iu earlier this year, we made sure to link to the programs &amp; resources at @USDA."
782955964437635072,2016-10-03 14:50:23,,1,4,Twitter Web Client,"After representing one of the largest &amp; most rural districts in Congress for 12 years, I know how important agriculture is to America."
782955408264613888,2016-10-03 14:48:10,,2,3,Twitter Web Client,Giving Veterans Opportunities to Grow https://t.co/wWTIkBnpmx via @USDOL
781233429044166656,2016-09-28 20:45:38,,5,18,Twitter for iPhone,"Our transitioning service members are getting the support they need, thanks to partners like   @csaSoldier4Life. https://t.co/6rOU918cbi"
773971108445904896,2016-09-08 19:47:46,,21,0,Twitter Web Client,RT @USDOL: How our American Job Centers and other programs help to ensure veterans have a seamless transition after service: https://t.co/J…
746091212357120001,2016-06-23 21:23:01,,2,4,Twitter for iPad,Day 3 of the @USDOL Employment Workshop at Fort Gordon. Lots of great information on interviewing for civilian jobs! https://t.co/WBDW9wbAYl
745982352866717697,2016-06-23 14:10:27,,5,8,Twitter for iPad,Thanks to @hiringourheroes &amp; @USArmy leadership for putting on a great #transition summit at Fort Gordon! #hireVETS https://t.co/y4OsN4dZI9
744731723238416384,2016-06-20 03:20:53,,2,1,Twitter for iPad,241st @USArmy Birthday Ball! #ArmyBday #EarnYourCake #hooah #ArmyStrong https://t.co/HrtWfRdqmq
744731015285968896,2016-06-20 03:18:05,,0,3,Twitter for iPad,General (ret.) @AnnDunwoody at the 241st @USArmy Birthday Ball. #ArmyBday https://t.co/k5KnyA8oOl
744730273749803008,2016-06-20 03:15:08,,28,113,Twitter for iPad,What an honor to meet @MissUSA at the 241st @USArmy Birthday Ball! #VETSlikeher @USArmyReserve https://t.co/ISDdbtA4qq
