id,created_at,user,retweets,favorite_count,source,text
848975644188790785,2017-04-03 19:09:01,NydiaVelazquez,148,223,TweetDeck,"The distraction must end. @SpeakerRyan, force @DevinNunes to recuse himself from Russia probe. #FollowTheFacts Need a #SpecialCounsel"
848968092143071232,2017-04-03 18:39:00,NydiaVelazquez,65,115,TweetDeck,Read about what I had to say on the House floor reiterating my call for a #SpecialCounsel into #TrumpRussia: https://t.co/tQwKNnQIpn
848965042368372737,2017-04-03 18:26:53,NydiaVelazquez,15,40,Twitter Web Client,"“We’re half the people; we should be half the Congress”-Jeannette Rankin, 1st woman in Congress 100 years ago today #EqualRepresentation"
848941922009927681,2017-04-03 16:55:01,NydiaVelazquez,19,24,TweetDeck,We must not sit back and reverse the clock while other countries do the right thing &amp; invest in #RenewableEnergy https://t.co/BS7ovgSS7X
848936885783150593,2017-04-03 16:35:00,NydiaVelazquez,8,8,TweetDeck,"Trumps’ budget will cut funds for NYC #transit, #arts, #housing, #environment, #schools, #safety #RESIST. https://t.co/7tGrAJvBPP"
848932835469791232,2017-04-03 16:18:55,NydiaVelazquez,9,19,TweetDeck,My thoughts and prayers go out to the families &amp; loved ones of the victims in St. Petersburg. https://t.co/BOYS32Q1Fq
848932626060767232,2017-04-03 16:18:05,NydiaVelazquez,11,29,TweetDeck,Joined colleagues in writing a letter opposing excluding #LGBTQ community from census. We can't erase contributions… https://t.co/b97BsP5bGd
848901835255689216,2017-04-03 14:15:44,NydiaVelazquez,2,0,Twitter Web Client,RT @UnitedJewish: Our Boro President @BPEricAdams; Congresswoman @NydiaVelazquez; Assemblyman @HikindDov https://t.co/u4562aK7Ya
848899182165458947,2017-04-03 14:05:11,NydiaVelazquez,18,17,Twitter Web Client,".@POTUS planned cuts for HUD will harm not just New Yorkers, but all parts of our nation. We must #RESIST #TrumpCuts https://t.co/mngsfY1JyE"
848577732900519936,2017-04-02 16:47:51,NydiaVelazquez,31,83,Mobile Web (M5),Great rally today opposing proposed budget cuts to HUD and NYCHA. We must be unified and #Resist #TrumpCuts! https://t.co/OiMCGT2n6Q
847993016216412160,2017-04-01 02:04:24,NydiaVelazquez,10,0,Twitter for iPhone,RT @DanWiley1: .@RepJerryNadler @UTRCRegion2 @BPEricAdams @NydiaVelazquez @PortSideNewYork @OurWaterfront @danisimons @CitiBikeNYC @UPROSE…
847858353053343745,2017-03-31 17:09:18,NydiaVelazquez,11,31,Twitter Web Client,"Hypocrisy at its finest! ""When you are given immunity, that means you have probably committed a crime.""-Gen. Flynn https://t.co/13U3YVQQmS"
847851057938149377,2017-03-31 16:40:19,NydiaVelazquez,9,16,TweetDeck,"""We can choose to use our lives for others to bring about a better and more just world for our children""- a great leader #CesarChavezDay"
847842175224336385,2017-03-31 16:05:01,NydiaVelazquez,8,27,TweetDeck,We must stand up to @POTUS &amp; demand @EPA funding to help pay for projects like cleaning up the Gowanus Canal: https://t.co/3iiDxCWvwp
847837394565050368,2017-03-31 15:46:01,NydiaVelazquez,19,32,TweetDeck,Banning phrase “climate change” is a another attack on science and environment by @POTUS!  #AlternativeFacts! https://t.co/eUC4RGQRSE
847837145205288963,2017-03-31 15:45:02,NydiaVelazquez,11,14,TweetDeck,"This administration says facts of #ClimateChange are debatable, scientists say we need immediate #ClimateAction: https://t.co/eUC4RGQRSE"
847835383324971009,2017-03-31 15:38:02,NydiaVelazquez,13,34,TweetDeck,".@POTUS—with reason to suspect an abuse of power, our democracy requires independent investigation #SpecialCounsel https://t.co/MGOxgitW6k"
847834371927048192,2017-03-31 15:34:00,NydiaVelazquez,64,91,TweetDeck,"Chair of the committee for #TrumpRussia investigation talked w/@WhiteHouse, how is it “independent”? #SpecialCounsel https://t.co/u1UJA2Ginq"
847830659984961539,2017-03-31 15:19:15,NydiaVelazquez,8,0,Twitter for iPhone,RT @NYCSBDCVET: @BrooklynSBDC Reboot session with NYC Vets. @CityTechNews @Felixwortiz @NydiaVelazquez. Getting help to launch biz!@Industr…
847616925999943688,2017-03-31 01:09:57,NydiaVelazquez,21,0,Twitter for iPhone,RT @NHLAgenda: Did you know that Rep @NydiaVelazquez was the 1st Puerto Rican woman elected to the US House of Representatives? #LatinasRep…
847579067952107520,2017-03-30 22:39:31,NydiaVelazquez,90,203,Twitter for iPhone,.@mike_pence for someone who won't dine w/ women other than wife-you don’t seem to have problem voting to restrict their reproductive rights
847533892093579273,2017-03-30 19:40:00,NydiaVelazquez,12,29,TweetDeck,"Great to see more states considering the #MedicaidExpansion. Health care is a right for all, not a privilege: https://t.co/jmt6SvBG7L"
847533136724369408,2017-03-30 19:37:00,NydiaVelazquez,4,24,TweetDeck,"Numerous studies have shown that when we invest in inmates, recidivism declines. I applaud @NYCMayor on this effort: https://t.co/hTGJDIjNJT"
847532890678341634,2017-03-30 19:36:02,NydiaVelazquez,13,23,TweetDeck,Who is Trump’s top science adviser? His technology adviser? Turns out they don't exist. #HiringFreeze https://t.co/P2DVuxcaxy
847518680015626242,2017-03-30 18:39:34,NydiaVelazquez,16,44,Twitter Web Client,Nunes is being played by White House. Need a #SpecialCounsel! 2 WH Officials Helped Give Nunes Intelligence Reports https://t.co/FLGvmtYrse
847508562746028033,2017-03-30 17:59:21,NydiaVelazquez,12,0,Twitter for iPhone,"RT @DanWiley1: .@NydiaVelázquez was 1st MemberofCong 2 call 4 Special Counsel on Russia’s involvement in 2016 election: Dec wrote AG Lynch,…"
847485126225285120,2017-03-30 16:26:14,NydiaVelazquez,407,0,Twitter Web Client,RT @HomelandDems: Today @BennieGThompson introduced a RESOLUTION OF INQUIRY directing DHS to provide info on Russia hacking &amp; election inte…
847447885062914048,2017-03-30 13:58:15,NydiaVelazquez,27,0,Twitter for iPhone,RT @NydiaVelazquez: Just spoke on House floor on Russia &amp; Trump. @DevinNunes must recuse self! We need a #SpecialCounsel! https://t.co/Y5Xr…
847447236006912000,2017-03-30 13:55:40,NydiaVelazquez,27,71,Twitter Web Client,Just spoke on House floor on Russia &amp; Trump. @DevinNunes must recuse self! We need a #SpecialCounsel! https://t.co/Y5XrN5pDCJ
847438416769925120,2017-03-30 13:20:37,NydiaVelazquez,12,0,Twitter for iPhone,RT @nastiestwoman: @NydiaVelazquez Just saw you speak at the House about the need for an independent #Trumprussia investigation. Thank you!…
847240152233648128,2017-03-30 00:12:47,NydiaVelazquez,8,0,Twitter for iPhone,RT @NydiaVelazquez: Great Round Table discussion today with #WomenEntrepreneurs https://t.co/agGXzu5VAo
847239974785130496,2017-03-30 00:12:05,NydiaVelazquez,34,0,Twitter for iPhone,"RT @NydiaVelazquez: Attending an immigration forum with @HispanicCaucus to discuss impact of Trump Administration policies on women, childr…"
847239892908122118,2017-03-30 00:11:46,NydiaVelazquez,11,0,Twitter for iPhone,"RT @NydiaVelazquez: Good BK Eagle Article on Why NYC Needs a Robust, Effective #EPA https://t.co/bblcaUCDag"
847239819520376833,2017-03-30 00:11:28,NydiaVelazquez,13,0,Twitter for iPhone,RT @NydiaVelazquez: With civil servants prosecuted for inappropriate contact with Russians -what about Sessions &amp; Flynn? https://t.co/IgsQc…
847230440502984705,2017-03-29 23:34:12,NydiaVelazquez,5,0,Twitter for iPhone,RT @ALZNYCC1: Thank you Melissa Jung @NydiaVelazquez for getting the facts to #ENDalz and meeting with ALZNYCC1  Ambassadors #ALZforum #ALZ…
847178404071923713,2017-03-29 20:07:26,NydiaVelazquez,13,37,Twitter Web Client,With civil servants prosecuted for inappropriate contact with Russians -what about Sessions &amp; Flynn? https://t.co/IgsQcYKJ5D #SpecialCounsel
847172359052300288,2017-03-29 19:43:24,NydiaVelazquez,11,23,Twitter Web Client,"Good BK Eagle Article on Why NYC Needs a Robust, Effective #EPA https://t.co/bblcaUCDag"
