id,created_at,user,retweets,favorite_count,source,text
850409420781752321,2017-04-07 18:06:20,RepBRochester,1,2,Hootsuite,Attacks on innocent civilians in Syria have shocked the conscience of us all. Read my full statement here: https://t.co/lFeVS8nw7p
850138847346278400,2017-04-07 00:11:10,RepBRochester,7,0,Twitter for iPhone,RT @ChrisCoons: Joined @LisaBRochester @SenatorCarper in welcoming Warren Jones &amp; DVFA members for the annual Congressional Fire Services I…
850062586490089472,2017-04-06 19:08:08,RepBRochester,100,184,Twitter for iPhone,.@DevinNunes' recusal is a step in the right direction. It's clear we need an independent investigation now more than ever #FollowTheFacts
849728412893802497,2017-04-05 21:00:15,RepBRochester,10,18,Hootsuite,The American people deserve the truth about @realDonaldTrump  &amp; his taxes. Read my full statement here: https://t.co/5mqI3fdsSZ #DemandAVote
849349598762192898,2017-04-04 19:54:59,RepBRochester,10,16,Hootsuite,49K families in #netDE rely solely on women's wages. It's time to end the gender pay gap. Read more: https://t.co/oaHn9F4bTo #EqualPayDay
847528474889908225,2017-03-30 19:18:29,RepBRochester,8,15,Hootsuite,On #NationalDoctorsDay @mike_pence voted for bad policy placing the government b/w a woman &amp; her doctor. No thanks. https://t.co/Td8lVKQXoy
847431124661841920,2017-03-30 12:51:39,RepBRochester,1699,0,Twitter for iPhone,RT @RepJimmyPanetta: This is beyond politics. It’s about protecting our democracy. We need to create an independent commission to #FollowTh…
847289278484725760,2017-03-30 03:28:00,RepBRochester,5,0,Twitter for iPhone,"RT @alzdelval: Thank you, @RepBRochester, for your support. We are so thankful for your voice in this fight to #ENDALZ! #AlzForum https://t…"
847182632140128259,2017-03-29 20:24:14,RepBRochester,15,38,Twitter for iPhone,"These aren't #alternativefacts @realDonaldTrump, our LBGT friends are real people. They can't be erased. #CensusFail @LGBTEqCaucus 🏳️‍🌈"
847162561871130628,2017-03-29 19:04:28,RepBRochester,3,0,Twitter for iPhone,RT @farmcredit: Thanks @RepBRochester for meeting w @MidAtFarmCredit recently to discuss issues impacting #ag &amp; rural communities in DE! ht…
845742926202359809,2017-03-25 21:03:21,RepBRochester,2,25,Twitter Web Client,"At the Women and Girls HIV/Aids Awareness Conference. We have to continue to focus on education, access to care, an… https://t.co/002w4LkTpP"
845739589604163586,2017-03-25 20:50:05,RepBRochester,9,0,Twitter for iPhone,"RT @edworkforcedems: .@RepBRochester was Delaware’s first female African American Sec of Labor, as well as the first woman &amp; person of colo…"
845396602659323904,2017-03-24 22:07:11,RepBRochester,4,17,Hootsuite,"Today, @realDonaldTrump &amp; @SpeakerRyan pulled the ACA repeal bill. Read my full statement here: https://t.co/9B8YSkMOOn"
845377664290578432,2017-03-24 20:51:56,RepBRochester,7,43,Twitter for iPhone,749 calls to our office on #TrumpCare. 683 urging a no vote. Thanks to everyone who stepped up and spoke out. Americans deserve better.
845366911340871680,2017-03-24 20:09:12,RepBRochester,9576,0,Twitter for iPhone,"RT @RepSeanMaloney: .@realDonaldTrump, @SpeakerRyan: we're not tired of winning yet. Ready when you are to talk real solutions to fix ACA f…"
845305634232942596,2017-03-24 16:05:42,RepBRochester,24,63,Twitter Web Client,"Just tallied #TrumpCare calls from #netDE. 

566 vote no
61 vote yes

It's clear Delawareans don't want to #PayMoreForLess."
844984537557938176,2017-03-23 18:49:47,RepBRochester,4,0,Twitter for iPhone,RT @edworkforcedems: .@RepBRochester speaks against #Trumpcare because it is “medical malpractice”. https://t.co/QDyn4wXlS3
844960471589511169,2017-03-23 17:14:09,RepBRochester,0,4,Hootsuite,Harsh across the board #TrumpCuts to fed. agencies &amp; programs have staggering impact on #netDE &amp; nation. Read more: https://t.co/pQJs8PKjd3
