id,created_at,user,retweets,favorite_count,source,text
851581342966067200,2017-04-10 23:43:08,RepBillFoster,3,11,Twitter Web Client,Tonight marks the start of #Passover. Chag Sameach to all celebrating!
851505910988058624,2017-04-10 18:43:24,RepBillFoster,0,0,Twitter Web Client,Interested in attending one of America’s service academies? Join us on Saturday for Service Academy Day in Aurora: https://t.co/m1fEoVj8Tn
850019231735455744,2017-04-06 16:15:52,RepBillFoster,12,52,Twitter Web Client,"Today, I spoke in support of @NEHgov &amp; @NEAarts. They help us understand our past and imagine our future together. https://t.co/RAghkwVSVY"
849996355430998016,2017-04-06 14:44:57,RepBillFoster,4,19,Twitter Web Client,Please join me next Thursday for a community forum and discussion on the importance of protecting the #ACA: https://t.co/PXUzAegbEF
849323504453521408,2017-04-04 18:11:17,RepBillFoster,16,39,Twitter Web Client,"The gender #paygap is not a myth. For many women, it means the difference between poverty and economic security.… https://t.co/Rbw7QkJx8Y"
849251471690522624,2017-04-04 13:25:03,RepBillFoster,12,41,Twitter Web Client,Honored to join @aaas to speak to future scientist and researchers about science policy and life in Congress https://t.co/tTf8pOrIrs
848968097457475585,2017-04-03 18:39:02,RepBillFoster,26,72,Twitter Web Client,I’m urging our leaders to get #backtoscience and tackle #ClimateChange now. Via @dailyherald: https://t.co/6tbzE5Ns27
848213665102876672,2017-04-01 16:41:11,RepBillFoster,4,31,Twitter Web Client,Proud to help kick off @Argonne's 2017 Cyber Defense Competition this morning! https://t.co/xBK8VkFRKQ
847827629373874177,2017-03-31 15:07:13,RepBillFoster,140,418,Twitter Web Client,On Trans Day of Visibility let's recommit to reject bigotry and make sure we celebrate the value of every person. #TDOV
847532225176457216,2017-03-30 19:33:23,RepBillFoster,26,49,Twitter Web Client,The Trump Admin thinks ignoring #ClimateChange will make it go away. Science doesn’t work like that. https://t.co/CN6KVvCcd1 #BackToScience
847502737478516738,2017-03-30 17:36:13,RepBillFoster,190,473,Twitter Web Client,The American people deserve to know the truth about Russian interference in our elections. It's time for Congress to #FollowTheFacts.
847440446456340484,2017-03-30 13:28:41,RepBillFoster,13,54,Twitter for iPhone,We can solve the opioid and heroin crisis if we invest in long term research and science - something your budget do… https://t.co/q70DUWkpQh
847166603099824130,2017-03-29 19:20:32,RepBillFoster,9,33,Twitter Web Client,We must never forget the sacrifices made by the brave men and women who served America during the Vietnam War. #VietnamVeteransDay
847130923770503169,2017-03-29 16:58:45,RepBillFoster,39,100,Twitter Web Client,I'm glad the entire @HouseScience panel agrees that @POTUS's cuts to earth observation would be harmful. Time to get #backtoscience
847107634427842560,2017-03-29 15:26:13,RepBillFoster,5,28,Twitter for iPhone,Pleased to meet with @PPFA on #PinkOut Day to remind everyone of the vital services they provide women. #StandwithPP https://t.co/Sb9YASNUcc
847086194915717121,2017-03-29 14:01:01,RepBillFoster,72,156,Twitter Web Client,A vast majority of scientists recognize the connection between human activity &amp; climate change. Time for @HouseScience to get #backtoscience
846814378041262081,2017-03-28 20:00:55,RepBillFoster,5,18,Twitter Web Client,Had some special visitors in DC from Hufford Junior High of @JolietSD86! https://t.co/kF47ToX5X7
846792325821071364,2017-03-28 18:33:17,RepBillFoster,40,96,Twitter Web Client,.@POTUS’s reckless order undoing environmental protections shows stunning ignorance of science. https://t.co/NjCV36teLx #DefendClimate
845385883859800065,2017-03-24 21:24:35,RepBillFoster,19,96,Twitter Web Client,The defeat of #TrumpCare is a victory for all Americans. https://t.co/KBdsCOvgF9
845023728866136064,2017-03-23 21:25:31,RepBillFoster,21,46,Twitter Web Client,Latest #CBO report says GOP changes to #TrumpCare bill only reduces deficit by $150 billion. Does not improve coverage. #CareNotChaos
845003608592695296,2017-03-23 20:05:34,RepBillFoster,6,20,Twitter Web Client,Pleased to announce $2.3 million for Head Start programs at the Catholic Charities of the Diocese of Joliet: https://t.co/kB1Cg13w8c #IL11
844928150018633728,2017-03-23 15:05:43,RepBillFoster,13,30,Twitter Web Client,"#TrumpCare’s cuts to Medicaid will hurt working families, children, Americans with disabilities, and seniors.… https://t.co/n2yplZRJnB"
844636054334439424,2017-03-22 19:45:02,RepBillFoster,18,62,Twitter for iPhone,Any attack on a member of the #trans community is unacceptable. We must stop these terrible acts of violence. https://t.co/0g0DNvvqcn
844622613959905283,2017-03-22 18:51:38,RepBillFoster,5,24,Twitter Web Client,"Our thoughts are with the victims of the brutal terrorist attack in #London. At this difficult moment, we stand with our British allies."
844572911075778560,2017-03-22 15:34:08,RepBillFoster,5,11,Twitter Web Client,Can’t wait to see the art #IL11 students create for the 2017 Congressional Art Competition. Submissions due by 4/21! https://t.co/Fm3CgttOWT
844555973104750592,2017-03-22 14:26:49,RepBillFoster,1002,0,Twitter for iPhone,RT @repjoecrowley: 7 years. 20+ million insured. That's progress worth fighting for. #ACA7 https://t.co/HgdSHww8So
843901007541260289,2017-03-20 19:04:13,RepBillFoster,1,11,Twitter Web Client,It’s not too late to check out the great #WomensHistoryMonth resources offered by @librarycongress! https://t.co/SaHUWDmYpl
843866826941566979,2017-03-20 16:48:24,RepBillFoster,14,57,Twitter Web Client,Proud to present the keynote at today's Climate Science Day meeting. Thanks to @AmerChemSociety @AmstatNews @theAGU… https://t.co/20n4tdyaYb
842814303313035270,2017-03-17 19:06:03,RepBillFoster,21,33,Twitter Web Client,I was recently on @hereandnow to discuss the Trump Administration’s disturbing lack of interest in #science: https://t.co/DneKDQEN0o
842401241590321152,2017-03-16 15:44:41,RepBillFoster,17,48,Twitter Web Client,#TrumpCuts to science and education would be a disaster for America. @POTUS’s budget must be rejected: https://t.co/7TiLhQwJ88
842385443635236864,2017-03-16 14:41:55,RepBillFoster,19,66,Twitter for iPhone,I am horrified by this attack on the #prideflag - it is an attack on the entire #LGBT community and American values. https://t.co/o07Ssct2b3
842159595862786048,2017-03-15 23:44:28,RepBillFoster,13,100,Twitter Web Client,Another victory for the constitution as a federal court blocks Trump's travel ban 2.0 #NoBanNoWall
842055608341827584,2017-03-15 16:51:16,RepBillFoster,14,33,Twitter Web Client,.@NOAA’s report on rising CO2 emissions is a reminder that  #ClimateChange is not the “hoax” @POTUS has called it. https://t.co/s1y6CElPcX
842025605361197056,2017-03-15 14:52:03,RepBillFoster,8,25,Twitter Web Client,Today I’ve introduced a bipartisan measure to make March 14 National #PiDay: https://t.co/t0ZDqeWkR7
841705007779045380,2017-03-14 17:38:06,RepBillFoster,4,31,Twitter Web Client,Had a great time celebrating #PiDay with some great constituents and great pie. #IL11 https://t.co/2BMP9AuRi7
841682700968816642,2017-03-14 16:09:28,RepBillFoster,2,23,Twitter Web Client,"Our #PiDay event just started, drop by before noon to grab some! https://t.co/rD0PwoqMIV"
841391928780435458,2017-03-13 20:54:02,RepBillFoster,8,12,Twitter Web Client,"According to the #CBO, the GOP health plan would cut coverage for 24 million people over the next ten years. #PayMoreForLess"
841377285328502784,2017-03-13 19:55:51,RepBillFoster,8,41,Twitter Web Client,Need an excuse to eat pie for lunch? Join our #PiDay celebration tomorrow at my Aurora District Office. See you between 11am and noon!
841327632344109056,2017-03-13 16:38:33,RepBillFoster,4,0,Twitter for iPhone,RT @lizlandau: #PiDay is tomorrow! When was the last time you used pi? Take the Pi Day Challenge: https://t.co/SS8VphHMKs
840259892501987328,2017-03-10 17:55:44,RepBillFoster,45,98,Twitter for iPhone,Maybe he should talk to a scientist #backtoscience https://t.co/9pAknYmxrJ
839895504574107649,2017-03-09 17:47:47,RepBillFoster,25,83,Twitter Web Client,I spoke out against the Republicans' health care plan that would cause millions of people to lose health insurance. https://t.co/5KNFw6pHPW
839540825029738496,2017-03-08 18:18:25,RepBillFoster,4,20,Twitter for iPhone,Proud to join @HouseDemocrats to speak out on #InternationalWomensDay for #equalpay and affordable health care.… https://t.co/YKaWhMHeAe
839524367914659840,2017-03-08 17:13:01,RepBillFoster,12,23,Twitter Web Client,The ACA makes sure our families have the coverage they need. The @HouseGOP plan gives more money to the wealthy. https://t.co/JWPdwK1F8x
839483923944079363,2017-03-08 14:32:18,RepBillFoster,2,10,Twitter Web Client,It's always good to spend time with my fellow @UWMadison alumni discussing the importance of federal #research and… https://t.co/iBzBA55OiK
839130469585276928,2017-03-07 15:07:48,RepBillFoster,12,55,Twitter Web Client,Proud to earn a perfect score from the @Defenders for making wildlife and habitat conservation a priority. https://t.co/CbLwZBSUyj
838847409354604549,2017-03-06 20:23:02,RepBillFoster,88,237,Twitter Web Client,This new #MuslimBan is just more of the same fear-mongering we’ve come to expect from this @POTUS. https://t.co/3OSC3wYGMi
837696162509500416,2017-03-03 16:08:23,RepBillFoster,12,61,Twitter Web Client,Proud to sign onto amici brief supporting #trans students. SCOTUS must rule to #ProtectTransStudents #StandWithGavin https://t.co/TjpVBqPiBC
837671318187290624,2017-03-03 14:29:40,RepBillFoster,477,0,Twitter for iPhone,RT @OversightDems: WATCH: Even more ties btw #Trump advisers &amp; #Russians. Time for independent comm to investigate #ProtectOurDemocracy htt…
837364797926686723,2017-03-02 18:11:39,RepBillFoster,57,170,Twitter Web Client,Attorney General #Sessions lied under oath and is unfit to serve – he must resign immediately. https://t.co/hUrVvnvFG9
836991767702560768,2017-03-01 17:29:22,RepBillFoster,24,76,Twitter Web Client,Proud to offer an amendment today with @RepMarkTakano to #BringBackOTA. We need to make Congress smart again &amp; say… https://t.co/lZSpWJV51S
836755026416713729,2017-03-01 01:48:39,RepBillFoster,25,0,Twitter for iPhone,"RT @SenatorDurbin: Glad to host @SenDuckworth, @RepCheri, @RepBillFoster, @janschakowsky, @CongressmanRaja, &amp; their guests before tonight’s…"
836743200870182912,2017-03-01 01:01:39,RepBillFoster,32,179,Twitter Web Client,So proud to be joined by Naperville's own Samia Abdul-Qadir to represent #IL11 at tonight's #JointSession: https://t.co/w2qzShVLhp
835223781148921857,2017-02-24 20:24:01,RepBillFoster,1814,0,Twitter Web Client,RT @HouseDemocrats: To the party of Ronald Reagan: now is the time to stand up to President Trump's assault on our country's free press. ↓…
835218548419096576,2017-02-24 20:03:14,RepBillFoster,26,95,Twitter Web Client,Proud to join @RepJerryNadler’s #ResolutionofInquiry to get answers to questions about Trump’s business interests and ties to Russia.
834858781515280384,2017-02-23 20:13:39,RepBillFoster,12,51,Twitter Web Client,I support clean air and water and #ClimateAction! Check out my 100% on the 2016 #LCVScorecard:… https://t.co/cGotgUeeyF
834791978042802177,2017-02-23 15:48:11,RepBillFoster,31,105,Twitter Web Client,.POTUS's move to rescind #TitleIX protections for transgender students is an attack on equality and civil rights. #ProtectTransKids
834508079412760582,2017-02-22 21:00:05,RepBillFoster,4,12,Twitter Web Client,Thanks to all who came to our discussion on the #OpioidEpidemic this morning: https://t.co/uq3qFrJjph #IL11
834488675438301185,2017-02-22 19:42:58,RepBillFoster,5,15,Twitter Web Client,We need answers on recent price hikes for live-saving naloxone products: https://t.co/Q4meQM02TH #OpioidEpidemic
834138718323798017,2017-02-21 20:32:22,RepBillFoster,2,10,Twitter Web Client,I hope to see you at our #OpioidEpidemic discussion tomorrow in Aurora: https://t.co/xIjnfJ47pC #IL11
832660550215610369,2017-02-17 18:38:39,RepBillFoster,7,9,Twitter Web Client,Please join me next Wednesday to discuss the #opioidcrisis. Community leaders will join us to discuss treatment opt… https://t.co/oXZtLXd8VA
831878581164838912,2017-02-15 14:51:23,RepBillFoster,45,0,Twitter for iPhone,"RT @janschakowsky: Proud to lead my Illinois Democratic colleagues in a letter asking @GovRauner to fight against #ACARepeal 

https://t.co…"
831558046933512192,2017-02-14 17:37:42,RepBillFoster,7,33,Twitter Web Client,"Students from around #IL11 made over 2,000 #ValentinesForVets! My staff will be busy distributing them to veterans… https://t.co/lneAmeZUf3"
831211843611930624,2017-02-13 18:42:01,RepBillFoster,3,35,Twitter Web Client,Thanks to everyone who joined us at @ICNMasjid this morning to discuss how @POTUS’s fear-mongering is impacting our… https://t.co/j8myezUGAE
831144910455705602,2017-02-13 14:16:03,RepBillFoster,792,0,Twitter for iPhone,"RT @RepTedDeutch: As Members of Congress, we should be listening to our constituents, not running away from them. #PeopleOverPolitics https…"
830083308021284864,2017-02-10 15:57:37,RepBillFoster,4,44,Twitter Web Client,I am encouraged by yesterday's decision on @POTUS's #MuslimBan. We will keep fighting for our country's values. https://t.co/Dbpt5i22ky
829438409739481088,2017-02-08 21:15:01,RepBillFoster,8,44,Twitter for iPhone,Congratulations! https://t.co/zcrTkOluVM
