id,created_at,user,retweets,favorite_count,source,text
851432786040938497,2017-04-10 13:52:49,RepCicilline,322,0,Twitter Web Client,"RT @RepBera: We cannot move forward in #Syria haphazardly. @SpeakerRyan, the House must return to Washington to debate next steps."
851418535716933633,2017-04-10 12:56:12,RepCicilline,1,5,Twitter Web Client,Rep. Cicilline is with @RIKidsCount today for the release of 2017 Factbook. Watch full ceremony live here: https://t.co/bSI55sKegx
850332205666762752,2017-04-07 12:59:30,RepCicilline,25,46,Twitter for iPhone,Rep. Cicilline Statement on U.S. Military Action in Syria https://t.co/qBFK0sZTlY
850055824491900929,2017-04-06 18:41:16,RepCicilline,1,9,Twitter for iPhone,Rep. Cicilline Fighting for New Federal Funding to Address Opiate Crisis https://t.co/IlSA910gpL
850046343091507205,2017-04-06 18:03:35,RepCicilline,22,33,Twitter for iPhone,Rep. Cicilline &amp; @SenWhitehouse Introduce Bill to End Tax Incentive for Offshoring Jobs https://t.co/vNIPURK01A
850018578074132480,2017-04-06 16:13:16,RepCicilline,3,9,Twitter for iPhone,Rep. Cicilline Statement on Devin Nunes’s Recusal https://t.co/CKuDGnspF3
849971933433212928,2017-04-06 13:07:55,RepCicilline,494,0,Twitter for iPhone,"RT @RepLloydDoggett: .@realDonaldTrump’s attempts to revive #TrumpCare are less about the art of the deal, and more about the art of the st…"
849722892094914560,2017-04-05 20:38:19,RepCicilline,7,12,Twitter Web Client,Civilized world cannot tolerate chemical weapons attacks. U.S. must ensure perpetrators are brought to justice. https://t.co/dRoJNtbnPR
849694169601912838,2017-04-05 18:44:11,RepCicilline,4,8,Twitter Web Client,Rep. Cicilline on @MSNBC: 'World is looking for American leadership’ https://t.co/v3FQ9VDMQe
849670533075619840,2017-04-05 17:10:15,RepCicilline,4,4,Twitter Web Client,"Rep Cicilline, @GerryConnelly @RepEliotEngel demand @DevinNunes be recused from Russian interference investigation https://t.co/E3uRZNdeHL"
849658480885731328,2017-04-05 16:22:22,RepCicilline,9,24,Twitter Web Client,The American people have been clear – it’s time to #DemandAVote and finally reveal @realDonaldTrump’s tax returns.
849645246195654656,2017-04-05 15:29:46,RepCicilline,1,9,Twitter for iPhone,Rep. Cicilline speaking this morning on @HouseDemocrats discharge petition to require President Trump to release hi… https://t.co/bXHBLPJBgT
849377291394322433,2017-04-04 21:45:01,RepCicilline,17,22,TweetDeck,Only 17% of Americans supported #Trumpcare. Republicans should abandon this bill and work with Democrats to move health care forward.
849373512410071040,2017-04-04 21:30:00,RepCicilline,3,12,TweetDeck,"Thanks to #ACA, seniors in RI have saved $76,211,626 on Medicare prescription drugs. That’s $1,000 each."
849369742544646144,2017-04-04 21:15:01,RepCicilline,0,10,TweetDeck,"68,000 Rhode Islanders have gained health insurance coverage under #ACA. #Trumpcare would reverse that progress."
849366720955514881,2017-04-04 21:03:01,RepCicilline,2,8,TweetDeck,#ACA is working. Uninsured rates are at historic lows. Premium increases have slowed. Repeal would harm tens of millions.
849362442379513856,2017-04-04 20:46:01,RepCicilline,3,16,TweetDeck,"After seven years, it’s time for Donald Trump and House Republicans to give up on repealing the Affordable Care Act."
849358669108129792,2017-04-04 20:31:01,RepCicilline,9,10,TweetDeck,The real reason Republicans want to revive #Trumpcare – Massive tax cuts for wealthy and special interests.
849354698788397056,2017-04-04 20:15:15,RepCicilline,1,4,Twitter for iPhone,Rep. Cicilline Statement on Chemical Weapons Attack in Syria https://t.co/G7PL8pYqDe
849351366933741568,2017-04-04 20:02:00,RepCicilline,58,75,TweetDeck,Republicans &amp; Vice President Pence are trying to revive #Trumpcare. That’s terrible news for the American people. https://t.co/Kaa1igSbWP
849346196330225665,2017-04-04 19:41:27,RepCicilline,0,0,Twitter for iPhone,Rep. Cicilline speaks with constituents in Cumberland at latest Community Conversation https://t.co/FtWAYIpLWb
849333979677380609,2017-04-04 18:52:55,RepCicilline,10,23,Twitter for iPhone,Rep. Cicilline cosponsors College for All Act to make four-year public colleges and universities tuition-free. https://t.co/SImZhe0q3I
