id,created_at,user,retweets,favorite_count,source,text
851568041817251840,2017-04-10 22:50:17,RepClayHiggins,3,5,Twitter Web Client,Great afternoon discussing maritime commerce and infrastructure issues with officials from the Port of Morgan City https://t.co/r6SPzIwK0q
851467207854915586,2017-04-10 16:09:36,RepClayHiggins,4,0,Twitter for iPhone,"RT @KATCTV3: 36,000 homeowners are expected to receive assistance following August flood. https://t.co/uCX0Db325l"
850726188607832078,2017-04-08 15:05:03,RepClayHiggins,2,0,Twitter Web Client,RT @ClaireTaylorTDA: Results of I-49 South economic impact released https://t.co/BvXN4i13Eu via @theadvertiser
850357040451080193,2017-04-07 14:38:11,RepClayHiggins,1,4,Twitter Web Client,We are cautiously and prayerfully following these events as they unfold. Read our statement on U.S. air strikes in… https://t.co/BZMK4NLljZ
850148089918783488,2017-04-07 00:47:54,RepClayHiggins,2,0,Twitter for iPhone,"RT @CrystalAmPress: ""I expect our state officials to make the areas most damaged by the flooding top priority in receiving funding,” @RepCl…"
850148072109871104,2017-04-07 00:47:50,RepClayHiggins,2,0,Twitter for iPhone,"RT @CrystalAmPress: Louisiana delegation, including Kennedy, Cassidy &amp; Higgins, announces $10M grant from the U.S. Department of Transporta…"
850111411627986944,2017-04-06 22:22:09,RepClayHiggins,0,1,Twitter Web Client,Read our full release and the bill here: https://t.co/eVKuJX0c4f
850110845610844160,2017-04-06 22:19:54,RepClayHiggins,1,3,Twitter Web Client,"Today, we introduced legislation to audit the Veterans Health Administration. Our veterans deserve the finest healthcare in the world."
850049335677120513,2017-04-06 18:15:29,RepClayHiggins,3,0,Twitter for iPhone,RT @MyFaithVotes: @MyFaithVotes had a great time getting to know LA Congressman @RepClayHiggins here in DC &amp; discussing the power &amp; importa…
849347331141062656,2017-04-04 19:45:58,RepClayHiggins,10,10,Twitter Web Client,".@HouseHomeland trip to the southern border provided a great opportunity to learn from the ""boots on the ground"" https://t.co/4eCLvYCWm6"
849340187247333377,2017-04-04 19:17:35,RepClayHiggins,3,0,Twitter Web Client,RT @HouseScience: .@RepClayHiggins: We must make it a priority to protect American lives and property https://t.co/3wtqvC5brp
849315750955364352,2017-04-04 17:40:29,RepClayHiggins,3,0,Twitter Web Client,"RT @MelindaDeslatte: . @RepClayHiggins took trip to the US/Mexico border with House Homeland Security Committee, says ""threats to America a…"
848953680397316097,2017-04-03 17:41:44,RepClayHiggins,55,109,Twitter Web Client,Enjoyed learning from the brave men and women who work every day to secure our border. See more pics from our trip:… https://t.co/34lqZ7OmCQ
848918682315128832,2017-04-03 15:22:40,RepClayHiggins,68,140,Twitter for iPhone,Great briefing from local law enforcement and US Border Patrol while touring the southern border with anti-terroris… https://t.co/qC5Uyq0QQf
848749723364319236,2017-04-03 04:11:17,RepClayHiggins,0,1,Twitter Web Client,We are closely monitoring the situation and keeping in close contact with local officials. https://t.co/rlAZBGANZR
848674817578553345,2017-04-02 23:13:38,RepClayHiggins,3,0,Twitter for iPhone,RT @robperillo: I'll continue to be live on air covering storms. We're streaming radar/live updates on KATC FB page &amp; online: https://t.co/…
848674794920960002,2017-04-02 23:13:33,RepClayHiggins,121,0,Twitter for iPhone,RT @weatherchannel: This #tornado threat will continue through the night and into Monday. Be sure to have a way to receive warning info: ht…
848634116132220928,2017-04-02 20:31:54,RepClayHiggins,1,5,Twitter for iPhone,Our prayers are with the family. Please be safe as more severe weather passes through the area. https://t.co/MxhqF2u8sP
847866405945036803,2017-03-31 17:41:18,RepClayHiggins,3,0,Twitter Web Client,RT @LPCA1: Thank you @RepClayHiggins for signing our support letter.  We are honored to have you as an ally &amp; advocate in the US House! #va…
847812448665174016,2017-03-31 14:06:54,RepClayHiggins,0,1,Twitter Web Client,"Congratulations to these Lafayette students, and good luck at the world championships! https://t.co/1g5Wpsk5f8 via @theadvertiser"
847475973989613578,2017-03-30 15:49:52,RepClayHiggins,1,0,Twitter Web Client,"RT @LPCA1: Thanks for the great meeting, @RepClayHiggins!  You share our passion for our state's most vulnerable citizens! #NACHCpi17 #valu…"
847154476649795584,2017-03-29 18:32:21,RepClayHiggins,0,1,Twitter for iPhone,Great visit at the U.S. Capitol this afternoon with students from Berwick High School! https://t.co/MpuJ9VGqtj
845326168387719168,2017-03-24 17:27:18,RepClayHiggins,28,44,Twitter Web Client,A vote against the American Health Care Act is a vote to maintain the status quo and keep Obamacare. https://t.co/yMCxGJIMdQ
844205577001750528,2017-03-21 15:14:28,RepClayHiggins,0,1,Twitter Web Client,Our bill puts forth common-sense solutions and strong accountability measures that will safeguard our American Trea… https://t.co/tHpQGZ7MwN
844204534381592576,2017-03-21 15:10:20,RepClayHiggins,3,5,Media Studio,"Last night, Congressman Higgins passed his first piece of legislation, which increases the efficiency of DHS' major… https://t.co/CcGqNt8nU1"
