id,created_at,user,retweets,favorite_count,source,text
850028814377697280,2017-04-06 16:53:56,RepDavidRouzer,4,0,Twitter Web Client,RT @JCS_Cafes: It was a pleasure to meet with @RepDavidRouzer's staff today to discuss #schoolmeals and speak for  @JCPS_NC students! @Scho…
849735860958384129,2017-04-05 21:29:51,RepDavidRouzer,3,3,Instagram,"Great meeting with Jackson Beatty, of Camp Lejeune, who has been awarded the ""Military Child of… https://t.co/YTaHR6Zv4m"
849279314378072066,2017-04-04 15:15:42,RepDavidRouzer,1,6,Instagram,"Discussing three @natresources bills during today's Water, Power and Oceans Subcommittee… https://t.co/mEmQ8YKKfk"
847460740332011521,2017-03-30 14:49:20,RepDavidRouzer,1,0,Twitter Web Client,"RT @tmcewen79: @RepDavidRouzer introduces bill to name #wilmingtonnc #WWII city.
#ILM 
https://t.co/ZVEVOgWHvN"
847460260574932993,2017-03-30 14:47:25,RepDavidRouzer,2,0,Twitter Web Client,RT @farmcredit: Thanks @RepDavidRouzer for meeting with Cape Fear #FarmCredit last week to discuss its support for rural communities &amp; #ag…
846804285270609920,2017-03-28 19:20:49,RepDavidRouzer,2,2,Instagram,Great meeting with North Carolina representatives of the American Dental Association this… https://t.co/I877NCC73B
846360327381966848,2017-03-27 13:56:41,RepDavidRouzer,1,2,Instagram,Had a great time showing students from St. Mark's Catholic School in Wilmington around the U.S.… https://t.co/Vqydd5YoAc
844536686407106560,2017-03-22 13:10:11,RepDavidRouzer,5,6,Instagram,Providing an update on the work of the @houseagnews Livestock and Foreign Agriculture… https://t.co/rKUdYyQnkr
844205068882776064,2017-03-21 15:12:27,RepDavidRouzer,8,0,Twitter Web Client,RT @NPPC: We look forward to testifying at Chairman @RepDavidRouzer's Livestock Subcommittee tomorrow! #TeamPork https://t.co/DzKyo2vScO
844173819719774208,2017-03-21 13:08:17,RepDavidRouzer,3,8,Instagram,"Honored to receive the @uschamber's ""Spirit of Enterprise"" Award for my pro-business votes this… https://t.co/mwLqrXHn28"
842726289970778112,2017-03-17 13:16:19,RepDavidRouzer,2,10,Twitter Web Client,Proud to support the VA Accountability First Act to change the culture at the VA &amp; ensure our #veterans get the care they deserve #HR1259
842393203965796358,2017-03-16 15:12:45,RepDavidRouzer,0,9,Instagram,Cheering on the @uncwilmington #Seahawks from on top of the uscapitol dome! #FeeltheTeal… https://t.co/QPTMTPKujU
840221833576177664,2017-03-10 15:24:30,RepDavidRouzer,2,5,Instagram,"Today, I'm introducing the States' Education Reclamation Act of 2017 to return education… https://t.co/jAb9YCCNbd"
839968541336076288,2017-03-09 22:38:00,RepDavidRouzer,3,0,Twitter Web Client,RT @HouseAppropsGOP: The Agriculture Subcommittee is hearing from Members of Congress on their requests for the FY18 funding bill this afte…
838886090958217216,2017-03-06 22:56:44,RepDavidRouzer,2,8,Instagram,Thanks to all those who attended my #townhall in Brunswick County this afternoon #NC07 @ Odell… https://t.co/J93Jqa7Df0
838817237217775620,2017-03-06 18:23:08,RepDavidRouzer,6,0,Twitter for iPhone,RT @TimBucklandSN: .@RepDavidRouzer greeting people at the door for his town hall. Hundreds are here. https://t.co/ZehrJLS2n6
838817124034437120,2017-03-06 18:22:41,RepDavidRouzer,11,0,Twitter for iPhone,RT @JonEvansWECT: NOW: @RepDavidRouzer greeting people at the door as crowd gathers for Town Hall. Watch it live at 2pm on @wectnews app. #…
837707181751296000,2017-03-03 16:52:10,RepDavidRouzer,1,3,Instagram,Had a great time reading to students of McGee's Crossroads Elementary School in celebration of… https://t.co/6YotblHpfs
837687669522071552,2017-03-03 15:34:38,RepDavidRouzer,3,0,Twitter Web Client,"RT @TheCCUL: Thank you, @RepDavidRouzer, for your time yesterday with #NC #creditunions! #CommonSenseReg #CUNAGAC https://t.co/4yz63kAylN"
837687638576496640,2017-03-03 15:34:31,RepDavidRouzer,0,1,Twitter Web Client,Thanks for stopping by! https://t.co/Xd8T8qy13M
837298561050009601,2017-03-02 13:48:27,RepDavidRouzer,0,1,Instagram,Meeting with members of the #NorthCarolina Association of Broadcasters yesterday to discuss… https://t.co/p9tKlz1z5i
836791212170440704,2017-03-01 04:12:26,RepDavidRouzer,3,12,Twitter for iPhone,"I look forward to help implementing this ambitious agenda, which will enable America to be more prosperous at home &amp; even stronger abroad"
836790886805688320,2017-03-01 04:11:08,RepDavidRouzer,2,5,Twitter for iPhone,"Under #POTUS leadership, we are also working to rebuild our #military and regain our influence on the world stage #JointAddress"
836790594408173568,2017-03-01 04:09:59,RepDavidRouzer,3,4,Twitter for iPhone,"Under #POTUS leadership, we are working to repeal Obamacare &amp; replace it with patient-centered solutions #Jointaddress"
836789834488381440,2017-03-01 04:06:58,RepDavidRouzer,4,8,Twitter for iPhone,"President Trump laid out a bold, optimistic vision to get our economy moving and bring jobs back to America #JointAddress"
836720626870046720,2017-02-28 23:31:57,RepDavidRouzer,2,4,Instagram,Honored to have Colonel Sage from Seymour Johnson Air Force Base as my guest for tonight's… https://t.co/s7STNJZ2j6
836586110977396745,2017-02-28 14:37:26,RepDavidRouzer,2,5,Instagram,Providing a legislative update to #nccounties at the #NorthCarolina Association of County… https://t.co/RXefAkHZJr
836582609949949953,2017-02-28 14:23:31,RepDavidRouzer,2,0,Twitter for iPhone,RT @mjgunnet: Thanks to @RepDavidRouzer for listening to #nccounties at the annual @NCACC Congressional Breakfast at @NACoTweets #nacoleg c…
836211507297988611,2017-02-27 13:48:54,RepDavidRouzer,1,9,Twitter Web Client,"Congratulations!  Well-deserved, Sloane! https://t.co/IEXetxKok3"
836210920070119426,2017-02-27 13:46:34,RepDavidRouzer,2,2,Instagram,Great time discussing the application process for our nation's military academies with #NC07… https://t.co/sZgrwDLajq
835282867307560960,2017-02-25 00:18:49,RepDavidRouzer,14,0,Twitter for iPhone,RT @AARPNC: TY @RepDavidRouzer for listening to those worried about their future health care affordability #NoAgeTax #ProtectMedicare @AARP…
834039884977414145,2017-02-21 13:59:38,RepDavidRouzer,6,0,Twitter Web Client,RT @rgv3307: Great discussion on #BorderSecurity between #BorderPatrol agents &amp; @JohnCornyn @SenDeanHeller @SenThomTillis @JudgeCarter @Rep…
834038266714132480,2017-02-21 13:53:13,RepDavidRouzer,3,20,Instagram,First stop on my Congressional trip to the border -- a briefing on border patrol operations in… https://t.co/g5IWkEjxaH
832245425709125637,2017-02-16 15:09:06,RepDavidRouzer,5,0,Twitter Web Client,RT @KLFishburne: Thanks @repdavidrouzer for meeting with @SONC_BeAFan during #SOHillDay. @SONorthAmerica https://t.co/yx66OTp0ER
832245392699961344,2017-02-16 15:08:58,RepDavidRouzer,1,3,Twitter Web Client,Thanks for stopping by! https://t.co/lVZcDrSWHj
831968646721335302,2017-02-15 20:49:17,RepDavidRouzer,0,4,Instagram,Great meeting with Natalie and Keith to discuss the impact and contributions the… https://t.co/TbSJM067U3
829764758589018113,2017-02-09 18:51:49,RepDavidRouzer,4,0,Twitter Web Client,RT @NPPC: We're bringing back #TBT with @RepDavidRouzer at our spring 2016 fly-in. A great friend to the US #pork industry! https://t.co/VU…
826912768431419394,2017-02-01 21:59:01,RepDavidRouzer,1,13,Twitter Web Client,Honored to serve on the @HouseAgNews Committee! https://t.co/md4VC5oLJ7
826912559727001605,2017-02-01 21:58:12,RepDavidRouzer,12,0,Twitter Web Client,RT @NCelectriccoop: Thank you @RepRichHudson @RepDavidRouzer @WalterJones2016 for asking @POTUS to include rural broadband in infrastructur…
826107223453609985,2017-01-30 16:38:05,RepDavidRouzer,3,14,Twitter Web Client,I issued the following statement today in response to President Trump's executive action on travel ban https://t.co/lGYS3WaLZ6
825035665259819008,2017-01-27 17:40:05,RepDavidRouzer,4,0,Twitter Web Client,"RT @NCRTL: Here is @RepDavidRouzer's greeting to our Saturday participants! 
#nc4life
https://t.co/8nlySAz1SW https://t.co/B12QG8wrJB"
819924786088448000,2017-01-13 15:11:17,RepDavidRouzer,7,23,Twitter Web Client,It's an honor to be appointed to serve on the @NatResources Committee!  I look forward to advocating for SE NC in this additional capacity.
818837555764346880,2017-01-10 15:11:01,RepDavidRouzer,5,0,Twitter Web Client,RT @reppittenger: .@RepDavidRouzer and I have urged the Center for Medicare &amp; Medicaid Services to reject Gov. Cooper’s illegal proposed Ob…
816423642171113472,2017-01-03 23:18:59,RepDavidRouzer,3,14,Instagram,It’s an honor to serve the great people of North Carolina’s 7th District.  With a unified… https://t.co/7gTDZw7kkm
813061087553847296,2016-12-25 16:37:23,RepDavidRouzer,4,13,Instagram,"Merry Christmas!  Best wishes for peace, good will and happiness during this joyous time!… https://t.co/qK7HzNN0BM"
806618363841671168,2016-12-07 21:56:18,RepDavidRouzer,2,5,Instagram,Had the opportunity to wish our military heroes across the world a Merry Christmas this morning… https://t.co/8rtIYpnuhT
805926972471857152,2016-12-06 00:08:58,RepDavidRouzer,12,0,Twitter for iPhone,RT @SteveScalise: The House has passed @RepDavidRouzer's bill to prevent the DoD from over-taxing benefits given to wounded vets. https://t…
803966475358838784,2016-11-30 14:18:39,RepDavidRouzer,2,3,Instagram,"As a #NDAA conference member, I had the opportunity to sign the final conference report this… https://t.co/9kr9rUeiFq"
798949351670317056,2016-11-16 18:02:23,RepDavidRouzer,3,2,Instagram,Had the opportunity to discuss legislative priorities for the upcoming Congress with witn this… https://t.co/c2zY8Tn8t1
794590946415570944,2016-11-04 17:23:39,RepDavidRouzer,2,1,Instagram,Assessing the damage from Hurricane Matthew in Fair Bluff. #HurricaneMatthew #NC07 @ Town of… https://t.co/jfTebwZ78e
790596040252588040,2016-10-24 16:49:19,RepDavidRouzer,2,3,Instagram,Thanking all of our first responders and emergency personnel during today's Hurricane Matthew… https://t.co/YBRuBQkACO
790591188311142401,2016-10-24 16:30:02,RepDavidRouzer,7,0,Twitter Web Client,RT @NCEmergency: WATCH LIVE: @GovOfficeNC gives the latest update on #MatthewNC recovery.  https://t.co/AOf5icubs4
789246247265861632,2016-10-20 23:25:43,RepDavidRouzer,2,5,Instagram,Great to attend the Annual Duplin County Farm Bureau Federation meeting in Beulaville this… https://t.co/jLSPZH6aTy
789170549289127936,2016-10-20 18:24:55,RepDavidRouzer,5,2,Instagram,Kicking off our second Hurricane Matthew Roundtable in Clinton this afternoon. #HurricaneMatthew… https://t.co/Npsrqlcjex
789083863234514945,2016-10-20 12:40:28,RepDavidRouzer,4,2,Instagram,"It was an honor to accept the ""Friend of the Farm Bureau Award"" this morning. #NC07 #ag… https://t.co/CK0wAhaSA7"
788776146070634497,2016-10-19 16:17:42,RepDavidRouzer,3,0,Twitter for iPhone,"RT @BrendenJonesNC: At @RepDavidRouzer's #nc7 #HurricaneMatthew roundtable. Joined by Fair Bluff Mayor Hammond, Bolton Mayor Maynor &amp;  Coun…"
788776072607371266,2016-10-19 16:17:25,RepDavidRouzer,3,0,Twitter for iPhone,RT @FrankWilliams: Sharing a few concerns at @RepDavidRouzer 's #HurricaneMatthew recovery roundtable in Leland. #brunsco #nc7 https://t.co…
788757095239806977,2016-10-19 15:02:00,RepDavidRouzer,2,0,Instagram,Productive #HurricaneMatthew roundtable meeting with local leaders and emergency personnel in… https://t.co/mkTsM1l61u
788755590902325248,2016-10-19 14:56:01,RepDavidRouzer,2,0,Twitter for iPhone,RT @WWAY: .@RepDavidRouzer outlines fed aid for previous storms as reference for #matthewilm. @DDorseyTV w/ story tonight. https://t.co/XLN…
788755550389596161,2016-10-19 14:55:52,RepDavidRouzer,2,0,Twitter for iPhone,RT @WWAY: Local leaders at #Leland Town Hall for @RepDavidRouzer's #MatthewILM roundtable. #brunsco #ilm https://t.co/vvfyjPncxu
788755468571308032,2016-10-19 14:55:32,RepDavidRouzer,1,0,Twitter for iPhone,RT @FrankWilliams: @RepDavidRouzer hosting an #NC7 /#HurricaneMathew recovery roundtable at @Townofleland today. #brunsco https://t.co/lPwS…
788027482595287041,2016-10-17 14:42:47,RepDavidRouzer,1,1,Instagram,Providing an update on Hurricane Matthew relief efforts with WECT this morning. Please tune in… https://t.co/m832JttUkk
786340346234073088,2016-10-12 22:58:42,RepDavidRouzer,1,1,Twitter for iPhone,Facebook update on #SampsonCounty #FEMA #matthewnc #NCRecovers https://t.co/g6EjiIZBQr
786340121910149120,2016-10-12 22:57:49,RepDavidRouzer,0,0,Twitter for iPhone,"BREAKING — Sampson Co. has been designated to receive individual assistance. Apply here  
https://t.co/6lEevhJVoo
 #MatthewNC #NCRecovers"
786277464548872192,2016-10-12 18:48:50,RepDavidRouzer,1,2,Twitter Web Client,UPDATE on #HurricaneMatthew following a call with #FEMA this afternoon.  #MatthewNC #NCRecovers https://t.co/dBeVvSlIFp
786195660743643137,2016-10-12 13:23:46,RepDavidRouzer,1,0,Twitter Web Client,Relief and recovery information for #MatthewNC --&gt; https://t.co/sU7wsTYgdn
786191768433799169,2016-10-12 13:08:18,RepDavidRouzer,49,0,Twitter Web Client,"RT @NWSWilmingtonNC: 1 out of every 2 flood fatalities is vehicle-related. Do NOT drive through flooded roadways. Turn Around, Don’t Drown.…"
786191569758003200,2016-10-12 13:07:31,RepDavidRouzer,2,0,Twitter Web Client,Homeowners &amp; renters in Johnston &amp; Wayne are now able to apply for federal assistance to repair or rebuild damaged… https://t.co/1NjDVTuBtA
786190626517680128,2016-10-12 13:03:46,RepDavidRouzer,0,0,Twitter Web Client,"If you have damage to your home or business, please read my enews for info on how to apply for assistance https://t.co/QZCka5WMWR #MatthewNC"
786190384493842434,2016-10-12 13:02:49,RepDavidRouzer,0,0,Twitter Web Client,My most recent enewsletter on the aftermath of #MatthewNC &amp; how to apply for disaster aid https://t.co/QZCka5WMWR
786188999564009473,2016-10-12 12:57:18,RepDavidRouzer,2,1,Twitter Web Client,#NorthCarolina #farmers needing help following #HurricaneMatthew are urged to call the #Ag weather emergency hotlin… https://t.co/QrNUKGX69I
784446708621176832,2016-10-07 17:34:04,RepDavidRouzer,38,0,Twitter Web Client,RT @NCEmergency: For the latest shelter information during #MatthewNC download the #ReadyNC mobile app or visit https://t.co/TXIcfTPNlx htt…
784446633270448128,2016-10-07 17:33:46,RepDavidRouzer,21,0,Twitter Web Client,RT @NewHanoverEM: New Hanover County opens emergency shelters https://t.co/ebITP5nEgu
784445551559442432,2016-10-07 17:29:28,RepDavidRouzer,1,2,Twitter Web Client,Residents w/ questions or non-life threatening issues are encouraged to contact my offices so we can help #MatthewNC https://t.co/G9erTTri6z
784402015145357313,2016-10-07 14:36:28,RepDavidRouzer,39,0,Twitter Web Client,"RT @NCEmergency: Expect dangerous impacts from tropical storm force winds &amp; heavy rains, from #MatthewNC across parts of eastern/central NC…"
784019128071913473,2016-10-06 13:15:01,RepDavidRouzer,0,0,Twitter Web Client,"Tips for before, during &amp; after storm courtesy of @StarNewsOnline --&gt; https://t.co/ybuDQZNgjC #HurricaneMatthew #MatthewNC"
784018855622504448,2016-10-06 13:13:56,RepDavidRouzer,0,0,Twitter Web Client,"I sent out an enewsletter w/ an update on #HurricaneMatthew, as well as hurricane prep. tips.  Read it here --&gt; https://t.co/4lqT0Cq7xr"
784018140250378244,2016-10-06 13:11:05,RepDavidRouzer,1,0,Twitter Web Client,RT @StarNewsOnline: Officials seek Riverwalk repair funding. #ilm @CityofWilm @RepDavidRouzer (Story: @HunterIngramSN) https://t.co/u4qghel…
783681234123751425,2016-10-05 14:52:20,RepDavidRouzer,60,0,Twitter Web Client,"RT @NCEmergency: As #MatthewNC approaches, know what to expect before, during &amp; after the storm. Be #ReadyNC! #ncwx https://t.co/8jZYTZJvAw"
783654257518112768,2016-10-05 13:05:09,RepDavidRouzer,1,0,Twitter Web Client,"RT @StarNewsOnline: Hurricane Matthew survivor's guide: Tips for staying safe before, during and after the storm: https://t.co/c6IWOMnp07 #…"
783394682114105344,2016-10-04 19:53:41,RepDavidRouzer,2,0,Twitter for iPhone,RT @tmcewen79: @RepDavidRouzer highlights his success getting the uscg bulkhead into a recently House passed Maritime bill ##ncpol https://…
783394655035588608,2016-10-04 19:53:35,RepDavidRouzer,3,0,Twitter for iPhone,RT @tmcewen79: @RepDavidRouzer taking the time to meet with downtown #ilm business owners a/b impacts from bulkhead failure. #ncpol https:/…
781147994221576192,2016-09-28 15:06:09,RepDavidRouzer,2,0,Instagram,"Discussing #VA leases during today's housetransport Subcommittee on Economic Development, Public… https://t.co/JK8jDbYsK1"
781121941189033992,2016-09-28 13:22:37,RepDavidRouzer,8,0,Twitter Web Client,RT @Transport: #WRDA is on the floor. We must pass this #jobs &amp; #infrastructure bill &amp; return to regular order. https://t.co/7qm1Zx8hYB
780864247131697152,2016-09-27 20:18:38,RepDavidRouzer,1,0,Instagram,Thank you @stevescalise for sending my office this tasty treat in celebration of #HR5883 passing… https://t.co/948Ru9eVkE
780492851461361666,2016-09-26 19:42:51,RepDavidRouzer,0,1,Instagram,"Went to the House floor today to discuss my bill, H.R. 5883, which modernizes and clarifies the… https://t.co/hEj6fOux8W"
776110159148019712,2016-09-14 17:27:36,RepDavidRouzer,0,4,Instagram,Honored to be recognized with the Guardian of Small Business Award by the nfib for my work in… https://t.co/3f2fDzcD8H
776058415533686784,2016-09-14 14:01:59,RepDavidRouzer,0,0,Instagram,Kicking off today's @houseagnews meeting with the passage of my bill (HR 5883) to modernize the… https://t.co/8B2X7krPCS
775446308270305280,2016-09-12 21:29:41,RepDavidRouzer,1,2,Instagram,It was an honor speaking at the 20th annual #NCBizSummit about the work I’m doing as a member of… https://t.co/FodDO3gOqm
774995131887943680,2016-09-11 15:36:52,RepDavidRouzer,1,0,Instagram,"Fifteen years ago today, our nation suffered one of the worst attacks in our history.  Nearly… https://t.co/0cUANphk1a"
