id,created_at,coordinates,retweets,favorite_count,source,text
819926748032798720,2017-01-13 15:19:04,,4,0,Twitter Web Client,"RT @ValleyHealthWV: Join @RepEvanJenkins and our staff for a Ribbon Cutting Ceremony at Valley Health - Wayne on Jan., 17 at 2 pm"
819660824256147456,2017-01-12 21:42:23,,1,5,Twitter Web Client,"I’m asking President-elect Trump to work with us to lower prescription drug
prices as we repeal &amp; replace Obamacare. https://t.co/nWhsEQmHtm"
819657483497181187,2017-01-12 21:29:07,,2,0,Twitter Web Client,RT @RiponAdvance: .@SenCapito and @RepEvanJenkins reintroduce bicameral legislation to kick-start and diversify rural communities https://t…
819622126697283587,2017-01-12 19:08:37,,2,8,Twitter Web Client,It’s common sense that the Obama administration’s war on coal has cost West Virginia jobs. https://t.co/FPigjBuc3D
819258110971879425,2017-01-11 19:02:09,,0,15,Twitter Web Client,I’m honored to serve on the House Appropriations Committee for the next 2 years and to continue my work for West Virginia. @HouseAppropsGOP
819200769840783360,2017-01-11 15:14:18,,2,0,Twitter Web Client,RT @DylanBrown26: .@SenCapito and @RepEvanJenkins re-introduce coal community tax credit legislation  🔒https://t.co/TwvLXPUnXP
818890223211974656,2017-01-10 18:40:18,,0,3,Twitter for iPhone,.@WOAYNewsWatch takes a look at my resolution to protect black lung benefits for our miners. https://t.co/MSsjmIkZMZ
818867861712175104,2017-01-10 17:11:26,,12,20,Twitter Web Client,"A painting that depicts police officers in a derogatory, inflammatory way has no business being displayed in our nation’s Capitol building."
818594188501479424,2017-01-09 23:03:57,,0,4,Twitter Web Client,Investment in water infrastructure is crucial for West Virginia’s rural communities. Via @BDTonline: https://t.co/F9dpiMCYn3
818532839062994951,2017-01-09 19:00:11,,5,11,Twitter for iPhone,"On this National Law Enforcement Appreciation Day, thank an officer for keeping us safe! https://t.co/O22kpVnm3Z"
817441425537245185,2017-01-06 18:43:17,,2299,0,Twitter Web Client,RT @SpeakerRyan: BREAKING NEWS → The Electoral College results are in. Donald J. Trump will be the 45th President of the United States.
817438166756065281,2017-01-06 18:30:20,,4,16,Twitter for iPhone,Headed into the House Chamber for the counting of the Electoral College votes and certification of Donald Trump as… https://t.co/2G2ZuY3zSJ
817404599208411140,2017-01-06 16:16:57,,1,3,Twitter Web Client,From today’s @Register_Herald: Jenkins seeks to protect black lung benefits from repeal ax https://t.co/7PjZE409Ir
817198892240531458,2017-01-06 02:39:33,,6,0,Twitter for iPhone,RT @WVDOT: Long night ahead for DOH crews. Average plow speed is 20 MPH. Be patient and give them room to work. https://t.co/dLEWM1w7a9
817172054478831617,2017-01-06 00:52:54,,11,35,Twitter for iPhone,I cosponsored and voted today to pass legislation rejecting the UN’s anti-Israel resolution and supporting our ally… https://t.co/5Afku24Kb9
817101363603763202,2017-01-05 20:12:00,,7,10,Twitter Web Client,"I’ve reintroduced my legislation to ensure that black lung benefits are preserved
and protected as we replace Obamacare."
817040115432353792,2017-01-05 16:08:38,,11,30,Twitter Web Client,The right of the people to keep and bear arms shall not be infringed. I read these important words on the House flo… https://t.co/TNOkH8Jbrw
816837574534823936,2017-01-05 02:43:48,,2,0,Twitter for iPhone,"RT @wvstatejournal: WV congressional delegation again pushing for long-term miner benefit fix
https://t.co/6wyGvYUEua https://t.co/8pYNwjIm…"
816762221611155456,2017-01-04 21:44:22,,1,5,Twitter Web Client,Talking with the @BDTOnline about how I’ll be working with Donald Trump to create jobs for WV. https://t.co/rtH50pIord
816715393771438081,2017-01-04 18:38:18,,2,6,Twitter Web Client,We must honor the work of West Virginia’s coal miners by protecting their pensions and healthcare benefits. https://t.co/VfC7c6Smzi
816663443818315777,2017-01-04 15:11:52,,9,84,Twitter Web Client,Honored to have my family by my side as I took the oath of office. I am proud to call West Virginia our home. https://t.co/sMPBOj4j8r
816369081054097409,2017-01-03 19:42:10,,3,22,Twitter for iPhone,"We’re going to get a lot done these next two years: fight for jobs, get coal back on its feet, take care of our sen… https://t.co/VCjawQKvBS"
815624984995446784,2017-01-01 18:25:24,,1,10,Twitter for iPhone,Happy New Year! 2017 promises to be a year of change in our nation. What are you looking forward to this year? https://t.co/UnaVpLJX17
815203251154984960,2016-12-31 14:29:35,,2,0,Twitter for iPhone,"RT @WVVA: . @RepEvanJenkins looks to 2017 #healthcare reform, tax reform, job creation, &amp; protecting retired #miner benefits 
https://t.co/…"
814572300557238274,2016-12-29 20:42:25,,1,5,Twitter for iPhone,"At the Beckley VA Medical Center, I was able to meet with many veterans and thank them personally. We owe them a de… https://t.co/zmydsfuULY"
814539137441144832,2016-12-29 18:30:38,,0,6,Twitter for iPhone,Lunch with seniors at the Raleigh County Commission on Aging &amp; Q&amp;A about how I’m fighting to protect miners’ pensio… https://t.co/VhLKjNqfPf
814177444966055936,2016-12-28 18:33:24,,1,3,Twitter for iPhone,I visited the Beckley ARH Hospital today to talk with doctors and nurses about how the 21st Century Cures Act – now… https://t.co/ns7inClxSY
