id,created_at,user,retweets,favorite_count,source,text
795741368442175488,2016-11-07 21:35:01,RepGarrett,10,15,TweetDeck,"We haven’t seen economic recovery since the financial crisis of 08 left people with no job, no savings, and no hope: https://t.co/sv9BkeWlXQ"
794239026144440320,2016-11-03 18:05:14,RepGarrett,8,11,Twitter Web Client,Sign-up for the Garrett Gazette to read about the healthcare problems our state is facing because of ObamaCare  https://t.co/ptQkgLBqFn
793219556936388608,2016-10-31 22:34:14,RepGarrett,17,37,Twitter Web Client,I'm disgusted by the animal abuse at Yulin dog meat festival in China. I am cosponsoring H. Res. 752 which condemns this disgusting event.
791024424011108352,2016-10-25 21:11:33,RepGarrett,27,29,Twitter Web Client,The American people deserve a tax code that puts more money in their pockets and sends less to Washington. https://t.co/sQOPFrr6ld
790674146200018948,2016-10-24 21:59:41,RepGarrett,6,18,Twitter Web Client,It was great to take part in the Walk to End Alzheimer's at Overpeck Park this weekend. https://t.co/uthv3CPM3F
788805746909642752,2016-10-19 18:15:20,RepGarrett,6,29,Twitter Web Client,I recently had a chance to congratulate the Dumont Fire Department on 120 years of outstanding service to our commu… https://t.co/HT7WApkLYp
787001187312799744,2016-10-14 18:44:39,RepGarrett,3,2,Twitter Web Client,Who was called the second most powerful person in the U.S. government? Sign-up for my e-newsletter to find out! https://t.co/ptQkgLBqFn
786291828689481728,2016-10-12 19:45:55,RepGarrett,9,13,Twitter Web Client,"When a sitting Fed Governor so brazenly engages in politics, Congress has a right to demand answers. Read more here https://t.co/sVL8GL10ka"
784477455226667008,2016-10-07 19:36:14,RepGarrett,3,12,Twitter Web Client,Lots of ambitious young people in NJ. Here are some young bakers from Northvale and entrepreneurs from Twp of Washi… https://t.co/o7XoE9Hpne
781599460392628224,2016-09-29 21:00:07,RepGarrett,2,5,Twitter Web Client,Thanks for having me https://t.co/OEAGZczlJg
781501282632736769,2016-09-29 14:30:00,RepGarrett,85,144,Twitter Web Client,"My thoughts and prayers are with those who are injured in Hoboken, and I’m grateful  for the hard work of the first responders on the scene."
781262141861003264,2016-09-28 22:39:44,RepGarrett,12,27,Twitter for iPhone,About to join @cvpayne on @FoxBusiness to discuss politics at the Federal Reserve. Tune in! https://t.co/7OkLQAniJs
781245451605606402,2016-09-28 21:33:25,RepGarrett,17,10,Twitter Web Client,Is the Federal Reserve nonpolitical? Watch this clip of my exchange with Chair Yellen and let me know what you think https://t.co/SUhMzAJH16
781173743796322305,2016-09-28 16:48:28,RepGarrett,6,9,Twitter Web Client,Today we mourn the loss of a statesman and a friend of the United States with the passing of Israeli President Shimon Peres.
780481440882589696,2016-09-26 18:57:30,RepGarrett,7,4,Twitter Web Client,@WSJopinion took notice of my exchange with Treasury Secretary Lew over the special treatment of Washington’s so-ca… https://t.co/GZx00GgTzS
779316224773718016,2016-09-23 13:47:21,RepGarrett,8,12,Twitter Web Client,The House voted on a bill to make sure the US never makes ransom payments to Iran again. Read more: https://t.co/DSl0KTLKVW
779050983540359169,2016-09-22 20:13:23,RepGarrett,15,7,Twitter Web Client,There's different rules for gov officials like Treasury Sec Jack Lew when it comes to lavish Wall St pay packages https://t.co/TciVFcxqJI
778729009731342337,2016-09-21 22:53:58,RepGarrett,6,9,Twitter Web Client,House passed Community Counterterrorism Preparedness Act to provide additional training for first responders to prepare for terrorism
778695509271650304,2016-09-21 20:40:51,RepGarrett,4,3,Twitter Web Client,Called for answers from FDA about the near-monopoly on the EpiPen that is causing prices to skyrocket. Read more: https://t.co/UuKdQ8LvCr
777966634963177472,2016-09-19 20:24:34,RepGarrett,13,17,Twitter Web Client,"I'd like to commend law enforcement for their professionalism and expertise during the terror attacks in Seaside Park, NYC, and Elizabeth"
777137054371057664,2016-09-17 13:28:06,RepGarrett,14,16,TweetDeck,"On this day in 1787, the U.S.Constitution was signed by 39 delegates in Philadelphia. Today we celebrate the liberty and freedom it provides"
776449976373174276,2016-09-15 15:57:54,RepGarrett,5,6,Twitter Web Client,Two detainees transferred from Gitmo have joined terrorist orgs this year. I voted today to freeze these transfers https://t.co/KFlxSqsYmu
776205560320499712,2016-09-14 23:46:41,RepGarrett,6,4,Twitter Web Client,House just passed a bill to hold the VA accountable to our heroes. Check out this video explaining how it works: https://t.co/t8xx8lfbss
776166755488108545,2016-09-14 21:12:29,RepGarrett,5,7,Twitter Web Client,Proud to be named a Guardian of Small Business by @NFIB! Small biz is an important part of the economy in #NJ05 https://t.co/gQawIYC6lt
775774558255063040,2016-09-13 19:14:02,RepGarrett,2,2,Twitter Web Client,@FinancialCmte passed the #CHOICEact to fix the failures of Dodd-Frank and expand economic opportunity for everyone: https://t.co/WRiY77Rx3h
774939328262701056,2016-09-11 11:55:08,RepGarrett,14,28,TweetDeck,We will never forget those we lost 15 years ago today. May God bless the United States of America.
774324408181809152,2016-09-09 19:11:39,RepGarrett,3,5,Twitter Web Client,"The Financial CHOICE Act provides opportunity for all, and bailouts for none. https://t.co/kf2jV2dCTU"
774313893543960576,2016-09-09 18:29:52,RepGarrett,71,0,Twitter Web Client,"RT @SpeakerRyan: Today, the House of Representatives marked the 15th anniversary of #September11. Watch the video here: https://t.co/9xkNAy…"
773979807885430784,2016-09-08 20:22:20,RepGarrett,4,7,Twitter Web Client,Bigger paychecks and more opportunity in NJ starts with ending the excessive regulations from Washington: https://t.co/PpN89LtUSM
773561242724229120,2016-09-07 16:39:06,RepGarrett,50,130,Twitter Web Client,I proudly voted for this bill to make sure every survivor of sexual assault is empowered to seek justice https://t.co/9sqKBP0FJg
773512364167749633,2016-09-07 13:24:53,RepGarrett,33,0,Twitter Web Client,"RT @FinancialCmte: Was it ransom? On Thursday, Chairman @RepSeanDuffy and the @FinancialCmte will demand answers. https://t.co/Lbo36mohIW"
771448453872357376,2016-09-01 20:43:38,RepGarrett,2,2,Twitter Web Client,Proud to support this important legislation! https://t.co/rJkoc4VK8y
765651561481637889,2016-08-16 20:48:52,RepGarrett,2,9,Twitter Web Client,Must stop terrorists from having the chance to attack Americans. Obama plan is dangerous #Gitmo
765651104952705024,2016-08-16 20:47:03,RepGarrett,4,8,Twitter Web Client,My top priority- safety of Americans. I will continue to fight against Obama plan to close Gitmo https://t.co/vvVnz6BWoI
762730688969895937,2016-08-08 19:22:21,RepGarrett,2,11,Twitter Web Client,It was an honor to express my gratitude at the #PurpleHeartDay commemoration in Belvidere yesterday. https://t.co/HCu2EeBjXZ
762676440932487168,2016-08-08 15:46:48,RepGarrett,66,0,Twitter Web Client,"RT @FinancialCmte: We are working to build a future w/ opportunity for those who work hard, play by the rules, &amp; dream big. #BetterWay
http…"
