id,created_at,user,retweets,favorite_count,source,text
851516151049990145,2017-04-10 19:24:05,RepGrothman,1,4,Twitter for iPhone,We have a large group at my town hall in Valders this afternoon! https://t.co/zuhgG299Yc
851456653241221120,2017-04-10 15:27:40,RepGrothman,2,0,Twitter for iPhone,"RT @TheoKeith: .@RepGrothman is holding town halls in Sheboygan and Valders today. Tuesday: Montello, Neshkoro, Wautoma, Redgranite, Berlin…"
851454159828258816,2017-04-10 15:17:45,RepGrothman,0,2,Twitter for iPhone,My town hall in Sheboygan is in full swing. https://t.co/ch09LFU4yK
851453618691723268,2017-04-10 15:15:36,RepGrothman,3,0,Twitter for iPhone,RT @bockling: .@RepGrothman giving a legislative update to a standing room only crowd in #Sheboygan
851452312791003141,2017-04-10 15:10:25,RepGrothman,2,0,Twitter for iPhone,RT @bockling: Quite a turnout for the @RepGrothman listening session @meadlibrary in Sheboygan. https://t.co/1iOjDBraDA
850446422331805696,2017-04-07 20:33:22,RepGrothman,0,2,Twitter for iPhone,Enjoyed talking my committee priorities w/ the Ripon Chamber at the Little White Schoolhouse this afternoon. https://t.co/C4h2WxF96e
850426494400778240,2017-04-07 19:14:11,RepGrothman,1,2,Twitter Web Client,The chemical attacks in Syria were an atrocious act against the Syrian people. America needed to take action. https://t.co/xA4Xf3zjs1
850416769886027777,2017-04-07 18:35:32,RepGrothman,1,6,Twitter Web Client,Congratulations to Judge Neil Gorsuch on his confirmation to #SCOTUS. His track record and Conservative voice make him a worthy choice.
849739517758197761,2017-04-05 21:44:23,RepGrothman,2,5,Twitter Web Client,"It was wonderful to meet with WI's Cherry Blossom Princess - &amp; Sheboygan native! - Maria, and Junior Cherry Blossom… https://t.co/tKmswK3ZNo"
848961276617383936,2017-04-03 18:11:55,RepGrothman,5,0,Twitter Web Client,I will be hosting a series of town hall meetings in #WI06 on April 10&amp;11. I look forward to seeing you there! https://t.co/egOGVQDRwT
