id,created_at,user,retweets,favorite_count,source,text
794969804260052992,2016-11-05 18:29:05,RepHardy,3,4,Twitter for iPhone,"Honored to be a part of Mesquite's #VeteransDay memorial ceremony &amp; have Tony Hardway, #PurpleHeart #vet join me in… https://t.co/KzcSIFqmwJ"
794247289883590656,2016-11-03 18:38:04,RepHardy,0,1,Twitter for iPhone,"#Vets &amp; families were able to get info on VA &amp; Social Security benefits at my Vets Workshop: Planning for Tomorrow,… https://t.co/qwrhTCaT81"
794026661113016320,2016-11-03 04:01:22,RepHardy,3,1,Twitter for iPhone,"This #NationalDiabetesAwarenessMonth, let's continue to work together to fight diabetes and find a cure to this dis… https://t.co/S1u6ZsrOVZ"
793668358684106753,2016-11-02 04:17:37,RepHardy,1,1,Twitter for iPhone,"#Veterans &amp; their families are invited to attend my Veterans Workshop: Planning For Tomorrow, Today in #Pahrump thi… https://t.co/ED12hJlF8Y"
793578762076053504,2016-11-01 22:21:35,RepHardy,1,4,Twitter Web Client,"Proud to host healthcare roundtable w/ healthcare leaders in Pahrump to discuss impact of H.R. 5133, my rural healt… https://t.co/dSRzKhL2oC"
793542976744062976,2016-11-01 19:59:23,RepHardy,1,0,TweetDeck,Glad to meet with VFW Post 10054 again to discuss how I can continue working to address issues facing #veterans in… https://t.co/VSjjBKNJ02
793525224985722880,2016-11-01 18:48:51,RepHardy,1,3,Twitter Web Client,Today I toured new @VA clinic in #Pahrump where #vets are able to get the quality health care they earned closer to… https://t.co/AKqvUvwboQ
793487377947844608,2016-11-01 16:18:27,RepHardy,0,0,Twitter Web Client,"Today my team will be at Desert Vista Community Center located 10338 Sun City Blvd, 10:30AM-12:30PM to help you solve federal issues. #NV04"
793264663924318208,2016-11-01 01:33:28,RepHardy,1,4,Twitter for iPhone,"Today marks the day Nevada officially became a state in our great nation. Happy Birthday, Nevada! #NV04 https://t.co/bC3No2tDN4"
792499743125491712,2016-10-29 22:53:57,RepHardy,1,1,Twitter for iPhone,#NV04 deserves a simpler &amp; fairer tax code to keep econ moving fwd &amp; grow #jobs. Here's a #betterway for tax reform. https://t.co/nqoBkJ6RhC
792184771866537984,2016-10-29 02:02:22,RepHardy,2,0,TweetDeck,RT @RTCSNV: The proj speaks well of the dedication &amp; hard work everyone associated w/moving SNV forward #FlamingoRdOpening #RTCSNV @RepHard…
792146464705241088,2016-10-28 23:30:09,RepHardy,1,0,Twitter Web Client,I was proud to join the @RTCSNV today to celebrate the completion of the Flamingo Corridor Improvements Project.… https://t.co/odIscWBev4
792120931833577472,2016-10-28 21:48:41,RepHardy,6,10,Twitter Web Client,"152 years ago, #Nevada gained statehood into the Union. As we celebrate our great state, I want to wish NV families… https://t.co/5diAOBOM6O"
791747815819083781,2016-10-27 21:06:03,RepHardy,1,2,Twitter Web Client,Great speaking to business leaders at @lvchamber’s #EggsAndIssues on what I’m working on in Washington to fight on… https://t.co/cGRjUQOL2v
791659840322035717,2016-10-27 15:16:28,RepHardy,1,0,TweetDeck,"Looking forward to joining @lvchamber at #EggsAndIssues this AM to talk about jobs, economy and overburdensome regulations. #NV04"
791496851098775552,2016-10-27 04:28:49,RepHardy,3,9,Twitter for iPhone,"Since 1936, the #HooverDam has been a source of hydropower for #Nevada families. Today we commemorate the Hoover Da… https://t.co/fQlNO7i1et"
791125470716825600,2016-10-26 03:53:05,RepHardy,0,1,TweetDeck,"In Congress, I introduced #GOMED to train more doctors in Nevada. Watch here —&gt; https://t.co/nMACDDH65n https://t.co/HT26SQvB2y"
789594862777696256,2016-10-21 22:30:59,RepHardy,1,7,Twitter Web Client,I was proud to welcome @CrackerBarrel to North Las Vegas today &amp; spend time with constituents to enjoy this new res… https://t.co/prIYfZAaRq
789300179140616192,2016-10-21 03:00:01,RepHardy,2,7,TweetDeck,#Smallbiz is the engine that keeps our economy moving fwd. Here's how I'm working to protect #NV04 small businesses… https://t.co/cKhANHdYUm
789232228211490816,2016-10-20 22:30:01,RepHardy,1,1,TweetDeck,"This #BreastCancerAwarenessMonth let's raise awareness of this disease, fight for a cure &amp; encourage screenings.---… https://t.co/gBYTbaT2SW"
788091376235937793,2016-10-17 18:56:40,RepHardy,0,0,Twitter Web Client,Today my team will be at Aliante Library located at 2400 Deer Springs Way from 12-2 PM to help you find solutions to federal problems. #NV04
787786060474507264,2016-10-16 22:43:27,RepHardy,3,3,TweetDeck,#ICYMI: My piece in the @LasVegasSun on vital homeland security funds #Vegas needs. https://t.co/CcIB1YnpXS #NV04… https://t.co/GHkYzWbQ5z
787408963612487680,2016-10-15 21:45:00,RepHardy,13,18,TweetDeck,I voted twice this year to give our troops a raise. RT if you agree they deserve it.
787374992182968320,2016-10-15 19:30:01,RepHardy,18,35,TweetDeck,On track for most regulations in history this yr. @RepKevinCramer talks abt our #BetterWay in this wks #GOP address. https://t.co/x0anNOG6XI
787367033683845121,2016-10-15 18:58:24,RepHardy,6,6,Twitter for iPhone,Honored to visit 926th Reserve Wing at @NellisAFB to spend time w/ our incredible airmen &amp; women for today's Reserv… https://t.co/84yHHcMyyc
787361367393177602,2016-10-15 18:35:53,RepHardy,0,0,TweetDeck,It was great to visit with the 926th Reserve Wing today at @NellisAFB. Thanks for all you do.
787349275051118592,2016-10-15 17:47:50,RepHardy,0,1,Twitter for iPhone,My office helped deliver boxes of new books directly from @librarycongress to students at Cox &amp; Woolley Elementary… https://t.co/IsRcjmquJJ
787057902250975232,2016-10-14 22:30:01,RepHardy,1,1,TweetDeck,"This #FirePreventionWeek, learn more about how you can keep your loved ones safe from fire hazards. ---&gt;… https://t.co/HgBOHMtkDL"
787013590607925248,2016-10-14 19:33:56,RepHardy,2,2,Twitter Web Client,Honored to receive 2016 Patient Access Award by Alliance for Patient Access for my efforts to protect #Medicare. https://t.co/8TKv2G0xPP
786705108268711937,2016-10-13 23:08:08,RepHardy,2,2,Twitter Web Client,Proud to speak at @hope4prisoners1 &amp; @cneonline's Repairing the Breach Summit on a #betterway to strengthen our com… https://t.co/vBFNaNgsIa
786650895295578113,2016-10-13 19:32:43,RepHardy,4,3,TweetDeck,On way to open @hopeforprisoners1 Repairing the Breach Summit w/ @cneonline. https://t.co/HyInDJRLII @JonDPonder @BobWoodson #RTBSummit2016
786395019171115008,2016-10-13 02:35:57,RepHardy,1,2,Twitter for iPhone,RT if you’re doing the #HouseAppChallenge. Reply to let me know what you’re working on. What’s App Challenge? Click—&gt;https://t.co/LcvGGXkkM3
786037745512656897,2016-10-12 02:56:17,RepHardy,2,1,Twitter for iPhone,"For #HispanicHeritageMonth, I hosted a #HispanicBusiness Roundtable w/@SenDeanHeller to discuss issues facing… https://t.co/433AutHEav"
786017023708925952,2016-10-12 01:33:56,RepHardy,2,4,Twitter for iPhone,"Wishing a wonderful #YomKippur filled with reflection, prayer &amp; a meaningful fast to all of our Jewish friends acro… https://t.co/4il1ySU2R2"
785891967993425920,2016-10-11 17:17:00,RepHardy,0,0,Twitter Web Client,Today my team will be at @CSNCoyote - Cheyenne Campus until noon to help you find solutions to federal problems. #NV04
783750544984793088,2016-10-05 19:27:45,RepHardy,1,1,Twitter Web Client,"On this #WorldTeachersDay, we give thanks to all the incredible teachers across #NV04 who are preparing our bright… https://t.co/1iXrX5vJsY"
783692630282633216,2016-10-05 15:37:38,RepHardy,0,1,Twitter Web Client,"Today my team will be at my Pahrump Office located 321 S Highway 160 Ste 4B, 9am-Noon to help you navigate issues w/ federal agencies. #NV04"
783499650590347265,2016-10-05 02:50:48,RepHardy,0,0,Twitter for iPhone,Great speaking at the @NVHealthForum about the #healthcare legislation I'm working in Washington for Nevada's famil… https://t.co/fOWzRb3J0E
783393993426075648,2016-10-04 19:50:57,RepHardy,2,2,TweetDeck,Thank you for having me. #CuresNow #GOMED #Nevada #healthcare https://t.co/rzmPvzoYx5
783353470564835328,2016-10-04 17:09:56,RepHardy,1,0,Twitter Web Client,"Today my team will be at Desert Vista Community Center located 10338 Sun City Blvd, 10:30AM-12:30PM to help you solve federal issues. #NV04"
782666632409731072,2016-10-02 19:40:41,RepHardy,1,1,Twitter for iPhone,No #veteran calling for help should have their call unanswered. That's why I voted for No #Vets Crisis Line Call Sh… https://t.co/wsD4Svuo7Q
782346110161395712,2016-10-01 22:27:02,RepHardy,3,0,Twitter for iPhone,Find out how to access @uscensusbureau data &amp; learn more about local trends &amp; how to reach your audience at my Cens… https://t.co/qLQ00KIRCl
782296387983515648,2016-10-01 19:09:27,RepHardy,1,0,Twitter for iPhone,Honored to be a part of the @lvlcc's La Oportunidad Expo this #HispanicHeritageMonth to support Nevada's Hispanic… https://t.co/lTRTBQQeIB
782284100786761728,2016-10-01 18:20:38,RepHardy,1,1,Twitter for iPhone,"Today begins Breast Cancer Awareness Month. This October, we come together to raise awareness of this disease and f… https://t.co/Z1ngtXMqLB"
