id,created_at,coordinates,retweets,favorite_count,source,text
819553722636402689,2017-01-12 14:36:48,,618,0,Twitter Web Client,RT @RepCummings: #RussianHacking was an attack on our nation. #ProtectOurDemocracy Act will create independent commission to help prevent i…
818954441193902080,2017-01-10 22:55:28,,5,3,Fireside Publishing,The Senate has begun confirmation hearings but many of the nominees have not completed their ethics reviews. https://t.co/pmIIu8QFPO
818560260185198592,2017-01-09 20:49:08,,3,1,Fireside Publishing,My statement on yesterday's terror attack in Jerusalem: https://t.co/OuRGwkq7Gu
818550901506011136,2017-01-09 20:11:57,,13,8,Fireside Publishing,"I just introduced the Justice for Yazidis Act, legislation to aid religious minorities persecuted by ISIS. https://t.co/DhWpLIpDqy"
818478700278779904,2017-01-09 15:25:03,,140,97,Fireside Publishing,I have reintroduced my resolution condemning the #Yulin Dog Meat Festival and urging China to end the dog meat trade https://t.co/yTeOjDezGU
817447774459490304,2017-01-06 19:08:31,,4,1,Fireside Publishing,My Statement on the Fort Lauderdale Airport Shooting: https://t.co/uhQwfkjaI8
817437136098050048,2017-01-06 18:26:15,,9,2,Twitter Web Client,Active shooter/casualties reported at Fort Lauderdale Airport. Information still coming in. Praying for the victims. https://t.co/ZEuphx46w0
817080735077056512,2017-01-05 18:50:02,,10,1,TweetDeck,Republicans want to pull the rug out from seniors benefiting from the #ACA and put insurance companies back in char… https://t.co/gCbLTLlgnU
817079471589113856,2017-01-05 18:45:01,,6,3,TweetDeck,The GOP plan to repeal the #ACA is shortsighted. Still waiting for Republicans to present their alternative plan fo… https://t.co/yGEnpOBWIZ
817075705905180672,2017-01-05 18:30:03,,5,9,TweetDeck,#ACAWorks: 1.6 million Floridians have gained insurance since 2010. 5.6 million no longer have annual &amp; lifetime li… https://t.co/fO9IK6w7Wq
817025321308475393,2017-01-05 15:09:50,,791,0,Twitter Web Client,RT @RepDianaDeGette: #ACA means ~85 million women now have access to preventive care like mammograms and flu shots. That's worth protecting…
816760729546145797,2017-01-04 21:38:27,,6,10,Twitter Web Client,Proud to continue my efforts to help Haiti become a strong and vibrant democracy https://t.co/ahi1KDSmDo
816396616437473280,2017-01-03 21:31:35,,4,3,Fireside Publishing,Hastings Introduces 15 Measures on the First Day of the 115th Congress https://t.co/iRmLfjrU2I
812436916239011840,2016-12-23 23:17:09,,10,4,Fireside Publishing,My Statement on tonight's UN Vote on Israel: https://t.co/SOrM7sqXDD
809070449682358276,2016-12-14 16:20:01,,25,30,TweetDeck,Today we remember the 26 children &amp; educators murdered at Sandy Hook Elem. Congress has failed to act to… https://t.co/iqEfuEZj7d
808388634525270016,2016-12-12 19:10:44,,16,13,Twitter Web Client,My statement on President-Elect Trumps rejection of the CIA assessment that Russia interfered with the U.S. election https://t.co/A8PBuw8Ksx
806989467890384896,2016-12-08 22:30:56,,5,11,Fireside Publishing,My Statement on the Passing of Former Senator John Glenn: https://t.co/hOEYZT3zSg
806571792366178304,2016-12-07 18:51:15,,6,6,Twitter Web Client,I join with all Americans in pausing to honor those lost during the attack on Pearl Harbor. #PearlHarbor75… https://t.co/5jmhwvimuq
805892893537947652,2016-12-05 21:53:33,,77,34,Twitter Web Client,@SpeakerRyan @GOPLeader let’s vote on #HRes752 before Congress adjourns. Animal welfare shouldn’t be a partisan issue. RT if you agree!
804392384339542016,2016-12-01 18:31:03,,9,6,Fireside Publishing,#HIVPrevention saves lives. We must continue to support testing and prevention around the world. #WorldAIDSDay https://t.co/rMq9C2EC14
803606191251292161,2016-11-29 14:27:00,,37,37,TweetDeck,"America’s working families deserve a raise. Today, I stand with workers across our nation in the #fightfor15.… https://t.co/lk2qyQSE1d"
