id,created_at,user,retweets,favorite_count,source,text
851448066095939588,2017-04-10 14:53:32,RepHensarling,31,40,Twitter Web Client,Congratulations to my good friend @russvought on his appointment to be Deputy Director of #OMB https://t.co/kn03g2fRqj
850354030413000706,2017-04-07 14:26:14,RepHensarling,2,8,Twitter Web Client,My statement on last night's U.S. military strike in #Syria: https://t.co/vHxtFZaYrR
849985071327137792,2017-04-06 14:00:07,RepHensarling,3,0,Twitter for iPhone,RT @FinancialCmte: #HappeningNow: @RepHensarling speaks in favor of a bipartisan bill to support America's entrepreneurs→ https://t.co/qhW6…
847845937749913600,2017-03-31 16:19:58,RepHensarling,84,214,Twitter Web Client,Honored to tour @JubileePark in Dallas this morning with @SecretaryCarson and to discuss re-thinking housing assist… https://t.co/dfgJuUwxtC
847084948188213248,2017-03-29 13:56:04,RepHensarling,4,0,Twitter Web Client,"RT @FinancialCmte: At 10 AM→  @RepHuizenga
&amp; @FinancialCmte examine the impact of the Volcker Rule on markets and job creation.

WATCH: htt…"
845295877975654404,2017-03-24 15:26:56,RepHensarling,241,963,Twitter Web Client,My choice today: I can vote to advance the cause of freedom &amp; stand by @POTUS or stand for #obamacare.  I choose freedom. #passthebill
837418240691306497,2017-03-02 21:44:01,RepHensarling,4,23,Twitter Web Client,Congrats to my good friend &amp; fellow #Texan Gov. Rick Perry on his confirmation to lead the @ENERGY Department! https://t.co/oy77YQnJBl
837331549892853760,2017-03-02 15:59:33,RepHensarling,10,22,Twitter Web Client,God bless #Texas! #TexasIndependenceDay https://t.co/97RfrIJ9ww
836786660222304259,2017-03-01 03:54:21,RepHensarling,38,154,Twitter Web Client,"Inspired by @POTUS's speech &amp; look forward to continuing to work with him to make America safer, more prosperous &amp; more free #JointAddress"
836558588881555457,2017-02-28 12:48:04,RepHensarling,3,5,Twitter for iPhone,Joining @SquawkCNBC this morning for a #JointSession preview to talk deregulation and growing our economy from Main St. up
832289242348924931,2017-02-16 18:03:13,RepHensarling,3,10,Twitter Web Client,"Thrilled my dear friend @RepMickMulvaney will be the next #OMB Director.  But, I am just as excited, if not more so… https://t.co/chPU3RzHei"
831529404991954945,2017-02-14 15:43:53,RepHensarling,6,9,Twitter for iPhone,HAPPENING NOW: joining @Varneyco to talk about upcoming @FinancialCmte hearing with Fed Chair Janet Yellen
830794707823374344,2017-02-12 15:04:28,RepHensarling,20,0,Twitter Web Client,RT @MariaBartiromo: Happening now: @SundayFutures @FoxNews live @CarlyFiorina @LindseyGrahamSC @RepHensarling @RandPaul frmr AG JOHN Ashcro…
829730098219778048,2017-02-09 16:34:05,RepHensarling,15,0,Twitter Web Client,"RT @dcexaminer: Op-ed from @SenMikeLee &amp; @RepHensarling: Earmarks weaken Congress, won't drain the swamp https://t.co/XPP2qbpwaZ https://t.…"
829059286928130050,2017-02-07 20:08:31,RepHensarling,5,17,Twitter for iPhone,On @CNBCClosingBell in 5 mins to talk about the failures of #DoddFrank and our plan to replace it with the… https://t.co/L5ERwEYxUc
828969600738000896,2017-02-07 14:12:08,RepHensarling,3,9,Twitter for iPhone,Ready to join @Varneyco at 9:15/8:15 CT to discuss the failures of #DoddFrank and the @HouseGOP plan to replace it.
827612788952530944,2017-02-03 20:20:39,RepHensarling,25,0,Twitter for iPhone,RT @RepAnnWagner: .@RepHensarling and I sat down with @VP before we met with @POTUS. We are getting our economy back on track! #MAGA https:…
824014549259055105,2017-01-24 22:02:32,RepHensarling,5,21,Twitter Web Client,Proud to stand w/ my #prolife colleagues as we renewed our commitment to preventing taxpayer funding for abortion https://t.co/Q6WTcSk95I
820131097736581120,2017-01-14 04:51:05,RepHensarling,2,4,Twitter for iPhone,Looking forward to it @larry_kudlow https://t.co/gkFxJ36VwS
819625928582168578,2017-01-12 19:23:43,RepHensarling,3,0,Twitter Web Client,RT @FinancialCmte: STARTING NOW: Debate on the SEC Regulatory Accountability Act w/ @RepHensarling→  https://t.co/5lsUlsxQDG https://t.co/m…
819518371993620488,2017-01-12 12:16:20,RepHensarling,6,20,Twitter for iPhone,Hope you can join me on the @hughhewitt radio show this morning when we discuss #DoddFrank repeal. Tune in now!
818906427767083009,2017-01-10 19:44:41,RepHensarling,6,0,Twitter Web Client,RT @FinancialCmte: The #HALOSact is about making sure small businesses and #startups have the capital they need to create jobs. https://t.c…
817133493771702272,2017-01-05 22:19:41,RepHensarling,26,0,Twitter Web Client,RT @FinancialCmte: Welcome to the newest members of the @FinancialCmte!  https://t.co/9ohQTZ3PcD
817100782403194885,2017-01-05 20:09:42,RepHensarling,11,15,Twitter for iPhone,Ready to join @CNBCClosingBell at 2:10 CT to discuss financial reforms including #DoddFrank repeal under @realDonaldTrump
816408169538813953,2017-01-03 22:17:30,RepHensarling,14,58,Twitter Web Client,It's an honor to serve the great people of TX-5 during the #115Congress &amp; to have my family here with me today as I… https://t.co/jwpZz8qUPc
815430130214506496,2017-01-01 05:31:07,RepHensarling,9,0,Twitter for iPhone,RT @FinancialCmte: We made a lot of progress for the American people in 2016. Here's a look back at some of the highlights: https://t.co/9c…
810166532529602561,2016-12-17 16:55:28,RepHensarling,166,454,Twitter Web Client,President-elect Donald Trump has made an outstanding choice in naming @RepMickMulvaney OMB Director.  See my full s… https://t.co/6IfZxA9TuI
809091185058975745,2016-12-14 17:42:25,RepHensarling,1,9,Twitter Web Client,Spoke with @Varneyco today about our plan to create more hope and opportunity for all Americans. #CHOICEact https://t.co/sQau3iIgtM
809069524251213824,2016-12-14 16:16:21,RepHensarling,2,0,Twitter Web Client,RT @FinancialCmte: #HappeningNow→ @RepHensarling speaks with @Varneyco live on @FoxBusiness. https://t.co/E6AQGIWwMQ
806518308648480769,2016-12-07 15:18:43,RepHensarling,2,0,Twitter Web Client,RT @FinancialCmte: Starting now→ Subcommittee examines “Unconventional Monetary Policy” w/ Chairman @RepHuizenga https://t.co/l0xUNNk5s7
805426794354659328,2016-12-04 15:01:26,RepHensarling,11,42,Twitter for iPhone,About to join @MariaBartiromo this morning on @FoxNews Channel's Sunday Morning Futures. Tune in at 9:20 CT / 10:20 EST
804876011942907904,2016-12-03 02:32:49,RepHensarling,7,21,Twitter Web Client,Humbled by the trust of my colleagues to continue my service as @FinancialCmte chair.  Thank you for your support https://t.co/IbGY47Qwv7
804672489188184068,2016-12-02 13:04:06,RepHensarling,5,6,Twitter for iPhone,Joining #CNN @NewDay this morning to discuss @transition2017 #carrierdeal #doddfrank repeal. Watch at 7:05 CT / 8:05 EST
803602043353124864,2016-11-29 14:10:31,RepHensarling,9,15,Twitter Web Client,.@RepTomPrice is an outstanding choice to head HHS &amp; to lead the charge to fix our nation’s health care challenges.… https://t.co/PElCnYGblB
802594381266034688,2016-11-26 19:26:26,RepHensarling,4,8,Twitter Web Client,"The Cuban ppl are freed from the grasp of a tyrant. Now, hard work must continue to truly liberate the people of Cu… https://t.co/YRsPYnDTGR"
801794742816309248,2016-11-24 14:28:57,RepHensarling,10,41,Twitter for iPhone,"As I think about all of the things for which I thank God every day, I'm most thankful for this wonderful family of… https://t.co/dqZQlTgGIg"
791815707063382016,2016-10-28 01:35:50,RepHensarling,13,35,Twitter Web Client,Blessed that the incident at LaGuardia wasn’t worse.  Grateful all on board are OK.
