id,created_at,user,retweets,favorite_count,source,text
849278645944320002,2017-04-04 15:13:02,RepHolding,0,3,Twitter Web Client,I am pleased to announce that my office will participate in the 2017 Congressional Art Competition. https://t.co/vfebwBerfx
847925263488954373,2017-03-31 21:35:11,RepHolding,3,0,Twitter for iPhone,RT @KASiomkos: Big thanks to @RepHolding for taking the time to chat w/us on issues impacting NC's hospitality industry. @NCRLA @WeRRestaur…
847923217624858624,2017-03-31 21:27:03,RepHolding,3,10,Twitter for iPhone,Had a great time discussing policy with @RestaurantsAct in Raleigh today #RestaurantRoundtable https://t.co/pZbJXWzvfL
844636787800784897,2017-03-22 19:47:57,RepHolding,8,9,Twitter Web Client,Another reminder the threat of terrorism is real. https://t.co/woJGgnIydt
842467544845950977,2017-03-16 20:08:09,RepHolding,7,11,Twitter Web Client,President Trump proposes cuts in U.N. funding and the State Department. Both make sense ... https://t.co/PN6Np4jCja
836964519373074433,2017-03-01 15:41:06,RepHolding,5,11,Twitter Web Client,Jump starting our economy through tax reform to encourage Main Street growth is a top priority. https://t.co/2TYfs0dfEw
833719235058794497,2017-02-20 16:45:30,RepHolding,0,9,Twitter Web Client,Happy Presidents' Day -- today we celebrate President Washington's birthday. https://t.co/0MEEltxPVZ
832665980878794752,2017-02-17 19:00:14,RepHolding,0,1,Twitter Web Client,"I was saddened to learn C.A. Dillon passed away -- he'll always be remembered as the ""soul of Reynolds Coliseum."" https://t.co/yDRNsPZewR"
831528043080536066,2017-02-14 15:38:29,RepHolding,942,0,Twitter Web Client,"RT @SpeakerRyan: On behalf of the whole House, I want to extend best wishes this #Valentines Day to a couple whose love story is more than…"
827549555365445632,2017-02-03 16:09:23,RepHolding,6,6,Twitter Web Client,"The National Research Program at the IRS turns taxpayers, chosen at random, into audit ""guinea pigs."" https://t.co/J1mV1coCSi"
824271708030902272,2017-01-25 15:04:24,RepHolding,4,7,Twitter Web Client,President Trump signed an executive order allowing the Keystone XL and the Dakota Access pipelines to go forward... https://t.co/7CRLse5djd
