id,created_at,user,retweets,favorite_count,source,text
849700031628275716,2017-04-05 19:07:28,RepJBridenstine,7,0,TweetDeck,RT @LamarSmithTX21: Thanks to my colleague @RepJBridenstine for his leadership on HR 353. The bill now heads to @POTUS's desk https://t.co/…
847497720009035776,2017-03-30 17:16:16,RepJBridenstine,66,0,Twitter Web Client,RT @capitalweather: Senate passes comprehensive bi-partisan bill to improve weather forecasting: https://t.co/hgAfFsrSp6
844668909634686976,2017-03-22 21:55:35,RepJBridenstine,15,27,Twitter Web Client,My statement on Obamacare repeal: https://t.co/9cal5jHjeT
840214513911754752,2017-03-10 14:55:25,RepJBridenstine,2,3,TweetDeck,@TheMidMerican Yes!
832357909208113153,2017-02-16 22:36:04,RepJBridenstine,69,193,Twitter Web Client,Just voted to block an Obama reg that would've opened backdoor funding for abortions with taxpayer dollars. #ProLife https://t.co/jmbLBVrfab
829722523579330561,2017-02-09 16:03:59,RepJBridenstine,27,42,Twitter Web Client,Yesterday I spoke at the 20th Annual Commercial Space Transportation Conference. Here are my remarks #CST2017 https://t.co/YfdNM0GOQb
825107344728195072,2017-01-27 22:24:55,RepJBridenstine,9,0,TweetDeck,RT @reppittenger: Thank you @RepJBridenstine for co-signing my letter outlining shared pro-life priorities for Congress and Pres Trump http…
824020285837996037,2017-01-24 22:25:20,RepJBridenstine,400,1315,Twitter Web Client,Unborn children should be welcomed in life and protected by law. I'm proud to vote to ban taxpayer funded abortions. https://t.co/E1JPCrY4Ip
821776372737642497,2017-01-18 17:48:49,RepJBridenstine,24,43,Twitter Web Client,"As #EPA Admin, @AGScottPruitt will bring a rational, constitutional, and federalist perspective to environmental stewardship. #confirmpruitt"
821100964992217088,2017-01-16 21:05:00,RepJBridenstine,21,57,Twitter for iPhone,Gene Cernan: Navy pilot. Astronaut. Engineer. Last man on the Moon and advocate of our return. A gentleman and hero. He will be missed.
820014219861118977,2017-01-13 21:06:39,RepJBridenstine,16,54,Twitter Web Client,It’s time for Republicans to deliver on their promises to fully repeal Obamacare. https://t.co/aKgUu226HN
818626160779268098,2017-01-10 01:11:00,RepJBridenstine,7,19,TweetDeck,The Weather Research and Forecasting Innovation Act gets us closer to a day when we have zero deaths from tornadoes. https://t.co/bI5Kf2QVJl
818618199117885445,2017-01-10 00:39:22,RepJBridenstine,6,12,Twitter Web Client,Lucas-Bridenstine Weather Forecasting Bill Passed in the House https://t.co/b0FSc811Al https://t.co/x0G624o0kA
812755337438695424,2016-12-24 20:22:27,RepJBridenstine,50,93,Twitter Web Client,U.S. foreign aid to the U.N. member states that censured #Israel should be cut and re-appropriated for Israeli missile defense.
810974570614296576,2016-12-19 22:26:19,RepJBridenstine,9,17,Twitter Web Client,"#OTD in 1958, Eisenhower responded to Sputnik with a Christmas message from space: Peace on earth, good will to men… https://t.co/jpeZYz5TXt"
810200194264473604,2016-12-17 19:09:13,RepJBridenstine,5,0,TweetDeck,"RT @ParisBurris: .@RepJBridenstine at Wreaths for Tulsa: ""We're remembering all the people who have given their lives so that we could cele…"
806986304508624897,2016-12-08 22:18:22,RepJBridenstine,13,32,Twitter Web Client,A true American hero. Godspeed John Glenn. https://t.co/jW01kfi2B3
804792670996627456,2016-12-02 21:01:39,RepJBridenstine,23,0,Twitter Web Client,"RT @HouseScience: Glad to hear H.R. 1561, the Weather Research and Forecasting Innovation Act passed the Senate. Will transform the US weat…"
794607492709961730,2016-11-04 18:29:24,RepJBridenstine,41,35,Twitter Web Client,"""All who value the rule of law, transparency and our Constitution should oppose this upcoming dangerous lame duck."" https://t.co/p2wVFeO0HP"
794557552143069184,2016-11-04 15:10:57,RepJBridenstine,71,0,Twitter Web Client,"RT @RepThomasMassie: With no accountability to voters, Congress ignores budget caps and passes disastrous bills during lame-duck sessions h…"
791723966121537536,2016-10-27 19:31:17,RepJBridenstine,3,6,TweetDeck,@MoonEx Looking forward to it!
788138786895126529,2016-10-17 22:05:04,RepJBridenstine,517,0,Twitter Web Client,RT @JaySekulow: BREAKING: #IRS ordered to issue outstanding determinations &amp; answer for political targeting of citizens. Read &amp; RT. https:/…
786960453763203072,2016-10-14 16:02:47,RepJBridenstine,104,0,Twitter Web Client,RT @SBAList: Planned Parenthood celebrates their 100th birthday... But they've ensured OVER 7 MILLION will not celebrate their first #100Ye…
786205264890384385,2016-10-12 14:01:56,RepJBridenstine,3891,5747,Twitter Web Client,"Given the stakes of this election, if Paul Ryan isn't for Trump, then I'm not for Paul Ryan."
781315742759325696,2016-09-29 02:12:43,RepJBridenstine,377,310,Twitter Web Client,5 reasons I'm voting no on the Continuing Resolution that funds Obama’s entire liberal agenda. #tcot https://t.co/e8WIhCa05F
