id,created_at,user,retweets,favorite_count,source,text
851467075952541697,2017-04-10 16:09:05,RepJimBanks,2,2,Twitter for iPhone,Glad to hear these three astronauts returned safely to earth this AM after being in space for 173 days. They left e… https://t.co/UUc4YG4rnC
851453957427929089,2017-04-10 15:16:57,RepJimBanks,7,16,Twitter Web Client,Congratulations Judge Gorsuch on being sworn in as the 113th #SupremeCourt Justice of the United States of America. https://t.co/p2XkV057BT
851124142300684293,2017-04-09 17:26:23,RepJimBanks,5,8,Twitter for iPhone,"My prayers goes out to those affected by the #PalmSunday suicide bombing in Egypt today.

https://t.co/rxKxmwj8Hx"
850438569940455427,2017-04-07 20:02:10,RepJimBanks,3,0,Twitter Web Client,"RT @wane15: Indiana lawmakers issued responses today to the U.S. bombing of a Syrian air base with 59 missiles last night.

https://t.co/KF…"
850377042428387329,2017-04-07 15:57:40,RepJimBanks,7,25,Twitter Web Client,Judge Gorsuch will be an outstanding addition to the Supreme Court and a steadfast defender of the Constitution.
850374863558672386,2017-04-07 15:49:01,RepJimBanks,5,15,Twitter Web Client,Judge Neil Gorsuch is a strict constructionist who is well-qualified and will defend the rights of the unborn.
850372584533352448,2017-04-07 15:39:57,RepJimBanks,1,0,Twitter Web Client,RT @SteveGKPC: .@RepJimBanks pushing for action on his bill to authorize military against specifically against ISIS after U.S. missile stri…
850338117324353536,2017-04-07 13:23:00,RepJimBanks,2,4,Twitter for iPhone,.@POTUS authorization of #Syria strikes shows why Congress should debate new #ISIS AUMF→ https://t.co/F98c8b9RKh https://t.co/oJjhkSbfif
850069882028904449,2017-04-06 19:37:08,RepJimBanks,2,3,Twitter Web Client,I spoke with @WOWOCharly about health care and rebuilding our Navy https://t.co/qQhtM9unCB
850048808532705280,2017-04-06 18:13:23,RepJimBanks,0,3,Twitter for iPhone,This morning I got the opportunity to sit down with the Lesko family from Warsaw. https://t.co/SSmTykoR6Z
850009966018793472,2017-04-06 15:39:02,RepJimBanks,6,6,Twitter Web Client,Today I introduced a bill with @RepJoeCourtney to commercialize state-owned rest areas on interstate highways → https://t.co/JKQhtVUByO
849979451492487168,2017-04-06 13:37:47,RepJimBanks,1,2,Twitter Web Client,"I commend @POTUS for engaging w/ #China but I'm concerned that we're running out of good options for #NorthKorea. 

https://t.co/2C2mRhgjel"
849726843045498880,2017-04-05 20:54:01,RepJimBanks,17,0,Twitter Web Client,RT @Heritage: Federalism can give #HeadStart a new start. @RepJimBanks reveals how. https://t.co/C2Bgv1G9bl https://t.co/48rST5GeyG
849716604304859137,2017-04-05 20:13:20,RepJimBanks,4,14,Twitter Web Client,Walking 2 Capitol to drop my bill to give states control of how they spend Head Start dollars →… https://t.co/16EXrIcjiS
849686397132955648,2017-04-05 18:13:18,RepJimBanks,1,5,Twitter Web Client,"At @HASCRepublicans hearing 2day, I asked: If Congress passes a Continuing Resolution, how will it affect Air Natnl… https://t.co/FIZMUPCYp4"
849666199839543296,2017-04-05 16:53:02,RepJimBanks,1,4,Twitter for iPhone,I am glad to see that today @POTUS affirmed the role of Dan Coats on the NSC https://t.co/9OlEuOVqvA
849650159642456064,2017-04-05 15:49:18,RepJimBanks,4,6,Twitter for iPhone,The view from my front row seat in @HASCRepublicans as we hear from senior leaders in DOD how damaging a Continuing… https://t.co/jfE9h2mJys
849642775410880512,2017-04-05 15:19:57,RepJimBanks,2,2,Twitter Web Client,"To date, actions by Congress and @POTUS have saved $66.7 billion and 56 million hours of paperwork https://t.co/50fiXazCM7 via @AAF"
849606450896883712,2017-04-05 12:55:37,RepJimBanks,4,4,Twitter Web Client,My @DailySignal op-ed: How Federalism Can Give Head Start a New Start https://t.co/UQCMNgsQ91
849585010864738304,2017-04-05 11:30:25,RepJimBanks,1,1,Hootsuite,Going live on @WOWOFORTWAYNE in 8 minutes! Listen here  → https://t.co/T4S5xnfyue
849382667112128517,2017-04-04 22:06:23,RepJimBanks,1,1,Twitter Web Client,House passes comprehensive weather forecasting and research bill → https://t.co/dtXDkfqbZf
849342682459762688,2017-04-04 19:27:30,RepJimBanks,11,0,Twitter Web Client,RT @HouseScience: .@RepJimBanks: Protecting lives and property from severe weather needs to be a top priority at NOAA https://t.co/IDZTdX2Z…
849303758077128704,2017-04-04 16:52:49,RepJimBanks,1,1,Twitter Web Client,Words fail to express how horrific these images are. https://t.co/CU8lR5JGyj
849267364030021632,2017-04-04 14:28:12,RepJimBanks,1,0,Instagram,Enjoyed meeting with the McIntosh family from Huntertown today. https://t.co/OXtH39BCtC
849260070848352256,2017-04-04 13:59:14,RepJimBanks,1,2,Twitter Web Client,I toured Gitmo yesterday and saw firsthand the important role it plays in our national security. https://t.co/3xVjl0xuhD
849040170712215552,2017-04-03 23:25:25,RepJimBanks,2,8,Twitter for iPhone,2day I voted for 2 measures that would label N Korea state sponsor of terror &amp; censure its developing intercontinen… https://t.co/9a1KkwcAa6
849017152229298176,2017-04-03 21:53:57,RepJimBanks,17,31,Twitter for iPhone,It is clear that majority of Dem opposition to Judge Gorsuch is unrelated to Judge Gorsuch. He will uphold Constitution and is best choice.
848880457836089348,2017-04-03 12:50:47,RepJimBanks,7,6,Twitter Web Client,Rep. Jim Banks: Trump's Navy fleet plan is 'absolutely necessary' https://t.co/Hbm1xjk3JV via @DCExaminer
848686628579180545,2017-04-03 00:00:34,RepJimBanks,6,0,Twitter Web Client,RT @JGfortwayne: Freshman @RepJimBanks making argument against another round of Base Realignment &amp; Closure. https://t.co/bUpAvU9KZa https:/…
848686378154065920,2017-04-02 23:59:35,RepJimBanks,1,6,Twitter Web Client,Indiana is home to critical defense assets that are our vital to our national security. https://t.co/MQVnQ8Hce3
848203484956688385,2017-04-01 16:00:44,RepJimBanks,6,5,Hootsuite,I will host a #ServiceAcademyDay at the @122fighterwing  base in Fort Wayne on April 29. Learn more here → https://t.co/yYnUhpcnga
847931575421607936,2017-03-31 22:00:16,RepJimBanks,2,10,Hootsuite,Participated in a productive Faith Leadership Round Table discussion about religious freedom today in #IN03. https://t.co/9E364u5wuR
847914053133533188,2017-03-31 20:50:38,RepJimBanks,3,1,Twitter Web Client,About to go on @WOWOFORTWAYNE ... listen here: https://t.co/T4S5xnfyue
847903203920314370,2017-03-31 20:07:31,RepJimBanks,0,4,Twitter Web Client,Meeting with constituents in Fort Wayne today to discuss health care issues. #IN03 https://t.co/YJM7YTENRD
847869608094830592,2017-03-31 17:54:01,RepJimBanks,1,14,Twitter for iPhone,Happy #NationalCrayonDay from the youngest Banks! https://t.co/s8fKiI22nK
847830784547463170,2017-03-31 15:19:45,RepJimBanks,3,6,Twitter Web Client,Honored to speak to the students at @USFFW Business School in Fort Wayne this morning. #IN03 https://t.co/oz5OFrxKM0
847591902652358657,2017-03-30 23:30:31,RepJimBanks,1,4,Twitter for iPhone,Thrilled to see successful @SpaceX launch of the SES-10 comms satellite from @NASAKennedy’s LC-39A. Watch live: https://t.co/YPvCIEDIeM
