id,created_at,coordinates,retweets,favorite_count,source,text
819983821416333312,2017-01-13 19:05:52,,4,15,TweetDeck,"Today I re-introduced the #WATERAct, a bill that makes water more affordable for farmers, ranchers, and anyone who lives in rural #Colorado"
819975578442985472,2017-01-13 18:33:06,,0,4,TweetDeck,I'm praying for the family and Rep. Cumming's office as they cope with this loss
819975509534765056,2017-01-13 18:32:50,,1,7,TweetDeck,My heart goes out to the office of Rep. Elijah Cummings after the tragedy suffered by one of his staff members due to a house fire this week
818857435716841472,2017-01-10 16:30:00,,4,5,TweetDeck,"The Iran Deal has always been a mess, but now Iran is actually being rewarded for breaking terms of the agreement! https://t.co/O77fqNK8b3"
818644257602990084,2017-01-10 02:22:55,,14,0,Twitter for iPhone,RT @TeamCavuto: .@RepKenBuck on the GOP's plan to repeal and replace Obamacare  on @FoxBusiness. https://t.co/3JCX9qmwUn
818590799466233857,2017-01-09 22:50:29,,2,15,TweetDeck,"For Law Enforcement Appreciation Day, I put blue candles in my windowsill to send a message to officers: ""We stand… https://t.co/EdvvlsqiGY"
817484826689368065,2017-01-06 21:35:45,,3,11,TweetDeck,I sent a letter to Gov. Hickenlooper asking him to illuminate the Capitol in blue in honor of law enforcement: https://t.co/YrSAo3jdP3
817170822670348288,2017-01-06 00:48:01,,21,36,TweetDeck,"Proudly voted for the #REINSAct tonight, allowing Congress to weigh in on executive branch rules costing the economy more than $100 million."
817006581191757824,2017-01-05 13:55:22,,12,22,TweetDeck,I urge President Obama not to place bureaucrats in control of millions of acres of America's heartland. https://t.co/I3Rz0dN853!
816421130340880384,2017-01-03 23:09:00,,1,24,TweetDeck,I voted against the proposed changes to the Office of Congressional Ethics: https://t.co/6bqXfA4Vng
816373639591424001,2017-01-03 20:00:17,,2,7,TweetDeck,Congratulations @SpeakerRyan on being reelected as Speaker of the House.
816373074643841024,2017-01-03 19:58:03,,113,0,TweetDeck,RT @SpeakerRyan: I want to say to the American people: We hear you. We will do right by you. And we will deliver.
816108333505646592,2017-01-03 02:26:03,,5,16,Twitter for iPhone,Honored to be joining the Rules Committee in the 115th Congress.
816100728251056128,2017-01-03 01:55:50,,17,0,Twitter for iPhone,RT @RulesReps: Chairman @PeteSessions welcomes @RepKenBuck and @Liz_Cheney to the Rules Committe. Read more here --&gt; https://t.co/lZ7UL2U5uA
815649660194820096,2017-01-01 20:03:27,,1,7,Twitter for iPhone,"I'm excited for another year to serve Coloradans in Washington, DC. We have a lot of work to do! #2017"
813051683966107649,2016-12-25 16:00:01,,3,14,TweetDeck,"Today we celebrate the many ways God has blessed us: family, friends, freedom, and a Savior who was born on this da… https://t.co/4IJA4z3p5c"
810997033834311680,2016-12-19 23:55:35,,1,7,Twitter for iPhone,I'm saddened by the news out of Berlin and praying for all those affected.
810855208024678400,2016-12-19 14:32:01,,1,4,TweetDeck,I've moved offices! https://t.co/mjIfkJsQ0n
809779872037937152,2016-12-16 15:19:01,,0,2,TweetDeck,Hwy 34 is vital to N. Colorado's economy. I'm thankful the federal gov't will contribute to flood repair efforts. https://t.co/wlt85PHzNW
807276186292387843,2016-12-09 17:30:15,,0,3,TweetDeck,Voted for #WRDA to update our inland waterways and ports. We can grow as many crops as we want but we need a way to get them to market.
807230554152255488,2016-12-09 14:28:56,,2,0,TweetDeck,"RT @nate_nmiller: .@RepKenBuck cast a vote today he says will improve the country's ports, waterways and water storage. #copolitics  https:…"
806514702104797192,2016-12-07 15:04:23,,3,8,TweetDeck,"Today we remember #PearlHarbor, that we may have the same resolve today as our countrymen and women did after that… https://t.co/7T6oCItDaY"
806236572597227520,2016-12-06 20:39:12,,1,5,TweetDeck,Looking forward to seeing #HR4352 pass the House today. Vets deserve the best care available. #FasterCareforVetsAct
806139888093560832,2016-12-06 14:15:01,,1,3,TweetDeck,.@realDonaldTrump could teach Europe a thing or two. https://t.co/gllganhJ9F
806139256053911552,2016-12-06 14:12:30,,3,6,TweetDeck,.@realDonaldTrump What Pres. Juncker said was unacceptable. Europe doesn’t work. America will with #PEOTUS Trump. https://t.co/gllganhJ9F
805932770702671872,2016-12-06 00:32:00,,2,4,TweetDeck,"For a district like ours, soil health matters. We need to take care of our soil so that our farmers can continue to grow. #WorldSoilDay"
805878566164504576,2016-12-05 20:56:37,,3,6,TweetDeck,EU Commission President Juncker said #PEOTUS will need to be taught about Europe. Here's my response: https://t.co/gllganhJ9F
802585310039158788,2016-11-26 18:50:23,,4,8,TweetDeck,"Supporting small business is important, today and every day. #SmallBusinessSaturday https://t.co/Cav3nM4kob"
801885880277434368,2016-11-24 20:31:06,,3,6,Twitter for iPhone,"If you need something to do between turkey and football, here are my thoughts on #thanksgiving: https://t.co/BOm6r2xQ4V"
801885353363783680,2016-11-24 20:29:01,,2,8,Twitter for iPhone,"Today I'm thankful for so much, including my family, my country, and my faith. #thanksgiving"
801058874652397569,2016-11-22 13:44:53,,9,13,Twitter for iPhone,We need to send a message to the nation that it's not OK to harm a police officer. #BlueLivesMatterAct https://t.co/axlDOfJJAI
800538259373879296,2016-11-21 03:16:08,,12,30,Twitter for iPhone,Hard day for the law enforcement community. Will be keeping them in my prayers. https://t.co/l2J69yFuAt
799263786544861185,2016-11-17 14:51:50,,2,13,TweetDeck,Thank you to those individuals who have committed their lives to serving the health needs of rural Coloradans. #NationalRuralHealthDay
797197341874913281,2016-11-11 22:00:32,,6,0,Twitter for iPhone,"RT @BrandonRittiman: Read more here: https://t.co/CdG2A2YdD5
Shot last year w/ @Thru9sViewfindr. Thx also to @RepKenBuck for telling us abo…"
797184342703407105,2016-11-11 21:08:52,,3,10,Twitter for iPhone,Thank you to all those who have served our country in the armed forces and all those who are currently serving #VeteransDay
796379990753480705,2016-11-09 15:52:40,,17,32,TweetDeck,"I'm eager to work with President-elect Trump on policies that will limit the reach of gov't, create job growth, and protect our nation"
795697500598439936,2016-11-07 18:40:42,,4,8,TweetDeck,Visited several small businesses in Sterling on Friday. In Washington I'm focused on limiting red tape so… https://t.co/HcrpiqzKr5
793818789234282496,2016-11-02 14:15:22,,7,9,TweetDeck,We need to send a message that violence against police is unacceptable in America. #BlueLivesMatterAct #DesMoines
793818626247778304,2016-11-02 14:14:43,,6,14,TweetDeck,"Praying for the law enforcement officers and the people of Des Moines and Urbandale. 
https://t.co/KfFYVdyubr"
793190124435759104,2016-10-31 20:37:17,,4,4,TweetDeck,"I signed on to a letter urging the administration to make sure China plays fair on agriculture biotechnology trade.
https://t.co/NkBaqf9pdi"
793163972975464448,2016-10-31 18:53:22,,0,0,TweetDeck,"The #CongressionalAppChallenge deadline is this Wednesday. Good luck coding!
https://t.co/dLD0H8z4y8"
