id,created_at,coordinates,retweets,favorite_count,source,text
819283835271708673,2017-01-11 20:44:22,,0,3,Twitter Web Client,My statement on @realDonaldTrump Secretary of @DeptVetAffairs Nomination: https://t.co/V4wksANpom
819000912802934785,2017-01-11 02:00:08,,5,0,Twitter for iPhone,RT @SiriusXMPatriot: . @RepLeeZeldin on the focus of the Trump administration on @davidwebbshow https://t.co/DqF37fxI88
818563634112688133,2017-01-09 21:02:33,,26,33,Twitter Web Client,It's time to embrace allies like Israel ... and treat our enemies like enemies. Read my op-ed in @CR here: https://t.co/xWMBvXbn3M
818492194923409408,2017-01-09 16:18:40,,0,3,Twitter Web Client,My legislative priorities for the 115th Congress: https://t.co/UNpCEHwp8E
817478566388662276,2017-01-06 21:10:52,,1,2,Twitter Web Client,Regulations From the Executive in Need of Scrutiny (REINS) Act passes House to improve economy #BetterWay https://t.co/5rZHHWgTmM
817164052103307264,2017-01-06 00:21:06,,11,22,Twitter Web Client,My speech from House floor this evening in opposition to UN's anti-Israel resolution: https://t.co/FW3zldH9OS
817155624500862977,2017-01-05 23:47:37,,23,0,Twitter for iPhone,"RT @mawilner: Hardest-line language yet from @RepLeeZeldin, calling Res. 2334 an ""anti-Jewish"" attempt to ""ethnically cleanse"" historic Jud…"
816765702048780288,2017-01-04 21:58:12,,2,10,Twitter Web Client,My response to Governor Cuomo’s statement about the ACA &amp; Health Care in NY: https://t.co/JEyzrBv7Dh
816643467774455808,2017-01-04 13:52:29,,8,28,Twitter Web Client,Honored to be sworn in for a second term in the House. Thank you all for your amazing support! Looking forward to a… https://t.co/rw52CzyD9Y
815905207775281152,2017-01-02 12:58:54,,16,0,Twitter for iPhone,RT @NewDay: Republican @RepLeeZeldin says Putin outsmarted Obama in sanctions response https://t.co/BPpcxRdJ7X
814547831851798532,2016-12-29 19:05:11,,1,2,Hootsuite,Read more here: https://t.co/RABESSt03l
814546698173300736,2016-12-29 19:00:41,,8,30,Hootsuite,Back from Mid East. Honor to visit troops for holidays &amp; meet w military/diplomatic ldrs in Afghanistan &amp; elsewhere https://t.co/wtYboHwPtN
814136694018633728,2016-12-28 15:51:28,,33,0,Twitter for iPhone,"RT @ResoluteSupport: Congressmen from CA, RI, NY and CO visited RS for briefings and constituent meetings @Embassy_of_AFG https://t.co/1nWa…"
814107248528097280,2016-12-28 13:54:28,,2,5,Twitter Web Client,.@RepLeeZeldin Read more here: https://t.co/RPOyflqSgs
814106936136318976,2016-12-28 13:53:13,,9,25,Twitter Web Client,"Great to be spending another holiday season in Mid East, including Afghanistan, w service members deployed overseas… https://t.co/KTffkXmpoD"
813067193474813954,2016-12-25 17:01:39,,3,18,Hootsuite,Merry Christmas! Hope you have a blessed holiday. https://t.co/Z8OkAWE5im
812704862739775489,2016-12-24 17:01:53,,16,41,Hootsuite,Happy Hanukkah to all celebrating the start of the Jewish holiday! https://t.co/JssTcgU1pu
812357419233902596,2016-12-23 18:01:16,,4,14,Twitter Web Client,"If passed, Congress &amp; @RealDonaldTrump should cut foreign aid to Palestinian Authority https://t.co/KxCRQXVG7p"
