id,created_at,user,retweets,favorite_count,source,text
847814893596282880,2017-03-31 14:16:36,RepLipinski,1,4,Twitter Web Client,"Lipinski Bill Eliminating Unnecessary Job-Killing Regulation Passes Transportation and Infrastructure Committee
https://t.co/PlEh6UdCCV"
847561813105319936,2017-03-30 21:30:57,RepLipinski,7,0,Twitter Web Client,RT @COSSADC: Watch @RepLipinski on the House floor cheering on our Social Science Advocates! https://t.co/das7NsUqOn #whysocialscience #cos…
847493002599604224,2017-03-30 16:57:32,RepLipinski,3,13,Twitter Web Client,"We cannot let China become the world leader on climate; #smartclimate policy is critical for enviro, economy &amp; jobs https://t.co/InjcoG0qkT"
847157090359656448,2017-03-29 18:42:44,RepLipinski,4,18,Twitter Web Client,"It's time to get real and act on #climatechange.  Done right, we can boost the #economy and grow American #jobs."
847156738868629505,2017-03-29 18:41:20,RepLipinski,3,12,Twitter Web Client,Most scientists agree that human activity is changing our climate but @HouseScience hearing was stacked with witnesses making dubious claims
847152182239674378,2017-03-29 18:23:14,RepLipinski,1,23,Twitter Web Client,The so-called #HonestAct is another attack on #privacy in the name of transparency.  I'm voting no.
847120142144339968,2017-03-29 16:15:55,RepLipinski,11,12,Twitter Web Client,It is #commonsense that American #taxpayer dollars should be putting Americans to work and not workers outside our nation.  #SteelCaucus
847119893862461442,2017-03-29 16:14:56,RepLipinski,1,5,Twitter Web Client,"At #SteelCaucus hearing, we heard directly from American steel companies that passage of my #BuyAmerican Improvement Act would create #jobs."
846801082160463873,2017-03-28 19:08:05,RepLipinski,3,11,Twitter Web Client,My bill to lower natural gas leaks would’ve led to improved air quality and a bigger return for #taxpayers. @POTUS #EO takes us backwards.
846784740728410116,2017-03-28 18:03:09,RepLipinski,12,27,Twitter Web Client,"The #CleanPowerPlan not only protects our health and #environment, but it will lead to economic growth and #jobs."
846772120457805825,2017-03-28 17:13:00,RepLipinski,21,64,Twitter Web Client,Our Internet providers shouldn't be allowed to sell our private info without our permission. I'm voting no on S.J. Res 34. #broadbandprivacy
846763264268812288,2017-03-28 16:37:48,RepLipinski,17,0,Twitter Web Client,RT @COSSADC: Why Social Science? Because it is in the national interest - from @RepLipinski https://t.co/9r6HidBNuY @whysocialscience
846763100594417666,2017-03-28 16:37:09,RepLipinski,2,0,Twitter Web Client,RT @MattIWeil: Easy to see Congress is broken. Part of reason is that Congress isn't set up to function well.- @RepLipinski #bpclive @BPC_B…
846762912735744000,2017-03-28 16:36:25,RepLipinski,2,0,Twitter Web Client,RT @ThorningMichael: .@RepLaHood &amp; @RepLipinski discuss creating a joint committee to look at congressional reforms w/ @BPC_Bipartisan http…
846749239833178112,2017-03-28 15:42:05,RepLipinski,2,0,Twitter Web Client,RT @healthylakes: .@RepLipinski thx for signing on to support our #GreatLakes! Ltr urges appropriators to restore #GLRI to $300M https://t.…
845379131139407873,2017-03-24 20:57:45,RepLipinski,0,18,Twitter Web Client,"Lipinski: #Republican #Healthcare Bill Stopped; Time for Real Fixes for #MiddleClass
https://t.co/o7ePqjPECq"
845336112805695489,2017-03-24 18:06:49,RepLipinski,8,16,Twitter Web Client,"With the #AHCA, #Republican leadership is not listening to the people.
https://t.co/2ddhiVVUTn"
844952723313319936,2017-03-23 16:43:22,RepLipinski,7,0,Twitter Web Client,RT @Nature_IL: Congrats to @RepLipinski for joining the bipartisan House Climate Solutions Caucus! TNC supports this productive climate cha…
844941072317005825,2017-03-23 15:57:04,RepLipinski,11,70,Twitter Web Client,"The initial version was bad, but reported 'midnight' changes to the #AHCA are only making it worse.  I continue to oppose #Trumpcare."
844588661337395200,2017-03-22 16:36:43,RepLipinski,6,0,Twitter Web Client,"RT @Truthfromthetap: ""We can't keep putting off investment...18% of clean water is lost through broken pipes."" @RepLipinski on repairing in…"
