id,created_at,coordinates,retweets,favorite_count,source,text
819697008596369408,2017-01-13 00:06:10,,0,4,Twitter Web Client,Congratulations to @JaneAldrichWLNS on her final broadcast tonight. She's done a great job for Mid-Michigan. All th… https://t.co/20vwtWOGOS
818938555057799169,2017-01-10 21:52:21,,0,0,Twitter Web Client,Read this article for my views on many of the issues in the news this week. https://t.co/nf6ms6qvYU
816768247290875904,2017-01-04 22:08:19,,3,10,Twitter Web Client,Here is my full statement on being named to @HouseAppropsGOP: https://t.co/3dnxa4nteO
816767023875260417,2017-01-04 22:03:27,,4,8,Twitter Web Client,Honored by the support of my colleagues. Oversight of government spending is an important responsibility and one th… https://t.co/QW4fhUZgpF
816409094726840320,2017-01-03 22:21:10,,15,0,Twitter Web Client,RT @RepDebDingell: Just wrapped up our bipartisan MI swearing-in open house with my neighbors on the hall. Ready to go to work for MI in th…
816408810239754242,2017-01-03 22:20:03,,3,10,Twitter Web Client,It was a great joy to have my granddaughter on the House floor for today's swearing-in ceremony. @cspan caught this… https://t.co/98oOIgkxDy
816407927808520192,2017-01-03 22:16:32,,0,7,Twitter Web Client,Great to join @RepDebDingell and @justinamash for our combined open house. Looking forward to another term with my… https://t.co/zXaEII25vA
816318757475852289,2017-01-03 16:22:12,,0,4,Twitter Web Client,Reminder: Office hours are being held in January and they are a great way to get help with a federal agency: https://t.co/v0YAhwTaKk
816009748839591936,2017-01-02 19:54:19,,1,5,Twitter Web Client,Check out my 2016 year-in-review column in the @greenvilledn. https://t.co/ZO8CfS8eIR
809865964258988032,2016-12-16 21:01:07,,1,4,Twitter Web Client,Charles has done a great job and I am glad I could honor him with this special recognition. https://t.co/p7k1Vgmcpm
806990531901456384,2016-12-08 22:35:10,,2,10,Twitter Web Client,John Glenn was an American pioneer and our efforts to explore the solar system will stand on his shoulders forever.… https://t.co/Dgq6mSntn0
806273531302604800,2016-12-06 23:06:04,,202,0,Twitter Web Client,RT @SpeakerRyan: 5...4...3...2...1...Merry Christmas! 🎄 https://t.co/9xACEFxLH2
804479403510132736,2016-12-02 00:16:50,,2,6,Twitter Web Client,Thank you! https://t.co/zrZPmadRLx
804025672960241664,2016-11-30 18:13:53,,1,1,Twitter Web Client,Office hours are being held across the Fourth District in December. Here are the dates and times: https://t.co/v0YAhwTaKk
803717945218179073,2016-11-29 21:51:05,,7,8,Twitter Web Client,Thank you for coming to today's session at the Capitol. I enjoyed the important conversation about the issues facin… https://t.co/iMqHUtDKEA
803716648192487424,2016-11-29 21:45:55,,2,0,Twitter Web Client,RT @LaurenMGibbons: Michigan native Tom Price is Trump's pick for Health and Human Services secretary https://t.co/eXFDXB9r05
803716597156347904,2016-11-29 21:45:43,,1,4,Twitter Web Client,Congratulations to @RepTomPrice on his nomination as HHS Secretary. He's a Michigan native and he'll do a great job. https://t.co/eTE9EINZAA
803716511101751296,2016-11-29 21:45:23,,8,0,Twitter Web Client,"RT @detroitnews: Georgia Rep. Tom Price, Trump’s pick for health chief, is a Lansing native. https://t.co/9smwrlFiUl https://t.co/WvZZI4rqui"
801524639843356673,2016-11-23 20:35:40,,115,0,Twitter Web Client,"RT @ChadLivengood: .@RepMoolenaar, R-Midland, on Trump picking @BetsyDeVos for ed secretary: ""I can think of no greater champion for studen…"
798663549476188160,2016-11-15 23:06:43,,1276,0,Twitter Web Client,RT @SpeakerRyan: BREAKING → The House just voted to extend the #Iran Sanctions Act for a decade. https://t.co/yi1xZWEfva
798658515296358400,2016-11-15 22:46:43,,0,3,Twitter Web Client,The House is back in session and it was great to provide an update to the @BigRapidsDN this morning. https://t.co/UnsWiXZPRw
798657641773793280,2016-11-15 22:43:14,,1,4,Twitter Web Client,Good luck to all the hunters on the first day of hunting season! Here's a picture one Michigan hunter sent me. https://t.co/NvYmrzZpuD
794567341866647553,2016-11-04 15:49:51,,4,3,Twitter Web Client,Reminder: My office is accepting applications for nominations to our nation's service academies. Details are here: https://t.co/RMCWvRBFjQ
794566602020818946,2016-11-04 15:46:54,,0,0,Twitter Web Client,Here is a complete list of times and locations for office hours in November: https://t.co/v0YAhwTaKk
786579776471379969,2016-10-13 14:50:07,,3,0,Twitter Web Client,RT @GOPJobBank: Congressman Moolenaar is seeking full-time interns for the spring of 2017. Go to: https://t.co/wDfjRfrGG0
786236640016474112,2016-10-12 16:06:37,,2,0,Twitter Web Client,RT @bigrapidsnews: Congressmen Moolenaar and Huizenga speak in Big Rapids for Wolverine Worldwide groundbreaking https://t.co/JKNZaGGtA1 ht…
786194192221347840,2016-10-12 13:17:56,,2,0,Twitter Web Client,RT @BatesFootwear: Thank you for taking the time to be there! #thesebatesboots https://t.co/GQmIWPZtMt
785956764202078209,2016-10-11 21:34:29,,4,7,Twitter Web Client,.@RepHuizenga and I have been working hard to fight for the hundreds of Bates employees in Big Rapids. Today's even… https://t.co/PpQO9d4EcN
785955928029876224,2016-10-11 21:31:10,,1,5,Twitter Web Client,Great to be at the groundbreaking of the new Bates Footwear facility in Big Rapids today. It will make footwear for… https://t.co/nBA0FKiIFb
784038073185239041,2016-10-06 14:30:18,,7,10,Twitter Web Client,God bless the Marines as they assist with relief efforts. https://t.co/Z4GvKnwBg7
781955942778830849,2016-09-30 20:36:39,,3,4,Twitter Web Client,Great to join @fbtalk this morning at @NorthwoodU for the opening of the Northwood University International Auto Sh… https://t.co/hmMcWJfIF6
781607900414406657,2016-09-29 21:33:39,,3,0,Twitter Web Client,RT @Kyle_Feldscher: .@RepMoolenaar says Flint deal shows 'how Congress should work' https://t.co/G52ehGERDS via @DCExaminer
781294028725911553,2016-09-29 00:46:26,,5,0,Twitter Web Client,RT @RepDanKildee: Grateful for the bipartisan work of my friend @RepMoolenaar and my colleagues in the House who voted to #FundFlint.
781266897568428033,2016-09-28 22:58:38,,4,6,Twitter Web Client,Thank you to my colleagues in the Michigan delegation for working on this with @RepDanKildee and me. https://t.co/e8tb9gHZpz
781251418267279360,2016-09-28 21:57:07,,3,11,Twitter Web Client,"The amendment I co-sponsored with @RepDanKildee to help #Flint overwhelmingly passed the House, 284 yeas to 141 noe… https://t.co/RXIUp9UEm0"
781242122934575104,2016-09-28 21:20:11,,3,6,Twitter Web Client,This is something concrete Congress can do to help #Flint move forward with its healing. https://t.co/RP244Tfe7w
781242046292094976,2016-09-28 21:19:53,,6,0,Twitter Web Client,"RT @nannburke: Moolenaar: ""This is something concrete Congress can do to help #Flint move forward with its healing."""
781236379070193664,2016-09-28 20:57:22,,3,2,Twitter Web Client,My amendment with @RepDanKildee for #Flint is on the floor now. I will be speaking soon. https://t.co/QtheZ4eRgw
780984385034223617,2016-09-28 04:16:02,,21,43,Twitter Web Client,It passed Rules tonight. Glad to work on this with @RepDanKildee and House leadership. This will help Flint rebuild… https://t.co/O5t1KOBDxY
780983711684825088,2016-09-28 04:13:21,,2,3,Twitter Web Client,This bipartisan amendment is a step forward for Flint and its future. Glad to work on it with @RepDanKildee and Hou… https://t.co/Cgpj0cV2HC
780981580328296448,2016-09-28 04:04:53,,3,2,Twitter Web Client,Glad to work on this amendment with @RepDanKildee and House leadership. The amendment is a step forward for Flint a… https://t.co/GhLAt6nzqb
777886669244624896,2016-09-19 15:06:49,,1,6,Twitter Web Client,Congratulations to the @greatlakesloons on winning the Midwest League Championship! https://t.co/BOn4tDkhFE
777262614095208448,2016-09-17 21:47:02,,1,3,Twitter Web Client,It was a great event in Elsie today. Thank you to these brave men for their service to our country! https://t.co/O2hNkH1Rsv
777262472671690752,2016-09-17 21:46:28,,1,4,Twitter Web Client,Honored to present the Vietnam War 50th Anniversary Commemorative Lapel Pin to a group of veterans in Elsie. https://t.co/JYMauaFCrc
777255055649021952,2016-09-17 21:17:00,,36,0,Twitter Web Client,RT @USNatArchives: A brief history of the pocket #Constitution: https://t.co/ja1QgNMY70 #ConstitutionDay2016 https://t.co/moiZpaU0HP
775751464929128448,2016-09-13 17:42:16,,1,3,Twitter Web Client,Thank you! It was great to meet with you. https://t.co/AijVLCTPSM
775529762840272897,2016-09-13 03:01:18,,4,4,Twitter Web Client,I am saddened by the death of State Representative Peter Pettalia. He was a great friend and colleague. https://t.co/xWKTnvPVWH
774287251526254593,2016-09-09 16:44:00,,1,5,Twitter Web Client,This morning I joined my colleagues to commemorate the 15th anniversary of 9-11. We will never forget that day. https://t.co/PtiAHrh6JL
774285774837653505,2016-09-09 16:38:08,,111,0,Twitter Web Client,RT @uscapitol: Sunlight streams through #CapitolDome windows this morning into the freshly restored Rotunda. https://t.co/zl8c6cIosk
773227156109484032,2016-09-06 18:31:34,,0,0,Twitter Web Client,Office hours will be happening in the district throughout September. A great way to get help with a federal agency: https://t.co/v0YAhwTaKk
768864811052568576,2016-08-25 17:37:10,,4665,0,Twitter Web Client,"RT @NatlParkService: They belong to you. Join us in celebrating them! #NPS100 #FindYourPark
https://t.co/wNTTQ8gPmT"
768124568871534593,2016-08-23 16:35:42,,0,1,Twitter Web Client,"I am having a listening session on Thursday in Cadillac.

10:30-11:30 AM
Suite 301 
201 North Mitchell Street 
Cadillac, MI 49601"
763490938878558208,2016-08-10 21:43:19,,1,0,Twitter Web Client,I welcome the decision by @USDA to fund greater nutrition access for #Flint students. My statement: https://t.co/gm3JGZxvU4
763489719170764806,2016-08-10 21:38:28,,0,1,Twitter Web Client,Great to meet you yesterday! Thank you for hosting the Roscommon listening session at the library. https://t.co/khiNMuDsuj
763376325830832128,2016-08-10 14:07:53,,1,4,Twitter Web Client,Good to see you! Thanks for coming out to the listening session. https://t.co/oN2qsG2L88
762680794313854977,2016-08-08 16:04:05,,0,1,Twitter Web Client,"I am hosting listening sessions this week in Roscommon, Clare, Freeland and Owosso. More details available here: https://t.co/lBn55jBJy6"
762679886779707392,2016-08-08 16:00:29,,2,0,Twitter Web Client,"RT @elisabethwaldon: 4th District @RepMoolenaar &amp; constituents talk GMOs, budget deficit &amp; the next president: https://t.co/lgGgiBUbM5 http…"
761632147446853632,2016-08-05 18:37:09,,1,1,Twitter Web Client,Thank-you to everyone who came out. We had a great conversation. https://t.co/eP56CfegDR
761235595637223425,2016-08-04 16:21:23,,2,0,Twitter Web Client,RT @elisabethwaldon: 4th District @RepMoolenaar will be at Montcalm County Admin Building in Stanton at 1:30 p.m. Friday to meet with inter…
760847797599952900,2016-08-03 14:40:25,,1,0,Twitter Web Client,RT @9and10News: Congressman Moolenaar Honors Local Vietnam War Veteran: A U.S congressman honored a local Vietnam War veteran... https://t.…
760845402744590339,2016-08-03 14:30:54,,1,0,Twitter Web Client,RT @MIVeteran: Thank you for your service in #Vietnam Ronald Hnizda - https://t.co/2HT2IQ2bD5 via @9and10News
