id,created_at,coordinates,retweets,favorite_count,source,text
819919391156531200,2017-01-13 14:49:50,,3,12,Twitter Web Client,Gen. James N. Mattis served our nation with distinction for 40 yrs - distinguished leader from Central WA will make great #SecDef. #WA04
819614245881020416,2017-01-12 18:37:18,,5,0,Twitter for iPhone,"RT @NuScale_Power: In addition to energy future, @NuScale_Power tech creates growing nuclear economy - @RepNewhouse #NuScaleDesignCert http…"
819263664469508096,2017-01-11 19:24:13,,2,3,Twitter Web Client,"Enjoyed meeting Japan's Amb Kenichirō Sasae @JapanEmbDC. We discussed importance of relationship, trade between US… https://t.co/1jT7c5gePD"
819251654117752839,2017-01-11 18:36:29,,1,1,Twitter Web Client,MOBILE OFFICE HOURS in Waterville today: my staff at City Hall 11AM-2PM to assist w problem w fed agency #WA04 https://t.co/awQ0QIZ7Au
818843991303159812,2017-01-10 15:36:35,,0,0,Twitter Web Client,"Due to weather conditions in Moses Lake, today's Mobile Office Hours will be postponed. Stay safe and warm! #WA04 https://t.co/awQ0QIZ7Au"
818592080431706113,2017-01-09 22:55:35,,5,19,Twitter Web Client,Joining @davereichert to recognize men and women in blue for #LawEnforcementAppreciationDay with a light in the win… https://t.co/I7gVtmhHFG
818505283261661186,2017-01-09 17:10:41,,0,7,Twitter Web Client,WATCH LIVE: My House colleague @davereichert sharing appreciation for the sacrifice of law enforcement officers https://t.co/vAGQe8c48n
818504753411923968,2017-01-09 17:08:34,,148,0,Twitter Web Client,"RT @SpeakerRyan: New on https://t.co/DjyYwaPBk3, @davereichert expresses his gratitude on Law Enforcement Appreciation Day: https://t.co/X6…"
817025283081596932,2017-01-05 15:09:41,,4,10,Twitter Web Client,I'll join my colleagues to read the #Constitution on the House floor this morning. Tune in here on @cspan:… https://t.co/nqnKDdjnzu
816818347513937920,2017-01-05 01:27:24,,7,0,Twitter Web Client,"RT @KNDUKNDO: Newhouse joins House Appropriations Committee
https://t.co/bfNpaAOUwI https://t.co/xmrBSDcP5z"
816772432107368448,2017-01-04 22:24:57,,5,8,Twitter Web Client,Honored to join @HouseAppropsGOP to work with @USRepRodney on restoring Congress' power of the purse. https://t.co/EScdXryA8d #WA04
816767445725806592,2017-01-04 22:05:08,,9,0,Twitter Web Client,RT @HouseAppropsGOP: Welcome to the three new members of @HouseAppropsGOP: @RepMoolenaar @RepNewhouse &amp; Rep. Scott Taylor (VA)!
816414227858653184,2017-01-03 22:41:34,,11,73,Twitter Web Client,Took the oath to uphold and defend the Constitution today. Honored to serve Central Washington in 115th Congress… https://t.co/ReNW3OwCPU
816403128748822528,2017-01-03 21:57:28,,0,3,Twitter Web Client,"Congratulations @SpeakerRyan! Looking forward to moving forward on #BetterWay, restoring the people's voice in thei… https://t.co/XFDmQIJ4cD"
816375433486704642,2017-01-03 20:07:25,,2,0,Twitter Web Client,RT @RulesReps: Chairman @PeteSessions is on the @Housefloor discussing the rules package for the 115th Congress. Watch LIVE on @cspan.
816366314524647426,2017-01-03 19:31:11,,3,6,Twitter Web Client,I'll be speaking on the House floor on #OpeningDay of the 115th Congress 🇺🇸You can tune in live: https://t.co/NlQFjvLR7p #WA04
809528707371114497,2016-12-15 22:40:58,,1,1,Twitter Web Client,"Congrats Tri-Tech Skills Ctr students Toby Williams, Jamas Middleton, Elijah Stiham on winning #WA04 App Challenge! https://t.co/6fhP9MnRBg"
808854989682704384,2016-12-14 02:03:51,,5,14,Twitter Web Client,Glad my friend @cathymcmorris - a positive and uplifting voice in the people's House - will continue leading @HouseGOP as Chair
806208551895044096,2016-12-06 18:47:52,,0,0,Twitter Web Client,EPA must halt federal grants related to ongoing investigation into “What’s Upstream” anti-farmer campaign #WA04 https://t.co/THX5ZRTjcP
804804447926964224,2016-12-02 21:48:27,,0,2,Twitter Web Client,"Via @TriCityHerald: ""Defense bill supports Port of Benton, shoreline efforts"" #WA04 #NDAA #Hanford https://t.co/2f8D3DgjBH"
804503784449863680,2016-12-02 01:53:43,,2,0,Twitter Web Client,"RT @nikkiwentling: After @USGAO found VA ignored ideas for reform, @RepDerekKilmer, @RepNewhouse seek to mandate VA reports to Congress htt…"
