id,created_at,coordinates,retweets,favorite_count,source,text
819938058418196480,2017-01-13 16:04:01,,3,2,TweetDeck,“A Historically Productive First 100 Days” Via @BladenOnline: https://t.co/qI7lEOXQdM
819937811327578113,2017-01-13 16:03:02,,1,2,TweetDeck,My 1st priority is to provide you with exceptional constituent service. Should you need assistance please contact one of my office locations
819937066108813312,2017-01-13 16:00:04,,0,1,TweetDeck,"House Republicans are ready to deliver on a pro-growth, America 1st agenda in the 1st 100 days. Via @BladenOnline: https://t.co/qI7lEOXQdM"
819892507215560705,2017-01-13 13:03:01,,4,3,TweetDeck,"House Republicans are ready to deliver on a pro-growth, America 1st agenda in the 1st 100 days. Via @BladenJournal: https://t.co/zx9di8nksi"
819892253128683520,2017-01-13 13:02:00,,2,6,TweetDeck,"Defeating radical Islamic terrorism, repealing/replacing Obamacare, defunding Planned Parenthood, and a simple, fair tax code are priorities"
819892002519207937,2017-01-13 13:01:00,,2,2,TweetDeck,My House Republican colleagues and I have been laying the groundwork for a historically productive first 100 days.
819891765725446144,2017-01-13 13:00:04,,0,0,TweetDeck,A historically productive first 100 days. Read more via @BladenJournal: https://t.co/zx9di8EVjQ
819688662405255168,2017-01-12 23:33:00,,1,2,TweetDeck,"House Republicans are ready to deliver on a pro-growth, America 1st agenda in the 1st 100 days. Via @The_Robesonian: https://t.co/Xtxu2dQE4B"
819687908437295106,2017-01-12 23:30:01,,0,2,TweetDeck,An ambitious first 100 days. Read more via @The_Robesonian: https://t.co/Xtxu2dz3d3
819658965378183169,2017-01-12 21:35:00,,0,1,TweetDeck,"House Republicans are ready to deliver on a pro-growth, America 1st agenda in the 1st 100 days. Via @RCDailyJournal: https://t.co/n9wIKLgO2s"
819658718199607296,2017-01-12 21:34:01,,0,1,TweetDeck,My 1st priority is to provide you with exceptional constituent service. Should you need assistance please contact one of my office locations
819658464804958208,2017-01-12 21:33:01,,0,3,TweetDeck,"Defeating radical Islamic terrorism, repealing/replacing Obamacare, defunding Planned Parenthood, and a simple, fair tax code are priorities"
819658210810310657,2017-01-12 21:32:00,,0,1,TweetDeck,My House Republican colleagues and I have been laying the groundwork for a historically productive first 100 days.
819657961807155200,2017-01-12 21:31:01,,0,1,TweetDeck,"This week, the 115th Congress officially gaveled into session. With President-elect Trump soon to be inaugurated."
819657709968424960,2017-01-12 21:30:01,,1,2,TweetDeck,A historically productive first 100 days. Read more via @RCDailyJournal: https://t.co/n9wIKLgO2s
819610359644487684,2017-01-12 18:21:52,,6,0,TweetDeck,RT @RepHultgren: Thanks to cosponsors of Sex Trafficking Demand Reduction Act @RepChrisSmith @RepMaloney @reppittenger @RepAlexMooney @RepG…
819326275605200896,2017-01-11 23:33:01,,1,2,TweetDeck,8 GOP reps and I have asked the US health sec. to reject Gov Cooper's Medicaid expansion request. Via @JournalNow https://t.co/LYWXroadg3
819326024878063617,2017-01-11 23:32:01,,0,1,TweetDeck,..President-elect Trump won overwhelmingly on a platform of repealing and replacing Obamacare would be a slap in the face to NC voters (2/2)
819325770367500288,2017-01-11 23:31:00,,0,0,TweetDeck,"Regardless of the legality of Governor Cooper’s proposal, approving this request in the final days of President Obama’s admin, when.. (1/2)"
819325521083437056,2017-01-11 23:30:01,,0,0,TweetDeck,“GOP representatives ask US health secretary to reject Cooper's Medicaid expansion request” via @JournalNow: https://t.co/LYWXroadg3
819307099847008256,2017-01-11 22:16:49,,49,0,TweetDeck,"RT @keithellison: I introduced the bipartisan Credit Access &amp; Inclusion Act with @reppittenger.

https://t.co/SunGYQyDaU"
819296579450445824,2017-01-11 21:35:00,,3,4,TweetDeck,Recently I joined TWC News to discuss the House Republican plan to repeal and replace Obamacare: https://t.co/ag5VN4H8yt
819296331755831297,2017-01-11 21:34:01,,1,1,TweetDeck,A market driven health reform allowing insurance to be sold across state lines will encourage competition and  drive prices down.
819296077014700032,2017-01-11 21:33:01,,0,3,TweetDeck,65% of people want to get rid of Obamacare. They want a reform and we are going to respond to that. #BetterWay
819295826082222081,2017-01-11 21:32:01,,0,2,TweetDeck,Premiums and deductibles are skyrocketing with Obamacare. #BetterWay
