id,created_at,user,retweets,favorite_count,source,text
296285285946363905,2013-01-29 15:54:51,RepRonPaul,224,233,TweetDeck,"Thanks for your support throughout my time in Congress! This account will close down soon, but you can still follow me @RonPaul"
294528044004167681,2013-01-24 19:32:12,RepRonPaul,297,158,TweetDeck,"Thanks for your support throughout my time in Congress! This account will close down soon, but you can still follow me @RonPaul"
293388139928641537,2013-01-21 16:02:38,RepRonPaul,209,81,Twitter Web Client,"The Coming Debt Limit Drama: Government Wins, We Lose
http://t.co/ypAbN158"
290928352674578432,2013-01-14 21:08:19,RepRonPaul,141,54,Twitter Web Client,"On Obama’s New National Security Team,
Keep Your Eye on the Policy
http://t.co/pLQcFgZu"
289528075228704768,2013-01-11 00:24:06,RepRonPaul,82,53,Twitter Web Client,"I am excited to be speaking at the MidWest Homeschool Convention in Cincinnati on Sat., April 6.  For more info, check http://t.co/6EJHKJUZ"
288382352986632192,2013-01-07 20:31:25,RepRonPaul,225,79,Twitter Web Client,"‘Fiscal Cliff’ Vote Shows How Washington Really Works
 http://t.co/GUs0ihMt"
286600412642021376,2013-01-02 22:30:37,RepRonPaul,342,119,Twitter Web Client,"My statement on today's ""fiscal cliff"" vote:
https://t.co/o5Nqhdr6"
285748175967514625,2012-12-31 14:04:08,RepRonPaul,241,78,Twitter Web Client,Some suggested New Year's resolutions for congress  http://t.co/ou06qJSO
283229653349593088,2012-12-24 15:16:26,RepRonPaul,335,114,Twitter Web Client,Government security is just another kind of violence  http://t.co/ezMREhpN
280695060671123457,2012-12-17 15:24:52,RepRonPaul,149,55,Twitter Web Client,Right-to-work is part of economic liberty http://t.co/LQ8SIzt8
278151700777426944,2012-12-10 14:58:27,RepRonPaul,332,78,Twitter Web Client,Obama is expanding covert warfare overseas http://t.co/dd3u4MFb
276365629706076160,2012-12-05 16:41:15,RepRonPaul,62,27,Twitter Web Client,Article in The Daily I gave an interview for  http://t.co/kFG0wDKf
276043807047434240,2012-12-04 19:22:26,RepRonPaul,39,19,Twitter Web Client,On NPR's Talk of the Nation coming up in just a few minutes...
275594581263912960,2012-12-03 13:37:23,RepRonPaul,205,60,Twitter Web Client,Headed toward an 11th hour compromise http://t.co/DfIRwoZd
273104474573242369,2012-11-26 16:42:35,RepRonPaul,239,82,Twitter Web Client,How to end the tragedy in Gaza http://t.co/pspDhffH
270632276277202944,2012-11-19 20:58:57,RepRonPaul,337,103,Twitter Web Client,Secession: Are We Free To Go?  http://t.co/54ubB2kt
268909142402535425,2012-11-15 02:51:50,RepRonPaul,110,47,Twitter Web Client,Scheduled to be on C-SPAN's Washington Journal tomorrow morning
268793252319227904,2012-11-14 19:11:19,RepRonPaul,137,94,Twitter Web Client,Speaking now...
268776164678586368,2012-11-14 18:03:25,RepRonPaul,102,35,Twitter Web Client,Floor schedule moved faster than we thought and I will be giving my speech shortly...
268750452370325504,2012-11-14 16:21:15,RepRonPaul,344,109,Twitter Web Client,Looks like I will get to give Part 1 of my farewell speech sometime between 2:30 and 4:30 on the House floor today.  Details to follow.
268474500222439426,2012-11-13 22:04:43,RepRonPaul,516,146,Twitter Web Client,Planning to deliver a farewell speech to Congress this week...  details to come.
268041057424515072,2012-11-12 17:22:22,RepRonPaul,170,49,Twitter Web Client,In praise of price gouging http://t.co/aSuJXhbR
265550990927880192,2012-11-05 20:27:44,RepRonPaul,213,73,Twitter Web Client,The Economics of disaster http://t.co/3ikKKuED
262939374646345728,2012-10-29 15:30:06,RepRonPaul,120,43,Twitter Web Client,Let the markets clear! http://t.co/QpeJ8Wok
260838570120581120,2012-10-23 20:22:15,RepRonPaul,118,31,Twitter Web Client,Speaking tonight at the Lake Jackson Civic Center on how the national debt affects your pocketbook.  7pm
