id,created_at,user,retweets,favorite_count,source,text
851606731822071808,2017-04-11 01:24:01,RepScottPeters,3,17,TweetDeck,Wishing San Diego a blessed Passover. May tonight’s teaching continue to be passed on from generation to generation… https://t.co/caSSaTa87T
851584562085974016,2017-04-10 23:55:55,RepScottPeters,9,0,Twitter Web Client,RT @CityofSanDiego: Find resources and rebates to help you reduce water consumption at https://t.co/853jDa7HCl. #EarthMonth2017 #sdsustaina…
851576443045908480,2017-04-10 23:23:40,RepScottPeters,2,0,Twitter Web Client,RT @FWD_us: High-skilled immigrants in the U.S. generate trillions in revenue + boost our economy💰 https://t.co/7fXs8rNQd6 #bbstuck #immigr…
851571608171024388,2017-04-10 23:04:27,RepScottPeters,4,0,Twitter Web Client,RT @HouseNewDems: #NewDem @RepScottPeters describes the Coalition’s willingness to work with anyone who is serious about policy discussions…
851570577332727808,2017-04-10 23:00:21,RepScottPeters,2,6,Hootsuite,#TeamPeters updated @SDChamber Energy and Water committee on how we’re addressing the Tijuana River spill to ensure… https://t.co/ORx9gpTwBl
851565061957136385,2017-04-10 22:38:26,RepScottPeters,24,39,TweetDeck,"Sent a letter to @Secy_State_US to oppose defunding @unfpa, which provides reproductive health care to over 150 cou… https://t.co/zQP9k46QBj"
851554161300779009,2017-04-10 21:55:07,RepScottPeters,2,7,Hootsuite,#TeamPeters heard from former VA Secretary McDonald at @211SD’s first annual Veterans Community Connection Apprecia… https://t.co/Rvmda7zvv9
851549602201313280,2017-04-10 21:37:00,RepScottPeters,2,14,TweetDeck,"#TeamPeters joined Chabad of Poway at their Education &amp; Sharing Day, which teaches children the history of Passover. https://t.co/F8L5hFGMAz"
851531505700614144,2017-04-10 20:25:06,RepScottPeters,2,7,Hootsuite,#TeamPeters joined @CaAccess for a #KnowYourPatientRights seminar on how we can increase access to care and treatme… https://t.co/IKV9VkzOWr
851501833659047936,2017-04-10 18:27:11,RepScottPeters,5,20,TweetDeck,Our hearts are with the families of those killed &amp; all affected by the horrific shooting at North Park Elementary School in San Bernardino.
850759233092112386,2017-04-08 17:16:22,RepScottPeters,4,23,Twitter for iPhone,#TeamPeters is at Clairemont Day at by Bay today. Stop by to learn about the services we offer to San Diegans &amp; how… https://t.co/qNwZFAsc4D
850457152305090560,2017-04-07 21:16:00,RepScottPeters,1,2,TweetDeck,Only a few days left for San Diego High school students to enter #CAC17. Find out how to enter:… https://t.co/CK3FdLVuQM
850454811308945409,2017-04-07 21:06:42,RepScottPeters,7,18,Twitter Web Client,#ICYMI: Spoke to @craigmelvin about when I'm willing work across the aisle &amp; where I #DrawtheLine to fight for what… https://t.co/aEvEPT5rbD
850352139461427205,2017-04-07 14:18:43,RepScottPeters,4,12,Twitter Web Client,"Saddened to hear of the attack in Sweden this morning. Thinking of the victims, their families, and the people of… https://t.co/NOEPkjfZhU"
850186228947447808,2017-04-07 03:19:27,RepScottPeters,21,50,TweetDeck,"Assad's atrocity warranted a response, but Congress must be consulted moving forward. My statement on #Syria:… https://t.co/liTnmMf1DS"
850041081534271488,2017-04-06 17:42:41,RepScottPeters,1,6,Twitter for iPhone,Getting ready to chat with @craigmelvin. Watch live on @MSNBC. https://t.co/p34jpeEjc7
849955300249661441,2017-04-06 12:01:49,RepScottPeters,2,0,Twitter for iPhone,"RT @DavidXKlein: @JoelWish @CommonBond With the help of @RodneyDavis and @RepScottPeters, it very well could be soon! https://t.co/oNbBOm1M…"
849767610153672704,2017-04-05 23:36:00,RepScottPeters,1,6,TweetDeck,A visit to San Diego isn't complete without a visit to @PetcoPark. #VisitSD https://t.co/hnreVCAE2L
849763605583208448,2017-04-05 23:20:06,RepScottPeters,4,12,Hootsuite,"#TeamPeters joined @SDChamber Defense, Vets &amp; Military Committee to learn about defense programs for women and get… https://t.co/Ion2OxZ3Nw"
849758046263926785,2017-04-05 22:58:00,RepScottPeters,3,8,TweetDeck,"We're here to help San Diegans navigate federal resources, cut through red tape &amp; get answers. Learn more here:… https://t.co/lEdcXSYcic"
849752510613012480,2017-04-05 22:36:00,RepScottPeters,5,6,TweetDeck,Have you heard about #CAC17? San Diego high school students can enter this nationwide art competition. Learn more:… https://t.co/HxqvMN0KMi
849746722326794240,2017-04-05 22:13:00,RepScottPeters,11,52,TweetDeck,Bannon's removal from the National Security Council is a step in the right direction. Next step is to get him out o… https://t.co/s83P3rbESJ
849743198440235008,2017-04-05 21:59:00,RepScottPeters,3,12,TweetDeck,"$1,188,514 @EPA Air Pollution Control grant for @SanDiegoCounty is essential to keeping our air clean &amp; shows why @EPA is so important."
849741276127924224,2017-04-05 21:51:22,RepScottPeters,1,5,IFTTT,UC San Diego is the next location for the USA Biology Olympiad. Celebrated this announcement and spoke about the i…… https://t.co/Gs5t4flAtC
849737510725066752,2017-04-05 21:36:24,RepScottPeters,4,0,TweetDeck,RT @BIOCOMCA: Thx @RepScottPeters for mtg with us and @PatientAccess @InfantHealth @RyanJWitt at #BIOFlyIn2017 to discuss funding for our i…
849733213387927552,2017-04-05 21:19:20,RepScottPeters,1,3,TweetDeck,"Spoke about the success of San Diego's vets crisis lines like @211SD &amp; @CourageToCall in @VetAffairsDems this week.

https://t.co/eYp794gdPf"
849430157785956352,2017-04-05 01:15:05,RepScottPeters,2,13,Hootsuite,#TeamPeters joined @EnvCalifornia to celebrate San Diego being designated as the top city for solar PV installation… https://t.co/JpyN1nkuxe
849422608093335557,2017-04-05 00:45:05,RepScottPeters,0,5,Hootsuite,#TeamPeters joined @SRCivic to recognize Scripps Ranch community leaders by presenting them the Congressional Award… https://t.co/Kei1sLgMZb
849413736406425601,2017-04-05 00:09:50,RepScottPeters,9,41,Twitter for iPhone,San Diego is now ranked #1 in the nation for solar installations thanks to our forward-thinking investments in clea… https://t.co/SGSNrTfjvG
849411967152467968,2017-04-05 00:02:48,RepScottPeters,54,0,Twitter for iPhone,RT @ClimateReality: These six charts show the renewable revolution isn’t stopping any time soon — no matter what goes on in DC https://t.co…
849404218054246400,2017-04-04 23:32:01,RepScottPeters,4,10,Twitter for iPhone,We'll continue urging Congress to reject cuts to water infrastructure and working with San Diego officials like @mark4ibcitycoun back home.
849404005063282688,2017-04-04 23:31:10,RepScottPeters,4,7,Twitter for iPhone,"Latest report on #TijuanaRiver sewage spill shows we can't afford to cut cross-border water infrastructure funding.

https://t.co/HWqlV2ZLRT"
849403533908729856,2017-04-04 23:29:18,RepScottPeters,3,8,Twitter for iPhone,"Sent letter w/ @RepJuanVargas urging Congress to fund the US-Mexico Border Water Infrastructure Program, which coul… https://t.co/vWYqz0zMbp"
849402830708494336,2017-04-04 23:26:30,RepScottPeters,3,17,Twitter for iPhone,"When we discovered the President's budget would eliminate funding for programs to address the #TijuanaRiver spill,… https://t.co/DSrCMPegaA"
849402363018391552,2017-04-04 23:24:39,RepScottPeters,2,7,Twitter for iPhone,"After reports of the #TijuanaRiver sewage spill, we called for a full investigation after visiting the spill site.

https://t.co/pmaWLld3of"
849328643318972418,2017-04-04 18:31:42,RepScottPeters,2,12,Twitter for iPhone,"Fun DC visit from @mark4ibcitycoun to talk about Mexican sewage, etc. #SDinDC https://t.co/YCgN6fg1dk"
849072805064970242,2017-04-04 01:35:06,RepScottPeters,5,9,Hootsuite,#TeamPeters met with @CubicDefense to share how veteran employees can access VA benefits and navigate the… https://t.co/eEDfhq0pvj
849067244139143168,2017-04-04 01:13:00,RepScottPeters,6,13,TweetDeck,"In San Diego, supporting startups &amp; entrepreneurs also means supporting economic growth through innovation. #NationalInventorsMonth"
849060203635101698,2017-04-04 00:45:01,RepScottPeters,0,6,TweetDeck,"Poway's Component Surfaces manufactures custom, electroless,  metal plating through a process that ensures even dis… https://t.co/SFS72h87vd"
