id,created_at,coordinates,retweets,favorite_count,source,text
820002016269373441,2017-01-13 20:18:10,,0,0,Twitter Web Client,"Watch my interview w/ @CNNEE at 6 PM tonight regarding Administration’s change in “Wet Foot, Dry Foot” policy"
819943282541293569,2017-01-13 16:24:47,,5,14,Twitter Web Client,"GOP is voting to repeal #ACA w/o a replacement, taking health care away from millions of Americans #KeepAmericaCovered"
819918968660049920,2017-01-13 14:48:10,,2,6,Twitter Web Client,On #KoreanAmericanDay we recognize the numerous contributions of Korean Americans to our country’s history
819696260076728321,2017-01-13 00:03:12,,2,4,Twitter for iPhone,"Read my statement on the decision to end ""Wet Foot Dry Foot"" here: https://t.co/mQA8ja6sMj"
819577177830289410,2017-01-12 16:10:00,,0,2,Twitter Web Client,"It’s National Mentoring Month! If you want to #MentorIRL, visit: https://t.co/j32VQcljgi"
819270759805841408,2017-01-11 19:52:25,,0,5,Twitter Web Client,ICYMI Watch my statement on the House floor about Union City Public Schools achievements in education: https://t.co/Uc9gCwaV5y
818899383785754625,2017-01-10 19:16:42,,0,0,Twitter Web Client,January is #CervicalHealthMonth. Learn more at: https://t.co/ibaLcrHsJQ
818595581971099650,2017-01-09 23:09:30,,1,11,Twitter Web Client,Thank you to all law enforcement officers who protect our communities.
817151842614476800,2017-01-05 23:32:35,,1,2,Twitter Web Client,President Obama spoke on the Hill yesterday about #ACA https://t.co/58MteaMLHo
816733070980247552,2017-01-04 19:48:32,,3,9,Twitter Web Client,I am committed to working w/ colleagues to fight for healthcare of millions of Americans. Read my statement: https://t.co/9ewFmm3zG8
815313160219529216,2016-12-31 21:46:19,,0,5,Twitter for iPhone,Happy New Year #NJ08!
812801798935351296,2016-12-24 23:27:04,,0,4,Twitter for iPhone,Wishing a Happy Hanukkah and a Merry Christmas to #NJ08!
810231179085565953,2016-12-17 21:12:21,,1,5,Twitter Web Client,"Today marks the first successful flights by Orville and Wilbur Wright near Kitty Hawk, NC in 1903"
809072930583957504,2016-12-14 16:29:53,,7,10,Twitter Web Client,Rep @RosLehtinen &amp; I sent a letter to Sec. Kerry condemning the attacks on Coptic Christians in Egypt. View here: https://t.co/jA0qMfZfwY
808719703338319873,2016-12-13 17:06:17,,0,3,Twitter Web Client,"Today in 2010, @POTUS signed the Healthy Hunger-Free Kids Act into law to improve child nutrition programs"
808316906079977472,2016-12-12 14:25:42,,3,5,Twitter Web Client,The deliberate attack on Coptic Christians in Egypt yesterday is appalling. Read my statement here: https://t.co/yfJnQeOLOQ
806919088442208256,2016-12-08 17:51:17,,24,20,Twitter Web Client,"I had a productive meeting today with Colombian former President, Alvaro Uribe."
806539222219976704,2016-12-07 16:41:50,,0,1,Twitter Web Client,"Taped a segment of Meet the Leaders today discussing US policy towards Cuba, transportation/infrastructure, Medicare &amp; Social Security"
806506007979507712,2016-12-07 14:29:51,,0,4,Twitter Web Client,Today we remember the lives of those lost 75 years ago during the attack on Pearl Harbor.
806234247522635778,2016-12-06 20:29:58,,1,0,Twitter Web Client,Met Mr. Vitaly Vanshelboim of UNOPS today to hear about his work to improve business practices at the UN
805821810868682752,2016-12-05 17:11:05,,0,0,Twitter Web Client,"This holiday season, there is a higher risk for accidents caused by impaired drivers. Stay safe and learn more at: https://t.co/zCfoCoxTvy"
804721703821705216,2016-12-02 16:19:39,,0,1,Twitter Web Client,Be aware of the risks certain toys pose to children this holiday season and gift safely. Learn more at: https://t.co/XJhFC8Yh2M
