id,created_at,user,retweets,favorite_count,source,text
857278671639515136,2017-04-26 17:02:17,RepTierney,1,0,Twitter Web Client,How likely is it that @realDonaldTrump will listen? https://t.co/fdUGROVkFb
857278489929674752,2017-04-26 17:01:34,RepTierney,4,0,Twitter Web Client,RT @Livableworld: .@SecDef19 warns we are recreating conditions of the Cold War and increase the chances of a #nuclear catastrophe. https:/…
857278079852568581,2017-04-26 16:59:56,RepTierney,2,0,Twitter Web Client,RT @Livableworld: Read Council board member @DrJimWalshMIT's op-ed in @AJEnglish Is war coming to #NorthKorea? https://t.co/zd3cNvgZdA
855860172773879810,2017-04-22 19:05:40,RepTierney,1,0,Twitter Web Client,RT @Livableworld: Have you heard @Nukes_of_Hazard's podcast - Goldsboro and the Nuclear News? Check it out! https://t.co/Q9Cfb16dnZ
855504750749642752,2017-04-21 19:33:21,RepTierney,0,1,Twitter Web Client,Hecker is an expert whose voice should be heard! https://t.co/A4aYZ8xJUZ
855504409786232833,2017-04-21 19:32:00,RepTierney,4,0,Twitter Web Client,"RT @nukes_of_hazard: .@Joshua_Pollack: ""The North Koreans are not suicidal, they're not going to start a war"" https://t.co/fz3YQ2mIkr"
855504349954441218,2017-04-21 19:31:46,RepTierney,1,0,Twitter Web Client,.@realDonaldTrump    Hecker is a major voice deserving of attention! https://t.co/5Fnjm2Y3Hi
855502196707913733,2017-04-21 19:23:12,RepTierney,0,0,Twitter Web Client,This has been an urgent matter for years; time to do something! https://t.co/9eQqG0H6vK
855502077233172481,2017-04-21 19:22:44,RepTierney,3,0,Twitter Web Client,RT @Livableworld: The #Nuclear Test Ban: Time to Finish What We Started @Diplomat_APAC https://t.co/qsN4Cx7gL4
855501982488035329,2017-04-21 19:22:21,RepTierney,0,0,Twitter Web Client,This has bee a problem for years; attention must be paid! https://t.co/p6VN0VjatA
855087717142724611,2017-04-20 15:56:13,RepTierney,0,0,Twitter Web Client,"Relish an end Trump Presidency? Here's a sobering thought: Mike Pence! Not a very good prospect for informed, intel… https://t.co/2LCqAxfWs9"
855086849970360320,2017-04-20 15:52:46,RepTierney,4,0,Twitter Web Client,RT @nukes_of_hazard: A non-military opt. in #NorthKorea: Relentless pressure with China while pushing for a freeze of its nuke program http…
855086509854162949,2017-04-20 15:51:25,RepTierney,4,0,Twitter Web Client,"RT @Livableworld: A frightening depiction of how @POTUS could stumble into war with Iran, China or #NorthKorea https://t.co/QBKpDgMdv1"
