id,created_at,coordinates,retweets,favorite_count,source,text
819925314696581125,2017-01-13 15:13:23,,5,7,Twitter Web Client,Our office fights for YOU - call our incredible constituent casework team if you need help! #NJ03 https://t.co/xGjZ0Oxdsm
819642369901469696,2017-01-12 20:29:03,,1,7,Twitter Web Client,"This truly was a team effort-because of that, over 42k NJ residents in my district employed @ the base can breathe easy #JBMDL"
819628555973824516,2017-01-12 19:34:10,,2,6,Twitter Web Client,A true team effort. https://t.co/OsLUZwZTgf
819628078527905792,2017-01-12 19:32:16,,6,16,Twitter Web Client,"It's official: JBMDL will receive the KC-46 refueling tanker. This is what we have been fighting for, South Jersey!"
819213051849273344,2017-01-11 16:03:06,,1,2,Twitter Web Client,It's a pair of hands reading a book! https://t.co/DY3J4IUCaJ
819212802531459073,2017-01-11 16:02:07,,4,10,Twitter Web Client,Happy Birthday Alice Paul! She was a heroine of the Women’s Suffrage Movement! @AlicePaulInstit #NJ03 https://t.co/oLKuxwLiFN
819200609098301441,2017-01-11 15:13:39,,2,1,Twitter Web Client,"Don't forget, our reading challenge is underway! It's not too late to read 3 books by our March 18th deadline #NJ03… https://t.co/6qKfxu0n60"
818545554640764928,2017-01-09 19:50:42,,1,0,Twitter Web Client,RT @t_szymanek: @RepTomMacArthur much respect to law enforcement! They sacrifice as do our service men and women and deserve equal respect…
818491347418095617,2017-01-09 16:15:18,,9,28,Twitter Web Client,It's Law Enforcement Appreciation Day - Thank you for taking risks and suffering inconveniences to protect the lives of your fellow citizens
817478235776811008,2017-01-06 21:09:34,,5,0,Twitter Web Client,RT @JeanetteNJ: Amazing work by @RepTomMacArthur and his staff. This is what public service is all about. https://t.co/hKDGLQyAyW
817415579875344384,2017-01-06 17:00:35,,2,3,Twitter Web Client,Do you have a 8 minutes? Watch 8yr old Kristian get his Christmas wish https://t.co/0cVXg2ecMU #NJ03
817411885624598532,2017-01-06 16:45:54,,1,5,Twitter Web Client,Wrapping up a great week with family as we kick-off the #115thCongress #NJ03 https://t.co/iBlUX3kp6k
817411310409412612,2017-01-06 16:43:37,,4,11,Twitter Web Client,"8 yr old Kristian's wish for Christmas was to make Sgt. Silva his ""real dad"" - I'm so glad we could help in this pr… https://t.co/8AM6ZXY6eC"
817411130834436096,2017-01-06 16:42:55,,1,1,Twitter Web Client,"Sometimes through the noise and haze of DC, we can help someones dreams come true: https://t.co/SCsPcXXOns - Meet 8yr old Kristian."
817405726075342849,2017-01-06 16:21:26,,2,0,Twitter Web Client,RT @RepBlainePress: I'm looking forward to working with @RepTomMacArthur on the @FinancialCmte this year. Welcome!
817135111686725632,2017-01-05 22:26:06,,0,2,Twitter Web Client,Excited to get to work! https://t.co/TeZUNumAGT
817050762278817792,2017-01-05 16:50:56,,2,12,Twitter Web Client,anxious to begin work to reform the National Flood Insurance Program to give all Jersey shore residents certainty i… https://t.co/1GY8IpJSYV
817047613841309696,2017-01-05 16:38:25,,7,30,Twitter Web Client,Proud to be named to the House Financial Services Committee which touches some of the largest financial decisions in all of our lives.
816693630064791552,2017-01-04 17:11:49,,1,2,Twitter Web Client,Thank you for joining us yesterday! https://t.co/C0jkRy8PdA
816693435545616384,2017-01-04 17:11:03,,8,8,Twitter Web Client,Signing the Oath of Office for the #115thCongress - I do solemnly swear that I will support and defend the Constitu… https://t.co/Ktk1Zz9Ekg
816662937020616704,2017-01-04 15:09:51,,1,10,Twitter Web Client,Thank you to my incredible family for joining me yesterday to kick-off my second term representing #SouthJersey… https://t.co/UPWjSqg9Bj
816650829608390656,2017-01-04 14:21:45,,2,0,Twitter Web Client,RT @NJMEP: @RepTomMacArthur  This week's #MadeInNewJersey #Manufacturer is in your district! Learn More:  https://t.co/Pl7Ieeq0RE https://t…
816384550339309568,2017-01-03 20:43:39,,0,4,Twitter Web Client,Debbie got a new pin today as well! #115th #NJ03 https://t.co/2OAq11KhZW
816340476697735168,2017-01-03 17:48:31,,1,2,Twitter Web Client,Bella is ready for the 115th session of Congress to begin! #NJ03 https://t.co/alXY8DYJg8
816338790939848704,2017-01-03 17:41:49,,33,111,Twitter Web Client,It's official - 114th becomes the 115th Congress this afternoon! #NJ03 https://t.co/VSrLeuBOTq
816338481073061888,2017-01-03 17:40:35,,5,11,Twitter Web Client,Busy day on Capitol Hill - officially switching our 114th Congress pin for the 115th! #NJ03 #NewYearNewCongress https://t.co/2njZTz8X1N
816001924126437376,2017-01-02 19:23:13,,3,7,Twitter Web Client,"Happy New Year! I remain resolved to providing the best constituent service, so please reach out w/questions! https://t.co/uiONf3qFWG"
816001374982905856,2017-01-02 19:21:03,,4,8,Twitter Web Client,"""Tom MacArthur doesn't mind standing in the middle of DC's vast political divide.It's a position that served the freshman lawmaker well."""
816001263171239936,2017-01-02 19:20:36,,2,3,Twitter Web Client,ICYMI: I recently sat down with @BurlcoTimes to discuss my first term and our priorities in the New Year. https://t.co/TheaINH4sH
815941102637355009,2017-01-02 15:21:32,,3,5,Twitter Web Client,ICYMI: Check out my recent interview with @cspan on my first term in Congress representing #NJ03 and #SouthJersey https://t.co/i4IgAy0LrY
815933857845432320,2017-01-02 14:52:45,,17,0,Twitter Web Client,RT @KimGuadagnoNJ: The best present ever NJ!  Obama signs legislation to protect Joint Base. @RepTomMacArthur @RepChrisSmith  https://t.co/…
815933835603013632,2017-01-02 14:52:40,,2,0,Twitter Web Client,RT @Troy4NJ7: Thank you @DonaldNorcross and @RepTomMacArthur for your bipartisan efforts to protect our region's military base! https://t.c…
815921429132742656,2017-01-02 14:03:22,,1,0,Twitter Web Client,RT @BurlcoTimes: Middle man: @RepTomMacArthur's view from the Capitol divide https://t.co/9iXLWYHY0S #BurlCo https://t.co/P2vvBu31Hz
815921313814552577,2017-01-02 14:02:54,,5,6,Twitter Web Client,New Year - New Congress! Back in session in DC! #NJ03
811953474434924545,2016-12-22 15:16:08,,1,0,Twitter Web Client,RT @the_alicia_cook: I will be releasing a book on addiction's direct effect on families feat. @RepTomMacArthur! More here: https://t.co/DK…
