id,created_at,user,retweets,favorite_count,source,text
851471908461838337,2017-04-10 16:28:17,RepTomSuozzi,4,12,Twitter Web Client,This is why I'm opposed to President Trump's proposed EPA cuts. Our kids &amp; grandkids deserve both clean air &amp; water. https://t.co/Z3BMxS3r6G
850765729528000513,2017-04-08 17:42:11,RepTomSuozzi,2,7,Twitter Web Client,"With Huntington Town Supervisor Frank Petrone, Asharoken Mayor Greg Letica &amp; Dep. Mayor Pam Pierce to discuss erosi… https://t.co/aKHskxB2ZL"
850462229430448131,2017-04-07 21:36:10,RepTomSuozzi,2,11,Twitter Web Client,Spoke to seniors at Syosset High School about my work in Congress and the importance of civic duty. Had time for a… https://t.co/gFv3MohfUb
850376755198263296,2017-04-07 15:56:32,RepTomSuozzi,2,0,Twitter Web Client,"RT @BrianLehrer: ""We can’t forget the fact that there’s been up to 470,000 people killed in the Syrian conflict so far,"" says @RepTomSuozzi."
850355238888497153,2017-04-07 14:31:02,RepTomSuozzi,3,8,Twitter Web Client,My full statement on last night's airstrikes against Syria. https://t.co/3tYAuiT2KX
850111053879029760,2017-04-06 22:20:44,RepTomSuozzi,2,6,Twitter Web Client,Great meeting w/ @BasilSeggos from the @NYSDEC. Look forward to working w/ him and other stakeholders on cleaning u… https://t.co/vvcBKclc9C
849967809396396032,2017-04-06 12:51:32,RepTomSuozzi,6,0,Twitter for iPhone,"RT @KBRIWashDC: Congressman @RepTomSuozzi of New York: ""I've never been to Indonesia but I highly admire the spirit of openness &amp; tolerance…"
849730172450332673,2017-04-05 21:07:14,RepTomSuozzi,3,5,Twitter Web Client,We have a great responsibliity to ensure our men &amp; women in uniform have the best tools &amp; resources available. https://t.co/OcUSic8tnA
849617262768205824,2017-04-05 13:38:35,RepTomSuozzi,4,7,Twitter Web Client,It was great meeting you all! https://t.co/7D9cUYy1rn
849392343790891010,2017-04-04 22:44:50,RepTomSuozzi,2,7,Twitter for iPhone,Thanks for stopping by! https://t.co/HipErYdxdS
849352134491504640,2017-04-04 20:05:03,RepTomSuozzi,5,7,Twitter Web Client,Congressional Art Competition is officially open to #NY03 high school students! Deadline April 26. Good luck! Info: https://t.co/FUCjd1UhZm
849046269729394690,2017-04-03 23:49:39,RepTomSuozzi,4,10,Twitter Web Client,Today I took a bipartisan tour of Guantanamo Military Base in Cuba. God bless our men and women in uniform &amp; God bl… https://t.co/ltDeDiUyqx
848602645338214400,2017-04-02 18:26:51,RepTomSuozzi,1,10,Twitter Web Client,Thank you to the Hillcrest Jewish Center Men's Club for letting me speak today. Our religious values are needed in… https://t.co/rn9zAz3lR2
847490855317381125,2017-03-30 16:49:00,RepTomSuozzi,5,12,Twitter Web Client,Here I am being presented the #Navy seal today. I was given the #Army seal last week. A real honor! #NY03 https://t.co/kPfNjxZWEs
847103725722374145,2017-03-29 15:10:41,RepTomSuozzi,1,6,Twitter Web Client,Russia needs to learn that they can't mess with America or our allies. Watch my remarks -- about 5 minutes. https://t.co/4q5UTND6G4
846862391455481857,2017-03-28 23:11:42,RepTomSuozzi,10,45,Twitter Web Client,Great meeting w/my friends from @AIPAC! Israel is our longtime friend &amp; ally and we must ensure their security. Tha… https://t.co/gAOndv8YVI
846814664797425664,2017-03-28 20:02:03,RepTomSuozzi,6,20,Twitter Web Client,My statement on the President's exec orders to derail the #CleanPowerPlan. Simply unacceptable. We need clean air &amp;… https://t.co/bhbOhNjZhM
846746046915104768,2017-03-28 15:29:24,RepTomSuozzi,3,7,Twitter Web Client,"Problem Solvers Caucus meeting today. On the agenda, bipartisan ideas for infrastructure spending &amp; tax reform. Mus… https://t.co/dHyPkaA6Wx"
846500002008584192,2017-03-27 23:11:42,RepTomSuozzi,3,3,Twitter Web Client,Check out my remarks &amp; questions at a Foreign Affairs subcommittee hearing to end anti-Semitism around the globe. https://t.co/291rf3fiRj
846146781863923713,2017-03-26 23:48:08,RepTomSuozzi,5,14,Twitter for iPhone,Reaching across the aisle. Problem Solvers Caucus met w/ @stevenmnuchin1 to talk tax reform &amp; infrastructure. Time… https://t.co/aLDyClsaBY
845416229116526592,2017-03-24 23:25:10,RepTomSuozzi,1,8,Twitter for iPhone,Check out my Facebook video for my thoughts on the @HouseGOP pulling their health care bill today. https://t.co/gQuZrPNVPq
845389687845982209,2017-03-24 21:39:42,RepTomSuozzi,6,24,Twitter Web Client,My statement on @HouseGOP scrapping their ill-conceived health care bill. We need a bipartisan bill that makes sens… https://t.co/quMBapBd05
844908760497827840,2017-03-23 13:48:40,RepTomSuozzi,22,89,Twitter Web Client,"I'll be voting against the @HouseGOP health care plan. Americans deserve high-quality, affordable coverage. Read my… https://t.co/BKEl3xi1qW"
844317644828397568,2017-03-21 22:39:47,RepTomSuozzi,3,15,Twitter Web Client,"Thanks to my friend &amp; President of @FordhamNYC, Father Joseph McShane, for stopping by today. A great guy. I went t… https://t.co/vdAT7EOWgz"
844264235148480512,2017-03-21 19:07:33,RepTomSuozzi,3,16,Twitter Web Client,Today I was presented with the Army Seal by Col. Jon Howerton. A real honor. I'll keep working hard for our men &amp; w… https://t.co/tIA3A329aE
843986681581752320,2017-03-21 00:44:40,RepTomSuozzi,1,0,Twitter for iPhone,RT @ViscardiCenter: .@RepTomSuozzi thank you very much for working to ensure that all people receive the health care benefits they need!
843952865676804097,2017-03-20 22:30:17,RepTomSuozzi,2,9,Twitter Web Client,"Had a busy week in D.C. and in #NY03. @Morning_Joe, Problem Solvers Caucus &amp; much more. Trying to get a lot done! https://t.co/k7S1ARIWaF"
842796327230734338,2017-03-17 17:54:37,RepTomSuozzi,3,12,Twitter Web Client,Happy #StPatricksDay Here I am at the Huntington St. Paddy's parade last week. Will be at Glen Cove parade on Sunda… https://t.co/x7dNAoakgo
842519722683981825,2017-03-16 23:35:29,RepTomSuozzi,1,11,Twitter Web Client,"Here's my #marchmadness bracket! I've won 7 of 8 so far. I've got Villanova, ND, Kansas &amp; UNC in my #FinalFour Who… https://t.co/EbnQzpmSfL"
842136556915830786,2017-03-15 22:12:55,RepTomSuozzi,3,37,Twitter Web Client,"Big news! I've been named Co-Chair of the bipartisan Long Island Sound Caucus. We must protect its beauty, wildlife… https://t.co/n4wYKkqjgL"
842064128642564096,2017-03-15 17:25:07,RepTomSuozzi,2,13,Twitter Web Client,Two exceptional students from Jericho High School! #NY03 https://t.co/RwT7a1ru3q
841649635798192129,2017-03-14 13:58:04,RepTomSuozzi,8,15,Twitter Web Client,Here's the clip of me on @Morning_Joe talking health care w/@morningmika and @RepJoeKennedy. A great discussion! https://t.co/ySDI7z4ULy
841647600214409217,2017-03-14 13:49:59,RepTomSuozzi,2,6,Twitter for iPhone,"@RepTomSuozzi on #ACA : ""This is a life and death thing."" https://t.co/AcfSgzPfen"
841620779179601920,2017-03-14 12:03:24,RepTomSuozzi,2,12,Twitter for iPhone,"Just wrapped @Morning_Joe to talk #healthcare and CBO estimates with @morningmika,@MarkHalperin &amp; @Eugene_Robinson. https://t.co/8ZV0w7uRfK"
841453681853751297,2017-03-14 00:59:25,RepTomSuozzi,3,18,Twitter Web Client,Set your alarms. I'll be on @Morning_Joe tomorrow at 7:30am to talk about Common Sense for the Common Good. Hope you'll watch!
841082149310730241,2017-03-13 00:23:05,RepTomSuozzi,2,18,Twitter Web Client,Here's my @CNN interview w/@AnaCabrera. We have to work together to find common ground on this important issue. https://t.co/DURPUzpyku
841061660106330113,2017-03-12 23:01:40,RepTomSuozzi,2,11,Twitter for iPhone,"Just wrapped up my appearance on @CNN taking about ""Common Sense for the Common Good"" and the need to work together… https://t.co/WjgF1r7GEN"
841029872956915713,2017-03-12 20:55:21,RepTomSuozzi,3,21,Twitter for iPhone,"Tonight I will be on @CNN around 6:25pm to discuss my ""Common Sense for the Common Good"" proposal &amp; ways we can get things done in Congress"
840214687698567168,2017-03-10 14:56:06,RepTomSuozzi,3,19,Twitter Web Client,Check out my health care speech on the @HouseFloor last night. We need a plan that makes sense for all Americans. https://t.co/543Uy8jGI6
839976592529096704,2017-03-09 23:10:00,RepTomSuozzi,4,20,Twitter Web Client,Please watch my remarks at today's @HouseForeign hearing on Russia - about 5 mins. We can't let Putin mess with us. https://t.co/gaVD7uI6LD
839941412162535424,2017-03-09 20:50:12,RepTomSuozzi,7,0,Twitter Web Client,RT @HFACDemocrats: .@RepTomSuozzi: We all know what the Russians have done and continue to do. We need a 9/11-style commission to #Followth…
839889926997086208,2017-03-09 17:25:37,RepTomSuozzi,8,17,Twitter Web Client,Soon I'm giving remarks at @HouseForeign hearing on Putin and Russia. We must get to bottom of this. Watch live: https://t.co/nhQf5GpjSk
839883109613068288,2017-03-09 16:58:32,RepTomSuozzi,3,4,Twitter Web Client,About to testify in front of the Appropriations Subcommittee on reducing aircraft noise levels in #NY03. Watch here: https://t.co/CydkIEvy9Z
839534542654488576,2017-03-08 17:53:27,RepTomSuozzi,2,13,Twitter Web Client,"My just published op-ed in Newsday. It’s risky, but together let's find some common ground on the issue of abortion. https://t.co/nMcSZapvea"
839232765082107909,2017-03-07 21:54:18,RepTomSuozzi,5,13,Twitter Web Client,Big news! I've been appointed to the U.S. Merchant Marine Academy's Board of Visitors. A great honor. Read here:… https://t.co/EowV4c1Tcu
838895059135311874,2017-03-06 23:32:22,RepTomSuozzi,1,7,Twitter Web Client,"Worked hard last week. Problem Solvers Caucus, met with #SecDef Jim Mattis &amp; did a lot back in #NY03. More here: https://t.co/hFTuHTSU1H"
838860096247640066,2017-03-06 21:13:26,RepTomSuozzi,3,20,Twitter Web Client,Today I toured the @sidjacobsonjcc &amp; later met at Temple Sinai w/over 30 rabbis. I strongly support the State of Is… https://t.co/SHIMdt1Amb
838487754292015104,2017-03-05 20:33:53,RepTomSuozzi,14,0,Twitter Web Client,RT @SXMProgress: Obviously there's something going on with Trump's unusual relationship with Putin - @RepTomSuozzi with @Deanofcomedy https…
838387811225055232,2017-03-05 13:56:45,RepTomSuozzi,99,0,Twitter for iPhone,RT @FoxNews: .@RepTomSuozzi: ”We need to try and bring that money that’s offshore back into the USA &amp; I’d like to see that invested in infr…
838024390453374976,2017-03-04 13:52:39,RepTomSuozzi,5,10,Twitter Web Client,I was on @oreillyfactor last night hosted by @jessebwatters. Tried to rough me up a bit but I think I held my own. https://t.co/9ofM25Ndzx
837747174318485505,2017-03-03 19:31:05,RepTomSuozzi,7,0,Twitter for iPhone,"RT @EENewsUpdates: E&amp;E Daily: Freshman Dem @RepTomSuozzi prepares for battle on #cleanenergy, green regs 
by @KevinBogardus https://t.co/fZ…"
837694067307909120,2017-03-03 16:00:03,RepTomSuozzi,2,11,Twitter Web Client,"On Ash Wednesday, I delivered an environmental response to @realDonaldTrump address to the nation. Hope you enjoy. https://t.co/w9eV2mnr3Q"
