id,created_at,user,retweets,favorite_count,source,text
848987127543205889,2017-04-03 19:54:39,RepWilson,1,6,Twitter Web Client,"Dems are ready to #ProtectOurCare – and that includes improving it. Now, we just need GOP to abandon ACA repeal efforts."
848980604909649920,2017-04-03 19:28:44,RepWilson,2,9,Twitter Web Client,ICYMI: My staff honored 1st Lady of the Republic of Haiti @martinejmoise with Special Recognition @NoMiNews… https://t.co/YgKpy0PmBU
848938147262197762,2017-04-03 16:40:01,RepWilson,1,5,Twitter Web Client,Americans deserve the right to #broadbandprivacy. Urge @realDonaldTrump to reject S.J. Res 34.
848937582507565057,2017-04-03 16:37:46,RepWilson,1,2,Twitter Web Client,Keeping hope alive! https://t.co/luloARfknp
848937292051906560,2017-04-03 16:36:37,RepWilson,14,6,Twitter Web Client,"On April 14 we may sadly mark the #ChibokGirls' 3 years of captivity, but we're not giving up hope that we'll #BBOG… https://t.co/g8E1aBNnhd"
848935541534072832,2017-04-03 16:29:40,RepWilson,0,1,Twitter Web Client,https://t.co/nHtKR1TNaJ
848935402778103811,2017-04-03 16:29:07,RepWilson,2,4,Twitter Web Client,S.J. Res. 34 puts the interest of corporations above consumers. Join me in urging @POTUS to veto this bill. @RepValDemings @NancyPelosi
848861190851788800,2017-04-03 11:34:13,RepWilson,12,0,Twitter for iPhone,RT @alashock: 1085 Days since Rejoice Sanki was abducted wit her fellow 219 #ChibokGirls by Boko Haram. Will Rejoice ever return home? #Bri…
848861134090317824,2017-04-03 11:34:00,RepWilson,9,0,Twitter for iPhone,"RT @BukkyShonibare: 1,085 days of abduction
#BringBackOurGirls
#HopeEndures
@ab_bakr @CHIBOKDAUDA @POTUS @MetropoleMag @nytimes @Naijavote…"
848694779961540608,2017-04-03 00:32:58,RepWilson,1,7,Twitter for iPhone,When you tuck in your kids tonight send a good thought to the parents of the #ChibokGirls parents. Pray we #BBOG before 4/14!!!
848274043321151488,2017-04-01 20:41:06,RepWilson,8,19,Twitter for iPhone,"When sit down for dinner with your family tonight, please remember the #ChibokGirls and include their safe return in your grace. #BBOG"
847923026054217728,2017-03-31 21:26:17,RepWilson,0,2,Twitter Web Client,https://t.co/rMRi62Rzrn
847913763579850753,2017-03-31 20:49:29,RepWilson,0,6,Twitter Web Client,I am thankful for colleagues support ofr this very important cause. @RepAlLawsonJr @replouiegohmert… https://t.co/ZnUc6amSj1
847815450972962818,2017-03-31 14:18:49,RepWilson,2,7,Twitter Web Client,"#FlashbackFriday Every American deserves access to affordable, quality health care! #ProtectOurCare https://t.co/RLhURhxuQm"
847612933588754433,2017-03-31 00:54:05,RepWilson,1,9,Twitter for iPhone,ISPs should not be able to sell our information to the highest bidder! https://t.co/h5ULvH6JWs
847557877053218816,2017-03-30 21:15:19,RepWilson,0,2,Twitter Web Client,Thank you for your support of the #ChibokGirls @GregoryMeeks and @RepCharlieCrist. #HopeEndures https://t.co/h0yRbcmI9t
847544601653260288,2017-03-30 20:22:34,RepWilson,0,3,Twitter Web Client,It was great to meet with you today! https://t.co/wl7Z2C43AN
847518794469789697,2017-03-30 18:40:01,RepWilson,2,8,TweetDeck,This fight isn’t over. #ProtectOurCare
847503875062091776,2017-03-30 17:40:44,RepWilson,4,7,Twitter Web Client,The fight to #ProtectOurCare continues! https://t.co/TGRgcIgdjZ
847499982424776706,2017-03-30 17:25:16,RepWilson,407,0,Twitter Web Client,RT @HomelandDems: Today @BennieGThompson introduced a RESOLUTION OF INQUIRY directing DHS to provide info on Russia hacking &amp; election inte…
847494424821092357,2017-03-30 17:03:11,RepWilson,2,6,Twitter Web Client,Dems have been fighting to improve health care for decades. I’m glad to work with @HouseGOP – but first we must resist repeal.
847492871871647745,2017-03-30 16:57:00,RepWilson,15,0,Twitter Web Client,"RT @AishaYesufu: All we are saying … is #BringBackOurGirls(
#CountdownTo3YEARS https://t.co/KjQXGFtdHN"
847482614290145280,2017-03-30 16:16:15,RepWilson,0,2,Twitter Web Client,This fight isn’t over. #ProtectOurCare @_westsidegazett @communitypapers @sflcn @IslandTVLive… https://t.co/e47bTweqk4
847480296576569344,2017-03-30 16:07:02,RepWilson,0,0,Twitter Web Client,https://t.co/GoJoAi05gI
847480136941182976,2017-03-30 16:06:24,RepWilson,6,9,Twitter Web Client,#TBT: These are some of the best role models I know! @OfficialCBC @5000RoleModels https://t.co/TwPAnGGBXc
847477812722151425,2017-03-30 15:57:10,RepWilson,1,2,Twitter Web Client,"This fight isn’t over. #ProtectOurCare @MiamiHerald @MiamiNewTimes @pbpost
@newtropicmiami @SunSentinel… https://t.co/iv2TZ97lrQ"
847475983254929408,2017-03-30 15:49:54,RepWilson,0,1,Twitter Web Client,"This fight isn’t over. #ProtectOurCare @CBSMiami @nbc6 @wsvn @WLRN
@WPLGLocal10 https://t.co/0kaDiwMgJG https://t.co/uOolhlFsJM"
847474403986345984,2017-03-30 15:43:37,RepWilson,0,4,Twitter Web Client,"This fight isn’t over. #ProtectOurCare @cusman @stevenbc6 @jennvasquez
https://t.co/IR1g41rUcu https://t.co/uOolhlnRSe"
847473784709828608,2017-03-30 15:41:10,RepWilson,0,4,Twitter Web Client,#ProtectOurCare! @carolynguniss @daytonatimes @flcourier @FLSENTINELB @GainesvilleSun @JaxFreePress… https://t.co/T0JIHPw4mM
847472787782488066,2017-03-30 15:37:12,RepWilson,0,4,Twitter Web Client,We must #ProtectOurCare! @PensacolaVoice @michaelwtyler @TheMiamiTimes @blogblackmiami @CaribbeanToday_… https://t.co/BOwwcB7MTF
847471720424325120,2017-03-30 15:32:58,RepWilson,1,3,Twitter Web Client,This fight isn't over. @TheOrlandoTimes @sflcn @SFLTimes @WklyChllnger @WestOrlandoNews @RobertBeatty… https://t.co/zBbXZOXL9A
847447697472733184,2017-03-30 13:57:30,RepWilson,1441,0,Twitter Web Client,RT @RepJimmyPanetta: This is beyond politics. It’s about protecting our democracy. We need to create an independent commission to #FollowTh…
847447645123559425,2017-03-30 13:57:18,RepWilson,5,5,Twitter Web Client,"As a former educator, I find this statistic deplorable--and sad. https://t.co/TTuoY2DAz1"
847200625695842308,2017-03-29 21:35:44,RepWilson,5,0,Twitter Web Client,@RepAlLawsonJr standing tall for the #ChibokGirls. We must #BBOG! https://t.co/TdwfU6MFgw
847200087365365760,2017-03-29 21:33:35,RepWilson,7,8,Twitter Web Client,Thank you for supporting the #ChibokGirls @GregoryMeeks and @RepCharlieCrist https://t.co/M7awFSDz5t
847175659176775685,2017-03-29 19:56:31,RepWilson,0,5,Twitter Web Client,Still fighting to #ProtectOurCare! @TheOrlandoTimes @sflcn @SFLTimes @WklyChllnger @WestOrlandoNews @RobertBeatty… https://t.co/c20zoZ9bgs
