id,created_at,coordinates,retweets,favorite_count,source,text
820299443748544513,2017-01-14 16:00:02,,1,3,Twitter Ads,President-elect Trump has chosen well-qualified individuals to lead the various executive departments and agencies. https://t.co/9X47EQHvAi
820088063586013184,2017-01-14 02:00:05,,7,29,Twitter Ads,Gen. Mattis will serve our national security interests well during these difficult times. https://t.co/PJSNVWdrRf
820072965857415168,2017-01-14 01:00:05,,2,5,Twitter Ads,It's Mississippi Fact Friday! Watch below to see what this week's fact: https://t.co/MS7frzVkM6
820057871450710016,2017-01-14 00:00:07,,0,5,Twitter Ads,"Trump’s choices have been wise ones, and I hope to see Congress act quickly in confirming his nominations. https://t.co/9X47EQHvAi"
820027665516085249,2017-01-13 22:00:05,,1,13,Twitter Ads,Gen. Mattis is an exceptional choice to lead our Defense Department and military service members. https://t.co/C8yyhP2FKW
820005022222061568,2017-01-13 20:30:06,,0,3,Twitter Ads,Watch to see what fact about #Mississippi is featured today! https://t.co/8t0TmsVaCU
819967260223619073,2017-01-13 18:00:03,,1,9,Twitter Ads,We will have a professional serving us in the Pentagon with Gen. Mattis. https://t.co/4mdNxZHeAe
819952186549338112,2017-01-13 17:00:09,,8,21,Twitter Ads,Repealing Obamacare is just the first step toward enacting policies that put Mississippi families first. https://t.co/7u4V3g4lGR
819921962453434368,2017-01-13 15:00:03,,1,3,Twitter Ads,Learn more about our great state with #Mississippi Fact Friday! https://t.co/HxWmhhhGNh
819725657173147648,2017-01-13 02:00:01,,200,653,Twitter Ads,Gen. Mattis is an exceptional choice to lead our Defense Department and military service members. https://t.co/Xieui2zvtp
819718108109602816,2017-01-13 01:30:01,,4,15,Twitter Ads,"Obamacare has not brought about constructive change, only more problems. https://t.co/NrHI7ks2h3"
819695484264529921,2017-01-13 00:00:07,,2,15,Twitter Ads,Washington’s overreach under Obamacare has left small businesses dealing with burdensome rules and uncertainty. https://t.co/KY779uNB2s
819665272453767168,2017-01-12 22:00:04,,3,13,Twitter Ads,Gen. Mattis has extensive knowledge on strategy and foreign policy that will serve our national interests well. https://t.co/Xieui2zvtp
819589794820812801,2017-01-12 17:00:08,,1,8,Twitter Ads,President-elect Trump could not have picked a better person to lead our Defense Department. https://t.co/Xieui2zvtp
819363292321705985,2017-01-12 02:00:06,,3,22,Twitter Ads,"Obamacare has not brought about constructive change, only more problems. https://t.co/vE3WixCIv1"
819348192646922242,2017-01-12 01:00:06,,40,29,Twitter Ads,Retweet if you’re a Mississippian for Trump! https://t.co/LklWpq3QpG
819302889717829632,2017-01-11 22:00:05,,2,8,Twitter Ads,Repealing Obamacare is just the first step toward enacting policies that put Mississippi families first. https://t.co/vE3WixCIv1
819280226626605056,2017-01-11 20:30:02,,19,10,Twitter Ads,Retweet if you agree! https://t.co/pS0jjIRdVl
819268212223197185,2017-01-11 19:42:17,,1,6,Twitter Ads,Republicans are committed to ensuring a smooth transition for Americans who are on Obamacare. https://t.co/vE3WixCIv1
819197226048098304,2017-01-11 15:00:13,,10,4,Twitter Ads,Retweet if you support President-elect Trump! https://t.co/QKwUkV84tQ
819008443126120448,2017-01-11 02:30:03,,0,1,Twitter Ads,"Let us know how you feel about Obama’s ineffective, liberal policies: https://t.co/ckCddDp8m2"
819000901696225280,2017-01-11 02:00:05,,0,1,Twitter Ads,"As Obama says farewell to the country, say farewell to him: https://t.co/ckCddDp8m2"
818993335629058048,2017-01-11 01:30:02,,0,0,Twitter Ads,Send Obama a goodbye message as he says farewell to the country: https://t.co/ckCddDp8m2
818978253759070208,2017-01-11 00:30:06,,0,1,Twitter Ads,Let us know how you feel about Obama leaving office in 10 days: https://t.co/ckCddDp8m2
818970705698045955,2017-01-11 00:00:06,,1,6,Twitter Ads,"In 10 days, Obama leaves office. Let us know how you feel: https://t.co/ckCddDp8m2"
818917843332800513,2017-01-10 20:30:03,,3,11,Twitter Ads,Senators know @SenatorSessions and I believe he will receive overwhelming bipartisan support in the US Senate. #GOP… https://t.co/mqg32KGYqq
818880100078714880,2017-01-10 18:00:04,,315,828,Twitter Ads,.@SenatorSessions has my support and I believe he will receive overwhelming bipartisan support in the US Senate.… https://t.co/NxaHaneNJy
818849908627095552,2017-01-10 16:00:06,,8,33,Twitter Ads,I believe @SenatorSessions will receive overwhelming bipartisan support in the US Senate. #GOP #Republican #NRSC… https://t.co/6m9T4dNItn
818834794792423429,2017-01-10 15:00:02,,2,4,Twitter Ads,Wish President-elect Trump Good Luck by signing his card! https://t.co/eyhxZBjvU3
818630958047842304,2017-01-10 01:30:04,,3,12,Twitter Ads,The inauguration is only 11 days away. Wish President-elect Trump Good Luck! https://t.co/eyhxZBjvU3
818608310651731968,2017-01-10 00:00:04,,0,3,Twitter Ads,Sign President-elect Trump’s Good Luck card! https://t.co/eyhxZBjvU3
818261007210418178,2017-01-09 01:00:01,,3,9,Twitter Ads,https://t.co/9VAfhpRsOc
818193068700467200,2017-01-08 20:30:03,,1,13,Twitter Ads,https://t.co/dqGe2Kjfu8
818094932145471489,2017-01-08 14:00:05,,0,13,Twitter Ads,https://t.co/oThh2ZCGex
817898623815946240,2017-01-08 01:00:02,,1,8,Twitter Ads,Add your name if you will support President-elect Donald Trump his first year in office! https://t.co/07MSEMEUY3
817830684689453056,2017-01-07 20:30:04,,0,6,Twitter Ads,Will you support President-elect Donald Trump this year? Add your name here: https://t.co/07MSEMEUY3
817747630532882434,2017-01-07 15:00:02,,0,4,Twitter Ads,Show your support for President-elect Donald Trump during his first year in office! https://t.co/07MSEMEUY3
817536257236418560,2017-01-07 01:00:07,,3,7,Twitter Ads,It's Mississippi Fact Friday! Watch below to see what this week's fact: https://t.co/HfZQzA7wel
817506052346216448,2017-01-06 23:00:06,,3,4,Twitter Ads,Watch to see what fact about #Mississippi is featured today! https://t.co/cMS7nlNvXa
817483392228814848,2017-01-06 21:30:03,,2,5,Twitter Ads,Learn more about our great state with #Mississippi Fact Friday! https://t.co/41e3FzOD4T
817392794050248704,2017-01-06 15:30:03,,0,3,Twitter Ads,Let us know how you feel about Obama leaving office in 15 days: https://t.co/ckCddDp8m2
817173854153895936,2017-01-06 01:00:03,,0,9,Twitter Ads,"In 15 days, Obama leaves office. Let us know how you feel: https://t.co/ckCddDp8m2"
817154200219963392,2017-01-05 23:41:57,,0,0,Twitter Ads,"Let us know how you feel about Obama’s ineffective, liberal policies: https://t.co/ckCddDp8m2"
817022861164441601,2017-01-05 15:00:04,,1,2,Twitter Ads,What should @realDonaldTrump’s first act in the White House be? https://t.co/8r9AUBtEBU
816826559063420929,2017-01-05 02:00:02,,0,1,Twitter Ads,Click here to let us know what @realDonaldTrump’s first act in office should be. https://t.co/8r9AUBtEBU
816811459569029120,2017-01-05 01:00:02,,1,5,Twitter Ads,The first 100-day period after a new President takes office is a pivotal time for any administration. https://t.co/OQRevoF5bS
816796364965179392,2017-01-05 00:00:03,,0,0,Twitter Ads,What do you think @realDonaldTrump’s first act as President should be? https://t.co/8r9AUBtEBU
816743536523558912,2017-01-04 20:30:08,,4,16,Twitter Ads,"This will allow me to continue representing MS on issues of national security, job creation, and regulatory relief. https://t.co/PJH2jtp4S7"
815724299008897024,2017-01-02 01:00:02,,2,14,Twitter Ads,https://t.co/K4Celk9GtR
815656360427692032,2017-01-01 20:30:05,,2,12,Twitter Ads,https://t.co/xU3X3ndEIq
815573300386504704,2017-01-01 15:00:02,,3,15,Twitter Ads,https://t.co/WnfuGvXNkl
815293977364611072,2016-12-31 20:30:06,,8,42,Twitter Ads,I vow to support President-elect Donald Trump in 2017. LIKE if you agree! https://t.co/ShXds4EAZN
815210943361650689,2016-12-31 15:00:09,,2,23,Twitter Ads,LIKE if you will support President-elect Donald Trump in 2017! https://t.co/w8GYFzQMc1
815180715939631104,2016-12-31 13:00:02,,5,26,Twitter Ads,I will support President-elect Donald Trump and fight for conservative policies in 2017! https://t.co/YblaBDGlL4
814637130236370944,2016-12-30 01:00:01,,17,33,Twitter Ads,"Republicans control the presidency, Congress, and the majority of state governments. Are you ready for 2017? https://t.co/DOR5bOx5oI"
814297904055611392,2016-12-29 02:32:03,,0,4,Twitter Ads,"""The 'Water Resources Development Act' (WRDA) is good for Mississippi."" https://t.co/LEO9gCZgau"
814274742748213248,2016-12-29 01:00:01,,0,6,Twitter Ads,Add your name if you will support President-elect Donald Trump in 2017! https://t.co/07MSEMEUY3
814260157240602629,2016-12-29 00:02:04,,0,2,Twitter Ads,"""Congress ended 2016 with a major piece of legislation to keep our communities protected from dangerous floods."" https://t.co/LEO9gCZgau"
814244565993463808,2016-12-28 23:00:07,,0,4,Twitter Ads,"""Congress ended 2016 with a major piece of legislation to keep goods flowing on our waterways."" https://t.co/LEO9gCZgau"
814236637576228867,2016-12-28 22:28:36,,10,24,Twitter for iPhone,Perhaps Secretary John Kerry could remind us how many true Arab democracies there are in the Middle East. - RW
814206811939086336,2016-12-28 20:30:05,,0,3,Twitter Ads,Will you support President-elect Donald Trump in 2017? Add your name here: https://t.co/07MSEMEUY3
814123750631182337,2016-12-28 15:00:02,,0,5,Twitter Ads,Show your support for President-elect Donald Trump in 2017! https://t.co/07MSEMEUY3
813912375401148416,2016-12-28 01:00:06,,0,0,Twitter Ads,What should @realDonaldTrump’s first act in the White House be? https://t.co/8r9AUBtEBU
813859519046434816,2016-12-27 21:30:04,,0,0,Twitter Ads,Click here to let us know what @realDonaldTrump’s first act in office should be. https://t.co/8r9AUBtEBU
813761374480310273,2016-12-27 15:00:05,,0,0,Twitter Ads,What do you think @realDonaldTrump’s first act as president should be? https://t.co/8r9AUBtEBU
813066806331965440,2016-12-25 17:00:07,,1,4,Twitter Ads,https://t.co/IdGUERSnnw
813036596219899904,2016-12-25 15:00:04,,2,15,Twitter Ads,https://t.co/DgYcVv9Yd6
812825188869885952,2016-12-25 01:00:01,,0,0,Twitter Ads,When do you open #Christmas gifts? Let us know! https://t.co/QbzlaycGwB
812772346742177792,2016-12-24 21:30:02,,0,0,Twitter Ads,Tell us when you and your family open your #Christmas gifts! https://t.co/QbzlaycGwB
812694682006339584,2016-12-24 16:21:25,,3,9,Twitter for iPhone,Enjoyed reading about your Christmas traditions.  A Wicker tradition is to gather our family on Christmas Eve Eve.… https://t.co/EwDHKsBrVu
812681762807517185,2016-12-24 15:30:05,,0,1,Twitter Ads,Let us know when you open your Christmas gifts! https://t.co/QbzlaycGwB
812462824634990592,2016-12-24 01:00:06,,2,5,Twitter Ads,It's Mississippi Fact Friday! Watch below to see what this week's fact: https://t.co/uH7TVCmmZE
812402412803629056,2016-12-23 21:00:03,,2,6,Twitter Ads,Watch to see what fact about #Mississippi is featured today! https://t.co/t7JbHkptbr
