id,created_at,coordinates,retweets,favorite_count,source,text
820300948434104321,2017-01-14 16:06:01,,0,3,TweetDeck,"My staff will be at Cole Insurance in Sikeston on Tues, Jan 17 to help you w/problems you might be facing: https://t.co/hrfwCnEMIX"
820036396257865729,2017-01-13 22:34:47,,11,55,Twitter Web Client,The president elect is clearly focused on getting to work and I'm very encouraged by the opportunity we all have to… https://t.co/e1fVEerMVR
820002009445187584,2017-01-13 20:18:08,,3,22,Twitter Web Client,"#FBF to receiving this Len Dawson autographed football. 3 years later, it’s still proudly displayed in my office. G… https://t.co/SUgUCROE4u"
819971430435721217,2017-01-13 18:16:38,,0,4,Twitter Web Client,"Congrats to #KC’s Sophia Schneider, winner of @NFLPLAY60 Super Kid who has the honor of delivering the game ball prior to @Superbowl kickoff"
819946164762148864,2017-01-13 16:36:14,,2,10,Twitter Web Client,"Congrats to Keturah Gadson of #STL &amp; Andrew Pogue of #Clinton, selected as delegates to the 55th annual US Senate Youth Program. #USSYP"
819893363973521410,2017-01-13 13:06:25,,0,2,Twitter Web Client,Tune in as I join @McGrawMilhaven &amp; @kells_jackson on the McGraw Show at 7:15 CT: https://t.co/xoV76Opk87
819705669897035776,2017-01-13 00:40:35,,7,0,Twitter for iPhone,RT @MoPublicSafety: Really important now to monitor #mowx forecast for updates and take appropriate actions. Think of safety first! https:/…
819699231002767360,2017-01-13 00:15:00,,3,13,TweetDeck,Had a productive discussion w/CIA Director nominee @RepMikePompeo at his Senate confirmation hearing. Watch here: https://t.co/Wn7CgHnfFz
819687581235445760,2017-01-12 23:28:43,,99,0,Twitter for iPhone,"RT @weatherchannel: A potentially crippling, multi-day #ice storm kicks off overnight tonight in the central U.S. https://t.co/sJLouhFGC5 #…"
819676260578299904,2017-01-12 22:43:44,,2,6,Twitter Web Client,"Thanks for stopping by, @CHCofCMO, and thanks for all you do for MO. https://t.co/J7Z32yWAaW"
819667308750786560,2017-01-12 22:08:09,,31,0,Twitter Web Client,"RT @MoDOT: Avoid travel if possible late tonight through Sun. If travel is necessary, plan ahead using the traveler info map, https://t.co/…"
819655088994189313,2017-01-12 21:19:36,,2,11,Twitter Web Client,Look forward to working with @RepMikePompeo on cybersecurity issues. https://t.co/Wn7CgH5EO1
819650169633472512,2017-01-12 21:00:03,,1,3,TweetDeck,The mobile office on Friday in Jefferson City is postponed due to inclement weather. https://t.co/SoOQ0ebBGK
819640094235631616,2017-01-12 20:20:01,,0,1,TweetDeck,"Because of inclement weather, the Vienna mobile office scheduled for tomorrow is postponed. https://t.co/SoOQ0etcyi"
819636319425064960,2017-01-12 20:05:01,,1,2,TweetDeck,The mobile office scheduled for tomorrow in Rolla is postponed due to inclement weather. https://t.co/SoOQ0ebBGK
819629269148172288,2017-01-12 19:37:00,,6,24,Twitter Web Client,"The Senate took a critical step to repeal #Obamacare &amp; pave the way for solutions to expand access to quality, affo… https://t.co/fDqqoBmn3T"
819603008967372800,2017-01-12 17:52:39,,1,4,Twitter Web Client,"Due to inclement weather, mobile offices in Rolla, Vienna &amp; Jefferson City on Friday are postponed. Stay safe https://t.co/SoOQ0ebBGK"
819589721177411586,2017-01-12 16:59:51,,4,15,Twitter Web Client,"Senate GOP is keeping our promise to the American people, beginning the process to repeal #Obamacare https://t.co/9PKUp40EcH"
819564093417914368,2017-01-12 15:18:01,,2,4,TweetDeck,Proud to continue working on legislation to bring the historic Delta Queen back home to Missouri. https://t.co/JoFtXJpR16
819349428364394496,2017-01-12 01:05:01,,1,8,TweetDeck,Congrats to Dawn Cornelison of @Mizzou for receiving the Presidential Early Career Award for Scientists &amp; Engineers
819336842940063746,2017-01-12 00:15:00,,1,11,TweetDeck,Very glad to hear the Salem VA expanding hours for rural veterans after asking @DeptVetAffairs to do so last month. https://t.co/k9ilYH2KtD
819327566590910464,2017-01-11 23:38:08,,2,10,Twitter Web Client,"Congrats to Petty Officer First Class Stephen Forbes, who stopped by #MO Mornings w/ his family before his #USNavy… https://t.co/6glVQuNqfP"
819316711320997889,2017-01-11 22:55:00,,4,5,TweetDeck,Republicans are keeping the promises we made to Americans https://t.co/LN6JLf6Bb7 I urge Senate Dems to do the same #Obamacare
819305890041839616,2017-01-11 22:12:00,,6,18,TweetDeck,"#Obamacare has forced millions off plans &amp; doctors they liked &amp; could afford, drastically driven up costs, &amp; slashed health plan options"
819295824035201026,2017-01-11 21:32:00,,7,12,TweetDeck,Senate will soon vote on resolution giving Congress the tools to repeal #Obamacare https://t.co/LN6JLf6Bb7 1st step toward better solutions
819288285415620609,2017-01-11 21:02:03,,5,12,Twitter Web Client,Dems failed to live up to nearly every #Obamacare promise they made https://t.co/LN6JLfoczH Time for them to start making things right
819280221543088128,2017-01-11 20:30:00,,2,8,TweetDeck,Congrats to the Jordan Valley Innovation Center @MissouriState for 10 years of supporting entrepreneurship in #SGF.
819271518815453185,2017-01-11 19:55:26,,2,8,Twitter Web Client,"Thank you for your service, Major Grant. https://t.co/NRHoRUVMp6"
819254047362469890,2017-01-11 18:46:00,,4,5,TweetDeck,"The Delta Queen’s return home would bring jobs, economic growth, and tourism in the St. Louis region. https://t.co/JoFtXJpR16"
818929660801097728,2017-01-10 21:17:00,,0,1,TweetDeck,We’re here to help you. Visit our mobile office at Cole County Courthouse Annex on 1/13 at 12:30pm: https://t.co/vaYrMxVW0D
818861211378925571,2017-01-10 16:45:01,,0,1,TweetDeck,Visit our mobile office in Vienna on Jan. 13 &amp; see how my staff can help you: https://t.co/vaYrMydxpd
818827238867013632,2017-01-10 14:30:01,,0,2,TweetDeck,How can we help you? Stop by our mobile office at Phelps County Courthouse on 1/13. More info: https://t.co/vaYrMxVW0D
818597500521238529,2017-01-09 23:17:07,,15,52,Twitter for iPhone,"On #LawEnforcementAppreciationDay, I’m grateful for the men &amp; women that serve and protect us every day.… https://t.co/oTnsfMWIqN"
818586654785015808,2017-01-09 22:34:01,,1,5,TweetDeck,Join my staff at the Carroll County Courthouse on Jan. 12 at 230pm for our next mobile office &amp; see how we can help: https://t.co/wbhZgsS6DU
818559222069620737,2017-01-09 20:45:01,,0,4,TweetDeck,RSVP for our Richmond mobile office on Jan. 12 at 1pm for our next mobile office &amp; see how we can help: https://t.co/wbhZgt9Hvs
818510903427534851,2017-01-09 17:33:01,,1,4,TweetDeck,Are you in Kingston? My staff is holding a mobile office on 1/12 at 1030am. Stop by &amp; see how we can help: https://t.co/wbhZgt9Hvs
818481460256669697,2017-01-09 15:36:01,,0,3,TweetDeck,We’re here to help you. Stop by &amp; visit w/my staff 1/12 at 9am at Clinton County Courthouse in Plattsburg: https://t.co/wbhZgsS6DU
818433141912145920,2017-01-09 12:24:01,,0,4,TweetDeck,Stopping by 93.1 Jack FM to join Tom Bradley &amp; @carriesmanyhats on the @tombradleyshow at 7:15 CT. Tune in here: https://t.co/jQzCYduiib
