id,created_at,user,retweets,favorite_count,source,text
853875372273934338,2017-04-17 07:38:47,SenChrisDodd,2,5,Twitter for iPhone,Happy to reiterate the successful relationship btwn the US and Chinese film industries at the 7th Annual Beijing In… https://t.co/KuQVnm4BoG
848267997131276289,2017-04-01 20:17:05,SenChrisDodd,8,0,Twitter for iPhone,RT @MeetThePress: ON THIS DAY IN 1996: @SenChrisDodd (D-Conn.) joined the show. He was @TheDemocrats chair at the time &amp; served in Senate f…
837730111482814464,2017-03-03 18:23:17,SenChrisDodd,3,10,Twitter for iPhone,"Pleased to join my friend, @MikeMedavoy, to discuss the growth of the media and entertainment industry in Latin Ame… https://t.co/fbIX5gnCHC"
837725135436075008,2017-03-03 18:03:31,SenChrisDodd,2,6,Twitter for iPhone,"Wonderful having the opportunity to sit down and meet with you, @DeanOlian. It is a pleasure being on the beautiful… https://t.co/02MyFEnkRv"
832252359103377408,2017-02-16 15:36:39,SenChrisDodd,3,0,Twitter for iPhone,RT @schneidercar: Met @SenChrisDodd today a great sponsor of financial regulation that drew lessons from the crisis 1/2 https://t.co/jKoPBz…
831790372724547588,2017-02-15 09:00:53,SenChrisDodd,6,7,Twitter for iPhone,Joined SKW Schwarz Firm at the Berlin Capital Club @berlinale this AM to discuss the importance of film production… https://t.co/6YL159PYsz
829703110138421248,2017-02-09 14:46:51,SenChrisDodd,2,2,Twitter for iPhone,"Had a great time with Southern U grads. Discussed families, our partnership, and movies. https://t.co/BkemBz2a5m"
823897355174969344,2017-01-24 14:16:51,SenChrisDodd,1,5,Twitter for iPhone,Congratulations to all this year’s #OscarNoms https://t.co/ZTMWd9eKiO
819564373349924864,2017-01-12 15:19:08,SenChrisDodd,4,6,Twitter for iPhone,Congratulations to Maria Pallante on her appointment as CEO of @AmericanPublish. I look forward to working together to protect creators.
818472587604803588,2017-01-09 15:00:46,SenChrisDodd,10,24,Twitter for iPhone,"Had a great time last night with my wife, Jackie, at the #GoldenGlobes. Congrats to all the nominees! It's a great… https://t.co/Kzm7vfKw9P"
808855905261363200,2016-12-14 02:07:30,SenChrisDodd,2,10,Twitter for iPhone,Congrats to all of the #GoldenGlobes nominees! We were proud to host the cast of Moonlight earlier this year: https://t.co/oIogNYgocs
807230017252032512,2016-12-09 14:26:48,SenChrisDodd,5,9,Twitter for iPhone,"My statement on the passing of my dear friend, John Glenn https://t.co/VU6vpHFpRx"
806377226455384064,2016-12-07 05:58:07,SenChrisDodd,5,4,Twitter for iPhone,Great to meet Rajkumar Akella – this year’s recipient of the MPA Asia Pacific Copyright Educator Award at CineAsia… https://t.co/aqXHxD9Unu
803693775331717120,2016-11-29 20:15:02,SenChrisDodd,4,0,Twitter for iPhone,My statement on the tragic plane crash in Medellín https://t.co/zMKCUsIpKm https://t.co/AvJmukyszn
793638042519031808,2016-11-02 02:17:09,SenChrisDodd,5,5,Twitter for iPhone,Great to join Mr. Jiang Ping of the China Film Corp on stage at the 6th US-China Co Productions Screenings tonight… https://t.co/gB96yddYp2
793635968502804481,2016-11-02 02:08:54,SenChrisDodd,2,7,Twitter for iPhone,It was a pleasure to welcome Mr. Li to the 6th US-China Co Production Screenings. Thank you @SonyPictures for hosti… https://t.co/AMFFxIXRp8
791376723728228352,2016-10-26 20:31:28,SenChrisDodd,11,0,Twitter for iPhone,RT @LNevilleRolfe: Helpful discussion with @MPAA @SenChrisDodd today on #Brexit #IP &amp; our strong UK film sector @The_IPO @beisgovuk https:/…
789922282965565440,2016-10-22 20:12:02,SenChrisDodd,3,13,Twitter for iPhone,Today I spoke at the 14th annual Morelia International Film Festival about the future of the Mexican film and telev… https://t.co/DCs7Wa0mMj
788742942538211328,2016-10-19 14:05:46,SenChrisDodd,8,12,Hootsuite,My op-ed on the importance of free speech to film and television: https://t.co/1C7JJLes6K @FreeSpeechWeek
781219365488242688,2016-09-28 19:49:45,SenChrisDodd,33,70,Twitter for iPhone,Excited to see my friend @VP Biden on @nbcsvu tonight. I commend his ongoing work to prevent violence against women https://t.co/nNXDprfiN0
780407693508960257,2016-09-26 14:04:28,SenChrisDodd,6,19,Twitter for iPhone,About to speak to the Royal Film Commission @FilmJordan about the opportunities in the film and television industry. https://t.co/RGwa75ddGj
779329983189815298,2016-09-23 14:42:01,SenChrisDodd,9,15,Twitter for iPhone,Pleased to speak to the International Film Commissioners @WeAreTheAFCI Conference today at @EmoryUniversity in… https://t.co/om0xdF8Gik
776506055895425024,2016-09-15 19:40:45,SenChrisDodd,1,8,Hootsuite,Great to catch up with my buddy @repjohnlewis at the @ICONTALKS Awards last night. https://t.co/poqIn6XRnN
