id,created_at,coordinates,retweets,favorite_count,source,text
820034502055567360,2017-01-13 22:27:15,,0,6,TweetDeck,"Condolences to the family of @KaladiBrothers CFO Dale Tran, an active &amp; beloved member of the Alaska community. https://t.co/5KekXZ87eV"
819700542209396742,2017-01-13 00:20:13,,8,16,Media Studio,"In @SASCMajority hearing, I had opportunity to ask Gen. #Mattis about #SouthChinaSea, Russian #Arctic build-up, oth… https://t.co/WJBTvzspYO"
819699102925684736,2017-01-13 00:14:30,,285,851,TweetDeck,"Gen. Mattis understands &amp; respects Constitution, and has admiration of our service members. I look forward to voting for his confirmation."
819698552632995845,2017-01-13 00:12:18,,0,13,TweetDeck,"In these times in which our adversaries no longer fear us &amp; our allies no longer trust us, General #Mattis is uniquely qualified to serve."
819697088523026434,2017-01-13 00:06:29,,3,18,TweetDeck,Today I joined 80 of my #Senate colleagues in voting for a waiver enabling retired General James Mattis to serve as our next #SECDEF.
819659217636192256,2017-01-12 21:36:00,,1,11,TweetDeck,"We must reduce cost of healthcare without growing size of government, &amp; ultimately provide greater affordability and choice for Alaskans."
819658969824235525,2017-01-12 21:35:01,,0,10,TweetDeck,"In new Congress, I'm committed to working w/colleagues of both parties on orderly transition w/ market-oriented, patient-centered reforms."
819658214350475265,2017-01-12 21:32:01,,3,12,TweetDeck,The Affordable Care Act is not affordable for thousands of Alaskans. Doing nothing was not an option. #Obamacare #ACA
819657959449849856,2017-01-12 21:31:00,,2,6,TweetDeck,"With skyrocketing premiums and  deductibles &amp; 1 provider left on exchange, #Alaska healthcare system is in downward spiral. #Obamacare #ACA"
819657458167713792,2017-01-12 21:29:01,,3,8,TweetDeck,President Obama's promises have not proven to be true for millions across our country – and Alaska is ground zero. #Obamacare #ACA
819657204412223488,2017-01-12 21:28:00,,2,8,TweetDeck,"In 09, Pres. Obama said, ""If you like your healthcare plan, you can keep it. If you like your doctor, you can keep your doctor.” #ObamaCare"
