id,created_at,coordinates,retweets,favorite_count,source,text
820032562185863169,2017-01-13 22:19:32,,12,58,Twitter for iPhone,"Senior fraud impacts millions of older Americans each year, we must empower them &amp; their families with tools to combat this crime."
820031629242630145,2017-01-13 22:15:50,,12,72,Twitter for iPhone,"My Senior Financial Empowerment Act would bring together local, state &amp; federal government to cooperate w/non-profits to fight senior fraud."
820030429583515649,2017-01-13 22:11:04,,18,129,Twitter for iPhone,"Visited #Endicott &amp; #WhitePlains, #NY to stand with seniors &amp; local leaders to speak out against senior financial fraud."
820024822151413761,2017-01-13 21:48:47,,79,309,Twitter Web Client,Proud the Harriet Tubman National Historical Park in Upstate #NY has become @NatlParkService's 414th national park. https://t.co/x5UMj4iFVo
820008482095108100,2017-01-13 20:43:51,,182,654,Twitter Web Client,Can't wait to join the #WomensMarch on Washington next Saturday! Will you be there? Here's how to join: https://t.co/RiXKMRxi3f
819994101407944704,2017-01-13 19:46:43,,10,71,Twitter Web Client,Senior Financial Empowerment Act would give seniors &amp; caregivers critical info re financial abuse and provide resources to combat this crime
819993788819062784,2017-01-13 19:45:28,,14,117,Twitter Web Client,"In #Cheektowaga, #NY today, was honored to join local seniors &amp; elected leaders to announce my new legislation to prevent senior fraud."
819975893326200839,2017-01-13 18:34:22,,20,83,Twitter Web Client,"Senior fraud is a serious &amp; dangerous crime. Each year, estimated that tens of thousands of seniors in our state are financially exploited."
819973609196240896,2017-01-13 18:25:17,,59,323,Twitter Web Client,"Traveling around #NY today to announce my new Senior Financial Empowerment Act, which would help combat financial fraud against our seniors."
819661058361196544,2017-01-12 21:43:19,,142,515,Twitter for iPhone,It's critical that we have a strong @EPA that is #GuidedbyScience and continues to protect our environment &amp; the health of every American.
819630898392006656,2017-01-12 19:43:28,,2088,0,Twitter Web Client,RT @CecileRichards: Let's be clear: A vote to repeal the #ACA is a vote to go back to the days of women paying out of pocket for basic prev…
819623906885730306,2017-01-12 19:15:41,,354,546,Twitter Web Client,"Via @Bustle, join the fight to protect women's access to basic healthcare, call your reps and demand they #SaveACA. https://t.co/HQAcfdzEPc"
819618468802818049,2017-01-12 18:54:05,,295,640,Twitter for iPhone,"To my GOP colleagues, if you love women, if you love your mothers and daughters and wives, please do not unwind the Affordable Care Act."
819617354040700928,2017-01-12 18:49:39,,199,488,Twitter for iPhone,"Thanks, @Cosmopolitan: ""Senator Perfectly Explains in Just 2 Minutes the Importance of Protecting Women’s Health"" https://t.co/WUwiDblkII"
819615198445268992,2017-01-12 18:41:05,,164,567,Twitter Web Client,I will continue to fight against repeal of the #ACA and the unwinding of these protections for American women &amp; their families.
819614706696593412,2017-01-12 18:39:08,,349,778,Twitter Web Client,"Thx to the #ACA, women recv impt preventive care w/o co-pays &amp; can no longer be charged more than men or denied coverage for being pregnant."
819614335521746944,2017-01-12 18:37:39,,270,498,Twitter Web Client,"Last night, shamefully, Senate Republicans began the process of repealing the Affordable Care Act with passage of budget resolution."
819606381292621824,2017-01-12 18:06:03,,129,383,Twitter for iPhone,Expressed concern about Gen. Mattis's prior statements opposing opening of infantry roles to women &amp; to LGBT servic… https://t.co/lPsOO8P4zo
819605207004905473,2017-01-12 18:01:23,,6,102,Twitter Web Client,Attended critical Senate Armed Services Committee hearing on General Mattis's nomination to be Secretary of Defense this AM.
819321155341479938,2017-01-11 23:12:40,,53,149,Twitter Web Client,".@SenSchumer &amp; I urge the @EPA to expedite the addition of #HoosickFalls, #NY to list of Superfund sites for cleanup https://t.co/HugTtcXQal"
819289278274564100,2017-01-11 21:06:00,,53,186,Twitter Web Client,"Survivors of human trafficking are not criminals, they are victims who were preyed on, exploited, &amp; forced into slavery. They need support."
