id,created_at,user,retweets,favorite_count,source,text
544549785991385088,2014-12-15 17:49:20,SenJohnsonSD,10,4,Twitter Web Client,Today is the last day of #ACA open enrollment. Find a plan to receive health care coverage by Jan 1: http://t.co/ipYPK4Xj5q #GetCoveredToday
543116306275643392,2014-12-11 18:53:12,SenJohnsonSD,12,7,Twitter Web Client,Today I delivered my Farewell Address on the Senate Floor. You can watch it here: https://t.co/TQpvZ6hEgf
542690201722957824,2014-12-10 14:40:01,SenJohnsonSD,3,0,Twitter Web Client,RT @SenateBanking: @SenJohnsonSD's last hearing as Chairman will address cybersecurity in the financial sector. Watch live at 10:00 AM: htt…
535543237155762176,2014-11-20 21:20:32,SenJohnsonSD,2,5,Twitter Web Client,Happy National #RuralHealth Day! Thank you to all the hard working health care providers in our rural SD communities! http://t.co/pOTrhdLqQL
535077848802131969,2014-11-19 14:31:15,SenJohnsonSD,6,0,Twitter Web Client,RT @SenateBanking: At 10 A.M. @SenJohnsonSD will chair an @FHFA oversight hearing with #FHFA Director Mel Watt. Live here: http://t.co/APJY…
534381271397707777,2014-11-17 16:23:18,SenJohnsonSD,13,3,Twitter Web Client,Open Enrollment has begun! Visit http://t.co/rVrEploXra to renew your health coverage or find a plan that meets your needs. #GetCovered
532916841799499777,2014-11-13 15:24:10,SenJohnsonSD,2,0,Twitter Web Client,RT @SenateBanking: At 11 A.M. Chairman @SenJohnsonSD will chair a confirmation hearing to consider two nominations. Live here: http://t.co/…
532225076977229824,2014-11-11 17:35:21,SenJohnsonSD,2,0,Twitter Web Client,Happy #VeteransDay. Please join me in thanking the brave men and women that help keep our country safe. http://t.co/E0PlqbBglT
531943721068412928,2014-11-10 22:57:20,SenJohnsonSD,9,8,Twitter Web Client,Congratulations to South Dakota’s own Tom Brokaw on being named one of this year’s Presidential Medal of Freedom recipients!
530418338678452225,2014-11-06 17:56:01,SenJohnsonSD,3,2,Twitter Web Client,Just a reminder that I'll be holding my final “Tour of Thanks” coffee today at the Orpheum Theater in Sioux Falls at 4:00. See you there!
530063374584152064,2014-11-05 18:25:31,SenJohnsonSD,1,1,Twitter Web Client,I'll be holding my final “Tour of Thanks” coffee tomorrow at the Orpheum Theater in Sioux Falls at 4:00. Hope to see you there!
529674850936569857,2014-11-04 16:41:40,SenJohnsonSD,2,1,Twitter Web Client,"Today is Election Day. Make sure to vote and have your voice heard! To find your polling place, go here: http://t.co/TeX7xslerD"
527524998970617856,2014-10-29 18:18:55,SenJohnsonSD,0,2,Twitter Web Client,Just a reminder that I’ll be taking my “tour of thanks” to Vermillion today. The coffee will be held at the library at 5:00. See you there!
527137022230925314,2014-10-28 16:37:14,SenJohnsonSD,0,0,Twitter Web Client,Tomorrow I’ll be holding a coffee at the Vermillion Public Library at 5:00. Hope to see you there!
527136883768557569,2014-10-28 16:36:41,SenJohnsonSD,2,0,Twitter Web Client,I’m holding at a coffee at the Eagles Club in Aberdeen today. Feel free to stop by at 5:00 for coffee and a chat.
523196906303156224,2014-10-17 19:40:37,SenJohnsonSD,2,0,Twitter Web Client,I’ll also be holding a coffee event in Rapid City this Sunday. Swing by the Surbeck Center Ballroom @sdsmt at 2:00 for coffee and a chat.
523196777248608256,2014-10-17 19:40:06,SenJohnsonSD,0,1,Twitter Web Client,Thank you to everyone who came to the Brookings coffee event yesterday! It was great talking with you all. http://t.co/ywzFXOl4nz
522852345198030851,2014-10-16 20:51:27,SenJohnsonSD,2,2,Twitter Web Client,There’s only a few days left to register to vote in SD. Go here to register and have your voice heard: http://t.co/hdC3UfrotY
522746578923421696,2014-10-16 13:51:11,SenJohnsonSD,3,0,Twitter Web Client,I'm holding a coffee today at the Brookings Public Library. Feel free to stop by at 5:00 p.m. to chat and enjoy a cup of coffee.
519217857335681027,2014-10-06 20:09:18,SenJohnsonSD,1,0,Twitter Web Client,"To read my column about how we can address this problem and take politics out of the redistricting process, go here: http://t.co/cTVwBW5KTK"
519217769603428352,2014-10-06 20:08:57,SenJohnsonSD,3,1,Twitter Web Client,A major source of congressional gridlock results from gerrymandering.
517020392083685376,2014-09-30 18:37:21,SenJohnsonSD,2,3,Twitter Web Client,Congratulations to the four schools in South Dakota that received a National Blue Ribbon Award! http://t.co/PNSRMFjmxE
513088907513462784,2014-09-19 22:15:02,SenJohnsonSD,2,1,Twitter Web Client,"To learn about @SenatorTomUdall and my bill to take politics out of the redistricting process, click here: http://t.co/Rr5czH4kDs"
513088793453543424,2014-09-19 22:14:35,SenJohnsonSD,3,1,Twitter Web Client,It’s time to take politics out of the federal redistricting process.
512722002763718656,2014-09-18 21:57:06,SenJohnsonSD,0,1,Twitter Web Client,Talked with @SDEAEducators about the issues facing SD kids. We’re lucky in SD to have such great school leaders! http://t.co/YY7sKke6O3
512709064128610304,2014-09-18 21:05:41,SenJohnsonSD,1,0,Twitter Web Client,Happy 67th Birthday @usairforce and thank you to all the men and women who serve and protect our nation. #AFBday
512614703978516480,2014-09-18 14:50:44,SenJohnsonSD,4,0,Twitter for iPhone,RT @SenateBanking: At 11 A.M. Chairman @SenJohnsonSD will chair a hearing on consumer protections. Live here: http://t.co/8muSzdpyXC
