id,created_at,user,retweets,favorite_count,source,text
851559164220395521,2017-04-10 22:15:00,SenKamalaHarris,126,446,TweetDeck,"Chag Sameach to those preparing for Passover. Tonight and every night, let us all remember moments when we were strangers in need of refuge."
851536403276210177,2017-04-10 20:44:33,SenKamalaHarris,143,247,Media Studio,"Under the #TrumpBudget, kids would miss out on characters they love. https://t.co/cTRepZOS6d"
851506562082516994,2017-04-10 18:45:59,SenKamalaHarris,354,997,Twitter Web Client,Heartbroken over the shooting in San Bernardino. Praying for the injured &amp; the families of those killed.
851479698009927681,2017-04-10 16:59:14,SenKamalaHarris,432,509,Media Studio,I asked @DHSgov Secretary Kelly to commit in writing to not separate children from their mothers at the border. He… https://t.co/GzX853kHXN
851442172192628737,2017-04-10 14:30:07,SenKamalaHarris,82,363,Media Studio,Our public lands are precious. I joined my colleagues to cosponsor legislation to #ProtectTheArcticRefuge. https://t.co/m6SedUkLh1
851200711606116356,2017-04-09 22:30:38,SenKamalaHarris,89,300,Twitter for iPhone,ICYMI: My guest essay for @TeenVogue on Equal Pay. https://t.co/E0R70nFZY3
850823067890798592,2017-04-08 21:30:01,SenKamalaHarris,61,199,TweetDeck,This week I talked with the @LATimes about some of the major issues facing our country. Take a read. https://t.co/UNLP2LYf8L
850798401180491776,2017-04-08 19:52:00,SenKamalaHarris,52,157,TweetDeck,What you may have missed this week: I pushed @DHSgov Secretary Kelly on immigration enforcement. https://t.co/d9ZDRatLfP
850776291100024832,2017-04-08 18:24:09,SenKamalaHarris,121,426,Twitter Web Client,Trans rights are human rights. https://t.co/Etxb5ubkQI https://t.co/mG5WVwK6Mf
850497934974222337,2017-04-07 23:58:03,SenKamalaHarris,75,436,Twitter Web Client,"In honor of @JerryBrownGov’s birthday, a #FlashbackFriday to when he 1st ran for governor. Happy Birthday to great… https://t.co/HNCWJi6BAI"
850400203899383809,2017-04-07 17:29:42,SenKamalaHarris,88,431,Twitter Web Client,SCOTUS exists not to protect the powerful but rather to uphold the rights of all Americans.
850400134554935296,2017-04-07 17:29:26,SenKamalaHarris,73,387,Twitter Web Client,"Despite Judge Gorsuch’s claim that he interprets the law without fear or favor, he has consistently sided with corporations."
850399968858959872,2017-04-07 17:28:46,SenKamalaHarris,181,2088,Twitter Web Client,I voted NO on the nomination of Judge Neil Gorsuch for U.S. Supreme Court.
850391964021383168,2017-04-07 16:56:58,SenKamalaHarris,370,892,Twitter Web Client,My statement on U.S. military action in Syria. https://t.co/vaVtA5ObMp
850152627560120321,2017-04-07 01:05:56,SenKamalaHarris,77,0,Twitter for iPhone,"RT @RepJayapal: This is exactly why the Access to Counsel Act (H.R. 1006), my bill with @SenKamalaHarris, is so important. https://t.co/lxz…"
850116364777992193,2017-04-06 22:41:50,SenKamalaHarris,96,379,Twitter Web Client,"In America, no one should live in fear due to their religion, race, or ethnicity. https://t.co/Y3xSYGaoY6"
850050253319544832,2017-04-06 18:19:08,SenKamalaHarris,166,690,Twitter Web Client,Good. We have a responsibility to run an objective investigation. He stopped being objective. Full stop. https://t.co/wtDS7Qdrq3
850004260850991104,2017-04-06 15:16:22,SenKamalaHarris,351,2240,Media Studio,Just voted to block the nomination of Judge #Gorsuch for Supreme Court. #StopGorsuch https://t.co/gVmO9TREol
849983160129650688,2017-04-06 13:52:31,SenKamalaHarris,228,1174,Twitter Web Client,"My bipartisan resolution calling for action against crimes that target racial, ethnic and religious communities passed the Senate last night"
849807001660141568,2017-04-06 02:12:32,SenKamalaHarris,336,967,Media Studio,If Judge #Gorsuch becomes Justice Gorsuch his judicial approach would do real harm to real people. https://t.co/ah4DwfsdiX
