id,created_at,coordinates,retweets,favorite_count,source,text
819981776802185221,2017-01-13 18:57:44,,2274,7963,TweetDeck,Grotesque levels of income and wealth inequality is not just an American issue. It is a global issue. We can do better. We must do better.
819946370714898432,2017-01-13 16:37:03,,12579,20390,Media Studio,Repealing the Affordable Care Act without a replacement means up to 30 million people would lose insurance. 30 mill… https://t.co/le8QZvtEYW
819924631368900608,2017-01-13 15:10:40,,1309,2805,Twitter Web Client,".@HouseGOP has a choice: Continue their efforts to cut Medicare, Medicaid and Social Security or hold Trump account… https://t.co/63uTE3g2XJ"
819917302493745152,2017-01-13 14:41:32,,10209,10007,Twitter Web Client,"If the ACA is repealed, the wealthiest 400 families would receive a tax cut worth an average of $7 million each. https://t.co/D5qeYQdNsC"
819728425426579456,2017-01-13 02:11:01,,4176,9878,TweetDeck,"While millions of poor children die every year from easily treated diseases, the top 1% now owns more wealth than the bottom 99%."
819703257685557248,2017-01-13 00:31:00,,2300,7470,TweetDeck,The business model of Wall Street is fraud. We need real Wall Street reform. We need to break up the huge banks which dominate our economy.
819679102722568196,2017-01-12 22:55:01,,2809,8238,TweetDeck,"The pharmaceutical industry has far too much power and wealth, with their 1,400 lobbyists and unlimited sums of money."
819646382608744448,2017-01-12 20:45:00,,5795,11405,TweetDeck,We must not forget what FDR told us: https://t.co/UWw6kFprYN
819623736362106880,2017-01-12 19:15:01,,5606,12455,TweetDeck,The health care debate is not politics as usual. It is actual life and death for thousands of people.
819590552576491520,2017-01-12 17:03:09,,13389,23395,TweetDeck,"As Republicans try to repeal the Affordable Care Act, they should be reminded every day that 36,000 people will die yearly as a result."
819405996753911809,2017-01-12 04:49:48,,23690,0,TweetDeck,RT @SenSchumer: GOP said theyd keep the parts of ACA Americans liked. So whyd they just vote down protections for veterans &amp; ppl w/ pre-exi…
819404681806016513,2017-01-12 04:44:34,,6677,13267,TweetDeck,"It’s not a radical idea to import medication from Canada, where they pay a lot less for the exact same drugs. 72% o… https://t.co/9W04QQEnCv"
819393327724314626,2017-01-12 03:59:27,,9629,19605,Media Studio,Why do Americans pay so much more than Canadians for prescription drugs? Because the pharmaceutical industry has bo… https://t.co/fN3j4EV6yA
819364130855456768,2017-01-12 02:03:26,,7088,19542,TweetDeck,"85% of Americans favor keeping young adults on their parents' insurance plan until age 26.

Only 1 Senate Republican does."
819318468667379712,2017-01-11 23:01:59,,6870,17485,Twitter for iPhone,We're the only major country not to guarantee health care as a right. Why are we debating whether to take it away from 30 million people?
819272672857247749,2017-01-11 20:00:01,,4035,11648,TweetDeck,Americans should not pay the highest drug prices in the world simply because Congress is bought and paid for by the pharmaceutical industry.
819270730349154304,2017-01-11 19:52:18,,449,1753,Twitter Web Client,Happening now: Sen. Sanders address the high cost of prescription drugs. https://t.co/JcidSEFcwf
819268899048976384,2017-01-11 19:45:01,,1782,5937,TweetDeck,35 million Americans – one in five — can’t afford their prescriptions. That should outrage every member of Congress.
819265126616432641,2017-01-11 19:30:02,,1233,4382,TweetDeck,The epidemic of price gouging in the drug industry is an obscenity! The cost of prescriptions has become its own health hazard.
819242833848762371,2017-01-11 18:01:27,,901,3721,Twitter Web Client,"They must allow Americans to buy safe medication abroad, which is sold at substantially lower cost, and enable Medicare to negotiate prices."
819242696992759809,2017-01-11 18:00:54,,4127,15110,Twitter Business Experience,"Trump is right: pharma is ""getting away with murder."" But do Trump and Republicans have the guts to police drug companies and lower prices?"
818945768501428224,2017-01-10 22:21:01,,2336,9520,TweetDeck,With or without Mr. Trump we must remain focused. Our job is to transform our energy system away from fossil fuels.
818905852979638277,2017-01-10 19:42:24,,4172,12541,Twitter Web Client,"Trump has a choice. Either he can tell Americans he lied or tell Republicans to back off and not cut Social Security, Medicare and Medicaid."
