id,created_at,user,retweets,favorite_count,source,text
851435156145569793,2017-04-10 14:02:14,SenSasse,10,0,Twitter for iPhone,"RT @OWHopinion: .@SenSasse writes: In a victory for Nebraskans, Americans and limited government, #Gorsuch is on the #SupremeCourt https://…"
850381207015751680,2017-04-07 16:14:13,SenSasse,120,455,Media Studio,"Good news for the rule of law: Today, Judge Gorsuch takes his black robe to #SCOTUS. #Confirmed… https://t.co/n2or65Zkw1"
850127494405472256,2017-04-06 23:26:03,SenSasse,54,395,Media Studio,"Highlight of the week: meeting with Macy, Nebraska’s finest legislative advocate. Thanks to @NDSS for a great… https://t.co/NKcvUY6mFw"
849053908550918144,2017-04-04 00:20:01,SenSasse,356,596,Media Studio,"49 years ago today, #MLK gave his final speech. Read the full text of the speech, here - it will give you chills:… https://t.co/zXHA3J5pnU"
848993693084393472,2017-04-03 20:20:44,SenSasse,264,705,Media Studio,Baseball is back &amp; Judge Gorsuch is one step closer to to taking his seat on the Supreme Court. It’s a good day for… https://t.co/3w4oj5VWtj
847552863706509312,2017-03-30 20:55:24,SenSasse,139,379,Twitter Web Client,Let's fund life-affirming women’s health providers without sending taxpayer dollars to abortion businesses.… https://t.co/ImIE7Xe7HW
846871798041927680,2017-03-28 23:49:05,SenSasse,260,462,Media Studio,The simplest way for Russia to try to weaken us is by trying to exploit the places where we are already weak.… https://t.co/drCal1qeCL
846835695067025408,2017-03-28 21:25:37,SenSasse,920,1428,Media Studio,"Russia's influence campaign is a really big deal. Watch below, then read this: https://t.co/XxYvjJ39qK https://t.co/WPLq261Qvb"
846490656721776641,2017-03-27 22:34:34,SenSasse,47,102,Media Studio,"Overturning this rule is a win for kids, because Washington’s good intentions can’t excuse garbage rules.… https://t.co/QBW9e8uxTf"
845775054658977792,2017-03-25 23:11:01,SenSasse,786,1488,Media Studio,"Today we honor one of the most important men you’ve probably never heard of: Norman Borlaug, the ag pioneer who was… https://t.co/pHVQuxF5Q7"
844656644315385856,2017-03-22 21:06:51,SenSasse,884,1879,Media Studio,Neil Gorsuch is a threat to you “if you breathe air or drink water”? There is a real danger in not condemning that… https://t.co/wmDK4APUW0
