id,created_at,user,retweets,favorite_count,source,text
851561805587632128,2017-04-10 22:25:30,SenatorDurbin,18,96,TweetDeck,Chag Sameach to all those celebrating #Passover in Illinois and around the world.
850386516308365314,2017-04-07 16:35:19,SenatorDurbin,229,506,Twitter Web Client,"Justice Gorsuch now enters the Supreme Court with an asterisk, and the Majority Leader's tenure will forever be blemished by this day."
850386386037428226,2017-04-07 16:34:48,SenatorDurbin,77,212,Twitter Web Client,So Senator McConnell changed the rules to ram the nomination through.
850386340164370432,2017-04-07 16:34:37,SenatorDurbin,194,437,Twitter Web Client,Trump's nominee could not meet the basic 60vote threshold we have held every #SCOTUS nominee of either party to for the past quarter century
850167192150827012,2017-04-07 02:03:48,SenatorDurbin,420,773,Twitter for iPhone,My statement on tonight's U.S. missile strikes in Syria https://t.co/nLcHq6jS01
850108080339783681,2017-04-06 22:08:55,SenatorDurbin,5,39,Twitter Web Client,"Today, I sat down with General Joseph Lengyel, Chief of @USNationalGuard, to discuss defense priorities, Springfiel… https://t.co/HSVuJoojZt"
850089248577474560,2017-04-06 20:54:05,SenatorDurbin,149,406,Twitter Web Client,"For this, both Judge Gorsuch and Senator McConnell will enter the history books with asterisks by their names."
850089143447191552,2017-04-06 20:53:40,SenatorDurbin,65,171,Twitter Web Client,So Senator McConnell changed the rules to push the nomination through.
850089083091247104,2017-04-06 20:53:25,SenatorDurbin,459,880,Twitter Web Client,Trump’s nominee could not meet the basic 60-vote standard we have held every #SCOTUS nominee of either party to for the past quarter-century
850008495474847744,2017-04-06 15:33:12,SenatorDurbin,623,1117,Twitter Web Client,Sen McConnell is now poised to abolish this longstanding rule to achieve his partisan goal. He alone is responsible for this historic change
850008213474992129,2017-04-06 15:32:05,SenatorDurbin,207,421,Twitter Web Client,Every Supreme Court nominee in the past quarter-century showed they could exceed the 60 vote threshold in the Senate.
