id,created_at,coordinates,retweets,favorite_count,source,text
819616335961399296,2017-01-12 18:45:36,,18,0,Twitter Web Client,RT @MikeCrapo: Tune in to @PBS tonight @ 7PM MT/6PM PT to see how @INL is helping to innovate nuclear energy. #NuclearOption https://t.co/O…
819214457071144960,2017-01-11 16:08:41,,15,0,Twitter Web Client,RT @MikeCrapo: “Special thanks to @SenWhitehouse @SenatorRisch @LisaMurkowski @OrrinHatch @CoryBooker as partners in the reintroduction of…
818906228797620228,2017-01-10 19:43:54,,8,0,Twitter Web Client,RT @SenAngusKing: .@SenatorRisch &amp; I renewed our call to protect US energy infrastructure from potentially catastrophic cyber-attacks: http…
817816243919003648,2017-01-07 19:32:41,,4,0,Twitter for iPhone,"RT @IdahoPubRadio: .@SenatorRisch named chair of Senate Cmte on Small Business and Entrepreneurship, says small businesses play critical ro…"
817401506676768768,2017-01-06 16:04:40,,7,18,Twitter Web Client,I am honored to serve as Chairman of #Senate @SmallBizCmte. Read my full statement here: https://t.co/CBpSg1dp7h https://t.co/KXuoPW1rxS
817392169958985728,2017-01-06 15:27:34,,1,9,Twitter Web Client,Glad to support. Would allow for increased transparency in the process &amp; for Idahoans to have greater input. More:… https://t.co/Xzzhzu1N0B
817105652912967681,2017-01-05 20:29:03,,8,17,Twitter Web Client,Proud to see @INL showcasing their nuclear potential on @PBS @NewsHour. https://t.co/Z6ZXWoEWwu
817026894709321728,2017-01-05 15:16:05,,0,1,Twitter Web Client,"Joining @kidnewsradio now RE: #Obamacare, the #115thCongress, &amp; this week's news in Washington. Tune in: https://t.co/eM0qyjbLib"
816743683664052226,2017-01-04 20:30:43,,5,7,Twitter Web Client,Helping America’s small biz grow/create jobs is an important duty- excited to work w/ @smallbizcmte on this &amp; more. https://t.co/sRtAObzhqZ
816676095542132736,2017-01-04 16:02:08,,19,0,Twitter Web Client,RT @KTVB: .@voguemagazine ranks Idaho in its '10 Hottest Travel Destinations of 2017' https://t.co/6ZzCPOIdIi https://t.co/CCCZoqeFkr
816420071769776128,2017-01-03 23:04:48,,6,0,Twitter for iPhone,"RT @MikeCrapo: Thanks for joining me, @SenatorRisch. Proud to have you as a friend and colleague. https://t.co/9t2cLrGj0R"
816420009081761795,2017-01-03 23:04:33,,8,11,Twitter for iPhone,Live on @CNNSitRoom with @wolfblitzer NOW. Tune in. https://t.co/OpAFVyBJpK
816369840202125312,2017-01-03 19:45:11,,8,13,Twitter Web Client,Congrats to my #Senate colleagues who were sworn in today. Glad to stand w/ @MikeCrapo as he took his #oathofoffice. https://t.co/kgDvNT9k5B
816347542279557120,2017-01-03 18:16:35,,1,4,Twitter Web Client,Welcome back - looking forward to our conversation tonight @ 4pm MT/6pm ET. CC: @CNNSitRoom https://t.co/zKRJvQDJa1
816346286370734080,2017-01-03 18:11:36,,2,5,Twitter Web Client,"Thanks for sharing, @SenatorRounds. This is a very important topic &amp; warrants our attention. https://t.co/8pmPLXwN9a"
815674658888515588,2017-01-01 21:42:47,,0,11,Twitter for iPhone,"Wishing you and your family a happy, healthy new year. #newyear2017"
813122382021922816,2016-12-25 20:40:57,,6,27,Twitter for iPhone,Merry Christmas from my family to yours!
809117444124110848,2016-12-14 19:26:46,,3,6,Twitter for iPhone,"Honored to receive the #FriendOfFarmBureau award. Thanks, @IDFarmBureau! https://t.co/n3D8VAVOhl"
806619547172225024,2016-12-07 22:01:00,,1,1,Twitter for iPhone,Joining @wolfblitzer LIVE at 5pm ET / 3pm MT - tune in. CC: @CNNSitRoom https://t.co/l6w7PbH3p0
806566757452414976,2016-12-07 18:31:14,,1,3,Twitter Web Client,"Idahoans: If you missed last night's @USCapitolTree lighting, watch the full ceremony here: https://t.co/UTu8wMlaFK CC: @PayetteForest"
806543098574761984,2016-12-07 16:57:14,,1,4,Twitter Web Client,Good to have so many Idahoans in town for the @USCapitolTree ceremony! More photos of our guests can be found here:… https://t.co/SBZUtVMOPU
806516747813658624,2016-12-07 15:12:31,,4,2,Twitter Web Client,"To @kevinmillershow on @580KIDO radio: ""We're ready to hit the ground running in the new year."" #updatefromwashington"
806514522731200517,2016-12-07 15:03:41,,0,0,Twitter Web Client,"Joining @580KIDO in 5 minutes to provide an update from Washington, D.C. Tune in: https://t.co/aBziHYNdKP"
806259394619068416,2016-12-06 22:09:53,,6,0,Twitter for iPhone,RT @KTVB: It's time to light the U.S. Capitol Christmas Tree! We've got live coverage beginning at 3 p.m. on KTVB and  https://t.co/xyBj5uI…
806217322386046979,2016-12-06 19:22:43,,1,7,Twitter Web Client,Watch the @USCapitolTree lighting ceremony LIVE at 5pm ET / 3pm MT by clicking the link below. #idahogrown https://t.co/GgBGy9EOuV
806184611130867713,2016-12-06 17:12:44,,58,0,Twitter Web Client,RT @visitthecapitol: See the Capitol Christmas Tree Lighting Ceremony @ 5PM today on the West Front Lawn. Gates open to the public @ 4PM ht…
806184575433052161,2016-12-06 17:12:35,,4,0,Twitter Web Client,RT @USCapitolTree: Meet Isabella Gerard! She'll be heading to the Capitol to help light the 2016 #CapitolChristmasTree https://t.co/ju9Bdr3…
806180322832502784,2016-12-06 16:55:41,,1,0,Twitter Web Client,RT @gsalzman: @PayetteForest personnel meeting @SenatorRisch before today's Capitol Tree lighting https://t.co/Dnig4PXuum
