id,created_at,user,retweets,favorite_count,source,text
851516501962219522,2017-04-10 19:25:29,SenatorStrange,1,1,Twitter for iPhone,Thanks to team @Ft_Rucker for showing me how they keep the U.S. Army on the cutting edge of aviation tech &gt;&gt;… https://t.co/xXr990oYBc
850775500708605953,2017-04-08 18:21:00,SenatorStrange,3,5,TweetDeck,"Welcome home, Marine #GreatestGeneration 
https://t.co/DlH4KHIjur"
850390453895794688,2017-04-07 16:50:58,SenatorStrange,7,26,TweetDeck,Proud to cast my vote to help confirm Neil Gorsuch and help @POTUS deliver on this important promise.… https://t.co/D1V2zBXaqk
850379730306183170,2017-04-07 16:08:21,SenatorStrange,121,0,TweetDeck,RT @HouseJudiciary: #GorsuchConfirmed #SCOTUS https://t.co/9tRatpHtPL
850208745351036930,2017-04-07 04:48:55,SenatorStrange,7,16,TweetDeck,.@POTUS decision to engage in tactical airstrikes against Syrian regime is the kind of decisive action required for… https://t.co/S5T0dgipbr
849987689063624704,2017-04-06 14:10:31,SenatorStrange,1,4,TweetDeck,"Presiding over the Senate right now, getting ready to #ConfirmGorsuch. Watch @SenateDems break w/tradition, here &gt;&gt; https://t.co/xraOVTS0Tt"
849479329549627393,2017-04-05 04:30:29,SenatorStrange,37,0,TweetDeck,RT @spann: Here is a late night update on the Alabama weather situation tomorrow… https://t.co/4eXpyoxWtq
849474004570263552,2017-04-05 04:09:19,SenatorStrange,19,56,TweetDeck,"Past my bedtime, but @SenMajLdr told me there needed to be an adult in the room. #Caffeine2Confirm #ConfirmGorsuch https://t.co/ECTyXM9uoC"
849467678788026368,2017-04-05 03:44:11,SenatorStrange,47,84,TweetDeck,"Almost midnight, and I’m presiding over the Senate while Dems play political games #Caffeine2Confirm… https://t.co/dLfNTP0SBw"
849296954114936832,2017-04-04 16:25:47,SenatorStrange,5,18,Twitter for iPhone,Wishing you a #RollTide Tuesday with @MissALUSA Baylee Smith! I know she'll make us all proud competing next month 👑 https://t.co/Xx0xF1MqtE
849245040807469056,2017-04-04 12:59:30,SenatorStrange,3,0,TweetDeck,"RT @HunterandAngler: CSF staff welcomes @SenatorStrange to the Congressional Sportsmen's Caucus, and as a #SportsmensAct cosponsor! https:/…"
849033780245532673,2017-04-03 23:00:02,SenatorStrange,99,500,TweetDeck,I'm proud to be joining the @HunterandAngler team and co-sponsoring a bill to expand access to Alabama's wilderness… https://t.co/cVf1wULTB5
849000538150760448,2017-04-03 20:47:56,SenatorStrange,4,15,Media Studio,The Democrats in the Senate are only interested in obstructing the agenda of @POTUS Let's #ConfirmGorsuch for… https://t.co/y3o4F5o9dF
848980925916434436,2017-04-03 19:30:00,SenatorStrange,2,6,TweetDeck,"I stand with Alabamians in fighting the #opioidcrisis. I did it as AG, and I'll keep doing it as Senator. https://t.co/CmACg3zm3z"
848915542064975872,2017-04-03 15:10:11,SenatorStrange,11,14,Twitter for iPhone,Going live with @FoxNews @HappeningNow to talk about @SenateGOP working to #confirmgorsuch https://t.co/Op1Eozba4i
848890726851194880,2017-04-03 13:31:35,SenatorStrange,3,8,Twitter for iPhone,"Hopefully these April showers really do bring May flowers - stay safe, Alabama! https://t.co/4Lz45PTR91"
848867339642826753,2017-04-03 11:58:39,SenatorStrange,3,5,Twitter for iPhone,Ready for me @AunieLindenberg &amp; @mattmurphyshow? Let's talk about how the US Senate will #ConfirmGorsuch
848863452647100416,2017-04-03 11:43:12,SenatorStrange,4,0,Twitter for iPhone,Tune in now! Joining JT on @1055WERC to talk about the path to #ConfirmGorsuch for #SCOTUS
848268642970198017,2017-04-01 20:19:39,SenatorStrange,2,13,Twitter for iPhone,Great time at @uab_fb today!👏🏼👏🏼👏🏼 Excited to have 🏉 back in Birmingham! https://t.co/UcfvAKdstS
847880513050357764,2017-03-31 18:37:21,SenatorStrange,1,3,TweetDeck,Proud to join @SenateGOP colleagues in signing letter to @POTUS on defending #Religiousliberty. https://t.co/4Ov6JV5dpw
847437026374881280,2017-03-30 13:15:06,SenatorStrange,1,4,Twitter for iPhone,Going live w/ @Varneyco on @FoxBusiness to talk about EPA regulations and taxes - tune in and join the conversation… https://t.co/DtxG9HdfYt
847178289898770432,2017-03-29 20:06:58,SenatorStrange,3,0,TweetDeck,RT @AIAAHuntsville: Enjoyed meeting w/ @SenatorStrange staff today #aiaacvd https://t.co/A0M5DDkP9g
847117744948625410,2017-03-29 16:06:23,SenatorStrange,1,3,Twitter for iPhone,Talking live with @yhnradio from my new office - tune in! #alpolitics https://t.co/B0aXDDTtnE
847094679887921154,2017-03-29 14:34:44,SenatorStrange,2,10,Twitter for iPhone,"I'm proud of the dedicated @CapitolPolice who keep all of us safe, and thankful to hear that no one was hurt this morning."
847058529072615427,2017-03-29 12:11:05,SenatorStrange,3,0,TweetDeck,RT @realtalk995: @SenatorStrange will be joining @mattmurphyshow @AunieLindenberg at 7:00 AM @realtalk995 https://t.co/dv9xlbnUmv
846834647896084480,2017-03-28 21:21:28,SenatorStrange,2,5,TweetDeck,Rolling back the red-tape toward #AmericanEnergyIndependence and putting #CoalMiners back to work! #alpolitics https://t.co/amfZ2mmoIF
846738669985812480,2017-03-28 15:00:05,SenatorStrange,4,7,TweetDeck,"""We should call these phony attacks what they are: intentional attempts to mischaracterize Judge Gorsuch’s record.""… https://t.co/viEJDyW1xC"
846465364468912129,2017-03-27 20:54:04,SenatorStrange,6,0,TweetDeck,RT @spann: Hail remains the primary threat with the storms moving across North Alabama this afternoon. Severe t-storm watch until 9pm. http…
846388095423524865,2017-03-27 15:47:01,SenatorStrange,5,9,TweetDeck,"So proud of Alabama's role in space exploration with @NASA_Marshall
https://t.co/y3UuzSDqqH"
846354191522185218,2017-03-27 13:32:18,SenatorStrange,33,0,TweetDeck,RT @spann: Enhanced severe weather risk pulled into NW Alabams later today and tonight. Main risk is large hail https://t.co/mVI9qN9RUz
846111772952158209,2017-03-26 21:29:01,SenatorStrange,2,7,TweetDeck,Great story about the amazing team at Airbus Mobile. https://t.co/I9yvnG6FuH
845998777987059712,2017-03-26 14:00:01,SenatorStrange,5,6,TweetDeck,"Proud of the @Austal_USA team in Mobile &amp; excited for AL shipbuilders to supply the @USNavy of the future!
https://t.co/m37wj70BH6"
845644189605933056,2017-03-25 14:31:00,SenatorStrange,2,10,TweetDeck,"On #MedalofHonorDay, we recognize the service and sacrifices of our fellow Alabamians in defense of our freedoms. https://t.co/YgQJvEDg9J"
845384562490458112,2017-03-24 21:19:20,SenatorStrange,1,5,TweetDeck,It's about time. https://t.co/9NlIh6BKSk
845019787071754240,2017-03-23 21:09:51,SenatorStrange,178,0,TweetDeck,"RT @SenateMajLdr: Both Liberals and Conservatives agree, we should #ConfirmGorsuch to #SCOTUS. @GorsuchFacts https://t.co/lwyxulVKrr"
844933154112724994,2017-03-23 15:25:36,SenatorStrange,6,19,TweetDeck,"""If you need a friend in Washington, get a dog.""

Well, I've got that one covered already...#NationalPuppyDay https://t.co/Obc6PusKkb"
844257803904569344,2017-03-21 18:42:00,SenatorStrange,3,13,TweetDeck,Alabamians are leading the way when it comes to deep space exploration! https://t.co/Ne4Mwppk3Z
844186844963246082,2017-03-21 14:00:02,SenatorStrange,8,15,TweetDeck,"Happy #NationalAgDay! I'm proud to represent Alabama's hardworking growers and producers - all 600,000 of them! https://t.co/jETw45id19"
843927988697808896,2017-03-20 20:51:26,SenatorStrange,2,5,Twitter for iPhone,Wonderful to speak with so many Alabamians at the @Austal_USA Supplier Day in DC https://t.co/W8Bh5hz73R
843887168548429824,2017-03-20 18:09:14,SenatorStrange,4,7,Media Studio,"As always, it was a pleasure to join @JANICEROGERS6 on @WBRCgoodday Great conversation about the need to… https://t.co/GKyAQv65jo"
843852108407488512,2017-03-20 15:49:55,SenatorStrange,5,20,Media Studio,Looking forward to voting to #ConfirmGorsuch for #SCOTUS https://t.co/4c57vtk8V2
843849751934226432,2017-03-20 15:40:33,SenatorStrange,21,0,TweetDeck,RT @SenateMajLdr: .@SenatorStrange on @GorsuchFacts ➡️ #NeilGorsuch is singularly qualified for #SupremeCourt #ConfirmGorsuch #SCOTUS https…
843810315636826112,2017-03-20 13:03:51,SenatorStrange,2,5,Twitter for iPhone,"Good morning, Alabama! About to go live on @WBRCgoodday with @JANICEROGERS6 - tune in! https://t.co/b7BL5XDaPb"
843629059586359296,2017-03-20 01:03:36,SenatorStrange,4,0,TweetDeck,"RT @SpaceCampUSA: Looking for a #SummerJob? Space Camp is hiring Crew Trainers to begin May 15, 2017. Learn more and apply: https://t.co/aq…"
843479354105565187,2017-03-19 15:08:43,SenatorStrange,3,10,TweetDeck,#NeilGorsuch is singularly qualified for #SupremeCourt  #ConfirmGorsuch #SCOTUS #PJNET @DataGenesis   https://t.co/LSF16czNLy
843228772664979456,2017-03-18 22:33:00,SenatorStrange,4,4,TweetDeck,Thank you @Brandonm2222 for explaining how the #deathtax impacts Alabama #middleclass family farmers and #smallbiz https://t.co/T6SpA65Z15
843224410463129600,2017-03-18 22:15:40,SenatorStrange,36,0,TweetDeck,RT @ALLAWENF: Missing child alert issued in Alabama click on the link.  https://t.co/wPjixNIg4o
842858091666378752,2017-03-17 22:00:03,SenatorStrange,2,1,TweetDeck,"My bracket is counting on you, Trojans! #OneTroy #marchmadness https://t.co/dDDTqFnbWr"
842753107885015043,2017-03-17 15:02:53,SenatorStrange,2,3,TweetDeck,You're welcome! What a great event with @UABCardiology and @usacollegeofmed https://t.co/PF74pzbFCt
842732187879464961,2017-03-17 13:39:45,SenatorStrange,5,11,Twitter for iPhone,"""With a little luck, I might grow up to become a Senator."" #fbf 🍀#StPatricksDay #marchmadness @GreenWaveMBB https://t.co/FCDJEqEDsG"
842495022650089473,2017-03-16 21:57:20,SenatorStrange,2,6,TweetDeck,"5 million and counting! Congratulations to the @Hyundai plant in Montgomery on this achievement 
https://t.co/WaWUSu5jqG"
842138710015676416,2017-03-15 22:21:29,SenatorStrange,7,12,Twitter for iPhone,My pleasure @ChairmanLathan! This is so important for our Alabama farmers and #smallbiz https://t.co/rcjCyH7lv1
842063967811973120,2017-03-15 17:24:29,SenatorStrange,4,4,Media Studio,"Sorry about that @SenJohnThune If it makes you feel any better, I can't dunk anymore either. #marchmadness… https://t.co/zCxjkWwRZT"
841666794855247872,2017-03-14 15:06:15,SenatorStrange,1,1,TweetDeck,Taking a proactive approach to ensure #energy infrastructure can be relied upon. Tune in: https://t.co/sKf0GsNGOD
841415933746896900,2017-03-13 22:29:26,SenatorStrange,6,0,TweetDeck,RT @Austal_USA: The littoral combat ship is providing presence and sea control thru distributed lethality around the globe to support US &amp;…
