id,created_at,coordinates,retweets,favorite_count,source,text
818539344155803648,2017-01-09 19:26:02,,8,14,Twitter Web Client,It's #LawEnforcementAppreciationDay. Please take a moment to thank someone in law enforcement for keeping our commu… https://t.co/J60CG1CuKC
816420786076549120,2017-01-03 23:07:38,,5,24,Twitter Web Client,"So happy to have my wife Lily and our sons Christopher and Michael in Washington, D.C. today for the Swearing In! https://t.co/eHHoU25zEr"
804034872360763399,2016-11-30 18:50:26,,9,7,Twitter Web Client,"Catch my speech about the No Hero Left Untreated Act, which would advance innovative treatments for our #veterans
https://t.co/iknRgLrD3V"
791695131271389185,2016-10-27 17:36:42,,15,7,Twitter Web Client,At @MojaveAirport with Chairman @LamarSmithTX21 of @HouseScience and other aeronautics experts for the American Aer… https://t.co/4dJxuYbkBa
789507821788401664,2016-10-21 16:45:07,,3,1,Twitter Web Client,To those affected by the #PorterRanchGasLeak- deadline to file for tax relief is Monday! For info call us or visit https://t.co/vtxQVefQiX
781131530433359872,2016-09-28 14:00:44,,3,2,Twitter Web Client,Today we mourn the passing of #ShimonPeres. Let us reflect on his incredible legacy and remember his lifetime of leadership.
780799870479265792,2016-09-27 16:02:50,,4,1,Twitter Web Client,My disccusion in @HouseScience hearing on space exploration &amp; importance of projects like Palmdale's @SOFIAtelescope https://t.co/SXMT8zFqpa
778970204864909312,2016-09-22 14:52:24,,7,3,Twitter Web Client,"Catch my speech in yesterday's @HouseVetAffairs hearing about the No Hero Left Untreated Act, which the cmte passed. https://t.co/e70xprJKqO"
773285653517852672,2016-09-06 22:24:01,,5,6,Twitter Web Client,Very disappointed that a bill to fund the fight against #Zika failed the Senate this evening. More here: https://t.co/3UQT5hfgS6
765952193572773888,2016-08-17 16:43:28,,2,1,Twitter Web Client,A quick update on the #BlueCutFire near Cajon Pass West of I-15. Be safe everyone! https://t.co/MczAnQdXDt
764693172731584512,2016-08-14 05:20:34,,5,4,Twitter for iPhone,Thank you Michael Phelps!!!
761677440225779712,2016-08-05 21:37:07,,0,5,Twitter Web Client,#OakFire knocked down! Thanks to all our first responders on a job well done! https://t.co/nHhMX12iMa
761665356364673024,2016-08-05 20:49:06,,1,1,Twitter Web Client,Just a head's up for everyone near Hasley Cyn &amp; Oak Cyn- the #OakFire is currently at 4 acres. https://t.co/jmH6Z59L3r
760548751299715072,2016-08-02 18:52:07,,6,0,Twitter Web Client,RT @CountyVentura: Board supports national memorial for victims of St. Francis Dam disaster. https://t.co/2gjgf5TX4n https://t.co/SrpsH5hiHv
758860217983512576,2016-07-29 03:02:29,,39,0,Twitter Web Client,"RT @Angeles_NF: #SpunkyFire *KnockDown* Forward rate of spread has stopped, crews are putting line around fire."
758850406407479296,2016-07-29 02:23:30,,20,0,Twitter Web Client,"RT @PalmdaleSheriff: #SpunkyFire- Evacuation Center-
 Highland High School. Animals to AV Fairgrounds: 2551 W. Ave H, Lancaster #AV411 #LAS…"
758850199431229440,2016-07-29 02:22:40,,2,2,Twitter Web Client,We are monitoring the #SpunkyFire near Bouquet Canyon and Spunky Canyon &amp; will post updates as we receive them. https://t.co/bKa67WfRtc
758763501720567808,2016-07-28 20:38:10,,24,0,Twitter Web Client,RT @mikeantonovich: .@CountyofLA &amp; @LACOOEM Local Assistance Center for those impacted by the #SandFire at William S. Hart Park Aug 5-8 htt…
758690771017105408,2016-07-28 15:49:10,,1,4,Twitter Web Client,Another #SandFire update- 65% contained. Thank you to our firefighters &amp; support personnel for the outstanding work! https://t.co/ZoK8tDC93J
758357608692613121,2016-07-27 17:45:18,,1,0,Twitter Web Client,@Metrolink update- limited service on the Antelope Valley line due to #SandFire https://t.co/n1hCWOdxse
758337366981509120,2016-07-27 16:24:52,,0,1,Twitter Web Client,This morning's #SandFire update. https://t.co/cXZEb8rSKo
758112156357431296,2016-07-27 01:29:57,,2,2,Twitter for iPhone,Glad to hear the CA governor's office granted our request for a state of emergency on the #SandFire https://t.co/zaoBjwm3ao
758110215183142912,2016-07-27 01:22:14,,1,0,Twitter for iPhone,RT @SCVTV20: Brown Etc. at DNC; Torlakson is Acting Gov.; Issues State of Emergency for #SandFire https://t.co/1fKodpv8hM https://t.co/dHow…
758022870249435136,2016-07-26 19:35:10,,2,0,Twitter Web Client,"RT @mikeantonovich: .@CountyofLA proclaims local #emergency resulting from #SandFire that has burned over 37K acres, destroyed 18 homes, an…"
758008505542533120,2016-07-26 18:38:05,,1,5,Twitter Web Client,This morning I sent a letter to Gov. Brown urging him to declare a state of emergency in CA to combat the #SandFire. https://t.co/LWiSSEQJPj
757985602881089536,2016-07-26 17:07:05,,1,2,Twitter Web Client,"Some great info from the CA Dept. of Insurance on what to do after the #SandFire regarding insurance, scams, etc.
https://t.co/I5LaMY16Cb"
757973467929206784,2016-07-26 16:18:51,,2,2,Twitter Web Client,Talking with @KHTSam1220  about the #SandFire. Urging folks to watch out for scams- more info here: https://t.co/pxlYFDGpQl
757965698962522113,2016-07-26 15:47:59,,0,1,Twitter Web Client,Some important info from @SCVSHERIFF on returning home after your #SandFire evacuation has been lifted. https://t.co/OidPnlZ2f6
757959708036726784,2016-07-26 15:24:11,,1,0,Twitter Web Client,"This morning's #SandFire update (as of 7AM)
https://t.co/IfnvZoSJAy"
757689468635717632,2016-07-25 21:30:21,,0,0,Twitter Web Client,"Some more info &amp; updates about #SandFire:
https://t.co/1UMzrJ86KU"
757681669000294400,2016-07-25 20:59:21,,13,0,Twitter Web Client,RT @SCVTV20: MON #SandFire - Road closures https://t.co/QrX8a8hayO
757665838719721472,2016-07-25 19:56:27,,4,2,Twitter Web Client,Important #SandFire update from the Command Post: https://t.co/joYQvpcx7P
757657467241324545,2016-07-25 19:23:11,,29,0,Twitter Web Client,RT @SCVSHERIFF: ALERT: URGENT Residents on Running Horse. EVACUATE if you can safely or shelter in place. #LASD #SCV @LACoFDPIO https://t.c…
757634279425839104,2016-07-25 17:51:03,,0,2,Twitter Web Client,"Another #SandFire update from this morning: https://t.co/RXj0kQzdFi
We will continue to post updates as they receive them."
752540445276766209,2016-07-11 16:29:58,,0,2,Twitter Web Client,Thanks to @LACo_FD and all other agencies for the ongoing efforts to contain the #SageFire! https://t.co/3RUgUP9gCT
751410130961436672,2016-07-08 13:38:30,,0,4,Twitter Web Client,Our thoughts and prayers are with my brothers in blue in #Dallas and their families.
751164658879430656,2016-07-07 21:23:05,,4,3,Twitter Web Client,Excited that our Solar Fuels Innovation Act passed @HouseScience Cmte today! https://t.co/PHGtna5qyL
