id,created_at,user,retweets,favorite_count,source,text
281440134510034946,2012-12-19 16:45:31,USRepBobTurner,8,3,Twitter Web Client,"Proud 2 nominate these fine young men&amp;women 2 our nation's mil. acads. http://t.co/fmP5VKe7
@WestPoint_USMA @AF_Academy @NavalAcademy #USMMA"
279652225649868800,2012-12-14 18:21:00,USRepBobTurner,3,8,Twitter for iPhone,My thoughts and prayers are with those affected by the shootings in Connecticut.
269544257172418561,2012-11-16 20:55:33,USRepBobTurner,25,9,Twitter Web Client,I support Israeli leadership’s decision to defend [itself]. http://t.co/CAfbn7QO
269534476600750081,2012-11-16 20:16:41,USRepBobTurner,1,1,Twitter Web Client,Proud 2 represent NY &amp; honor those who suffered &amp; came 2 our aid in our time of need. http://t.co/58ssHC30  #NY09 #Queens #Brooklyn #Sandy
267752381993848832,2012-11-11 22:15:17,USRepBobTurner,7,1,Twitter Web Client,Rockaways-Manhattan ferry service schedule. http://t.co/dvW1Lfco #Rockaways #NY09 #Queens #Sandy #Recovery
267750853430087681,2012-11-11 22:09:12,USRepBobTurner,3,2,Twitter Web Client,"Proud today, as I am every day, to be a veteran. Happy #Veteransday to all those who serve our nation in uniform. http://t.co/kriHCh69 #NY09"
267002942899499008,2012-11-09 20:37:16,USRepBobTurner,1,0,Twitter Web Client,Important information involving natural gas restoration: http://t.co/j69k3tVf #NY09 #Queens #Brooklyn #Sandy #Recovery
267000357970927616,2012-11-09 20:27:00,USRepBobTurner,2,0,Twitter Web Client,Continuing to work on eliminating gas crisis. My office working on all issues. http://t.co/ysYwEzSW #Brooklyn #Queens #Sandy #Recovery #NY09
266993583960256514,2012-11-09 20:00:05,USRepBobTurner,1,0,Twitter Web Client,Commuter ferry service from the Rockaways to Manhattan to begin Monday. http://t.co/ysYwEzSW #Rockaways #Sandy #Queens #Recovery #NY09
266625874860851200,2012-11-08 19:38:56,USRepBobTurner,2,1,Twitter Web Client,No excuse y thousands of NYers still w/out heat&amp;power as temps reach freezing. http://t.co/UFhrVWEf #NY09 #Brooklyn #Queens #Sandy #Recovery
266290838777257984,2012-11-07 21:27:38,USRepBobTurner,17,3,Twitter Web Client,The gas situation in New York is unacceptable. http://t.co/IYLxcV7w #NY09 #Queens #Brooklyn #Rockaways #Sandy #Recovery
266278750264627200,2012-11-07 20:39:35,USRepBobTurner,1,0,Twitter Web Client,updated info on shelters and warming stations http://t.co/KcZIUcGX #Brooklyn #Sandy #Recovery
266179666220552193,2012-11-07 14:05:52,USRepBobTurner,282,0,Twitter Web Client,"RT @RedCross: In New York City, you can call 3-1-1 or visit http://t.co/OBCLbMGV for a list of both day and night-time warming centers"
266179648281526273,2012-11-07 14:05:48,USRepBobTurner,366,0,Twitter Web Client,RT @RedCross: Need a safe place to go during the Nor'easter? Come to a Red Cross shelter. http://t.co/Pgxt83by
265928425007624193,2012-11-06 21:27:31,USRepBobTurner,0,0,Twitter Web Client,Updated power restoration info from @ConEdison. http://t.co/U6g5bCfU #Sandy #Recovery #Brooklyn #Queens #NY09
265891767319138305,2012-11-06 19:01:52,USRepBobTurner,0,0,Mobile Web,.@ConEdison is also distributing dry ice today at 2865 West 19th Street in #Brooklyn two blocks from MCU Park (Cyclones Stadium)#sandy
265891288136679424,2012-11-06 18:59:57,USRepBobTurner,0,0,Mobile Web,.@ConEdison is distributing dry ice at 155 St. and Baisley Blvd. in #Queens (Baisley Pond Park) until 5 pm or they run out #sandy
265871665425158145,2012-11-06 17:41:59,USRepBobTurner,1,0,Mobile Web,You can use the FEMA Evacuee Hotel List to find hotels that will subsidize residents needing housing after  Sandy http://t.co/wZ8jHzTj
265868823922618368,2012-11-06 17:30:41,USRepBobTurner,1,0,Mobile Web,USPS will resume  deliveries to some Rockaways residents http://t.co/8mK3CP3G
265837789512364033,2012-11-06 15:27:22,USRepBobTurner,14,0,Twitter Web Client,RT @ConEdison: #ConEdison will have a customer outreach van in #BroadChannel today from 11am to 5pm: East 9th St &amp; Cross Bay Blvd
265837774056337408,2012-11-06 15:27:19,USRepBobTurner,4,0,Twitter Web Client,RT @ConEdison: #ConEdison will have a customer outreach van in #GerritsenBeach today from 8am to 5pm: Gerritsen Ave &amp; Gotham Ave
265837758512238592,2012-11-06 15:27:15,USRepBobTurner,11,0,Twitter Web Client,RT @ConEdison: #ConEdison will have a customer outreach van in #HowardBeach today from 8am to 5pm: 165th Ave &amp; Cross Bay Blvd
265544387503734784,2012-11-05 20:01:30,USRepBobTurner,1,0,Twitter Web Client,"REMINDER: Food, Blanket, &amp; Water distribution sites open for another hour. http://t.co/JjrZ2S8B #NY09 #Queens #Brooklyn #Sandy #Recovery"
265516149406568448,2012-11-05 18:09:17,USRepBobTurner,0,0,Twitter Web Client,Working 24/7 to get power restored. Click for tips to speed process &amp; safety. http://t.co/U6g5bCfU #Recovery #Sandy #NY09 #Queens #Brooklyn
265301305243873280,2012-11-05 03:55:34,USRepBobTurner,0,0,Twitter Web Client,Schools open Monday. Some schools still closed. Students of those schools  relocated for time being. For more info  http://t.co/jpQUPtf2
265268238194196480,2012-11-05 01:44:11,USRepBobTurner,1,0,Twitter Web Client,Marine Parkway &amp; Cross Bay Bridge tolls to the #Rockaways SUSPENDED (retroactive to reopening). http://t.co/ffegUuXF #NY09 #Recovery #Queens
265121316892454912,2012-11-04 16:00:22,USRepBobTurner,0,0,Twitter Web Client,Dry Ice Dist in #Queens @ Baisley Pond Pk in So Jamaica &amp; Kissena Park Velodrome parking lot by Booth Mem Ave in Flushing til 4 or til out.
265120014867251200,2012-11-04 15:55:11,USRepBobTurner,0,0,Twitter Web Client,Dry Ice Distribution in #Brooklyn at Cyclones Stad 1904 Surf Ave. parking lot section 1B until 4:00 P.M. or until supplies run out. #NY09
264866220690505729,2012-11-03 23:06:42,USRepBobTurner,1,1,Twitter Web Client,.@SBAgov to open #smallbusiness recovery center in #Brooklyn. Click for details: http://t.co/Fyhf9AZx #NY09 #Recovery #Sandy
264822102870339584,2012-11-03 20:11:24,USRepBobTurner,2,0,Twitter Web Client,"At the order of the Gov's office, the fueling stations at #Brooklyn &amp; #Queens Armories currently closed to the public. Updates to come."
264805720535490561,2012-11-03 19:06:18,USRepBobTurner,79,0,Twitter Web Client,"RT @redcrossny: A #RedCross Emergency Vehicle is heading to Far Rockaway in Queens and will
be distributing sandwiches and drinks."
264733180223971328,2012-11-03 14:18:03,USRepBobTurner,2,0,Twitter Web Client,Temp fuel trucks deployed this AM. #Brooklyn Armory 1579 Bedford Ave.10 Gallon limit per veh. http://t.co/RrfZDXBC  #Sandy #Recovery #NY09
264732378285621249,2012-11-03 14:14:52,USRepBobTurner,2,0,Twitter Web Client,"Temp fuel trucks deployed this AM. #Queens Armory 93-05 160th St, Jamaica. 10 Gal limit per veh. http://t.co/RrfZDXBC #Sandy #Recovery #NY09"
264515863804264448,2012-11-02 23:54:31,USRepBobTurner,0,0,Twitter Web Client,The decision to cancel the #Marathon is the right one. Proud of New Yorkers. We are resilient. http://t.co/HFjCucQ4 #NY09 #Queens #Brooklyn
264485023028215808,2012-11-02 21:51:58,USRepBobTurner,0,0,Twitter Web Client,W/volunteers &amp; local residents at #BroadChannel #AmericanLegion relief center on Cross Bay Boulevard. #Queens #NY09 http://t.co/ARHxl27s
264483484163256321,2012-11-02 21:45:52,USRepBobTurner,1,0,Twitter Web Client,.@FEMA DRC &amp; @RedCross station at Fort Tilden in the Rockaways. Meals being prepped 4 local residents. #Queens #NY09 http://t.co/S3jKRZYy
264480358584705024,2012-11-02 21:33:25,USRepBobTurner,3,0,Twitter Web Client,.@HouseVetAffairs has put together a page 2 update #veterans affected by hurricane #Sandy: http://t.co/MxqIGv0f #Queens #Brooklyn #NY09
264476841711124480,2012-11-02 21:19:27,USRepBobTurner,1,0,Twitter Web Client,"Still a long way to go, but I have no doubt that New York's resilience &amp; our community cohesion will get us through this difficult time."
264475985557217280,2012-11-02 21:16:03,USRepBobTurner,1,0,Twitter Web Client,"Just a reminder, I have created a special tab on my website featuring updated information: http://t.co/jtexM9Im #NY09 #Queens #BK #Recovery"
264470011094118400,2012-11-02 20:52:18,USRepBobTurner,1,0,Twitter Web Client,".@RedCross Mobile Unit now @ Fort Tilden Park, 1-199 Rockaway Point Blvd along w/ FEMA Disaster Recovery Center. #Queens #Recovery # Sandy"
264456799929921536,2012-11-02 19:59:50,USRepBobTurner,2,0,Twitter Web Client,At FDNY Mobile Command Center continuing to get the word out about the immediate need for assistance in the Rockaways. http://t.co/8lW6hhyZ
264448910708318208,2012-11-02 19:28:28,USRepBobTurner,1,0,Twitter Web Client,"NYPD Comms Affairs running center at Aqueduct 110-00 Rockaway blvd. Food, water &amp; supplies. Drop offs also welcome. #Queens #NY09 #Recovery"
264445615356915712,2012-11-02 19:15:22,USRepBobTurner,7,0,Twitter Web Client,"Food&amp;water shipment arrived @ #BroadChannel American Legion 209 Cross Bay Blvd, Far Rockaway. I am pushing for more. #Recovery #NY09 #Queens"
264436708702031873,2012-11-02 18:39:59,USRepBobTurner,1,0,Twitter Web Client,.@HUDnews #SecDonovan announces foreclosure proteaction. http://t.co/Bla9Mfu9 #NY09 #Queens #Brooklyn #Sandy #Recovery
264436405260926976,2012-11-02 18:38:46,USRepBobTurner,16,0,Twitter Web Client,RT @HUDNews: #SecDonovan: Families forced from homes need to know help is available so they may begin rebuilding process #Sandy http://t ...
264430516617486336,2012-11-02 18:15:23,USRepBobTurner,2,0,Twitter Web Client,.@FDNY Mobile Command Center in Rockaways on B116th&amp;Newport getting update from city's bravest. #Queens #NY09 #Recovery http://t.co/9Z6dWC0U
264428790984364032,2012-11-02 18:08:32,USRepBobTurner,8,0,Twitter Web Client,"In #BroadChannel, getting the word out about the dire situation and immediate need of assistance in the area. #Queens http://t.co/jQTLI1tk"
264399115918643200,2012-11-02 16:10:36,USRepBobTurner,2,0,Twitter Web Client,Call the ESRD Network’s Hotline number 1-800-238-ESRD to find an outpatient dialysis facility. #NY09 #Sandy #Queens #Brooklyn #Recovery
264398711457734656,2012-11-02 16:08:59,USRepBobTurner,1,0,Twitter Web Client,NYSDOH: Hospitals can provide dialysis in-patient setting&amp;discharge after if approp. http://t.co/dTXfl5h8 #Sandy #Brooklyn #Queens #Recovery
264393028947542016,2012-11-02 15:46:24,USRepBobTurner,7,0,Twitter Web Client,.@RedCross mobile units moving throughout #NY09. Check here for location updates. #Rockaway #Queens #Brooklyn #Sandy #Recovery
264366439228645377,2012-11-02 14:00:45,USRepBobTurner,1,0,Twitter Web Client,National Flood Insurance Program (NFIP) info 4 policy holders &amp; general post-flood tips. http://t.co/r93KjVKN #NY09 #sandy #brooklyn #Queens
264356207991611393,2012-11-02 13:20:06,USRepBobTurner,1,0,Twitter Web Client,Working on getting more of these Mobile Disaster Recovery Centers opened throughout #Brooklyn and #Queens. #NY09 #sandy
264356008393048064,2012-11-02 13:19:18,USRepBobTurner,3,0,Twitter Web Client,Mobile Disaster Recovery Center operational in #Queens @Ft Tilden Pk 1-199 Rockaway Pt Blvd &amp; Duane Reade B116 Beach Channel Dr #NY09 #sandy
264355296833589248,2012-11-02 13:16:28,USRepBobTurner,0,0,Twitter Web Client,Mobile Disaster Recovery Center operational in #Brooklyn at Cyclone Stadium 1904 Surf Avenue. Working to get more sites. #sandy #coneyisland
264109645294092291,2012-11-01 21:00:21,USRepBobTurner,5,0,Mobile Web,"RT @redcrossny We have 3 Emergency Response Vehicles with supplies headed to Gerritsen Beach, #Brooklyn."
264097292779397122,2012-11-01 20:11:16,USRepBobTurner,6,1,Camera on iOS,In the Rockaways on Beach 129th and Rockaway Beach Blvd surveying damage and talking to constituents. http://t.co/bSkcVUS8
264090261339140097,2012-11-01 19:43:19,USRepBobTurner,2,0,Twitter Web Client,"Dscssing devastating effects of #Sandy on Qns&amp;BK, immediate needs of heavily impacted areas&amp;how we will begin 2 rebuild http://t.co/PWBIgywe"
264052653997301760,2012-11-01 17:13:54,USRepBobTurner,2,1,Twitter Web Client,"W/CO in Broad Channel. In constant contact W/City&amp;State offic, @FEMA &amp; @RedCross 2 get desperately needed services 2 BC http://t.co/heWbrQf3"
264050638244167680,2012-11-01 17:05:53,USRepBobTurner,1,0,Twitter Web Client,W/State Senator Marty Golden in Manhattan Beach discussing hurricane Sandy response. Heading to the Rockaways shortly. http://t.co/If4IhKaN
264042912021618688,2012-11-01 16:35:10,USRepBobTurner,4,0,Twitter Web Client,. @ConEdison is distributing dry ice in Queens at 121-10 Rockaway Blvd. http://t.co/pKjfLjq2 #sandy #rockaway #broadchannel
264042681456537600,2012-11-01 16:34:15,USRepBobTurner,0,0,Twitter Web Client,.@ConEdison is distributing dry ice in BK @ Walgreen’s: 532 Neptune Ave. (between W. 5th &amp; 6th Streets) #sandy #brooklyn #coneyisland
264042448685248512,2012-11-01 16:33:20,USRepBobTurner,0,0,Twitter Web Client,@ConEdison to distribute Dry Ice to customers w/out power. Supplies limited. Click link for full details. http://t.co/pKjfLjq2 #NY09
264036876896329728,2012-11-01 16:11:12,USRepBobTurner,0,0,Twitter Web Client,"W/volunteers &amp; fellow displaced NYers @ hurricane shelter @ Resurrection Church on Gerritsen Ave in Gerritsen Beach, BK http://t.co/ThQazMQd"
264032563432144896,2012-11-01 15:54:03,USRepBobTurner,4,0,Twitter Web Client,Free packaged meals &amp; drinking water will be given away at Distribution Centers starting today at 3. Click for details: http://t.co/6iUhEGgw
263773404807716864,2012-10-31 22:44:15,USRepBobTurner,1,0,Twitter Web Client,Click the link for important information about reporting storm damage and applying for aid. #NY09 http://t.co/a6vvPOSV
263740725978624000,2012-10-31 20:34:23,USRepBobTurner,34,0,Twitter Web Client,RT @ConEdison: #ConEdison is hoping to get #BrightonBeach restored by the end of the day and #ConeyIsland shortly after.
263740457312481280,2012-10-31 20:33:19,USRepBobTurner,26,0,Twitter Web Client,"RT @ConEdison: #ConEdison #Brooklyn Dry ice being distributed at Walgreen’s, 532 Neptune Ave. (between W. 5th &amp; 6th Streets)"
263740419068801024,2012-10-31 20:33:10,USRepBobTurner,25,0,Twitter Web Client,RT @ConEdison: #ConEdison #Queens Dry ice being distributed at 121-10 Rockaway Blvd
263702569493352448,2012-10-31 18:02:46,USRepBobTurner,0,0,Twitter Web Client,NYC Transit Update http://t.co/8WikKyb0
263689029621530624,2012-10-31 17:08:58,USRepBobTurner,2,0,Twitter Web Client,Small business owners can find information on disaster loans here: http://t.co/GZD7Ek1D
263680547056910336,2012-10-31 16:35:16,USRepBobTurner,1,0,Twitter Web Client,"Get updates on the current operating status of utility,education and transportation from the City of New York's website http://t.co/NhxttvV9"
263656580749344768,2012-10-31 15:00:02,USRepBobTurner,3,0,Twitter Web Client,Please note that my Brooklyn district office will be closed until further notice. http://t.co/TgI5Sy5h
263655175212920832,2012-10-31 14:54:26,USRepBobTurner,2,0,Twitter Web Client,Please visit my website for disaster assistance information http://t.co/N5P6V28t
262655522581401600,2012-10-28 20:42:11,USRepBobTurner,3,0,Twitter Web Client,"Reminder the following areas in QUEENS are under MANDATORY evacuation the Rockaways, Hamilton Beach, Broad Channel&amp;parts of Hunters Point."
