id,created_at,coordinates,retweets,favorite_count,source,text
99542441249611777,2011-08-05 18:09:02,,2,1,Twitter Web Client,On live with the Ed Schultz Show and guest host @JeffSantosShow
98187756018208768,2011-08-02 00:25:59,,6,2,Twitter Web Client,"So wonderful to see you, @Rep_Giffords! You inspire us all! #WelcomeBackGabby"
98186792112627713,2011-08-02 00:22:10,,0,0,Twitter Web Client,@glassridges So wonderful!
98186293162418176,2011-08-02 00:20:11,,22,2,Twitter Web Client,This is not a good deal for hard working Wisconsinites http://t.co/jfDbdge
98185088939995136,2011-08-02 00:15:24,,45,4,Twitter Web Client,I cannot short change the middle class and small businesses while asking nothing of the wealthiest Americans and largest corporations
95937837685415936,2011-07-26 19:25:37,,1,0,Twitter for BlackBerry®,Spoke w/ inspiring students from the @Beloit_College Upward Bound program on the Capitol steps http://yfrog.com/kffmfxqj
95890311196315648,2011-07-26 16:16:46,,3,0,Twitter for BlackBerry®,"With Congressional leaders and @MahlonMitchell to stand up for the middle class, job creation, and workers' rights."
94527408807481344,2011-07-22 22:01:05,,13,2,Twitter Web Client,"I look forward to the day, fast-approaching, when lesbian and gay servicemembers can serve our country openly and with pride #DADT"
94525861969141760,2011-07-22 21:54:56,,12,1,Twitter Web Client,Repeal of #DADT marks another historic milestone in our struggle for equal rights for all Americans
93700887054254080,2011-07-20 15:16:47,,2,1,Twitter Web Client,Blog Post: The Keys to a Debt Deal http://t.co/qT6hIYs
90511821181698048,2011-07-11 20:04:34,,5,0,Twitter Web Client,Dear WI Legislature: Please allow extended unemployment benefits to flow to WI's unemployed http://t.co/4JR5adv
86814289494675456,2011-07-01 15:11:54,,15,2,Twitter Web Client,"As #Medicare turns 45 today, I will continue to oppose any effort to break the Medicare contract this country has made with our seniors"
86805763263172609,2011-07-01 14:38:01,,15,0,Twitter Web Client,"On #Medicare's 45th anniversary, Rs in Congress are working to privatize it, cut benefits, and force seniors to buy insurance on their own"
86506005504065536,2011-06-30 18:46:53,,3,0,Twitter for iPhone,Discussing #jobs & disconnect I see between concerns of people & the political agenda w @AmFam employees http://t.co/gMvPWRv
86238093568512000,2011-06-30 01:02:18,,31,2,Twitter for BlackBerry®,"We must balance the budget w/ shared sacrifices, so that the rising tide lifts all boats, not just yachts in the harbor."
86227114587717632,2011-06-30 00:18:40,,17,0,Twitter for iPhone,"It’s time we stopped paying foreign companies for products that are better made in WI, especially for material vital to national security!"
86224911806365696,2011-06-30 00:09:55,,1,0,Twitter for iPhone,"I’m in MKE to listen to the voices of the good people of WI who are saying loudly and clearly: we want jobs, and we want them now!"
86193172266491904,2011-06-29 22:03:48,,10,0,Twitter for iPhone,"Headed to MKE to speak out for good American jobs w/ @RepBarbaraLee, @janschakowsky, and @RepGwenMoore http://t.co/ryQPYbN"
86171249792917504,2011-06-29 20:36:41,,1,0,Twitter Web Client,@Sagescript: Info and text of the #SafeCosmetics bill is available to the public via the Library of Congress here: http://t.co/by8nu7N
83566256824922112,2011-06-22 16:05:22,,5,0,Twitter Web Client,My statement on the pace of troop withdrawal from #Afghanistan & #Iraq http://t.co/mTFCQlJ
83563240013045760,2011-06-22 15:53:23,,7,0,Twitter Web Client,Help me tell the President to bring troops home safely & quickly. #1 priority must be rebuilding economy & creating jobs here
83192540001599488,2011-06-21 15:20:21,,11,2,Twitter Web Client,"""Beep-beep"" in #solidarity with Saudi women who want the right to drive! #Women2Drive http://t.co/PtHz3I3"
81749034313850881,2011-06-17 15:44:23,,4,0,Twitter for iPhone,"Proud to be part of the 1st #LGBT event @ Madison VA (rainbow sherbet social to follow!) #equality 
 http://t.co/K2paXg3"
81743498432352256,2011-06-17 15:22:23,,0,0,Twitter for iPhone,"@ChrisJonesUW - @keldahelenroys, @jonerpenbach, and I are so lucky to represent magnificent constituents like you!"
81739798875869185,2011-06-17 15:07:41,,1,0,Twitter for iPhone,Getting a tour of the construction at the Madison VA Hospital to help take better care of our #veterans http://t.co/DiHGfSb
80038627933040641,2011-06-12 22:27:50,,2,0,Twitter for iPhone,Welcoming the Prof Fire Fighters to town & marching w them to their Memorial Service at Monona Terrace.  http://t.co/3mqxQln
80036806543933440,2011-06-12 22:20:36,,16,1,Twitter for iPhone,Just toured #Walkerville. Glad to see our spirits and #solidarity are still so strong!
76332406780596225,2011-06-02 17:00:38,,12,2,Twitter Web Client,Fighting for US manufacturing #jobs. Offered an amendment that would require the Coast Guard to #MakeItInAmerica and #BuyAmerican engines
74911820061749248,2011-05-29 18:55:44,,2,0,Twitter for iPhone,From Union Grove to Monona Grove I'll be honoring our nation's servicemen and women this Memorial Day Weekend
71571964027879424,2011-05-20 13:44:20,,4,0,Twitter Web Client,"RT @EnergyCommerce: Watch @RepTammyBaldwin defend  #children, #seniors &ppl w/ #disabilities at #Health Subcommittee markup on #Medicaid ..."
71248699312979968,2011-05-19 16:19:48,,4,0,Twitter for iPhone,"No better way to put it than as Leader @NancyPelosi did, ""This is a fight we WILL win!"""
71247950810058756,2011-05-19 16:16:49,,27,1,Twitter for iPhone,"As Leader @NancyPelosi pointed out, how is it fair to end #Medicare as we know it but give tax breaks to big oil and the wealthiest?"
71246963177304065,2011-05-19 16:12:54,,2,0,Twitter for iPhone,"Leader @NancyPelosi & I both demand that R's not take away, w 1 stroke, all we have accomplished for seniors in the past 70 yrs"
71246136064753665,2011-05-19 16:09:37,,1,0,Twitter for iPhone,"I agree w Leader @NancyPelosi: ""this Waunakee Center is a model for all others...and it is amazing that this used to be a cannery"""
71244645518155777,2011-05-19 16:03:41,,1,0,Twitter for iPhone,Leader @NancyPelosi and I will never break the promise that we made to our seniors by ending #Medicare as we know it
71244367716823041,2011-05-19 16:02:35,,3,0,Twitter for iPhone,Holding a Save #Medicare press conf w local senior Joan Rupenthal and Leader @NancyPelosi  http://t.co/m1CSlnY
71243014118440963,2011-05-19 15:57:12,,0,1,Twitter for iPhone,...That’s why I’m so concerned about efforts in Congress to end the #Medicare guarantee that seniors now enjoy.
71242997039247360,2011-05-19 15:57:08,,2,1,Twitter for iPhone,"...And, because of #Medicare, I was able to care for my grandmother and establish my own career not saddled by debt..."
71242985337139200,2011-05-19 15:57:05,,1,1,Twitter for iPhone,"Because of #Medicare, my grandmother wasn’t bankrupted by high medical costs…"
71239307972710401,2011-05-19 15:42:29,,5,0,Twitter for iPhone,Touring the amazing facilities at the Waunakee Village Center w Leader @NancyPelosi  http://t.co/hHB7wtf
71237833733574658,2011-05-19 15:36:37,,1,0,Twitter Web Client,W/ Leader @NancyPelosi at Waunakee Senior Center. I'm delighted she has a chance to see how much #WI seniors are respected & cared for here.
71237774312878080,2011-05-19 15:36:23,,1,0,Twitter for iPhone,@NancyPelosi & I are so impressed w the impact of the tremendous volunteers here. Glad we could show her the #WisconsinWay.
71236721672589314,2011-05-19 15:32:12,,6,0,Twitter for iPhone,Leader @Nancy Pelosi and I speaking w Waunakee #WI leaders at the Waunakee Senior Center http://t.co/eBcmZmV
70563705020104704,2011-05-17 18:57:52,,1,0,Twitter Web Client,I was honored to welcome women veterans from across the US to Madison. We discussed a bill I'm working on to improve care for these heroes.
69085528313708544,2011-05-13 17:04:08,,5,0,Twitter Web Client,Herb Kohl has given much to the state. He is a rare and special statesman. I am so grateful for his service and his friendship.
69084947427758082,2011-05-13 17:01:49,,2,0,Twitter Web Client,His emphasis on improving the quality of life for Wisconsin’s children and seniors has made an enduring difference.
69084674588286976,2011-05-13 17:00:44,,6,0,Twitter Web Client,"Sen Kohl has been a great champion for all of #WI in the U.S. Senate. He has always done the right thing, regardless of the political winds."
68686696128065537,2011-05-12 14:39:19,,7,1,Twitter Web Client,"In Health Subcommittee, fighting to prevent #WI and other states from dropping health care coverage for children and vulnerable Americans"
68392012201725952,2011-05-11 19:08:21,,2,1,Twitter Web Client,Had a productive meeting yesterday with Mayor Soglin of Madison about economic development and transportation projects
67588777052352513,2011-05-09 13:56:34,,0,0,Twitter for iPhone,"Honoring 2 of Sauk Co's finest at Respect for Law Day in Baraboo. Remember the sacrifice our fire, EMT, and law officers make each day."
66937899899289600,2011-05-07 18:50:13,,1,0,Twitter for iPhone,Proud to host another year of the Congressional Art Competition. Thx to the Verona Library for hosting http://t.co/CsDzuFm
66235016513978368,2011-05-05 20:17:13,,9,0,Twitter Web Client,"Rather than focusing on jobs, the GOP House majority has pursued a divisive social agenda http://tinyurl.com/67qfgg4 #HR3"
66228671702253568,2011-05-05 19:52:00,,4,0,Twitter Web Client,Today Rep. @SteveLaTourette and I introduced a bipartisan bill to help public access TV & save 1000s of jobs across the country
65143781900562432,2011-05-02 20:01:02,,2,0,Twitter Web Client,My thoughts are with all of the families who lost loved ones on 9/11 and in the fight to bring the perpetrators to justice.
65143605832073216,2011-05-02 20:00:20,,3,0,Twitter Web Client,I applaud President Obama and our intelligence and military personnel who skillfully carried out this successful mission. #obl
64063597717897216,2011-04-29 20:28:46,,3,0,Twitter Web Client,Help me welcome @EnergyCommerce Committee to Twitter by following our important work #FF
63621824252100608,2011-04-28 15:13:19,,3,0,Twitter for iPhone,Back on @UWMadison campus for 1 last class visit before finals. #Badgers how are you enjoying your last weeks of the semester?
