id,created_at,user,retweets,favorite_count,source,text
851493992030244865,2017-04-10 17:56:02,WarrenDavidson,2,7,Twitter Web Client,I'll be going on 700 WLW in 5 minutes to discuss Syria and Justice Gorsuch. Tune in! https://t.co/XdmtLfQBZ6
850382933785534464,2017-04-07 16:21:05,WarrenDavidson,10,34,Twitter Web Client,Judge Gorsuch will honor his commitment to a principled interpretation of our Constitution. https://t.co/6VlrK4mlTu
850129975864946688,2017-04-06 23:35:55,WarrenDavidson,5,0,Twitter for iPhone,RT @GoodwillOhio: @warrendavidson your support of building career skills and improving lives through jobs in the 8th Dist. is appreciated!…
849326510901252097,2017-04-04 18:23:14,WarrenDavidson,6,11,Twitter Web Client,I'm looking forward to taking your questions at the upcoming town hall on April 11. More details: https://t.co/4fCwkvpy10
849323333938286593,2017-04-04 18:10:37,WarrenDavidson,2,2,Twitter Web Client,@michna22 Nobody is trying to dismantle the social safety net. The goal of the bill is to recalibrate programs so p… https://t.co/KGCo7Iv7eW
849319901328269313,2017-04-04 17:56:58,WarrenDavidson,7,15,Twitter Web Client,Momentum building on the Welfare BRAC Act. Now up to 9 cosponsors. https://t.co/WI5Kx2qrIn
849283778937835520,2017-04-04 15:33:26,WarrenDavidson,0,7,TweetDeck,Thanks for having me! https://t.co/w2SnPMvLd2
849080999506042880,2017-04-04 02:07:40,WarrenDavidson,0,0,Twitter for iPhone,@Felix75L70 DM best way to contact you.
848904190344736770,2017-04-03 14:25:05,WarrenDavidson,9,0,Twitter Web Client,"RT @pye: .@FreedomWorks’ Bill of the Month is @WarrenDavidson’s Welfare BRAC Act, H.R. 1469. https://t.co/fQBDsItLB1"
847903577238630400,2017-03-31 20:09:00,WarrenDavidson,111,0,Twitter for iPhone,"RT @foxandfriends: Freedom Caucus member: We like Trump, want to move forward I @WarrenDavidson https://t.co/jptZ9HoB1l"
847816893520125953,2017-03-31 14:24:33,WarrenDavidson,15,0,Twitter Web Client,"RT @DouthatNYT: It is, naturally, called the ""Drain the Swamp Act."" As it should be:
https://t.co/uBpqPDwjZs"
