id,created_at,user,retweets,favorite_count,source,text
851543473408942080,2017-04-10 21:12:39,congressmanraja,0,9,Twitter Web Client,"On today's #AskRaja, I discuss my work with the @OversightDems and the @edworkforcedems https://t.co/a7MWB7cp9J"
851463699944673281,2017-04-10 15:55:40,congressmanraja,1,12,Twitter Web Client,It's wonderful to be back home and on Friday I met with Jemma Cabral and Maggie Osborne of the @AmericanCancer Acti… https://t.co/OCBoZbZPvW
850760644915847169,2017-04-08 17:21:58,congressmanraja,1,9,Twitter for iPhone,It was great meeting with the  Illinois Association of Nurse Anesthetists this week! https://t.co/13d71trvas
850476193207996416,2017-04-07 22:31:40,congressmanraja,4,20,Twitter Web Client,Guess we'll never hear from that guy ever again... [crosses fingers and looks up at picture of Walter Payton]… https://t.co/s8VVQrC9B9
850393757224718336,2017-04-07 17:04:05,congressmanraja,2,0,Twitter Web Client,"RT @ILschoolboards: Board members Barbara Somogyi &amp; Kathleen Burley, &amp; IASB’s Susan Hilton discuss education issues &amp; school funding with @…"
850391680545157120,2017-04-07 16:55:50,congressmanraja,1,11,Twitter Web Client,Read my statement on #syriastrikes below https://t.co/m3bktsUlLD
850387580357136384,2017-04-07 16:39:33,congressmanraja,2,0,Twitter Web Client,RT @pprada84: Thank you @CongressmanRaja for taking the time to listen to our concerns on @OpenFairSkies for @WeAreALPA @SpiritMEC_ALPA htt…
850378506466992131,2017-04-07 16:03:29,congressmanraja,9,0,Twitter Web Client,"RT @NFB_voice: We thank the original HR 1772 cosponsors: @CongressmanGT, @RepKinzinger, @RepDavidEPrice, @CongressmanRaja, @RepDanKildee &amp;…"
850352996030525440,2017-04-07 14:22:07,congressmanraja,6,23,Twitter Web Client,It's also why I'm on a first-name basis with most of Congress https://t.co/r5TMSL5GXb
850147011559030784,2017-04-07 00:43:37,congressmanraja,0,7,Twitter Web Client,It was an honor to meet Ambassador @Martin_Dahinden of @SwissEmbassyUSA &amp; to discuss the potential for Swiss-style… https://t.co/0p6vAWwXmq
850131562821767172,2017-04-06 23:42:13,congressmanraja,7,17,Twitter Web Client,"If you guessed this means they're calling it ""global warming"" I've got bad news #climatechange #ClimateChangeIsReal  https://t.co/QmasR6MaFV"
850096881053073408,2017-04-06 21:24:25,congressmanraja,0,1,Twitter for Android,@windycityamar Absolutely! My staff just emailed you and look forward to working with you on all the arrangements
850065347126472706,2017-04-06 19:19:06,congressmanraja,1,5,Twitter Web Client,My office will be participating in the 2017 Congressional Art Competition https://t.co/XTmBopfbmz #2017CAC… https://t.co/9RRFXgxT83
849994809905471488,2017-04-06 14:38:49,congressmanraja,4,0,Twitter Web Client,RT @Katie_Vannucci: Thanks so much @CongressmanRaja for meeting with us this AM to discuss important immigration issues! #ailanda #ailastan…
849993644383903744,2017-04-06 14:34:11,congressmanraja,201,355,Twitter Web Client,"Chairman Nunes' stepping aside isn't enough, we need an independent commission  #FollowtheFacts #TrumpRussia https://t.co/xFllZAGWg2"
849737873633026048,2017-04-05 21:37:51,congressmanraja,1,10,Twitter Web Client,Great meeting with Illinois members of the American Osteopathic Association! https://t.co/ugnj1nN87S
849732004421791745,2017-04-05 21:14:31,congressmanraja,1,0,Twitter for iPhone,RT @NASSspine: @CongressmanRaja talks #accesstospecialtycare with NASS spine specialists as a part of the 2017 #NASSAdvocacyConference. htt…
849706301559107585,2017-04-05 19:32:23,congressmanraja,864,0,Twitter Web Client,RT @Cubs: #NationalWalkingDay 😁 https://t.co/H22QE4AULM
849652642397728769,2017-04-05 15:59:10,congressmanraja,3,41,Twitter Web Client,"I called for Bannon's removal because national security should be in the hands of experts, not political consultants https://t.co/dcH20U2Y7t"
849618240787681282,2017-04-05 13:42:28,congressmanraja,0,6,Twitter Web Client,So glad I was able to meet with the @LungAssociation today https://t.co/V5OCGL2Vvr
849386566871117826,2017-04-04 22:21:53,congressmanraja,6,22,Twitter Web Client,#Equalitymeans not only addressing inequality in our society but confronting the forces behind it &amp; the silence it… https://t.co/nr1iHT3G8J
849343420057305088,2017-04-04 19:30:26,congressmanraja,23,13,Twitter Web Client,It's #EqualPayDay &amp; @HouseGOP are back with an updated #AHCA that would let insurance companies make women pay more https://t.co/6XdWyfqrIN
849306247153299459,2017-04-04 17:02:43,congressmanraja,4,0,Twitter Web Client,RT @RepLaHood: S/o to freshman @CongressmanRaja for signing onto the #CongressOfTomorrow Project @RepLipinski and I introduced to #FixCongr…
849298348381270016,2017-04-04 16:31:20,congressmanraja,3,0,Twitter Web Client,RT @SchoolLunch: Great Pic Illinois SNA with @CongressmanRaja!  Hope the meeting went well! #LAC17 https://t.co/YkKtUjJ3Uw
849288108197728256,2017-04-04 15:50:38,congressmanraja,6,40,Twitter Web Client,Women in our country earn a fraction of what men do for the same work &amp; that's why I've cosponsored the Paycheck Fa… https://t.co/SZv1z3eJ3a
849246378752696320,2017-04-04 13:04:49,congressmanraja,547,0,Twitter Web Client,RT @RepLawrence: 94 days. That’s how far into 2017 the average woman must work to close the gap with what men earned the year before. We ne…
