id,created_at,user,retweets,favorite_count,source,text
851590538386173953,2017-04-11 00:19:40,hurdonthehill,0,4,TweetDeck,Thanks for letting us go live from your place!! https://t.co/ZfHmI0ByfZ
851559706422333440,2017-04-10 22:17:09,hurdonthehill,5,21,Twitter for iPhone,One thing is for sure: Bashar al-Asaad has got to go. #Syria @CNNSitRoom @wolfblitzer https://t.co/yAlKGBEzFV
851547336652111873,2017-04-10 21:28:00,hurdonthehill,9,24,TweetDeck,Chag Sameach to all of my Jewish friends on the first night of Passover! https://t.co/SNzC6BlFep
851540016987877378,2017-04-10 20:58:55,hurdonthehill,1,0,TweetDeck,"RT @fedscoop: On 5/17, attend the #VMWareGovSummit &amp; hear from @HurdOnTheHill &amp; execs at @OMBPress45, @TSA, @DHSgov @USGSA &amp; more! https://…"
851514252351463424,2017-04-10 19:16:32,hurdonthehill,10,0,Twitter for Android,RT @viciousvincent_: #raiderdebate #MOTIVATIONMONDAY @HurdOnTheHill #thatsdebatable https://t.co/ARReB5uB8N
851514168012406785,2017-04-10 19:16:12,hurdonthehill,9,0,Twitter for Android,RT @taylortorresss: Yay for getting to meet a congressman :) #RaiderDebate https://t.co/GVgdCReDfq
851514106117017601,2017-04-10 19:15:57,hurdonthehill,7,0,Twitter for Android,RT @deannachavos: #raiderdebate @HurdOnTheHill https://t.co/fzC26NEUHa
851513842559582208,2017-04-10 19:14:55,hurdonthehill,15,34,Twitter for Android,"Doing #motivationmonday with #raiderdebate - ""do something meaningful and hard."" https://t.co/mbhLxDCZki"
851501030990675968,2017-04-10 18:24:00,hurdonthehill,1,3,TweetDeck,Check out what I'm doing day-to-day in #TX23 &amp; DC by following @HurdontheHill on Snapchat! https://t.co/HAf0Arps5F https://t.co/1NSew4TVCx
851487645821808640,2017-04-10 17:30:49,hurdonthehill,4,0,TweetDeck,RT @GovMattersTV: Government Matters producer Colby Hochmuth spent a day with @HurdOnTheHill and his team https://t.co/B4TOTRMfFL https://t…
851483667826266112,2017-04-10 17:15:00,hurdonthehill,2,3,TweetDeck,"Some of my favorite shots from this past week in DC &amp; #TX23! As always, thank you for letting me serve you! VIDEO: https://t.co/FKOtZL7jxC"
851476371956256769,2017-04-10 16:46:01,hurdonthehill,1,5,TweetDeck,CHECK IT OUT: @ABC7 profile &gt;&gt; A day in D.C. with @HurdOnTheHill
851457920093097984,2017-04-10 15:32:42,hurdonthehill,1,8,Twitter for iPhone,Happy #NationalSiblingsDay Liz &amp; Chuck! Btw...sick wrist band bro 😎 https://t.co/i1ACBKF5fR
851446080235548673,2017-04-10 14:45:39,hurdonthehill,1,4,TweetDeck,For full interview on CNN @NewDay this morning&gt;&gt; WATCH: https://t.co/DlOJGknNTF
851428006614765568,2017-04-10 13:33:50,hurdonthehill,0,5,TweetDeck,Talked to @NPR a/b how the Trump admin is addressing Syria's civil war &amp; how Syria's President must go. LISTEN: https://t.co/k5Z6K1fk63
851410064426639364,2017-04-10 12:22:32,hurdonthehill,63,0,Twitter for iPhone,"RT @NewDay: Rep. @HurdOnTheHill: Kim Jong Un ""will stop at nothing to have an intercontinental ballistic missile"" https://t.co/Gy98DdNJom"
851406705195986945,2017-04-10 12:09:11,hurdonthehill,0,0,Twitter for iPhone,"Tune into @CNN @NewDay now,  discussing #Syria live with @ChrisCuomo"
851391913987108866,2017-04-10 11:10:25,hurdonthehill,6,0,Twitter for iPhone,RT @NPRinskeep: What's the next step in Syria? At 707 ET we question @TBowmanNPR and @HurdOnTheHill. @MorningEdition
851163383227437056,2017-04-09 20:02:19,hurdonthehill,0,11,Twitter for Android,"""Dark energy's effect on the universe is growing but we don't know if dark energy is growing."" Gary Hill… https://t.co/qwY2lecmXj"
851101143778426880,2017-04-09 15:55:00,hurdonthehill,1,12,Twitter for Android,Thank you @sofiargross for teaching me everything I know about @Snapchat https://t.co/MU3RC2I6GR
850869962268979200,2017-04-09 00:36:22,hurdonthehill,4,0,Twitter for Android,RT @Team4063: @HurdOnTheHill You must've brought us some luck today - we won! Thank you for your support! #firstintexas https://t.co/Pp1JX1…
850704518631305216,2017-04-08 13:38:57,hurdonthehill,30,74,Twitter for Android,.@FirstInTexas isn't a robotics​ competition. It's a rock to shatter a lot of glass ceilings! #FirstInTexas https://t.co/DM9ha5Uiur
850698034581311490,2017-04-08 13:13:11,hurdonthehill,5,16,Twitter for Android,.@SusanGKomen has helped reduce death rates from breast cancer by 34 percent since 1990. #PinkChamps… https://t.co/o1Uzp3Bf6K
850439033234743296,2017-04-07 20:04:00,hurdonthehill,1,6,TweetDeck,It was an honor to receive the 2017 Digital Patriots Award 🏆 VIDEO RECAP: https://t.co/BaKMSomRsn
850428666316296193,2017-04-07 19:22:48,hurdonthehill,5,0,TweetDeck,RT @CBS4Local: Congressman @HurdOnTheHill calls overnight airstrikes in Syria 'the right move' https://t.co/7Gr2U4CQ9b https://t.co/UwH1eZZ…
850420363582484481,2017-04-07 18:49:49,hurdonthehill,5,11,TweetDeck,Hurd Statement on Military Strikes in Syria: https://t.co/A3D8vDVtKz https://t.co/zPKuJ89lDN
850411853884686336,2017-04-07 18:16:00,hurdonthehill,8,15,TweetDeck,"Great discussion yesterday with Aldo Flores, Mexican Ministry of Energy, a/b how Mexico &amp; the U.S. can continue to… https://t.co/NJ2SSBO2fG"
850404471532388352,2017-04-07 17:46:40,hurdonthehill,3,0,TweetDeck,RT @1200WOAI: Congressman Will Hurd talks with @joetalkshow about US missile strikes on Syria:  https://t.co/fTMjVsjw2W #Syria
850393486163677184,2017-04-07 17:03:01,hurdonthehill,5,21,TweetDeck,Hurd statement on the Russia Investigation: https://t.co/y4KbrQnsVT
850386954965352448,2017-04-07 16:37:04,hurdonthehill,7,0,TweetDeck,RT @NateCBS4: Congressman @HurdOnTheHill explains why he believes sending airstrikes in Syria was the right move-- on @CBS4Local at noon ht…
850383708536352768,2017-04-07 16:24:10,hurdonthehill,3,8,TweetDeck,READ: My thoughts on what I think the U.S. can do to improve security &amp; the economy in Afghanistan HERE: https://t.co/HMeezbASK9
850204241348018177,2017-04-07 04:31:01,hurdonthehill,4,14,Twitter for iPhone,Talking live about the air strikes in #Syria tonight--tune in here. https://t.co/4s1xOatxoa
850127011687346177,2017-04-06 23:24:08,hurdonthehill,13,23,TweetDeck,I said in 2015 that “any negotiated political solution must not include Assad.” Nothing has changed. #Syria https://t.co/BuiaysZWpu
850090990736089088,2017-04-06 21:01:00,hurdonthehill,0,0,TweetDeck,@Rivardreport Port San Antonio Breaks Ground on ‘Project Tech’ Complex https://t.co/F2Mjcaa4eJ Keep up the good work! #CyberSecurity
850067397813956608,2017-04-06 19:27:15,hurdonthehill,5,28,TweetDeck,"Congrats to my dear friend, Chris Chase, for his promotion to LtCol today! Thank you for letting me be a part of su… https://t.co/retWjo1RUJ"
850033362353967105,2017-04-06 17:12:01,hurdonthehill,1,6,Twitter for iPhone,Watch out #cp9finals ITSA is headed your way 🏆 #STEM https://t.co/ZIsiu9M3ic
850025129589575680,2017-04-06 16:39:18,hurdonthehill,0,1,Twitter for iPhone,Bring home the W 🏆🔥 https://t.co/TG9L4ggT4c
849732129101688833,2017-04-05 21:15:01,hurdonthehill,0,5,TweetDeck,Join us April 18th for the Grand Opening of our new District Office in Fort Stockton! Hope to see you there #TX23 https://t.co/ijQdyWQnC5
849704443956256768,2017-04-05 19:25:00,hurdonthehill,16,13,TweetDeck,@HouseHomeland @RepMcCaul Releases April Terror Threat Snapshot. See here: https://t.co/6UOsJRQiji https://t.co/vZcpRqtque
849696243186118662,2017-04-05 18:52:25,hurdonthehill,3,11,Twitter Web Client,Companies like @SouthernPowerCo are great citizens. They do a lot for the surrounding communities. #TX23… https://t.co/2hROAXdMyW
849676763340976131,2017-04-05 17:35:01,hurdonthehill,2,3,TweetDeck,"ICYMI: https://t.co/rlkO4lYE0j @HurdontheHill: 40 Teachers in 16 School Districts, Impacting Over 1,000 Students https://t.co/y5EjFvPqOY"
849666946371002368,2017-04-05 16:56:00,hurdonthehill,7,18,TweetDeck,Enjoyed exploring virtual reality technology @Intel over the weekend. Can't wait to see how their innovative creati… https://t.co/ZCtsJuBP2s
849662273169870848,2017-04-05 16:37:26,hurdonthehill,6,0,Twitter Web Client,RT @FCWnow: Hurd ramps up call for cyber national guard https://t.co/5LArd8iVSI
849661745442541570,2017-04-05 16:35:20,hurdonthehill,8,0,TweetDeck,RT @rwaddill: What a treat to meet w/Congressman Will Hurd-R TX23 to discuss Natl Park issues! He's a role model for bipartisanship. @HurdO…
849632371934502912,2017-04-05 14:38:37,hurdonthehill,3,17,TweetDeck,We must pay more attention to North Korea &amp; find ways to prevent future acts of violence. READ MORE: https://t.co/fToCi6FWgS
849425068845346816,2017-04-05 00:54:52,hurdonthehill,19,0,Twitter for Android,RT @TiffanyMMoore: Excited to honor @HurdOnTheHill at our 2017 Digital Patriots Dinner! #CTATechWeek
849425032115888129,2017-04-05 00:54:43,hurdonthehill,9,0,Twitter for Android,RT @KAPommer: .@HurdOnTheHill told us to take a selfie #CTATechWeek https://t.co/BMmRuIAEjT
849425005276524545,2017-04-05 00:54:37,hurdonthehill,14,0,Twitter for Android,"RT @GaryShapiro: Honoring Rep. @cathymcmorris, @RepDelbene, @RepSwalwell &amp; @HurdOnTheHill tonight at the Digital Patriots Dinner! #CTATechW…"
849424170261893121,2017-04-05 00:51:18,hurdonthehill,43,57,Twitter for Android,#ctaTechWeek thanks to cta for digital patriot award https://t.co/wYROMiYB1t
849375054722945024,2017-04-04 21:36:08,hurdonthehill,6,41,TweetDeck,So proud of these #TX23 students for turning the House of Reps into the #houseofcode https://t.co/2mpGFwIAVd
849342884847509505,2017-04-04 19:28:18,hurdonthehill,4,12,TweetDeck,"As technology becomes more &amp; more a part of our lives, our society and its institutions must keep pace.… https://t.co/W5oJirWbf4"
849336157758513154,2017-04-04 19:01:34,hurdonthehill,3,10,Twitter for Android,".@GOPoversight @DanWaddellCISSP said, ""Harden the workforce ... Cybersecurity is everyone's job.""… https://t.co/0AfyWz2Igu"
849332654013120516,2017-04-04 18:47:39,hurdonthehill,1,0,TweetDeck,RT @samehlinger: .@GOPoversight @HurdOnTheHill Hurd says he plans to ask what shortages people see in diff agencies.
849332497842417664,2017-04-04 18:47:01,hurdonthehill,6,5,TweetDeck,LIVE: @GOPoversight hearing on #cybersecurity workforce challenges. https://t.co/UZMpSLYVSE
849281183607345155,2017-04-04 15:23:07,hurdonthehill,4,4,Twitter Web Client,LIVE: @HouseHomeland hearing to examine @DHSgov counter-network strategy to coordinate efforts to secure the border https://t.co/94fmr8jz1C
849275655384690691,2017-04-04 15:01:09,hurdonthehill,11,36,Twitter for Android,.@HouseHomeland hearing JTF-E explained @uscoastguard can only action 1/3 of Intel they get on narcotraficantes. Th… https://t.co/TbA6qHVo42
848916755833536512,2017-04-03 15:15:01,hurdonthehill,1,7,TweetDeck,Last week sure was busy! Watch this video too see how #TeamHurd has been working hard to represent you in #TX23 &amp; DC https://t.co/sFupej09QM
848910932101259264,2017-04-03 14:51:52,hurdonthehill,13,45,Twitter Web Client,"The best way for my colleagues to understand the unique challenges we face along the border, is to come see it for… https://t.co/quNpMIwrKN"
848906046978523136,2017-04-03 14:32:28,hurdonthehill,132,231,Twitter Web Client,This weekend in El Paso I showed my colleagues why a wall from sea to shining sea is expensive&amp; the least effective… https://t.co/2bsm4ggEZl
848891251839709187,2017-04-03 13:33:40,hurdonthehill,3,6,TweetDeck,"""Cowboys and code can solve problems bigger than the West Texas sky on a clear summer day."" READ here: https://t.co/MUpCj9gNCl"
848235223670177792,2017-04-01 18:06:51,hurdonthehill,6,40,Twitter for Android,Gracias al @FelipeCalderon  por una gran conversación @TAMU @mscwiley sobre la importancia de #NAFTA #GigEm https://t.co/XIr7fJoTvR
847973401016848384,2017-04-01 00:46:28,hurdonthehill,6,35,Twitter for iPhone,"Discussing the future of US-Mex relations w/ @FelipeCalderon, @LauraDTyson, &amp; @NPRinskeep in Aggieland @TAMU #Gigem https://t.co/Q1rSNWbT6F"
847967204180205568,2017-04-01 00:21:50,hurdonthehill,15,167,Twitter for iPhone,Feels good to be home #gigem @TAMU https://t.co/qUgkyZcaRA
