id,created_at,coordinates,retweets,favorite_count,source,text
813061347135123456,2016-12-25 16:38:25,,6,64,Twitter for iPhone,"From the McCarthy family, hope you're having a Merry Christmas! https://t.co/GI1etsi5CC"
807299006292496386,2016-12-09 19:00:56,,15,33,Twitter for iPhone,Excited about the Inauguration? Get all the latest news and information by following @TrumpInaugural 🚂🇺🇸 #MAGA
806554352412454912,2016-12-07 17:41:57,,12,27,Twitter for iPhone,"Seventy-five years ago, Pearl Harbor was attacked. Take a moment and reflect, be grateful for all those who served &amp; sacrificed for freedom."
806270749111681029,2016-12-06 22:55:01,,6,21,Twitter for iPhone,Congratulations to my good friend State Senator @JeanFuller  for unanimous re-election to lead California's Senate Republicans!
806270396832083968,2016-12-06 22:53:37,,6,21,Twitter for iPhone,Congratulations to California Assemblymember Vince Fong @vfong on being selected as Chief Republican Whip!
803642680391716864,2016-11-29 16:52:00,,2,0,Twitter for iPhone,RT @Alexruoff: .@kevinomccarthy will send letter to governors this week asking about ideas for ACA replacement.
803380607615205379,2016-11-28 23:30:37,,0,3,Twitter for iPhone,@Robasimms and a great team at the @NRCC! 💯🇺🇸
803380301305102336,2016-11-28 23:29:24,,19,0,Twitter for iPhone,RT @Robasimms: Every R incumbent (&amp; open seat) in CA &amp; NY re-elected despite Dem spin &amp; media narrative...b/c our members &amp; their teams roc…
803371829633150976,2016-11-28 22:55:44,,12,41,Twitter for iPhone,Congrats to my good friend @DarrellIssa on his re-election - looking forward to making history in the 115th Congress for our country and CA!
803291891739467776,2016-11-28 17:38:06,,7,33,Twitter for iPhone,Looking forward to working with new California Assemblymember-elect @vfong on the needs of Central Valley and California.
803278433983823873,2016-11-28 16:44:37,,4,6,Twitter for iPhone,California is a special place; it is an honor to be a voice for our state in national policy. https://t.co/OX9FqVlzgy
801230031360053248,2016-11-23 01:05:00,,217,0,Twitter for iPhone,"RT @PatrickMcHenry: Important decision blocking another unilateral, job-killing executive action from the Obama Administration. Big win for…"
800912843587616769,2016-11-22 04:04:36,,12,0,Twitter for iPhone,RT @cathymcmorris: We need to think big and reimagine our government so we can return the people’s voice to the center of it.
798930181838639104,2016-11-16 16:46:13,,15,28,Twitter for iPhone,"Congratulations to my good friend, @CoryGardner on his election as Chairman of the @NRSC"
798619562472185856,2016-11-15 20:11:55,,11,21,Twitter for iPhone,"Congratulations to my friend, @RepSteveStivers on his election as @NRCC Chair!"
797127299598614528,2016-11-11 17:22:12,,0,3,Twitter Web Client,@madhattr52 Grateful for his service. A legacy of a free country and a free world.
797124681568493569,2016-11-11 17:11:48,,517,838,Twitter Web Client,"Words can never fully capture what our nation owes our veterans, but it starts with two simple words: Thank You. https://t.co/iyX3W6SAS4"
796384251138686977,2016-11-09 16:09:36,,2,9,Twitter for iPhone,"Congrats @DonBacon2016 - look forward to serving with you, we're going to make history in the 115th Congress! https://t.co/KaqYAscVTO"
796345454946619392,2016-11-09 13:35:26,,17,59,Twitter Web Client,America has spoken and spoken clearly. We cannot accept the status quo. We cannot accept decline. We need strong leadership.
796222793725657088,2016-11-09 05:28:01,,847,0,Twitter Web Client,"RT @AP_Politics: BREAKING: Republicans clinch House majority, extending 6-year lock on chamber, while Dems' gains modest."
796221003596759042,2016-11-09 05:20:54,,2,12,Twitter Web Client,Congrats @JackBergman_MI1 -- looking forward to working with you on conservative solutions in the 115th Congress! #MI01
796217865649160193,2016-11-09 05:08:26,,2,13,Twitter Web Client,Congrats @BrianFitzUSA -- looking forward to serving with you and fighting for conservative solutions! #PA08
796217420910358528,2016-11-09 05:06:40,,7,15,Twitter Web Client,Congrats @ElectSmucker - looking forward to serving with you in the 115th Congress and getting results for our country! #PA16
796211902045159424,2016-11-09 04:44:45,,3,9,Twitter Web Client,Congrats @PaulMitchell4us -- looking forward to serving with you in the 115th Congress and fighting for conservative solutions! #MI10
796211535563685889,2016-11-09 04:43:17,,5,12,Twitter Web Client,Congratulations @ClaudiaForNY22 -- looking forward to working with you on making our country a better place in the 115th Congress! #NY22
796208714302849025,2016-11-09 04:32:04,,3,6,Twitter Web Client,Congrats @JohnFasoNY -- looking forward to serving with you on conservative solutions in the 115th Congress!
796204672759558145,2016-11-09 04:16:01,,25,84,Twitter Web Client,Congrats @Liz_Cheney -- looking forward to serving with you in the 115th Congress and fighting for conservative solutions for our country!
796197949818728449,2016-11-09 03:49:18,,10,25,Twitter Web Client,Congrats @MikeforWI -- looking forward to serving with you and making a difference for this country! #WI08
796197334472388608,2016-11-09 03:46:51,,16,37,Twitter Web Client,Congratulations @BuddForCongress looking forward to working with you in the 115th Congress on conservative solutions for our country! #NC13
796193781695516674,2016-11-09 03:32:44,,10,16,Twitter Web Client,Congrats @andybiggs4az -- looking forward to working with you to fight for conservative solutions in the 115th Congress! #AZ05
796185204385837056,2016-11-09 02:58:39,,4,11,Twitter Web Client,Congrats @KYComer -- looking forward to serving with you and fighting for conservative solutions in Congress! #KY01
796184644857319424,2016-11-09 02:56:26,,5,16,Twitter Web Client,Congratulations @RogerMarshallMD -- looking forward to working together to make a difference for our country in the 115th Congress! #KS01
796181590644785152,2016-11-09 02:44:18,,9,14,Twitter Web Client,Congratulations @VoteforTrey -- looking forward to working with you in the 115th Congress to make a difference for our country!
796175429413568512,2016-11-09 02:19:49,,7,11,Twitter Web Client,Congratulations @BrianMastFL -- looking forward to serving with you in the 115th Congress. Let's make a difference for this country!
796169443005108226,2016-11-09 01:56:01,,6,8,Twitter Web Client,Congratulations @DavidKustoff -- looking forward to serving with you and making a difference for our country! #TN8
796165782900248576,2016-11-09 01:41:29,,13,17,Twitter Web Client,Congrats @DrewFergusonGA -- looking forward to serving with you to make a difference for the United States! #GA3
796164927664914432,2016-11-09 01:38:05,,6,10,Twitter Web Client,Congratulations @JodeyArrington -- looking forward to making a difference for America in the 115th Congress! #TX19
796164293301587968,2016-11-09 01:35:34,,7,10,Twitter Web Client,"Congrats @ScottTaylorVA -- looking forward to serving with you! Working together, we can make a real difference for America. #VA02"
796163499227566081,2016-11-09 01:32:24,,4,8,Twitter Web Client,Congrats @FrancisRooney -- looking forward to serving with you and making a difference for this country! #FL19
796162784279064576,2016-11-09 01:29:34,,3,3,Twitter Web Client,"Congrats @DunnCampaign -- Together, we will fight for conservative policies and put this country on the right track! #FL2"
796161941374980097,2016-11-09 01:26:13,,8,24,Twitter Web Client,"The Gaetzes haven't lost an election since '58, tonight is no exception. Congrats @MattGaetz -- looking forward to serving with you! #FL1"
796161195397054465,2016-11-09 01:23:15,,3,6,Twitter Web Client,Congratulations @Jim_Banks -- looking forward to serving with you! I know we can make a difference for this country! #IN3
796159318198513664,2016-11-09 01:15:48,,2,10,Twitter Web Client,"Congratulations @GarrettforVA -- working together, we can make a real difference for this country! #VA5"
796157083477573632,2016-11-09 01:06:55,,1,8,Twitter Web Client,"Congratulations to @JRutherfordFL -- I look forward to serving with you, as we fight to make a difference for the American people! #FL04"
796093149881991168,2016-11-08 20:52:52,,867,0,Twitter for iPhone,RT @NASA: Have you voted? @NASA_Astronauts on @Space_Station have! Learn how they cast their ballot for #Election2016: https://t.co/3paZHLG…
796037925171564546,2016-11-08 17:13:25,,6,16,Twitter for iPhone,"Astronaut Shane Kimbrough has voted. If he can find time to vote from space, so can we all! 🇺🇸#ElectionDay https://t.co/gMj8lFGFnN"
795060370989846530,2016-11-06 00:28:58,,6,0,Twitter for iPhone,RT @Jessica23ABC: Today at the KC fairgrounds @kevinomccarthy addressed thousands of veterans who were served a free BBQ lunch for their se…
794921964280410112,2016-11-05 15:18:59,,8,0,Twitter for iPhone,"RT @GaryShapiro: Texans in the 23rd district, consider the difference @HurdOnTheHill has made in America when you vote Tuesday. More: https…"
794680238085206017,2016-11-04 23:18:27,,4,12,Twitter Web Client,Fantastic to see so much enthusiasm for conservative candidates -- great stops across Kansas and Iowa today! Onward! https://t.co/TusocMd9z3
794673839099801600,2016-11-04 22:53:02,,6,16,Twitter Web Client,Joined @BlumForCongress in Dubuque for a fantastic discussion on public housing issues; Rod Blum brings people toge… https://t.co/qk1DaTzLxD
794630281827323905,2016-11-04 19:59:57,,5,0,Twitter Web Client,RT @KevinYoder: Stop #14 - Heart of America Stand Down for homeless veterans. Amazing organization doing amazing work. @GOPLeader https://t…
794627610655490048,2016-11-04 19:49:20,,3,0,Twitter Web Client,RT @KevinYoder: Thank you to Art Filmore for inviting us today and for everything he does to help our veterans who have sacrificed so much.…
794622799331651586,2016-11-04 19:30:13,,6,0,Twitter Web Client,RT @KevinYoder: Stop #15 - @GM Fairfax Assembly Plant. Employs 3400 &amp; has built &gt;12M cars since 1945. Manufacturing is the backbone of Amer…
794622035259523072,2016-11-04 19:27:11,,9,23,Twitter Web Client,"On the campaign trail w/ @KevinYoder - I've learned three things about Kansas: they have great BBQ, great people an… https://t.co/MGbcStfQ9f"
794619812416815104,2016-11-04 19:18:21,,4,0,Twitter Web Client,"RT @KevinYoder: Stop #16 - serving lunch &amp; doing dishes at St. Mary's Kitchen in Downtown KCK. I've been many times over the years, 1st tim…"
794307991214243840,2016-11-03 22:39:17,,17,26,Twitter Web Client,Our country needs principled leaders like @DonBacon2016 to help get this country back on track. Fantastic meeting w… https://t.co/GGE7Rd1mc8
793873441984221184,2016-11-02 17:52:32,,10,15,Twitter for iPhone,Judy and I are praying for the families and law enforcement community in Des Moines. We are grateful for your service and sacrifice.
793245501982244864,2016-11-01 00:17:20,,2,10,Twitter for iPhone,Hope you're having a safe and Happy Halloween with family and friends! #trickortreat
793162122746327040,2016-10-31 18:46:00,,2,10,Twitter for iPhone,America can accomplish ANYTHING - let's fight for a new era of prosperity for ALL AMERICANS!
792136173866987520,2016-10-28 22:49:15,,35,56,Twitter for iPhone,Today's decision once again demonstrates Secretary Clinton's fundamental lack of judgment and disregard for protecting our nation's secrets.
791425465525252096,2016-10-26 23:45:09,,7,30,Twitter for iPhone,"I appreciate the leadership, especially by @SteveKnight25 and @TomLackey36, who joined with me to stand up for California's vets."
