id,created_at,user,retweets,favorite_count,source,text
539532103600574464,2014-12-01 21:30:52,neilabercrombie,11,26,Hootsuite,Mahalo to the people of Hawaii for the opportunity to serve for the past 5 decades. It has been an honor and privilege. Imua Hawaii!
537713862384967680,2014-11-26 21:05:49,neilabercrombie,4,0,Hootsuite,"RT @oha_hawaii: #Hawaii Island Celebrate Lā Kūʻōkoʻa Hawaiian Independence Day
Nov 28, 3-6 p.m.
Kahilu Town Hall http://t.co/vjucvKnf9f"
537035199465684992,2014-11-25 00:09:03,neilabercrombie,2,0,Hootsuite,"RT @uhmed: Hawai`i Ebola PREPAREDNESS Symposium Here Monday, Nov. 24, 5:30 p.m. | http://t.co/5SXkEFHZrF"
537035145631768577,2014-11-25 00:08:51,neilabercrombie,3,0,Hootsuite,"RT @HI_CivilDefense: HI-EMA News Release: Siren and emergency alert system test on Dec. 2, 2014. http://t.co/nLUer7D9tO"
536984242262011904,2014-11-24 20:46:34,neilabercrombie,2,0,Sprout Social,"State offices will be closed this Thursday, Nov. 27 in observance of Thanksgiving."
536982175506518018,2014-11-24 20:38:21,neilabercrombie,4,0,Hootsuite,RT @DOTHawaii: View a map for this week's (11/24-11/28) Kalanianaole Highway work zone area http://t.co/R76tCmJT0C
535970094564659200,2014-11-22 01:36:43,neilabercrombie,0,0,Sprout Social,Great to sit down with a long time friend Dash @KHONnews to reflect on decades in public office. http://t.co/jOdYq3SD2v
535915139203993601,2014-11-21 21:58:20,neilabercrombie,3,0,Sprout Social,"The Kemoeatu brothers have 3 Super Bowl Rings between them, but their bond runs much deeper. http://t.co/iojHcjx79E http://t.co/lnKevC5VBt"
535876988993814529,2014-11-21 19:26:44,neilabercrombie,16,0,Hootsuite,"RT @HI_CivilDefense: There is no tsunami threat to Hawaii from the 6.8 moment magnitude earthquake at Halmahera, Indonesia."
535561828831477761,2014-11-20 22:34:24,neilabercrombie,4,3,Sprout Social,Hawaii’s Unemployment Rate Drops to 4.1% in October http://t.co/maM4CHsXiV #higov
535559059383279617,2014-11-20 22:23:24,neilabercrombie,1,0,Hootsuite,"RT @HI_DLIR: DLIR announced that the seasonally adjusted Unemployment rate for October was 4.1%, down from 4.2% in September. http://t.co/C…"
535518767371935744,2014-11-20 19:43:18,neilabercrombie,2,0,Sprout Social,Mahalo to @StarAdvertiser for coming to talk story about our time in office. http://t.co/SPZCTxgEFb #higov
534807790918057984,2014-11-18 20:38:08,neilabercrombie,7,0,Hootsuite,RT @MayorKenoi: #PunaLavaFlow continues to show very little activity....and no advancement has been noted since Saturday. http://t.co/sA5q0…
534455384560250880,2014-11-17 21:17:48,neilabercrombie,1,0,Sprout Social,Toolkit to Help Communities Respond to a Changing Climate http://t.co/s7taZL0nvU
533355531017396225,2014-11-14 20:27:22,neilabercrombie,7,0,Hootsuite,RT @oha_hawaii: #Hokulea Welcoming Ceremony today (11/14) in Waitangi. Please note NEW livestream start time is 12:45 p.m. HST at http://t.…
533091414423257088,2014-11-14 02:57:52,neilabercrombie,3,0,Hootsuite,RT @oha_hawaii: Get money to pay for college! The Native Hawaiian Scholarship ʻAha starts 11/18/14. Proudly sponsored by @oha_hawaii. http:…
