id,created_at,user,retweets,favorite_count,source,text
851611863242690560,2017-04-11 01:44:25,repohalleran,2,5,Twitter Web Client,Happy Passover to all who celebrate! #chagsameach
851585588239007744,2017-04-11 00:00:00,repohalleran,1,1,TweetDeck,My NOPE Act would hold Congress accountable to the American people &amp; ensure they do the job they were elected to do… https://t.co/Mt35poqmhW
851547839679217664,2017-04-10 21:30:00,repohalleran,1,1,TweetDeck,ICYMI: I sat down with @JohnHookfox10 last month to talk about my work for #AZ01 Watch online: https://t.co/gsdgjIa6KE
851523368411156482,2017-04-10 19:52:46,repohalleran,5,6,Twitter Web Client,Thank you to all who attended the Globe Town Hall last night. I appreciate the chance to discuss issues impacting… https://t.co/C8nQPt4R30
851459984974127104,2017-04-10 15:40:54,repohalleran,0,3,Twitter Web Client,"Washington is broken, but there is a bipartisan plan to reform it. Learn more: https://t.co/2Q4RwPTUUM https://t.co/jQ9v6EK96Z"
851223205381591040,2017-04-10 00:00:01,repohalleran,7,10,TweetDeck,"ICYMI: I introduced the NOPE Act to cut Congressional perks, freezes pay, &amp; implement a ""No budget, no pay"" policy.… https://t.co/gxpjBx6Lyp"
851107942577446912,2017-04-09 16:22:00,repohalleran,7,7,TweetDeck,"Arizona veterans, mark your calendars! The #AZVetEdSummit is coming up fast. Learn more and register online:… https://t.co/gCoLiBRpMi"
850809333164232704,2017-04-08 20:35:26,repohalleran,11,0,Twitter for iPhone,RT @SedonaMonthly: Hiking this weekend? Here are some of our favorite trails. https://t.co/l9H5wtLZno https://t.co/QELYxvAyQx
850809214385737728,2017-04-08 20:34:58,repohalleran,2,0,Twitter for iPhone,"RT @NavajoCountyAZ: Local students put their technical skills to the test during Friday's CTE Competition in Chinle!

Great job by all who…"
850806454940512256,2017-04-08 20:24:00,repohalleran,3,6,TweetDeck,I am looking forward to hosting my next town hall in Globe tomorrow! All are invited to attend. #AZ01 https://t.co/TpdgSV9LOo
