id,created_at,user,retweets,favorite_count,source,text
851562942717870080,2017-04-10 22:30:01,repraskin,13,65,TweetDeck,"Wishing freedom, peace and strong community to all on the occasion of Passover. Chag Sameach!"
851527310213885958,2017-04-10 20:08:26,repraskin,19,58,Twitter for iPhone,"Saddened by reports of the shooting in San Bernardino, CA. Our hearts go out to North Park ES students, faculty, &amp; the community."
851484731506135040,2017-04-10 17:19:14,repraskin,13,0,Twitter Web Client,RT @Justice4Vets: Thank you @RepRaskin for supporting funding for life-saving drug courts &amp; #veterans treatment courts!
851474923411443712,2017-04-10 16:40:16,repraskin,7,42,Twitter Web Client,Thoughts and prayers with people of Egypt as we condemn yesterday's barbaric ISIS terror attack on Coptic Christians.
851451791598391297,2017-04-10 15:08:20,repraskin,1,13,Twitter Web Client,"Million thx for the kind note, @HIASrefugees! Proud you're in my district and of the work you do! #JewsForRefugees… https://t.co/z0UN7LvepZ"
851438036088999936,2017-04-10 14:13:41,repraskin,0,2,Twitter for iPhone,"Thoughts &amp; prayers with @mcfrs, @IAFFLocal1664, family &amp; friends of fallen FF Charles ""Rick"" Gentilcore. #LODD https://t.co/d97s88hFzz"
851430204648165380,2017-04-10 13:42:34,repraskin,324,0,Twitter Web Client,"RT @RepBera: We cannot move forward in #Syria haphazardly. @SpeakerRyan, the House must return to Washington to debate next steps."
850738083951783936,2017-04-08 15:52:19,repraskin,12,44,Twitter for iPhone,What a rousing night w/ #reprorights activists standing strong for repro freedom &amp; health care for all. Proud to… https://t.co/NprkVfc2sv
850737439060762624,2017-04-08 15:49:46,repraskin,3,0,Twitter for iPhone,"RT @LWCFCOALITION: Thanks @RepRaskin for cosponsoring HR502, perm reauth of #LWCF protecting our land, water, and heritage for generations"
850737361231261696,2017-04-08 15:49:27,repraskin,8,0,Twitter for iPhone,RT @MathwMoors: @RepRaskin @WarriorCanineCn Thanks so much for visiting and for your support! Looking forward to working together for a bri…
850529225245429761,2017-04-08 02:02:24,repraskin,57,106,Twitter for iPhone,My statement on Syria: https://t.co/n5f8VdiHOa
850398281935056897,2017-04-07 17:22:04,repraskin,15,42,Twitter for iPhone,.@WarriorCanineCn's playful pup Otis is named in honor of Lt Col Christopher Raible. Read about his namesake here:… https://t.co/DdzihBOrpX
850394400870072320,2017-04-07 17:06:39,repraskin,10,36,Twitter for iPhone,"We're delighted to meet puppy Pate, named in honor of Sgt. Kimberly Pate. Read about her namesake here:… https://t.co/G4wN8bXT9i"
850393625427144712,2017-04-07 17:03:34,repraskin,8,30,Twitter for iPhone,My staff just met @WarriorCanineCn pup Buckles. Tune in now to hear about his namesake! https://t.co/cMYr3XyWGL
850393389572947968,2017-04-07 17:02:38,repraskin,7,0,Twitter for iPhone,RT @julietagen: Awesome experience with the gang at @WarriorCanineCn Thank you! https://t.co/UVGZGnX4Gk
850385777792077825,2017-04-07 16:32:23,repraskin,10,44,Twitter for iPhone,Today is the day! My staff is so excited to meet the service pups at @WarriorCanineCn. https://t.co/ut9i9XkKr0
850365924750348289,2017-04-07 15:13:30,repraskin,26,23,Twitter Web Client,Thrilled to announce the Congressional Art Competition for #MD08 high school students! Entries due April 21.… https://t.co/YKTKIws4lu
850359634628153344,2017-04-07 14:48:30,repraskin,10,35,Twitter Web Client,More than a dozen freshman House members joined up for a bipartisan visit to the @HolocaustMuseum. #USHMM #FF… https://t.co/7vTprO35eN
850338842691457024,2017-04-07 13:25:53,repraskin,3,16,Twitter Web Client,Nina is amazing &amp; a constituent services miracle worker. Sorry I couldn't be with you but I'm glad Nina helped make… https://t.co/jLgF3KHf7p
850336844650868738,2017-04-07 13:17:56,repraskin,6,0,Twitter Web Client,RT @EmersonOrr: it's not everyday one gets to serenade congress with Mario. Thank you @RepRaskin ! #GRAMMYsOnTheHill #supportmusic https://…
850326840396873728,2017-04-07 12:38:11,repraskin,54,162,Twitter for iPhone,Proud of Maryland state lawmakers for choosing to #StandWithPP &amp; protect women's health choices. #WontGoBack https://t.co/1wEL8YXlIc
