id,created_at,user,retweets,favorite_count,source,text
851534753501241345,2017-04-10 20:38:00,reptrentkelly,2,5,Twitter Web Client,@GreggHarper @dak @CoachDanMullen It was a great day!
851534335673077760,2017-04-10 20:36:21,reptrentkelly,10,56,Twitter Web Client,"It was great to spend time with @CoachDanMullen, Megan Mullen, @dak, and @GreggHarper in West Point today. #MS01 https://t.co/EM2ZuDuYQN"
851508459036192768,2017-04-10 18:53:31,reptrentkelly,2,16,Twitter Web Client,U.S. Supreme Court Justice Neil Gorsuch has a profound respect for our Constitution. He was sworn in today at the R… https://t.co/zvZTBZg2ON
851414187502964736,2017-04-10 12:38:55,reptrentkelly,0,6,Twitter for iPhone,It was great to be on the @supertalk @paulgalloshow this morning. #MS01
851410080406937601,2017-04-10 12:22:36,reptrentkelly,3,0,Twitter for iPhone,RT @paulgalloshow: 1st Dist.@RepTrentKelly joins me next. We talk Syria.  Congressman Kelly is also Colonel Kelly still a member of Army Na…
850462175676203008,2017-04-07 21:35:58,reptrentkelly,0,6,Twitter Web Client,A chemical weapons attack on innocent civilians cannot be tolerated. Please read my newsletter to learn more.… https://t.co/pTAvMpXllj
850375737370660864,2017-04-07 15:52:29,reptrentkelly,0,6,Twitter for iPhone,Great to talk with @Philips enthusiastic employees. #MS01 https://t.co/fxBM0Zqxb3
850372537452310528,2017-04-07 15:39:46,reptrentkelly,0,0,Twitter for iPhone,@Philips VP John Pouland discusses their Tupelo operation. #MS01 https://t.co/KU0bEXYJfV
850369431305945089,2017-04-07 15:27:26,reptrentkelly,0,8,Twitter for iPhone,It's great to talk with Philips employees here in Tupelo today. #MS01 https://t.co/jC0DWnTqwe
850112620321529857,2017-04-06 22:26:57,reptrentkelly,1,3,Twitter Web Client,It was great to meet with @DeSotoCouncilMS Congressional Briefing Committee this week. #MS01 https://t.co/LAX0QluZm7
849997294606979072,2017-04-06 14:48:41,reptrentkelly,0,8,Twitter Web Client,Center Hill Middle School students from DeSoto County are in DC! It's great to see them  #MS01 https://t.co/wWr94vj0Vu
849762300923969536,2017-04-05 23:14:55,reptrentkelly,2,6,Twitter Web Client,It was great to see Mississippi Community College Fellows at our DC office this afternoon. #MS01 https://t.co/kphKssFu4z
849758143894736896,2017-04-05 22:58:23,reptrentkelly,0,6,Twitter Web Client,It was great to visit with a delegation of MS firefighters who came to our DC office today. #MS01 https://t.co/NHdWnCYx0U
849755409493708804,2017-04-05 22:47:31,reptrentkelly,0,4,Twitter Web Client,"Mandy, Justin, Eason, Hayes, and Kate Ross Murphree stopped by our DC office today. It was great to see them. #MS01 https://t.co/K5xrYiTF5L"
849671466174083072,2017-04-05 17:13:58,reptrentkelly,5,10,Twitter Web Client,We must keep terrorists detained at Guantanamo Bay prison to keep Americans safe. We traveled to GTMO this week for… https://t.co/hs8GN2Odxf
849648100620861440,2017-04-05 15:41:07,reptrentkelly,0,10,Twitter Web Client,Happy 95th birthday to WWII Veteran and Okolona native Harold Turner! He continues to work daily at his family's fl… https://t.co/IohjCU35Y1
849319351635390465,2017-04-04 17:54:47,reptrentkelly,1,6,Twitter Web Client,"It's great to see fellow Union, MS native and friend Stephanie Alexander Weaver. She visited our DC office with Tra… https://t.co/uTGUy3ZhzO"
848029850178813952,2017-04-01 04:30:46,reptrentkelly,13,64,Twitter for iPhone,Congratulations to MSU Lady Bulldogs for their historic win! #MS01 https://t.co/mS7bFBTeT3
847927377363701762,2017-03-31 21:43:35,reptrentkelly,1,7,Twitter Web Client,Our MS workforce continues to attract major manufacturers. Please read my newsletter to learn more.… https://t.co/TNdDUb9OTf
847864064739094529,2017-03-31 17:32:00,reptrentkelly,1,10,Twitter Web Client,"It was great to visit with @Mississippi4H delegates Hunter Garrett, Eli Magness, and Mallory Lewis at our DC office… https://t.co/ofOSxZ5F4W"
847466639641542656,2017-03-30 15:12:46,reptrentkelly,1,4,Twitter Web Client,"Richard and Kathleen Witmer were given a Capitol Tour through our office today. If you visit DC, come see us! (202)… https://t.co/MxI4WNfHYX"
847461466273751040,2017-03-30 14:52:13,reptrentkelly,0,9,Twitter Web Client,It was great to see members of the Mississippi Cattlemen's Association at our DC office. #MS01 https://t.co/6VjLgizAZc
847132432801390593,2017-03-29 17:04:45,reptrentkelly,0,5,Twitter Web Client,It was great to see Larry Stanford with Coca-Cola Bottling Works in Corinth. #MS01 https://t.co/FJYZ2IrPar
846821226358198273,2017-03-28 20:28:08,reptrentkelly,2,0,Twitter Web Client,@AmerDentalAssn members visited our office today. It was great to hear from our Mississippi dentists. #MS01 https://t.co/wkZwqKtl3K
846811419052052481,2017-03-28 19:49:09,reptrentkelly,4,23,Twitter Web Client,"It was great to see @UMMCnews Chief of Staff Dr. Brian Rutledge, @LAWoodwardMD, and Kristy Simms in our DC office t… https://t.co/BHGtFV6led"
846805881773854722,2017-03-28 19:27:09,reptrentkelly,0,0,Twitter Web Client,@SavetheChildren CEO Carolyn Miles and MS Head Start Assoc. Exec. Dir. Nita Norphlet-Thompson and friends visited o… https://t.co/A3uh5Y1OYC
844959397470240768,2017-03-23 17:09:53,reptrentkelly,3,4,Twitter Web Client,It was great to see @MSEMA representatives at our DC office this morning. #MS01 https://t.co/CNk0XFIzcc
844944586623635458,2017-03-23 16:11:02,reptrentkelly,1,4,TweetDeck,It was great to see everyone! #MS01 https://t.co/hT1muDRFDD
844902761036697600,2017-03-23 13:24:50,reptrentkelly,5,18,Twitter for iPhone,It was an honor to speak today about fallen MS soldier SFC Chris Robinson. He was killed during Operation Enduring… https://t.co/amR3aoYwgx
844671806388781057,2017-03-22 22:07:06,reptrentkelly,0,2,Twitter Web Client,"It was great to see Cathy Green, Alice Dean, and @mssociety Mid-South Ambassador Donna Epps-Garris in our DC office… https://t.co/X4Gy6dRXvj"
844240249446383619,2017-03-21 17:32:15,reptrentkelly,5,17,Twitter Web Client,Mississippi's farmers are feeding and clothing the world. Thanks for your commitment. #AgDay #MS01
844216535015133184,2017-03-21 15:58:01,reptrentkelly,4,10,Twitter Web Client,It was great to visit with @MSFFA representatives Kayla Mercer and Brice Fortinberry at our DC office today. #MS01 https://t.co/EkMjIA9ZAy
843899688499798017,2017-03-20 18:58:59,reptrentkelly,15,0,Twitter Web Client,RT @GreggHarper: Great seeing Gov. @PhilBryantMS in DC last week! Thankful that he's our Governor. @CongPalazzo @RepTrentKelly https://t.co…
843899247741353984,2017-03-20 18:57:14,reptrentkelly,0,4,Twitter Web Client,@GreggHarper @PhilBryantMS @CongPalazzo In good company! #MS01
843885744125083650,2017-03-20 18:03:34,reptrentkelly,3,10,Twitter Web Client,"Today, ground was broken for the Vietnam Memorial Replica Wall at Veterans Memorial Park in #Tupelo. #MS01 https://t.co/H08j5UG9YE"
842864817203494914,2017-03-17 22:26:46,reptrentkelly,2,8,Twitter Web Client,Our nation's farmers must have access to the resources they need. Please read my newsletter to learn more.… https://t.co/vaeAzCt6Wp
842855107284942848,2017-03-17 21:48:11,reptrentkelly,5,16,Twitter Web Client,The @MDEQ building in Jackson will be named after the late Rep. Alan Nunnelee. It is an honor to see his legacy cel… https://t.co/S8eduQCxsw
842824673461071872,2017-03-17 19:47:15,reptrentkelly,0,12,Twitter Web Client,Congratulations to @sugareesbakery founder Mary Jennifer Russell. She has been named by @SBAgov a top Small Busines… https://t.co/fhdvPoLrSG
842782265755295745,2017-03-17 16:58:44,reptrentkelly,6,27,Twitter Web Client,Mississippi Governor @PhilBryantMS visited our DC office this morning. It was great to see him. #MS01 https://t.co/ws1OzPcRJP
